quadkey,latitude,longitude,rwi,error
30003030113012,-14.1259215,15.3479004,-0.623,0.374
30003011031221,-11.6629959,16.0290527,-0.409,0.363
30003100002122,-11.4261866,16.9738770,-0.319,0.371
30003030303202,-14.8917045,14.9523926,-0.234,0.376
30001231100312,-8.5267005,16.3146973,-0.412,0.359
30003030310011,-14.6154780,15.1940918,-0.778,0.372
30003211023232,-17.2981985,15.6994629,-0.602,0.342
30003210101332,-16.7940233,15.0842285,-0.325,0.351
30003013031023,-12.9724418,16.0290527,-0.529,0.387
30003030312303,-14.8917045,15.2380371,-0.488,0.372
30003032301113,-15.9930146,15.1062012,-0.579,0.344
30003011023112,-11.7275454,15.7873535,-0.401,0.372
30003030200310,-14.7005081,14.2053223,-0.873,0.371
30003030202233,-14.9341696,14.1394043,-0.752,0.370
30003210310011,-17.3191761,15.1940918,-0.493,0.343
30001211302003,-6.5227299,16.2048340,0.092,0.459
30003011102230,-11.4907908,16.2268066,-0.268,0.431
30003210311030,-17.3611242,15.3479004,-0.220,0.343
30003010131331,-11.6629959,15.4577637,-0.529,0.365
30003003133032,-13.1436775,13.9416504,-0.470,0.374
30003030123300,-14.5304150,15.0402832,-0.183,0.368
30001212232020,-8.2875987,14.4250488,-0.421,0.371
30003031203102,-14.8067491,15.7434082,-0.508,0.369
30001232020103,-10.1743738,14.1833496,-0.467,0.366
30003110211232,-12.0285754,20.2697754,-0.125,0.375
30003003012212,-12.8439375,13.0627441,-0.353,0.371
30001312130031,-7.4169421,20.8190918,0.518,0.499
30003032330213,-16.4150090,15.1940918,-0.237,0.350
30001231001233,-8.5701576,15.7214355,-0.193,0.404
30003023113232,-15.6124559,13.9416504,-0.766,0.350
30001221032203,-9.0478525,13.0407715,-0.066,0.526
30001330122321,-9.0695511,20.5114746,-0.724,0.384
30001023030021,-4.6202287,13.0407715,-0.230,0.357
30003011113223,-11.5123222,16.7321777,0.132,0.384
30003032332202,-16.5835521,15.1281738,-0.314,0.354
30003210300133,-17.3820946,14.9304199,-0.054,0.351
30003012212113,-13.4430519,14.5788574,-0.256,0.375
30001232023120,-10.3689583,14.3371582,-0.306,0.363
30003012100222,-12.7153674,14.7766113,-0.160,0.359
30001212310112,-7.7436512,15.2600098,0.594,0.492
30003011331331,-12.3507339,16.8640137,-0.592,0.373
30003121322112,-15.1463690,19.1271973,-0.711,0.380
30003012221031,-13.6353101,14.3151855,-0.612,0.369
30003020323002,-15.1463690,12.1398926,-0.567,0.612
30003012331032,-13.6566625,15.3479004,-0.337,0.373
30003030010301,-14.0193555,14.5349121,-0.892,0.366
30003100020003,-11.5553801,16.9079590,-0.286,0.372
30001221312012,-9.3081485,13.7658691,-0.820,0.394
30003010321011,-12.2219175,15.0183105,-0.327,0.359
30003210121003,-17.0042615,14.9743652,-0.464,0.346
30003030211223,-14.7642589,14.6228027,-0.764,0.380
30001203003012,-7.2207995,12.8869629,0.216,0.506
30003030031202,-14.3814760,14.6008301,-0.205,0.371
30003210131102,-17.0042615,15.3918457,-0.138,0.354
30001022321012,-5.2988268,12.1838379,0.113,0.471
30003110201213,-11.9855916,19.9401855,-0.686,0.379
30001231001333,-8.5701576,15.8093262,0.167,0.367
30001213021032,-7.4387304,15.6994629,-0.232,0.362
30003033322222,-16.6256648,16.1828613,-0.660,0.344
30003012232011,-13.7633955,14.4909668,-0.246,0.370
30003013033000,-13.0794780,16.0070801,-0.632,0.366
30003030103120,-14.1472288,15.0402832,-0.574,0.376
30003030033332,-14.5942153,14.7326660,-0.486,0.366
30003201100303,-16.7519476,13.4802246,-0.442,0.353
30003003331312,-13.6993616,14.0295410,-0.175,0.371
30003012231102,-13.6139558,14.6887207,-0.284,0.397
30003211002223,-16.9622326,15.5017090,-0.413,0.351
30003012123023,-13.1436775,14.9743652,-0.536,0.371
30001231023223,-9.0912484,15.6774902,-0.619,0.524
30001322223131,-11.0598206,17.2155762,-0.542,0.369
30003211001030,-16.6888167,15.6994629,-0.689,0.351
30003010321310,-12.3078021,15.0842285,-0.468,0.359
30003021112131,-14.1472288,13.8757324,-0.932,0.368
30003210102031,-16.8571194,14.8425293,0.111,0.348
30003012303200,-13.5071552,14.9523926,-0.619,0.366
30003010221031,-12.2648633,14.3151855,-0.743,0.363
30003021310011,-14.6154780,13.7878418,-0.567,0.370
30003010200123,-11.9426009,14.1833496,-0.608,0.364
30003210113000,-16.8150577,15.3039551,-0.495,0.345
30001230221121,-9.5032437,14.3591309,-0.307,0.495
30003030302110,-14.7855051,14.9084473,-0.874,0.376
30001221312123,-9.3515125,13.8317871,-0.429,0.395
30001023003230,-4.5326183,12.8869629,-0.632,0.357
30003100210232,-12.0285754,17.2814941,-0.375,0.369
30003021331002,-14.9766264,13.8977051,-0.561,0.364
30003010032221,-11.8350943,14.4470215,-0.722,0.377
30003030122211,-14.5304150,14.8425293,-0.254,0.369
30003012302201,-13.5071552,14.7985840,-0.319,0.369
30003010020332,-11.6845141,14.2053223,-0.663,0.371
30001212221232,-8.2223637,14.2932129,-0.011,0.377
30003010022330,-11.8350943,14.2053223,-0.450,0.361
30003032321310,-16.3939308,15.0842285,-0.853,0.353
30001210020122,-6.0422360,14.1613770,-0.100,0.441
30003201111303,-16.7519476,14.0075684,-0.730,0.339
30003210132033,-17.2142640,15.1940918,-0.654,0.346
30003010130310,-11.6199546,15.2600098,-0.517,0.362
30003100203002,-12.0715524,17.0617676,-0.793,0.371
30003030212200,-14.8704688,14.4250488,-0.779,0.372
30003011310111,-11.8781020,16.6882324,-0.625,0.379
30003003322231,-13.8914108,13.4362793,-0.775,0.371
30001212131120,-7.4169421,15.3918457,0.110,0.373
30001213201111,-7.7218784,15.8093262,-0.103,0.355
30003003111210,-12.6510579,13.9416504,-0.424,0.360
30003003311322,-13.4003068,13.9855957,-0.937,0.369
30003021312212,-14.8917045,13.7658691,-0.581,0.366
30003210130233,-17.1302914,15.1940918,-0.420,0.347
30001210122132,-6.2170122,14.9084473,-0.328,0.348
30003112220023,-13.6566625,19.7204590,-0.485,0.365
30001213100232,-7.1772006,16.2268066,-0.217,0.354
30001232003021,-10.0229482,14.2712402,-0.713,0.367
30003030121121,-14.3176146,15.0622559,-0.472,0.372
30003013223310,-13.8487469,15.7873535,-0.308,0.364
30001210120101,-5.9766803,14.8864746,-0.113,0.357
30003033233223,-16.6256648,16.0290527,-0.361,0.348
30003210123023,-17.2142640,14.9743652,-0.192,0.342
30001230102202,-8.7004990,14.7766113,-0.214,0.381
30001210330212,-6.7846256,15.1721191,-0.494,0.357
30003030211301,-14.7005081,14.7106934,-0.436,0.368
30001213121223,-7.5258726,16.3806152,-0.287,0.362
30001330110022,-8.4832384,20.7531738,-0.200,0.371
30003021020330,-14.4027591,12.7990723,-0.575,0.364
30003011102010,-11.3615678,16.2268066,-0.513,0.488
30003013021210,-12.9938527,15.6994629,-0.517,0.372
30003003131033,-12.9724418,13.9636230,-0.027,0.364
30001232222303,-11.1245072,14.1833496,-0.555,0.365
30003023311132,-16.0352546,14.0295410,-0.025,0.346
30003100033203,-11.8135879,17.4353027,-0.511,0.371
30003011112320,-11.4907908,16.6223145,-0.294,0.373
30003030101320,-14.0619878,15.0402832,-0.402,0.372
30001201223202,-6.9591440,12.8430176,0.194,0.509
30003010301011,-11.8781020,15.0183105,-0.105,0.358
30001330013022,-8.6570568,20.2258301,-0.337,0.359
30003011112121,-11.4046486,16.6442871,-0.180,0.373
30003013121300,-12.9938527,16.4465332,-0.604,0.366
30003030010030,-13.9767151,14.4689941,-0.774,0.366
30001232311003,-10.5202184,15.3259277,-0.422,0.366
30001323120033,-10.2176252,19.0612793,-0.550,0.372
30003100213221,-12.1789647,17.4353027,0.031,0.377
30003030303132,-14.8492310,15.0842285,-0.897,0.379
30003030202020,-14.8279911,14.0734863,-0.052,0.373
30003211033123,-17.2142640,16.1169434,-0.707,0.343
30003010133313,-11.8135879,15.4577637,-0.491,0.395
30001322031333,-10.3041101,17.5671387,-0.035,0.384
30003210123311,-17.2352512,15.1062012,-0.330,0.349
30003211032003,-17.1722825,15.8532715,-1.100,0.344
30003010222232,-12.5438394,14.1174316,-0.790,0.370
30001221300031,-9.1563324,13.4362793,-0.128,0.412
30001221310202,-9.2214045,13.7219238,0.019,0.454
30003211002200,-16.8991717,15.4797363,-0.428,0.350
30003011101321,-11.3184804,16.4685059,-0.432,0.366
30003012212002,-13.4430519,14.4250488,0.008,0.369
30003010310001,-11.8781020,15.1501465,-0.386,0.360
30001230312021,-9.3298312,15.1501465,-0.464,0.405
30001231300131,-9.1563324,16.3366699,-0.179,0.401
30012000003331,-11.4907908,22.8405762,-0.229,0.357
30003013022030,-13.1222796,15.5236816,-0.358,0.370
30001330233323,-9.7848511,20.3356934,-0.599,0.385
30001212202312,-8.0048367,14.2053223,-0.405,0.373
30003010202331,-12.1789647,14.2272949,-0.365,0.365
30003211210102,-17.3401514,15.9191895,-1.020,0.364
30003013200231,-13.3789314,15.5456543,-0.447,0.380
30003131322111,-15.1251586,21.9616699,-0.442,0.363
30003030013221,-14.2324377,14.6228027,-0.585,0.370
30003211000222,-16.7940233,15.4797363,-0.602,0.347
30001210200100,-6.3262180,14.1613770,-0.364,0.378
30003012201000,-13.2506393,14.2492676,-0.748,0.368
30001212130303,-7.4823037,15.2380371,-0.035,0.360
30003032333302,-16.5835521,15.3918457,-0.930,0.358
30003001313233,-12.2004420,13.9636230,-0.397,0.360
30001230230331,-9.5899171,14.5788574,0.198,0.383
30003020110330,-14.0619878,12.4475098,-0.399,0.376
30003013122112,-13.1008797,16.3146973,-0.546,0.369
30001211210221,-6.4572344,15.8532715,-0.455,0.353
30003211023131,-17.1932744,15.8093262,-0.274,0.370
30001231202210,-9.3731925,15.5236816,-0.313,0.429
30003013221012,-13.6139558,15.6994629,-0.651,0.368
30001230002123,-8.6570568,14.1833496,-0.691,0.370
30003021302302,-14.8917045,13.4582520,0.542,0.529
30003010232102,-12.4151184,14.5129395,-0.358,0.366
30003021311310,-14.7005081,14.0295410,-0.629,0.377
30003010012130,-11.4046486,14.5568848,-0.729,0.373
30001330323123,-9.6982277,20.6872559,-0.375,0.372
30001213213200,-7.9830776,16.0070801,-0.421,0.354
30001322203023,-10.7361753,17.0837402,-0.328,0.367
30003013011002,-12.5867322,16.0070801,-0.483,0.363
30003210111010,-16.6467178,15.3479004,-0.907,0.352
30001212123120,-7.5912178,15.0402832,0.890,0.552
30001232231011,-10.8440961,14.6667480,-0.044,0.412
30001232303111,-10.6714043,15.1062012,0.362,0.380
30003012323223,-13.9127399,14.9743652,-0.569,0.367
30001231210210,-9.1997151,15.8752441,-0.483,0.385
30003010331031,-12.2648633,15.3698730,-0.336,0.362
30001330223202,-9.7415422,19.8742676,-0.790,0.378
30003100312200,-12.1360050,17.9406738,-0.493,0.366
30003021330330,-15.0827314,13.8537598,-0.838,0.367
30003021231011,-14.9553991,13.2604980,-0.674,0.362
30001323010030,-9.8498038,18.6877441,0.203,0.382
30003011213011,-12.0500648,16.0729980,-0.209,0.365
30001232230111,-10.8440961,14.5788574,-0.325,0.398
30003033231312,-16.4150090,16.1389160,-0.363,0.344
30003012002002,-12.7582314,14.0734863,-0.748,0.361
30003100220331,-12.3507339,17.0397949,-0.492,0.371
30003032120200,-15.7182383,14.7766113,-0.432,0.354
30001221121133,-8.8307950,13.6999512,-0.892,0.383
30003001331012,-12.2433913,13.9416504,-0.446,0.358
30003030213322,-14.9341696,14.6887207,-0.771,0.365
30003012021202,-13.0152618,14.2492676,-0.636,0.471
30003013000123,-12.6296178,15.5895996,-0.099,0.369
30003030013103,-14.1259215,14.7106934,-0.540,0.368
30003100023030,-11.7490585,17.1057129,-0.149,0.364
30003003132301,-13.1650736,13.8317871,-0.802,0.376
30003110031022,-11.5984314,20.2258301,-0.622,0.377
30003010131130,-11.5769066,15.4357910,-0.389,0.362
30003030211032,-14.6792536,14.6447754,-0.444,0.365
30003032002021,-15.5066188,14.0954590,-0.727,0.349
30003021321302,-15.0615146,13.6340332,-0.611,0.423
30003120213113,-14.8067491,17.5671387,-0.677,0.375
30003211030201,-17.0672871,15.8532715,-0.955,0.365
