quadkey,latitude,longitude,rwi,error
21032130010323,-34.4431582,-58.5900879,1.150,0.452
21032122000123,-35.5232847,-61.7541504,-0.415,0.410
21032123111002,-35.4875105,-59.2272949,-0.252,0.409
21030300312131,-27.8876388,-60.6555176,-0.805,0.397
21032313000332,-37.8488320,-57.5134277,0.792,0.458
21030332220223,-31.7935547,-59.0295410,-0.020,0.420
21030323212131,-31.5504522,-59.9523926,-0.076,0.422
21030212131220,-28.7387635,-63.4460449,-0.372,0.437
21032110100232,-32.0918821,-58.3044434,-0.310,0.384
21032130010311,-34.3887788,-58.5461426,0.177,0.486
21030233233102,-31.8308986,-62.6550293,-0.053,0.382
21032213320321,-38.6597772,-62.4572754,0.036,0.362
21030023322321,-27.0297703,-65.2697754,-0.282,0.520
21030322001203,-30.8550788,-61.6662598,-0.820,0.407
21032102200132,-33.7882780,-61.7321777,0.048,0.453
21030203033031,-28.8157994,-65.4895020,0.513,0.543
21030300123312,-27.6348734,-60.8532715,0.194,0.483
21030201031023,-27.4400400,-65.5334473,-0.155,0.486
21032100320113,-32.8703597,-61.0070801,0.013,0.444
21030032030010,-26.1258498,-64.2810059,-0.313,0.500
21021333201231,-31.4755236,-68.6535645,0.287,0.472
21030233202333,-31.6440285,-63.1164551,-0.642,0.474
21030312002002,-28.4880048,-59.0515137,0.162,0.490
21030203003111,-28.4686909,-65.7531738,1.135,0.523
21023111223011,-32.9994495,-68.6535645,0.471,0.460
21021333210203,-31.4567820,-68.5217285,0.781,0.486
21032031022033,-34.8047824,-63.2043457,-0.689,0.382
21031200213212,-27.9458858,-55.6677246,-0.068,0.420
21030232033013,-31.2315912,-64.0832520,-0.139,0.472
21030310033133,-27.5959343,-58.3703613,-0.491,0.459
21030021211301,-25.2546322,-65.4455566,-0.031,0.552
21030232013102,-30.9305004,-64.0612793,-0.153,0.487
21030232021012,-31.0811650,-64.4567871,0.091,0.492
21030202233100,-29.3917473,-66.8737793,0.517,0.560
21030322202310,-31.5878940,-61.7321777,0.142,0.399
21021313313313,-29.1809408,-67.5109863,0.250,0.522
21203132101132,-51.6657409,-69.2907715,0.717,0.511
21030303203012,-29.1041762,-60.2380371,0.131,0.453
21032011111010,-31.9614831,-61.9958496,-0.439,0.367
21032103003320,-33.4039307,-60.1940918,0.332,0.471
21032231033312,-39.3257989,-62.6110840,-0.689,0.404
21032033211210,-36.1112520,-62.6989746,-0.433,0.420
21030323232221,-31.9241921,-60.0842285,-0.645,0.404
21032103003033,-33.3488843,-60.2160645,1.214,0.461
21032003023321,-33.6969222,-65.7971191,-0.225,0.356
21032303231333,-38.6769329,-59.7766113,0.874,0.502
21030330023301,-30.0786009,-58.7658691,0.133,0.423
21030330311032,-30.2116078,-57.7770996,0.023,0.346
21030330323202,-30.7040578,-58.1726074,0.000,0.410
21031200310110,-27.6932559,-55.0524902,-0.645,0.389
21032032233323,-36.5890679,-64.0393066,-0.527,0.369
21032102330111,-34.0253472,-60.6555176,0.029,0.406
21203132110002,-51.6384757,-69.2468262,1.085,0.448
21030032103321,-26.0863877,-63.6877441,-0.501,0.467
21032032233130,-36.5008048,-64.0173340,0.023,0.400
21203313230213,-54.0271329,-68.4777832,-0.647,0.384
21030130313210,-25.4135082,-57.7770996,-0.170,0.448
21030230211310,-30.2305941,-64.0173340,-0.031,0.419
21023111221313,-32.9441484,-68.5656738,-0.166,0.430
21030230220003,-30.4770825,-64.6545410,-0.260,0.425
21030023320110,-26.7554205,-65.2478027,0.580,0.533
21023313232010,-38.6940845,-68.4997559,0.595,0.495
21030130032110,-25.0159284,-58.5681152,-0.140,0.444
21032301212112,-37.3264881,-59.9743652,-0.028,0.457
21032013111103,-33.1651449,-61.9299316,-0.247,0.397
21031201010032,-27.1275906,-54.4372559,-0.639,0.362
21030233111010,-30.7607184,-61.9958496,-0.301,0.448
21032100210321,-32.6671243,-61.4025879,-0.202,0.374
21030323032213,-31.3067147,-60.0402832,-0.605,0.400
21030322030211,-31.1376028,-61.4465332,0.176,0.555
21030123223313,-27.0101960,-60.1281738,-0.579,0.400
21032101312011,-32.7041107,-59.3371582,-0.662,0.404
21030223123332,-31.3442540,-65.0720215,0.219,0.518
