quadkey,latitude,longitude,rwi,error
30010121122200,-3.4366581,30.2453613,-0.062,0.277
30010121020021,-3.2173020,29.5642090,0.392,0.301
30010103322332,-2.8003980,30.3771973,-0.137,0.249
30010121201130,-3.5682478,29.8498535,0.022,0.253
30010120110103,-2.8442900,29.3005371,-0.013,0.243
30010121032032,-3.4147247,29.9377441,0.632,0.495
30010121011233,-2.9759559,30.1354980,-0.155,0.249
30010103321021,-2.5150610,30.4431152,-0.384,0.254
30010123010110,-4.2258996,30.0256348,0.060,0.251
30010103230312,-2.5809138,30.0256348,0.345,0.245
30010120111113,-2.8442900,29.5202637,-0.468,0.247
30010121103320,-3.1295462,30.5090332,0.042,0.252
30010120131000,-3.1734250,29.3664551,0.036,0.261
30010120311021,-3.5682478,29.3884277,-0.235,0.281
30010123010022,-4.2916356,29.8937988,0.054,0.259
30010121102033,-3.0637244,30.3112793,-0.189,0.258
30010121012012,-3.0198411,29.9377441,0.285,0.295
30010121231202,-3.9848207,30.0695801,0.137,0.258
30010103231020,-2.5150610,30.0695801,-0.104,0.260
30010121202230,-3.8313699,29.5861816,0.035,0.262
30010103231321,-2.6028640,30.1794434,-0.224,0.242
30010121300203,-3.6340356,30.2673340,-0.369,0.254
30010120111110,-2.8223442,29.4982910,-0.340,0.247
30010120111322,-2.9759559,29.4543457,-0.382,0.252
30010103232112,-2.6687122,30.0256348,-0.231,0.266
30010121030202,-3.2831139,29.8937988,-0.272,0.257
30010103233013,-2.6687122,30.1354980,0.193,0.255
30010103231111,-2.4711573,30.2233887,-0.295,0.239
30010121000022,-2.8881803,29.5422363,-0.279,0.245
30010121213032,-3.7655967,30.1135254,-0.269,0.257
30010103303220,-2.4272521,30.4211426,0.066,0.242
30010121202101,-3.6998186,29.6520996,-0.287,0.259
30010121203021,-3.7436712,29.7399902,-0.528,0.261
30010103230030,-2.5150610,29.9377441,-0.203,0.255
30010103322030,-2.6906608,30.2893066,0.093,0.245
30010120110121,-2.8662354,29.3005371,-0.359,0.253
30010121023321,-3.4805234,29.8278809,-0.086,0.262
30010121212121,-3.7436712,30.0036621,-0.076,0.257
30010121221200,-3.9629009,29.7180176,0.394,0.285
30010120313010,-3.6998186,29.4104004,-0.064,0.267
30010121222311,-4.1382430,29.6960449,0.020,0.271
30010121030301,-3.2611771,30.0036621,-0.193,0.363
30010121012321,-3.1295462,30.0036621,0.705,0.284
30010121021220,-3.3050503,29.7180176,0.258,0.258
30010121231303,-3.9848207,30.1794434,0.209,0.254
30010121001113,-2.8442900,29.8718262,-0.131,0.285
30010102321322,-2.6248138,29.1027832,-0.361,0.273
30010121203230,-3.8313699,29.7619629,-0.032,0.253
30010121022220,-3.4805234,29.5422363,0.427,0.332
30010123010210,-4.3135463,29.9377441,0.179,0.266
30010121221203,-3.9848207,29.7399902,-0.181,0.258
30010121011103,-2.8442900,30.1794434,-0.113,0.274
30010121120121,-3.2173020,30.3552246,-0.147,0.254
30010103231011,-2.4711573,30.1354980,-0.583,0.240
30010121003332,-3.1514858,29.8498535,-0.190,0.275
30010121212032,-3.7655967,29.9377441,-0.380,0.254
30010121012311,-3.0856655,30.0476074,-0.046,0.249
30010120313000,-3.6998186,29.3664551,0.043,0.269
30010121001200,-2.9101249,29.7180176,0.593,0.298
30010121210030,-3.5682478,29.9377441,0.171,0.256
30010121300113,-3.5463174,30.3991699,-0.277,0.254
30010121102222,-3.1514858,30.2453613,0.426,0.256
30010121232131,-4.0944111,30.0476074,0.070,0.258
30010123000321,-4.3573658,29.6520996,0.026,0.255
30010121222123,-4.1163273,29.6520996,-0.344,0.261
30010103323120,-2.6906608,30.5090332,-0.044,0.241
30010120113001,-2.9978987,29.3884277,-0.576,0.266
30010123001101,-4.2258996,29.8278809,0.324,0.264
30010120313321,-3.8313699,29.4763184,-0.426,0.255
30010121113222,-3.1514858,30.7727051,-0.343,0.249
30010121013122,-3.0637244,30.1574707,0.156,0.285
30010121022130,-3.3927908,29.6740723,0.197,0.259
30010103231303,-2.5809138,30.1794434,-0.141,0.246
30010121213011,-3.6998186,30.1354980,0.370,0.255
30010121023013,-3.3708564,29.7839355,-0.183,0.270
30010103322233,-2.8003980,30.3112793,-0.070,0.257
30010123002131,-4.4449973,29.6960449,-0.148,0.264
30010121001120,-2.8662354,29.8059082,0.078,0.255
30010120113003,-3.0198411,29.3884277,-0.355,0.253
30010121021111,-3.1734250,29.8718262,0.109,0.298
30010121212111,-3.6998186,30.0476074,-0.305,0.253
30010123000032,-4.2916356,29.5861816,-0.103,0.258
30010121020223,-3.3269861,29.5642090,-0.064,0.270
30010103320123,-2.5370123,30.3552246,0.405,0.271
30010121032023,-3.4147247,29.9157715,0.835,0.435
30010121001313,-2.9320690,29.8718262,0.193,0.256
30010120311220,-3.6559638,29.3664551,-0.157,0.258
30010121210032,-3.5901776,29.9377441,-0.165,0.255
30010103212323,-2.4492049,30.0036621,0.475,0.250
30010121022312,-3.4585910,29.6740723,-0.071,0.262
30010121012313,-3.1076060,30.0476074,0.227,0.267
30010121020030,-3.2173020,29.5861816,-0.165,0.250
30010121033230,-3.4805234,30.1135254,-0.012,0.266
30010103233310,-2.7345569,30.2014160,-0.344,0.251
30010103320230,-2.6028640,30.2893066,-0.060,0.242
30010121121302,-3.2831139,30.5090332,-0.304,0.253
30010120113022,-3.0637244,29.3664551,-0.356,0.251
30010121112023,-3.0637244,30.6188965,-0.165,0.267
30010121212323,-3.8532931,30.0036621,0.140,0.257
30010123000301,-4.3135463,29.6520996,-0.374,0.272
30010120331303,-3.9848207,29.4763184,0.118,0.259
30010123001300,-4.3135463,29.8059082,0.020,0.255
30010121230112,-3.8971380,30.0256348,-0.053,0.255
30010121112321,-3.1295462,30.7067871,-0.198,0.253
30010103231302,-2.5809138,30.1574707,0.185,0.259
30010121231322,-4.0286586,30.1574707,0.945,0.361
30010121123013,-3.3708564,30.4870605,-0.290,0.254
30010120113212,-3.1076060,29.4104004,-0.519,0.277
30010121210130,-3.5682478,30.0256348,-0.358,0.256
30010103230321,-2.6028640,30.0036621,0.015,0.263
30010121003221,-3.1295462,29.7399902,-0.186,0.254
30010121223230,-4.1820725,29.7619629,-0.107,0.257
30010121203030,-3.7436712,29.7619629,-0.450,0.264
30010121030333,-3.3269861,30.0476074,-0.317,0.271
30010121031001,-3.1734250,30.0915527,-0.380,0.259
30010121211321,-3.6559638,30.1794434,0.476,0.264
30010121121002,-3.1953637,30.4211426,-0.572,0.270
30010121013300,-3.0856655,30.1574707,0.158,0.303
30010120310333,-3.6778914,29.3444824,-0.368,0.258
30010121022231,-3.4805234,29.6081543,0.297,0.258
