quadkey,latitude,longitude,rwi,error
13220001102123,21.7084727,92.2302246,-0.807,0.405
13202202311013,25.1353386,91.3073730,0.212,0.485
13220001110213,21.8309063,92.5378418,-0.817,0.362
12313313012033,25.5721751,89.0222168,-0.652,0.452
13202220000233,24.3771204,90.0769043,0.282,0.543
12313331213103,23.6948343,89.2419434,0.028,0.550
12313333112033,23.0089639,89.7253418,-0.210,0.518
13202222011113,23.2110579,90.6921387,0.603,0.542
13202220113002,24.3370866,91.2414551,-0.209,0.480
13202220023223,23.8958823,90.2087402,0.451,0.567
13202202213332,24.8565339,90.6701660,0.335,0.504
12313331203010,23.7149531,88.8244629,-0.145,0.498
12313333101013,23.2110579,89.5495605,-0.623,0.501
13202220303022,23.6545875,90.8898926,0.148,0.532
12313333032013,22.7255234,89.0222168,-0.444,0.513
12313331033320,23.9159700,89.2199707,-0.032,0.544
13202203231122,24.7767595,92.0324707,0.026,0.504
13202202320200,24.7568079,90.7141113,0.124,0.531
13202220031212,24.0966182,90.5822754,0.337,0.529
13202202230230,24.7168951,90.4064941,0.927,0.542
13220001101020,21.8920839,92.2961426,-0.530,0.394
12313331112222,24.2169091,89.6594238,0.480,0.552
12313331320322,23.4128467,89.3957520,0.164,0.500
12313313332102,24.6570018,89.7473145,-0.258,0.428
12313333122303,22.6444321,89.4177246,0.550,0.533
13202220011032,24.4571501,90.5822754,-0.404,0.511
12313313103213,25.5325281,89.5495605,-0.141,0.497
13202202311313,25.0557447,91.3952637,0.600,0.533
12313331102202,24.2569809,89.3078613,-0.250,0.503
12313312313120,24.9561796,88.5168457,-0.263,0.432
13202222112302,22.9685086,91.1535645,0.255,0.555
12313311223122,25.8888782,88.8684082,0.219,0.555
13202222203230,22.2992611,90.2307129,-0.430,0.494
12313331033220,23.9159700,89.1320801,1.475,0.530
12313333033010,22.7457888,89.1760254,-0.208,0.511
13202220131132,24.1367278,91.3732910,-0.292,0.504
12313331201203,23.7752908,88.8024902,0.179,0.498
12313313120201,25.3936601,89.3298340,-0.397,0.490
13202203232213,24.5770993,91.8347168,-0.086,0.488
12313313100220,25.6712354,89.3078613,-0.106,0.534
12313313303210,24.9163310,89.5275879,-0.458,0.490
12313331110111,24.5171391,89.8132324,-0.408,0.458
13202220033230,23.9159700,90.5822754,0.309,0.565
13202222213232,22.2789302,90.5822754,-0.507,0.498
13202220312013,23.6948343,91.1315918,-0.021,0.538
13202202312032,24.9362569,91.1096191,-0.242,0.445
12313331210312,23.7752908,89.0881348,-0.154,0.506
13202203230010,24.8365952,91.8127441,0.338,0.504
12313313001211,25.7108365,88.8464355,-0.129,0.453
13202220023200,23.9561359,90.1867676,0.247,0.536
13202223300230,22.4618017,92.1643066,-0.427,0.427
13202202212201,24.9163310,90.3845215,0.117,0.511
13220001103211,21.6880569,92.3620605,-0.520,0.416
13202222203001,22.4211843,90.2087402,-0.327,0.492
12313331203003,23.6948343,88.8024902,0.321,0.510
13202220112111,24.3571051,91.2194824,-0.095,0.533
12313312313210,24.9163310,88.4729004,-0.045,0.448
13202222213310,22.3399141,90.6701660,-0.059,0.524
12313313033210,25.2347581,89.1760254,-0.431,0.409
12313310313013,26.2441559,88.4948730,-0.681,0.458
13202203211213,25.0557447,92.0104980,-0.169,0.480
13202222001200,23.1504616,90.1867676,0.219,0.529
13202220101023,24.4571501,90.9118652,0.099,0.492
12313311322330,25.8295607,89.4396973,0.040,0.482
12313331301011,23.8757915,89.5495605,-0.441,0.513
12313313311000,25.1552290,89.8352051,-0.263,0.434
12313313033230,25.1950000,89.1760254,-0.301,0.494
12313313331013,24.8166532,89.9011230,0.172,0.493
13202221021130,24.1567778,91.7248535,-0.259,0.423
13202223211303,22.4821059,92.0544434,-0.173,0.536
12313331101013,24.4971459,89.5495605,-0.175,0.506
12313313001122,25.7306321,88.8684082,-0.327,0.475
12313313332321,24.5571158,89.7692871,-0.541,0.601
12313331112201,24.2770121,89.6813965,0.861,0.579
12313313231230,24.7168951,89.1760254,-0.335,0.472
12313331123223,23.8958823,89.5056152,-0.146,0.498
13202203210210,25.0756480,91.8127441,-0.218,0.433
13202223010212,23.1302568,91.8127441,-0.436,0.461
13202203221002,24.8166532,91.5930176,-0.296,0.506
12313313000301,25.7108365,88.7145996,0.171,0.475
12313313231211,24.7568079,89.1979980,0.065,0.439
12313312313003,24.9760991,88.4509277,-0.669,0.426
13202222133202,22.6444321,91.2414551,0.151,0.534
13202220330011,23.5539161,91.1315918,0.318,0.552
13202223002112,23.0494070,91.5490723,-0.357,0.387
12313313133320,25.1950000,89.9230957,0.010,0.464
12313333123000,22.7457888,89.4836426,-0.062,0.517
12313333120313,22.8065667,89.4616699,0.314,0.525
12313331212111,23.7149531,89.1101074,-0.529,0.492
12313331312010,23.7149531,89.7033691,0.163,0.540
12313331033300,23.9561359,89.2199707,-0.191,0.504
12313313012012,25.6118091,89.0002441,-0.444,0.496
