quadkey,latitude,longitude,rwi,error
03220023020132,17.5707203,-88.4509277,0.089,0.418
03220023002332,17.6544909,-88.4509277,-0.565,0.340
03220021202301,18.3858046,-88.4729004,0.015,0.437
03220023203223,16.9832482,-88.3850098,0.196,0.409
03220022301223,17.1512882,-89.0881348,1.016,0.484
03220200121221,16.1619207,-89.0881348,-0.038,0.366
03220023001303,17.8637468,-88.2971191,-0.524,0.419
03220021220301,18.2189158,-88.4729004,-0.225,0.460
03220022311021,17.2562360,-88.7365723,-0.262,0.430
03220023021011,17.6335519,-88.3410645,-0.572,0.451
03220022301300,17.2142640,-89.0222168,0.065,0.455
03220022101130,17.9264757,-88.9782715,0.114,0.459
03220023023001,17.4659524,-88.3850098,0.539,0.441
03220022303233,16.9832482,-89.0441895,-0.370,0.436
03220022110200,17.8846589,-88.9343262,0.547,0.448
03220022301120,17.2562360,-89.0222168,0.432,0.463
03220200121232,16.1408153,-89.0661621,-0.614,0.351
03220023021012,17.6126105,-88.3630371,0.377,0.445
03220023203220,17.0042615,-88.4069824,0.285,0.444
03220200121111,16.2885057,-88.9562988,-0.719,0.446
03220023030202,17.5288204,-88.2312012,0.581,0.451
03220200122100,16.1197076,-89.1979980,-0.488,0.357
03220021221120,18.2606530,-88.3190918,-0.394,0.369
03220023021033,17.5707203,-88.3410645,0.507,0.456
03220021220010,18.3023803,-88.5388184,0.269,0.424
03220023203320,17.0042615,-88.3190918,0.142,0.450
03220023222320,16.6677684,-88.4948730,-0.461,0.350
03220023033200,17.3820946,-88.0554199,-0.389,0.356
03220022113021,17.7591494,-88.7365723,-0.445,0.342
03220023203222,16.9832482,-88.4069824,-0.321,0.443
03220021221321,18.1771685,-88.2971191,-0.335,0.368
03220023001323,17.8219152,-88.2971191,-0.445,0.406
03220021221200,18.2189158,-88.4069824,0.519,0.456
03220021220110,18.3023803,-88.4509277,0.584,0.477
03220201000331,16.4992989,-88.4289551,-0.108,0.418
03220021203031,18.4275017,-88.3410645,-0.353,0.445
03220021202312,18.3649523,-88.4509277,-0.028,0.436
