quadkey,latitude,longitude,rwi,error
21012211200020,-17.3611242,-63.2702637,0.503,0.536
21012200130120,-17.0252724,-66.3464355,0.163,0.430
21012203302300,-18.9062862,-65.2917480,-0.209,0.384
21012203003013,-18.1771685,-65.8410645,-0.823,0.406
21012211020213,-17.0882909,-63.2043457,-0.622,0.404
21012201011030,-16.6888167,-65.5114746,-0.731,0.409
21012200100303,-16.7519476,-66.6760254,-0.563,0.396
21012211031123,-17.0462809,-62.6330566,-0.567,0.454
21012022322000,-16.4782298,-66.7858887,-0.855,0.415
21012203323031,-19.1970531,-65.1379395,-0.303,0.473
21012022222232,-16.6256648,-67.4450684,-0.423,0.407
21012212103222,-18.3023803,-63.7976074,-0.764,0.400
21012302000020,-18.0309744,-61.8640137,-1.178,0.364
21012223110312,-20.7458399,-64.8962402,-0.093,0.460
21012223112130,-20.8485448,-64.8962402,-0.669,0.380
21012212013222,-18.3023803,-64.1491699,0.564,0.529
21003311003313,-16.9201944,-68.5656738,-0.080,0.508
21003133203110,-16.1408153,-68.5876465,-0.299,0.406
21003133322132,-16.5414301,-68.0603027,1.332,0.488
21030001100321,-22.0754590,-65.2697754,-0.497,0.365
21003132130113,-15.6547754,-69.0930176,-0.413,0.419
21012200123330,-17.2772184,-66.4782715,-0.004,0.454
21003132130002,-15.6547754,-69.2468262,0.065,0.389
21012203202200,-18.9062862,-66.0827637,-0.726,0.399
21010223221301,-10.9304048,-65.7971191,-0.572,0.404
21012203300003,-18.6774709,-65.3576660,-0.988,0.400
21003133231020,-16.3517676,-68.3679199,0.031,0.490
21012210020222,-17.1302914,-64.6765137,0.060,0.550
21012200310301,-17.4030627,-66.3244629,1.211,0.540
21012211020111,-16.9832482,-63.1164551,-0.088,0.410
21012210312321,-17.6126105,-63.5119629,0.046,0.410
21012232210132,-21.3610128,-64.1931152,-0.614,0.379
21003132313022,-16.2041247,-69.0710449,-0.305,0.465
21012202131213,-18.4275017,-66.1926270,-0.126,0.402
21012211223033,-17.8846589,-63.0285645,0.886,0.518
21012033320102,-16.3306825,-62.4792480,-0.875,0.383
21012210021112,-17.0042615,-64.3688965,-0.698,0.388
21012211222201,-17.9055685,-63.2482910,0.681,0.492
21012223011221,-20.7663865,-65.5334473,-0.546,0.382
21012303121322,-18.4691886,-59.4909668,-0.394,0.403
21012210300221,-17.4449916,-63.9514160,-0.361,0.428
21012212230202,-19.0932663,-64.3249512,-0.683,0.409
21012221011202,-19.4251534,-65.5554199,-0.315,0.394
21012232133220,-21.2586610,-63.4460449,1.063,0.568
21012203311012,-18.6774709,-64.8083496,-0.331,0.389
21012232202201,-21.5450657,-64.6545410,-0.132,0.478
21012221121122,-19.7149999,-65.1159668,0.131,0.380
21012202101232,-18.1354112,-66.5661621,-0.251,0.382
21012201320113,-17.6754275,-65.2258301,-0.592,0.488
21012200301203,-17.4240283,-66.5881348,-0.625,0.433
21003133131232,-15.7816814,-67.6208496,0.030,0.404
21012211212300,-17.5707203,-62.8308105,-0.371,0.438
21012020233023,-15.1887835,-66.9396973,-1.153,0.409
21012201203030,-17.5288204,-65.8630371,0.533,0.542
21012211213101,-17.4869108,-62.6330566,-0.444,0.481
21003311012202,-16.9201944,-68.5437012,-0.242,0.436
21012201131121,-17.0252724,-64.7424316,-0.421,0.493
21012221102320,-19.6115432,-65.2917480,-0.519,0.445
21012203110321,-18.1145288,-64.9182129,0.433,0.565
21003133223210,-16.5624922,-68.6755371,0.485,0.526
21012203331011,-18.9894144,-64.7863770,-0.209,0.386
21012020120023,-14.3389038,-66.7639160,-0.478,0.390
21012211022221,-17.2772184,-63.2482910,0.272,0.476
21012201221021,-17.6963617,-65.8850098,-0.559,0.448
21012203110032,-18.0518668,-64.9841309,-0.318,0.422
21012200213112,-17.5078668,-66.8298340,-0.523,0.403
21012030322122,-15.1887835,-63.8854980,-0.415,0.405
