quadkey,latitude,longitude,rwi,error
13202022201233,27.5374999,90.2526855,-0.508,0.418
13202022331020,27.3229745,91.2414551,-0.423,0.396
13202201001203,26.9514527,91.6149902,-0.121,0.374
13202022222020,27.1666948,90.0109863,-0.517,0.359
12313311013210,26.8142658,89.1760254,0.187,0.501
13202023220000,27.3620101,91.4172363,-0.561,0.352
13202023203222,27.3815228,91.5930176,-0.018,0.424
13202023203202,27.4205377,91.5930176,-0.218,0.368
12313133213330,27.4010320,89.2639160,-0.224,0.417
12313133331121,27.3229745,89.9450684,0.095,0.492
13202200111130,27.0101960,91.3732910,0.261,0.411
13202200110002,27.0297703,91.0656738,-0.618,0.340
12313311010320,26.9318647,89.0441895,0.222,0.485
13202022311002,27.6543377,91.2414551,-0.651,0.469
13202022322202,27.1080334,90.7141113,0.102,0.428
12313133300223,27.5374999,89.3298340,-0.391,0.406
13202023223213,27.1080334,91.6589355,-0.331,0.335
13202022310231,27.5569815,91.1315918,0.208,0.420
13202023222213,27.1080334,91.4831543,0.445,0.394
13202022311020,27.6348734,91.2414551,-0.366,0.340
13202200111133,26.9906183,91.3952637,0.454,0.412
12313133331013,27.3424940,89.9011230,0.329,0.456
13202201000001,27.0493412,91.4392090,-0.324,0.421
13202022202011,27.5180148,90.0769043,0.125,0.411
12313311013132,26.8338741,89.2639160,-0.663,0.397
13202023222210,27.1275906,91.4611816,0.339,0.397
12313133303321,27.4010320,89.5935059,0.414,0.430
13202200113022,26.8338741,91.2414551,0.394,0.499
13202200100130,27.0101960,90.8459473,-0.056,0.340
12313133323133,27.1471444,89.6374512,-0.735,0.408
13202022231003,27.3424940,90.5603027,-0.272,0.485
12313311101202,26.9514527,89.4836426,-0.592,0.364
12313311111103,27.0297703,89.9450684,-0.471,0.443
12313133312111,27.5180148,89.8132324,0.178,0.443
12313133233203,27.1080334,89.1540527,-0.392,0.453
13202022311201,27.5959343,91.2634277,-0.622,0.370
12313133310121,27.6348734,89.7692871,-0.638,0.402
12313133323230,27.0884727,89.5275879,0.724,0.461
12313133232232,27.0689087,89.0002441,-0.195,0.340
13202200100102,27.0297703,90.8020020,-0.393,0.408
12313133321210,27.2839252,89.5275879,-0.088,0.423
13202023222333,27.0689087,91.5710449,-0.634,0.358
13202022210302,27.5764596,90.4504395,-0.106,0.428
13202200112030,26.8534790,91.1096191,0.328,0.441
13202200111132,26.9906183,91.3732910,0.228,0.383
13202022222223,27.0689087,90.0329590,0.148,0.376
12313133231313,27.2643953,89.2858887,-0.029,0.353
13202023222223,27.0689087,91.4392090,-0.204,0.401
13202022333311,27.1275906,91.3952637,-0.503,0.375
13202023220213,27.2643953,91.4831543,0.171,0.409
13202200112031,26.8534790,91.1315918,-0.101,0.451
13202201002103,26.8730805,91.5270996,-0.094,0.411
12313311001133,26.9906183,88.9343262,0.279,0.456
13202022322023,27.1471444,90.7360840,-0.502,0.414
13202023202132,27.4595389,91.5490723,0.177,0.444
13202022201330,27.5569815,90.3186035,-0.734,0.403
13202022331113,27.3424940,91.3952637,-0.087,0.400
13202022202002,27.4985263,90.0109863,-0.243,0.445
12313311110302,26.9514527,89.7473145,-0.627,0.341
13202023223302,27.1080334,91.6809082,-0.819,0.336
13202022310311,27.5959343,91.2194824,0.057,0.426
13202201002102,26.8730805,91.5051270,-0.156,0.435
13202022212312,27.4205377,90.4943848,-0.180,0.450
12313311100100,27.0493412,89.3957520,-0.302,0.464
12313311112212,26.7946541,89.7033691,-0.557,0.349
13202023202312,27.4205377,91.5490723,0.192,0.423
13202023222332,27.0689087,91.5490723,0.029,0.452
13202022312302,27.4205377,91.1535645,-0.276,0.359
13202200001232,26.9122734,90.2307129,-0.077,0.406
13202200010332,26.9122734,90.4943848,-0.048,0.485
13202200003130,26.8534790,90.3186035,-0.492,0.395
13202200112133,26.8338741,91.2194824,-0.889,0.437
13202023220230,27.2448621,91.4611816,-0.377,0.427
12313311010120,27.0101960,89.0441895,-0.437,0.365
12313311101230,26.9318647,89.5275879,0.558,0.493
12313133310333,27.5374999,89.8132324,0.382,0.405
12313311011211,26.9710372,89.1979980,0.043,0.441
12313311010023,26.9906183,88.9782715,-0.276,0.390
12313133302002,27.4985263,89.3078613,-0.449,0.420
13202201000121,27.0101960,91.5270996,0.215,0.427
13202022212110,27.5180148,90.4943848,-0.140,0.418
13202022223222,27.0689087,90.1867676,-0.620,0.376
13202023221023,27.3034516,91.6149902,-0.166,0.392
12313133132211,27.7516073,89.7253418,-0.756,0.373
13202023220223,27.2253254,91.4392090,-0.241,0.368
13202023220323,27.2253254,91.5270996,-0.599,0.400
13202201002130,26.8534790,91.5490723,-0.497,0.439
12313133313230,27.4010320,89.8791504,-0.126,0.451
13202200000230,26.9318647,90.0549316,-0.723,0.388
12313311011110,27.0493412,89.2639160,-0.470,0.454
13202023222303,27.1080334,91.5270996,-0.017,0.417
12313311011333,26.9122734,89.2858887,-0.478,0.395
12313133303133,27.4595389,89.6374512,1.381,0.495
13202023221102,27.3424940,91.6809082,0.230,0.424
13202022203022,27.4595389,90.1867676,-0.346,0.411
13202201011012,27.0297703,91.9885254,-0.170,0.336
13202023202331,27.4010320,91.5710449,-0.067,0.415
13202200113010,26.8926787,91.2854004,-0.419,0.362
12313311131002,26.7161733,89.8352051,-0.507,0.430
12313133311301,27.5959343,89.9450684,-0.389,0.418
13202201003101,26.8926787,91.7028809,0.967,0.518
12313311103201,26.8142658,89.5056152,-0.591,0.372
13202023220123,27.3034516,91.5270996,0.496,0.439
12313133323213,27.1080334,89.5495605,-0.170,0.424
12313133333200,27.1275906,89.8352051,-0.399,0.366
12313311102120,26.8534790,89.3957520,0.944,0.497
13202022323210,27.1275906,90.9338379,-0.469,0.371
12313311011213,26.9514527,89.1979980,0.005,0.406
13202022312102,27.4985263,91.1535645,0.060,0.369
12313311100332,26.9122734,89.4396973,-0.054,0.432
12313311100101,27.0493412,89.4177246,-0.434,0.435
12313133321002,27.3424940,89.4836426,-0.439,0.394
12313133333230,27.0884727,89.8791504,-0.290,0.409
13202022310303,27.5764596,91.1755371,-0.185,0.382
13202022310312,27.5764596,91.1975098,-0.307,0.403
13202200003003,26.8730805,90.2087402,-0.046,0.403
13202200110112,27.0297703,91.1975098,0.092,0.461
13202023223212,27.1080334,91.6369629,-0.075,0.359
13202022200333,27.5374999,90.1647949,0.164,0.416
13202023220310,27.2839252,91.5490723,0.192,0.429
13202200100121,27.0101960,90.8239746,-0.267,0.419
13202022303013,27.4985263,90.9558105,-0.415,0.383
12313133321103,27.3424940,89.5935059,-0.204,0.518
12313311100321,26.9318647,89.4177246,-0.289,0.435
13202023203220,27.4010320,91.5930176,-0.238,0.404
12313311112220,26.7750390,89.6594238,0.298,0.357
13202022312323,27.3815228,91.1755371,-0.435,0.374
13202023220200,27.2839252,91.4172363,-0.185,0.410
12313311010322,26.9122734,89.0441895,0.143,0.456
13202022300000,27.6737985,90.7141113,-0.597,0.387
12313133302032,27.4595389,89.3518066,0.588,0.460
13202022300221,27.5569815,90.7360840,0.923,0.477
13202201000003,27.0297703,91.4392090,0.322,0.435
13202022200312,27.5764596,90.1428223,-0.446,0.339
13202022212331,27.4010320,90.5163574,0.464,0.505
12313133320323,27.2253254,89.4177246,-0.513,0.440
13202022322120,27.1666948,90.8020020,-0.096,0.486
12313311010200,26.9710372,88.9562988,-0.147,0.425
13202200000213,26.9514527,90.0769043,0.049,0.390
12313311011121,27.0101960,89.2419434,-0.685,0.417
13202201000012,27.0297703,91.4611816,0.087,0.428
13202022200210,27.5959343,90.0549316,-0.192,0.484
12313311100203,26.9514527,89.3298340,-0.384,0.423
13202022203011,27.5180148,90.2526855,0.048,0.420
12313311111233,26.9122734,89.9011230,0.421,0.489
13202200100010,27.0493412,90.7580566,-1.043,0.353
12313133320302,27.2643953,89.3957520,0.074,0.401
13202023203230,27.4010320,91.6369629,-0.371,0.389
12313311101030,27.0101960,89.5275879,-0.242,0.387
13202200001023,26.9906183,90.2087402,-0.562,0.365
13202022212103,27.4985263,90.4724121,-0.405,0.432
12313311013103,26.8730805,89.2419434,-0.164,0.375
13202022332131,27.1666948,91.2194824,-0.510,0.362
13202022200212,27.5764596,90.0549316,-0.036,0.468
13202023200303,27.5764596,91.5270996,-0.957,0.357
13202200100333,26.9122734,90.8679199,-0.866,0.358
13202023202011,27.5180148,91.4831543,-0.173,0.373
12313133310131,27.6348734,89.8132324,1.249,0.449
13202023222130,27.1666948,91.5490723,-0.210,0.467
