quadkey,latitude,longitude,rwi,error
30030012010223,-23.3926816,25.6970215,-0.616,0.372
30030030032102,-25.0358382,25.7629395,-0.122,0.456
30030021113321,-24.8166532,25.2575684,-0.361,0.372
30030030201303,-25.2745031,25.6091309,-0.604,0.426
30012212022331,-18.6150130,25.4772949,-0.450,0.369
30030010131311,-22.3602361,26.7077637,0.777,0.476
30030030012013,-24.7168951,25.7409668,-0.606,0.423
30012233122103,-21.1562380,27.5427246,0.611,0.525
30021110121013,-22.2992611,20.6433105,-0.529,0.370
30012230132233,-19.9630226,26.4440918,-0.458,0.371
30030012030100,-23.5740566,25.7629395,-0.931,0.390
30003333031300,-21.0537441,21.7199707,-0.677,0.372
30030011032210,-22.5227053,27.1252441,1.322,0.525
30030030020022,-24.9163310,25.3234863,-0.422,0.425
30030011110211,-22.0347295,27.8503418,-0.317,0.402
30012233010320,-20.7663865,27.1691895,0.042,0.421
30030011222123,-23.1504616,26.8395996,-0.306,0.490
30030030220301,-25.5721751,25.4333496,-0.503,0.376
30012233122030,-21.1767283,27.4768066,0.067,0.530
30030010131221,-22.4008712,26.5759277,-0.097,0.385
30030011130032,-22.3399141,27.8283691,-0.103,0.466
30030012201033,-23.9561359,25.5651855,-0.664,0.373
30030030203211,-25.4135082,25.5651855,-0.465,0.387
30030012230311,-24.2970401,25.8288574,0.287,0.389
30030030210011,-25.1751161,25.7409668,-0.871,0.415
30012233100132,-20.7047384,27.5646973,-0.568,0.465
30030012320332,-24.3571051,26.1584473,0.780,0.505
30030012201020,-23.9360545,25.4992676,-0.328,0.373
30030012322003,-24.3971326,26.0485840,-0.299,0.397
30030013001031,-23.2918101,26.9714355,-0.535,0.370
30030030110201,-24.6170569,26.4001465,-0.430,0.436
30030011002302,-22.2179198,26.8176270,-0.200,0.429
30030030201313,-25.2745031,25.6530762,-0.016,0.399
30030030203203,-25.4333530,25.5212402,-0.251,0.395
30030030100301,-24.6170569,26.1364746,0.281,0.504
30030011011201,-22.0347295,27.2790527,-0.087,0.422
30030030220111,-25.4928679,25.4772949,-0.155,0.383
30030030220020,-25.5325281,25.3234863,1.159,0.452
30012233103033,-20.8690774,27.6745605,-0.308,0.436
30030012233211,-24.4571501,25.9167480,-0.463,0.440
30030100102032,-22.1772314,28.8830566,0.042,0.458
30030011321032,-22.9887378,27.6525879,-0.448,0.373
30030010332213,-23.1908622,26.4440918,-0.108,0.373
30030011302322,-22.9078031,27.5207520,-0.656,0.372
30030012223120,-24.4171416,25.5871582,0.676,0.481
30030012203010,-24.0564961,25.5432129,-0.623,0.387
30003313102221,-18.2815179,21.8298340,0.055,0.429
30012233021002,-20.9922139,26.9055176,-0.330,0.372
30030012203001,-24.0564961,25.5212402,0.329,0.372
30012203010013,-18.0100796,24.3347168,-0.587,0.437
