quadkey,latitude,longitude,rwi,error
03223033031233,6.5008990,-73.9270020,-0.582,0.440
03223010320011,10.1311167,-75.1574707,-0.385,0.520
03223230202300,1.8344033,-75.8386230,-0.243,0.532
03221323023111,12.0285754,-71.3781738,-0.374,0.474
03223013112221,9.4815719,-73.4436035,-0.344,0.529
03223210133330,4.9486696,-74.5642090,-0.948,0.489
03223010322033,9.8930985,-75.1574707,-0.429,0.467
03223223331103,0.3186019,-75.9924316,-0.422,0.450
03223021100210,8.3093413,-76.5856934,-0.356,0.407
03223010310313,10.3689583,-74.7180176,-0.369,0.557
03223210002003,5.4082108,-75.9045410,-0.029,0.554
03223032223101,5.7799663,-75.6408691,-0.348,0.510
03223213112301,3.9409805,-73.3557129,0.175,0.529
03223012012222,9.4598988,-75.5749512,-0.143,0.578
03223011220010,10.1311167,-74.4763184,-0.343,0.464
03223230222221,1.4390576,-75.9045410,-0.712,0.448
03223221222200,1.4829887,-77.3327637,-0.831,0.507
03223300103133,5.3644596,-72.0812988,-0.586,0.616
03223122111000,7.0027636,-71.8835449,-0.557,0.491
03223031122031,7.8307313,-73.7512207,-0.889,0.417
03221322320232,11.3615678,-72.3669434,-0.525,0.512
03223220330013,1.7245930,-77.6184082,-0.107,0.471
03223122032130,6.4354006,-72.6306152,-0.311,0.477
03223013221130,8.7004990,-74.2126465,-0.349,0.510
03223030030133,7.9830776,-75.4211426,0.969,0.530
03223032332033,5.7143797,-74.8059082,-0.447,0.467
03223030323003,7.1553996,-75.0256348,-0.805,0.412
03223232003321,1.0875811,-75.6408691,-0.737,0.455
03223033102020,6.7846256,-73.8171387,-0.355,0.454
03223231032302,2.1637921,-74.0808105,-0.542,0.537
03223223303310,0.4284628,-76.3220215,-0.340,0.469
03223031303332,7.3733623,-73.5095215,-0.514,0.508
03223232021032,0.9777357,-75.7067871,-0.366,0.579
03223300032300,4.9924497,-72.6745605,-0.233,0.552
03223011030131,10.7793483,-74.0148926,-0.128,0.652
03223230011323,2.6467632,-75.2893066,-0.543,0.495
03223310033230,4.9486696,-69.7302246,-0.692,0.404
03223030310300,7.6129974,-74.7839355,-0.534,0.470
03223210310001,4.9048867,-74.8498535,-0.169,0.476
03223032231200,5.8674033,-75.3991699,-0.817,0.431
03223030231302,7.2425974,-75.3112793,-0.667,0.397
03223012120332,9.2864645,-75.0915527,-0.646,0.475
03223230223102,1.5488836,-75.6628418,-0.385,0.513
03223122220332,5.8018269,-72.9821777,0.314,0.538
03223033002302,6.7191648,-74.4323730,-0.503,0.444
03223210320323,4.4011829,-75.1135254,0.132,0.543
03223120220021,7.3079846,-73.0920410,-0.354,0.464
