quadkey,latitude,longitude,rwi,error
03222100211232,10.3257277,-83.7927246,-0.095,0.580
03222100221211,10.0445848,-84.1223145,1.139,0.575
03222100233201,9.8714518,-83.8146973,0.115,0.548
03222011313333,10.1527460,-84.3859863,0.400,0.545
03222100233300,9.8714518,-83.7487793,0.421,0.560
03222102032113,9.2430925,-83.8586426,0.710,0.567
03222102300330,8.9610451,-83.5290527,0.605,0.598
03222011133103,10.6282159,-84.4299316,-0.613,0.514
03222102122023,9.1997151,-83.6389160,0.300,0.596
03222011033003,10.6282159,-85.2209473,-0.007,0.542
03222011302130,10.2608706,-84.9353027,-0.431,0.570
03222100330230,10.0013102,-83.2653809,-0.120,0.554
03222100330302,10.0229482,-83.2214355,0.529,0.576
03222011313002,10.2824911,-84.5397949,0.086,0.525
03222101222232,9.8065034,-82.9138184,-0.098,0.537
03222011121213,10.7145865,-84.8254395,-0.183,0.556
03222103012002,9.5899171,-82.6062012,-0.359,0.568
03222102123311,9.1780244,-83.3312988,0.907,0.617
03222102001300,9.6982277,-84.1003418,-0.560,0.542
03222011033013,10.6282159,-85.1770020,-0.492,0.533
03222011133020,10.6066195,-84.5397949,-0.022,0.570
03222102113301,9.5249141,-83.0236816,-0.788,0.446
03222011232031,9.9147437,-85.3527832,-0.283,0.560
03222100200002,10.4554016,-84.3640137,0.479,0.560
03222011212200,10.2176252,-85.4187012,-0.543,0.541
03222011330210,10.0445848,-84.6716309,0.143,0.598
03222102002002,9.5899171,-84.3640137,-0.523,0.607
03222100210031,10.4337931,-83.9465332,-0.353,0.540
03222100233211,9.8714518,-83.7707520,-0.168,0.523
03222011322121,9.9147437,-84.9572754,-0.192,0.525
03222011123312,10.5418209,-84.7595215,-0.628,0.546
03222011000233,11.0166883,-85.7043457,0.224,0.555
03222100330013,10.1094859,-83.2434082,-0.122,0.523
03222011320223,9.9796707,-85.0451660,0.073,0.629
03222011003321,10.8656756,-85.4846191,-0.491,0.551
03222011012102,10.9735497,-85.3308105,0.123,0.514
03222011300223,10.3257277,-85.0451660,-0.063,0.540
03222100200120,10.4337931,-84.2761230,0.526,0.554
03222011313113,10.2824911,-84.3859863,0.079,0.556
03222011230023,10.0662199,-85.3967285,-0.401,0.524
03222011031012,10.8009324,-85.1989746,-0.216,0.539
03222011201020,10.4337931,-85.5944824,-0.195,0.570
03222100303023,10.2392486,-83.4631348,-0.083,0.489
03222011231233,9.9796707,-85.1770020,0.361,0.576
03222011010302,11.0598206,-85.3308105,-0.278,0.516
03222103222102,8.5484296,-82.8698730,-0.292,0.539
03222011013023,10.9304048,-85.2209473,-0.293,0.553
03222100022312,10.5418209,-84.2321777,-0.157,0.526
03222100122213,10.5418209,-83.5949707,-0.034,0.546
03222100200323,10.3257277,-84.2541504,0.393,0.574
