quadkey,latitude,longitude,rwi,error
12231332021032,12.1360050,42.4182129,-0.373,0.338
12231332132031,11.9855916,43.3190918,-0.249,0.352
12231332303231,11.5553801,43.1433105,0.758,0.449
12231332210230,11.7275454,42.5939941,-0.391,0.331
12233110000201,11.0813844,42.2204590,-0.534,0.329
12231332103322,12.2219175,43.1652832,-0.674,0.350
12233101111322,11.0166883,42.1105957,-0.201,0.327
12231332100220,12.4151184,42.9016113,-0.577,0.336
12231332121323,12.0500648,43.1872559,-0.386,0.336
12231332112300,12.2863336,43.3410645,-0.317,0.354
12231332302311,11.5984314,43.0554199,-0.001,0.471
12233110001020,11.1245072,42.3742676,-0.280,0.464
12231332320330,11.3831090,43.0334473,-0.776,0.325
12233110000332,11.0166883,42.3303223,-0.910,0.327
12231332021122,12.1360050,42.4621582,-0.273,0.337
12231332011310,12.4580325,42.8576660,-0.839,0.336
12231332210331,11.7275454,42.7038574,-0.867,0.349
12231332232302,11.2322862,42.6379395,-0.286,0.482
12231332033123,11.9640971,42.8356934,-0.557,0.334
12233101111233,11.0166883,42.0886230,-0.494,0.330
12231332130121,12.1574857,43.3630371,-0.799,0.348
12231332210132,11.7920798,42.6818848,-0.641,0.334
12231332210010,11.8565990,42.5939941,-0.382,0.334
12231332032221,11.8996033,42.5720215,-0.729,0.334
12231332012301,12.2863336,42.6599121,-0.439,0.337
12233110100002,11.1460662,42.9016113,-0.413,0.321
12231332203323,11.5338520,42.4841309,-0.155,0.337
12231332030021,12.1574857,42.5720215,-0.869,0.337
12231332203320,11.5553801,42.4621582,-0.208,0.381
12231332322232,11.1891794,42.9455566,-0.003,0.322
12231332021302,12.0930384,42.4621582,-0.409,0.337
12231332210333,11.7060306,42.7038574,-0.543,0.335
12231332223030,11.2969342,42.4182129,-0.867,0.328
12233110000022,11.1029466,42.1984863,-0.869,0.329
12233101113002,10.9735497,42.0227051,-0.582,0.330
12231332211123,11.7920798,42.8356934,-0.358,0.450
12231332003100,12.3721972,42.4621582,-0.923,0.339
12231332303200,11.5984314,43.0773926,0.681,0.508
12231332103301,12.2863336,43.1872559,-0.266,0.335
12231332022320,11.8996033,42.2863770,-0.458,0.336
12231332330020,11.4692577,43.2531738,0.194,0.394
12233110011002,11.1460662,42.7258301,-0.235,0.412
12231323301331,11.7275454,41.8249512,-0.498,0.339
12231332211301,11.7705700,42.8356934,-0.595,0.342
12231332123300,11.9426009,43.1652832,-0.693,0.338
12233101113000,10.9951198,42.0227051,-0.461,0.346
12231332012303,12.2648633,42.6599121,-0.461,0.337
12231332121132,12.1360050,43.2092285,-0.718,0.335
12231332322301,11.2538371,43.0114746,-0.527,0.323
12231332132023,11.9640971,43.2751465,0.115,0.495
12231332210021,11.8135879,42.5720215,-0.285,0.349
12231332032232,11.8781020,42.5939941,-0.039,0.334
12231332223233,11.1891794,42.4401855,-0.172,0.351
12231332013120,12.3292689,42.8137207,-0.686,0.351
12231332303212,11.5769066,43.1213379,0.394,0.444
12233110000131,11.1245072,42.3522949,-0.670,0.384
12231332112302,12.2648633,43.3410645,-0.337,0.339
12231332030300,12.1145226,42.6379395,-0.464,0.335
12231332210001,11.8565990,42.5720215,-0.414,0.334
12231332211132,11.7920798,42.8576660,0.074,0.436
12231332321100,11.5123222,43.1652832,0.352,0.468
12231332222021,11.2969342,42.2204590,-0.198,0.339
12231332031303,12.0930384,42.8356934,-0.454,0.334
12231332303122,11.6199546,43.1652832,-0.466,0.453
12231332031200,12.1145226,42.7258301,-0.278,0.335
12231332002113,12.3507339,42.3522949,-0.788,0.342
12231332303323,11.5338520,43.1872559,-0.197,0.412
12231332302321,11.5553801,43.0114746,-0.130,0.457
12233110000101,11.1676236,42.3083496,-0.470,0.337
12231332021123,12.1360050,42.4841309,-0.413,0.352
12233110100011,11.1676236,42.9675293,-0.351,0.362
12231332233211,11.2538371,42.7917480,-0.197,0.346
12231332033021,11.9855916,42.7478027,-0.421,0.349
12231332303300,11.5984314,43.1652832,0.156,0.478
12233101113111,10.9951198,42.1765137,-0.356,0.329
12233110100113,11.1460662,43.0554199,-0.598,0.328
12231332322302,11.2322862,42.9895020,-0.575,0.323
12231332021002,12.1789647,42.3742676,-0.615,0.340
12231332001331,12.4151184,42.5280762,-0.645,0.337
12231332211122,11.7920798,42.8137207,-0.288,0.469
12231332033311,11.9426009,42.8796387,-0.529,0.348
12231332211002,11.8350943,42.7258301,-0.572,0.381
12231332031120,12.1574857,42.8137207,-0.349,0.334
12231332020111,12.2004420,42.3522949,-0.759,0.340
12233110100233,11.0166883,42.9675293,-0.715,0.322
12231332122132,11.9640971,43.0334473,-0.852,0.334
12233101113012,10.9735497,42.0666504,-0.369,0.330
12231332102000,12.3721972,42.9016113,-0.297,0.336
12231332033023,11.9640971,42.7478027,-0.496,0.334
12231332033310,11.9426009,42.8576660,-0.587,0.349
12231332320300,11.4261866,42.9895020,-0.490,0.349
12231332303221,11.5553801,43.0993652,1.138,0.494
12231323331312,11.4046486,42.1545410,-0.355,0.338
12233110000030,11.1245072,42.2424316,-0.325,0.329
12233110010123,11.1029466,42.6599121,-0.451,0.323
12233110011312,11.0598206,42.8576660,-0.372,0.322
12231332010220,12.4151184,42.5500488,-0.951,0.337
12231332231221,11.3831090,42.7478027,-0.225,0.452
12231332032123,11.9640971,42.6599121,-1.043,0.335
12231332032223,11.8781020,42.5720215,-0.929,0.334
12231332120020,12.1574857,42.9016113,-0.206,0.335
12233110001110,11.1676236,42.5061035,-0.404,0.435
12231332012231,12.2433913,42.6159668,-0.313,0.337
12231332201221,11.7275454,42.3962402,-0.347,0.344
12231332322020,11.2969342,42.9016113,0.021,0.323
12231323331213,11.4046486,42.0886230,-0.898,0.332
12231332011103,12.5223904,42.8356934,-0.873,0.337
12231332122323,11.8781020,43.0114746,-0.202,0.333
12231332103203,12.2648633,43.0993652,-0.539,0.334
12231332201131,11.8135879,42.5280762,-0.725,0.334
12233110013101,10.9951198,42.8356934,-0.371,0.335
12231323310223,11.7060306,41.8688965,-0.523,0.353
12233101113011,10.9951198,42.0886230,-0.101,0.345
12231332121103,12.1789647,43.1872559,-0.791,0.334
12231332020300,12.1145226,42.2863770,-0.455,0.339
12231332021033,12.1360050,42.4401855,-0.190,0.338
12231332120123,12.1360050,43.0114746,-0.395,0.335
12231332030012,12.1789647,42.5939941,-0.941,0.337
12231332020022,12.1360050,42.1984863,-0.845,0.338
12231330322122,12.6510579,42.9895020,-0.437,0.338
12231332031102,12.1789647,42.8137207,-0.956,0.334
12233101113003,10.9735497,42.0446777,-0.327,0.330
12231332030011,12.2004420,42.6159668,-0.760,0.337
12233101113100,10.9951198,42.1105957,-0.377,0.344
12231332302222,11.5338520,42.9016113,-0.637,0.425
12231332010233,12.3936586,42.6159668,-0.775,0.351
12231332302232,11.5338520,42.9455566,-0.136,0.411
12231332032233,11.8781020,42.6159668,-0.507,0.375
12231332032323,11.8781020,42.6599121,-0.485,0.333
12231332021010,12.2004420,42.4182129,-0.582,0.339
12231332210011,11.8565990,42.6159668,-0.211,0.334
12233110001023,11.1029466,42.3962402,-0.792,0.343
12231332032000,12.0285754,42.5500488,-0.522,0.351
12231332321200,11.4261866,43.0773926,-0.595,0.326
12231323131332,12.0500648,42.1545410,-0.725,0.335
12231332030302,12.0930384,42.6379395,-0.131,0.335
12231323133310,11.9426009,42.1545410,-0.654,0.336
12231332212122,11.6199546,42.6379395,-0.753,0.346
12231332031012,12.1789647,42.7697754,-0.648,0.335
12231332120202,12.0930384,42.9016113,-0.645,0.334
12231332322010,11.3400249,42.9455566,-0.557,0.338
12231332032202,11.9211029,42.5500488,-0.574,0.350
12231332210303,11.7490585,42.6599121,-0.361,0.349
12233110000130,11.1245072,42.3303223,0.093,0.327
12231332020222,12.0500648,42.1984863,-0.595,0.352
12231332032321,11.8996033,42.6599121,-0.386,0.334
12231332210212,11.7490585,42.5939941,-0.599,0.333
12233101111232,11.0166883,42.0666504,-0.766,0.330
12233110001022,11.1029466,42.3742676,0.904,0.502
12233110002002,10.9735497,42.1984863,-0.768,0.330
12231332233213,11.2322862,42.7917480,-0.720,0.338
12231332321230,11.3831090,43.1213379,-0.518,0.361
12231332210101,11.8565990,42.6599121,0.416,0.398
12231332033133,11.9640971,42.8796387,-0.377,0.333
12231332020010,12.2004420,42.2424316,-0.391,0.341
12231332021221,12.0715524,42.3962402,-0.195,0.353
12231332012323,12.2219175,42.6599121,0.130,0.337
12231332003103,12.3507339,42.4841309,-0.497,0.338
12233110100102,11.1460662,42.9895020,-0.662,0.338
12231332032212,11.9211029,42.5939941,0.140,0.388
12231332120232,12.0500648,42.9455566,-0.054,0.334
12233101110323,11.0166883,41.9567871,-0.349,0.329
12231332321010,11.5123222,43.1213379,-0.248,0.436
12231332210110,11.8565990,42.6818848,-0.057,0.333
12233110000031,11.1245072,42.2644043,0.343,0.329
12231332033101,12.0285754,42.8356934,-0.420,0.334
12231332032213,11.9211029,42.6159668,-0.113,0.387
12233110010113,11.1460662,42.7038574,0.725,0.495
12231332132022,11.9640971,43.2531738,-0.304,0.426
12231332321131,11.4692577,43.2312012,-0.247,0.451
12231323331100,11.5123222,42.1105957,-0.360,0.368
12231332210320,11.7275454,42.6379395,-0.410,0.333
12231332300012,11.8350943,42.9455566,-0.320,0.358
12231323133133,11.9640971,42.1765137,0.056,0.334
12231332233220,11.2107336,42.7258301,-0.488,0.339
12231332321112,11.4907908,43.2092285,0.441,0.459
12231332223122,11.2753865,42.4621582,-0.491,0.327
12233110000300,11.0813844,42.2863770,-0.398,0.328
12231332010230,12.4151184,42.5939941,-0.902,0.351
12231332302303,11.5769066,43.0114746,-0.297,0.360
12231332032331,11.8996033,42.7038574,-0.378,0.334
12231332022322,11.8781020,42.2863770,-0.469,0.336
12233110010131,11.1245072,42.7038574,-0.704,0.335
12231332231103,11.4907908,42.8356934,-0.513,0.405
12231332203313,11.5769066,42.5280762,0.004,0.339
12233101111323,11.0166883,42.1325684,-0.238,0.328
12231332103231,12.2433913,43.1433105,-0.544,0.350
12231332322111,11.3400249,43.0554199,-0.251,0.323
12233101113010,10.9951198,42.0666504,-0.132,0.330
12231332322001,11.3400249,42.9235840,-0.425,0.324
12231332320312,11.4046486,43.0334473,-0.408,0.325
12231332210322,11.7060306,42.6379395,-0.782,0.332
12231323133033,11.9640971,42.0886230,-0.209,0.337
12231332303302,11.5769066,43.1652832,0.795,0.492
12231332221110,11.5123222,42.5061035,-0.423,0.338
12231332303211,11.5984314,43.1433105,1.298,0.466
12231332021031,12.1574857,42.4401855,-0.601,0.338
12231332303223,11.5338520,43.0993652,-0.261,0.415
12231332203332,11.5338520,42.5061035,-0.006,0.405
12231332033330,11.8996033,42.8576660,-0.512,0.333
12231332210211,11.7705700,42.6159668,-0.485,0.333
12231332303033,11.6199546,43.1433105,0.540,0.509
12231332302331,11.5553801,43.0554199,0.758,0.470
12231332032322,11.8781020,42.6379395,-0.434,0.333
12231332102012,12.3507339,42.9455566,-0.347,0.350
12231332322013,11.3184804,42.9675293,-0.582,0.328
12231332032333,11.8781020,42.7038574,-0.561,0.334
12233101110012,11.1460662,41.8908691,-0.414,0.357
12231332300101,11.8565990,43.0114746,-0.275,0.332
12231332211023,11.7920798,42.7478027,-0.320,0.335
12233101111222,11.0166883,42.0227051,-0.658,0.330
12231332321103,11.4907908,43.1872559,-0.185,0.423
12231332300020,11.8135879,42.9016113,-0.054,0.335
12231332210210,11.7705700,42.5939941,-0.260,0.333
12231332122003,12.0070844,42.9235840,-0.647,0.333
12231332002320,12.2433913,42.2863770,-0.030,0.356
12233110001113,11.1460662,42.5280762,-0.418,0.326
12231332011122,12.4794869,42.8137207,-0.622,0.343
12231332303213,11.5769066,43.1433105,1.483,0.444
12231332033033,11.9640971,42.7917480,-0.190,0.334
12231332203020,11.6414761,42.3742676,-0.082,0.343
12231332031210,12.1145226,42.7697754,-0.667,0.335
12231323131311,12.1145226,42.1765137,-0.534,0.336
12231323133303,11.9211029,42.1325684,-1.404,0.338
12231332001212,12.4365763,42.4182129,-0.289,0.339
12231332120112,12.1789647,43.0334473,-0.542,0.335
12231332010231,12.4151184,42.6159668,-0.356,0.336
12231332300033,11.7920798,42.9675293,-0.148,0.342
12231332022110,12.0285754,42.3303223,-0.563,0.336
12231332102200,12.2863336,42.9016113,-0.566,0.335
12233110100231,11.0382553,42.9675293,-0.539,0.321
12231332012113,12.3507339,42.7038574,-0.562,0.337
12231332013012,12.3507339,42.7697754,-0.411,0.337
12231330323033,12.6510579,43.1433105,-0.608,0.340
12231332321212,11.4046486,43.1213379,0.120,0.326
12231332003322,12.2219175,42.4621582,-0.747,0.338
12231332033313,11.9211029,42.8796387,-0.649,0.333
12231332303232,11.5338520,43.1213379,0.065,0.468
12231332033030,11.9855916,42.7697754,-0.028,0.334
12231332002321,12.2433913,42.3083496,-0.177,0.341
12231332003022,12.3078021,42.3742676,-0.544,0.341
12231323333113,11.3184804,42.1765137,0.179,0.331
12233110011113,11.1460662,42.8796387,-0.794,0.353
12231332322012,11.3184804,42.9455566,0.036,0.369
12231323333303,11.2322862,42.1325684,-0.550,0.329
12231332031301,12.1145226,42.8356934,-0.646,0.334
12231332300032,11.7920798,42.9455566,-0.181,0.337
12231332322213,11.2322862,42.9675293,-0.531,0.322
12231332003111,12.3721972,42.5280762,-0.227,0.337
12231332012322,12.2219175,42.6379395,-0.311,0.336
12231332232321,11.2107336,42.6599121,-0.493,0.457
12231332320320,11.3831090,42.9895020,-0.172,0.339
12231332302333,11.5338520,43.0554199,-0.259,0.446
12231332303233,11.5338520,43.1433105,0.479,0.533
12231332321011,11.5123222,43.1433105,-0.047,0.457
12231332323021,11.2969342,43.0993652,-0.428,0.323
12231332122112,12.0070844,43.0334473,-0.517,0.333
12231332032012,12.0070844,42.5939941,-0.432,0.335
12231332121300,12.1145226,43.1652832,-0.426,0.344
12231332203211,11.5984314,42.4401855,-0.275,0.342
12231332300001,11.8565990,42.9235840,-0.322,0.334
12233101113032,10.9304048,42.0666504,-0.392,0.330
12231332130131,12.1574857,43.4069824,-0.210,0.341
12231332030230,12.0715524,42.5939941,-0.721,0.336
12231332102323,12.2219175,43.0114746,-0.520,0.334
