quadkey,latitude,longitude,rwi,error
03230300233022,15.3795428,-61.3366699,0.208,0.554
03230300231020,15.5701276,-61.3366699,-0.026,0.607
03230302011020,15.2311894,-61.3366699,-0.188,0.617
03230300230120,15.5701276,-61.4245605,-0.005,0.613
03230300233020,15.4007275,-61.3366699,-0.062,0.567
03230300230033,15.5489602,-61.4465332,-0.398,0.624
03230300232102,15.4219101,-61.4245605,0.510,0.597
03230300233322,15.2947823,-61.2487793,-0.273,0.573
03230300232133,15.3795428,-61.3586426,0.468,0.562
03230302010133,15.2099875,-61.3586426,-0.247,0.618
03230300231320,15.4854449,-61.2487793,0.154,0.608
03230300233222,15.2947823,-61.3366699,0.000,0.666
03230302011021,15.2311894,-61.3146973,0.680,0.634
03230302011000,15.2735868,-61.3366699,0.054,0.615
03230300232303,15.3371669,-61.4025879,0.500,0.621
03230302011011,15.2735868,-61.2707520,-0.499,0.514
03230300230102,15.5912928,-61.4245605,-0.416,0.565
03230300233002,15.4219101,-61.3366699,-0.555,0.558
03230300233300,15.3583559,-61.2487793,0.351,0.598
03230300233100,15.4430906,-61.2487793,0.800,0.623
03230300230112,15.5912928,-61.3806152,0.745,0.613
03230300233033,15.3795428,-61.2707520,-0.259,0.606
03230300230332,15.4642688,-61.3806152,-0.319,0.502
03230300212322,15.6336167,-61.4245605,0.584,0.609
03230302010112,15.2523892,-61.3806152,0.925,0.628
03230300233030,15.4007275,-61.2927246,-0.313,0.552
03230300232131,15.4007275,-61.3586426,-0.130,0.596
03230300230032,15.5489602,-61.4685059,0.445,0.646
03230300232333,15.2947823,-61.3586426,0.562,0.621
03230300231322,15.4642688,-61.2487793,-0.161,0.596
03230300232310,15.3583559,-61.3806152,-0.053,0.593
03230300233122,15.3795428,-61.2487793,0.671,0.591
03230302011012,15.2523892,-61.2927246,0.315,0.627
03230300233202,15.3371669,-61.3366699,0.149,0.601
03230300230113,15.5912928,-61.3586426,0.735,0.609
03230300231222,15.4642688,-61.3366699,-0.397,0.506
03230300233120,15.4007275,-61.2487793,0.184,0.613
03230300230103,15.5912928,-61.4025879,0.920,0.618
03230300212232,15.6336167,-61.4685059,0.399,0.608
03230300233011,15.4430906,-61.2707520,-0.156,0.603
03230300232011,15.4430906,-61.4465332,0.605,0.624
03230302010113,15.2523892,-61.3586426,-0.305,0.588
03230300232321,15.3159757,-61.4025879,0.540,0.600
03230300230012,15.5912928,-61.4685059,0.309,0.605
03230300231003,15.5912928,-61.3146973,0.285,0.581
03230302011013,15.2523892,-61.2707520,-0.297,0.552
03230300233210,15.3583559,-61.2927246,-0.353,0.579
03230300232313,15.3371669,-61.3586426,0.369,0.590
03230300231213,15.5066188,-61.2707520,0.324,0.608
03230300233320,15.3159757,-61.2487793,0.482,0.608
03230300231033,15.5489602,-61.2707520,-0.256,0.552
03230300231302,15.5066188,-61.2487793,0.489,0.589
03230300230030,15.5701276,-61.4685059,0.076,0.635
03230300230212,15.5066188,-61.4685059,0.433,0.607
03230300232332,15.2947823,-61.3806152,1.646,0.598
03230300232330,15.3159757,-61.3806152,1.090,0.642
03230300231210,15.5277906,-61.2927246,-0.033,0.602
03230300232130,15.4007275,-61.3806152,-0.039,0.578
03230300233302,15.3371669,-61.2487793,0.658,0.613
03230300231002,15.5912928,-61.3366699,0.782,0.610
03230300232121,15.4007275,-61.4025879,0.499,0.601
03230300231023,15.5489602,-61.3146973,0.275,0.600
03230300232312,15.3371669,-61.3806152,0.662,0.622
03230300230300,15.5277906,-61.4245605,-0.650,0.492
03230302010111,15.2735868,-61.3586426,0.193,0.608
03230300212323,15.6336167,-61.4025879,0.006,0.745
03230300230101,15.6124559,-61.4025879,1.196,0.632
03230300232301,15.3583559,-61.4025879,0.625,0.626
03230300232100,15.4430906,-61.4245605,-0.262,0.640
03230300233102,15.4219101,-61.2487793,0.133,0.600
03230300233031,15.4007275,-61.2707520,-0.429,0.521
03230300230230,15.4854449,-61.4685059,0.475,0.620
03230300231032,15.5489602,-61.2927246,0.502,0.606
03230300233233,15.2947823,-61.2707520,0.486,0.600
03230302011022,15.2099875,-61.3366699,-0.537,0.523
03230300233220,15.3159757,-61.3366699,0.711,0.612
03230300232120,15.4007275,-61.4245605,0.482,0.627
03230300233211,15.3583559,-61.2707520,0.011,0.604
03230300231231,15.4854449,-61.2707520,-0.069,0.595
03230300230233,15.4642688,-61.4465332,0.077,0.606
03230300232311,15.3583559,-61.3586426,0.452,0.576
03230300230320,15.4854449,-61.4245605,-0.476,0.491
03230302010131,15.2311894,-61.3586426,0.735,0.628
03230302011100,15.2735868,-61.2487793,-0.069,0.602
03230300232132,15.3795428,-61.3806152,-0.303,0.661
03230300233013,15.4219101,-61.2707520,-0.272,0.606
03230300232123,15.3795428,-61.4025879,0.851,0.614
03230300232110,15.4430906,-61.3806152,-0.413,0.507
03230300230013,15.5912928,-61.4465332,-0.198,0.619
03230302010110,15.2735868,-61.3806152,0.420,0.627
03230302011003,15.2523892,-61.3146973,0.443,0.622
03230300231021,15.5701276,-61.3146973,0.401,0.625
03230300232331,15.3159757,-61.3586426,0.277,0.628
03230300230010,15.6124559,-61.4685059,0.464,0.619
03230300231211,15.5277906,-61.2707520,0.501,0.608
03230302011001,15.2735868,-61.3146973,-0.544,0.569
03230300230031,15.5701276,-61.4465332,0.730,0.640
03230300233000,15.4430906,-61.3366699,-0.373,0.592
