quadkey,latitude,longitude,rwi,error
03221130010323,19.1555462,-69.8400879,-0.167,0.427
03221130300031,18.5941885,-69.5324707,0.069,0.415
03221130010012,19.2800355,-69.9060059,-0.053,0.458
03221130011231,19.1763010,-69.7082520,-0.249,0.438
03221130300203,18.5317000,-69.5764160,0.058,0.456
03221131210022,18.5733616,-68.5437012,-0.413,0.612
03221130211123,18.5733616,-69.6643066,-0.152,0.445
03221131202212,18.3649523,-68.8513184,0.142,0.512
03221131201122,18.5733616,-68.6315918,-0.074,0.450
03221130212010,18.4691886,-69.9060059,1.499,0.456
03221103303202,19.6943139,-70.8288574,0.121,0.440
03221131023220,18.6774709,-68.7194824,-1.012,0.505
03221103221320,19.5080198,-71.4440918,-0.710,0.414
03221103232211,19.3837043,-71.2902832,-0.206,0.454
03221130010223,19.1555462,-69.9279785,-0.177,0.528
03221130031133,18.9062862,-69.6203613,-0.601,0.384
03221130002311,19.0517333,-70.1477051,1.311,0.499
03221121133131,18.7607124,-70.3234863,-0.195,0.476
03221103331223,19.4873072,-70.4553223,-0.494,0.451
03221130100000,19.3007745,-69.5983887,0.313,0.453
03221121003100,19.1347889,-71.4440918,-0.453,0.337
03221130012111,19.1347889,-69.7961426,0.129,0.442
03221130202210,18.3858046,-70.2575684,0.000,0.398
03221121123323,18.6566542,-70.7189941,-0.210,0.431
03221103333303,19.3629758,-70.3674316,0.532,0.459
03221103200333,19.8183898,-71.5539551,-0.514,0.414
03221131020131,18.9270721,-68.7414551,0.347,0.443
03221130100311,19.2178026,-69.4445801,-0.147,0.454
03221103203203,19.6943139,-71.5100098,0.351,0.423
03221131032023,18.7399059,-68.5217285,-0.196,0.435
03221130021220,18.8439129,-70.1257324,-0.877,0.394
03221103213023,19.7356832,-71.1584473,-0.426,0.430
03221121112210,19.0517333,-70.6091309,-0.273,0.438
03221103233333,19.3215109,-71.0266113,-0.665,0.382
03221121030323,18.8231166,-71.2463379,0.771,0.508
03221121303030,18.4275017,-70.7849121,0.420,0.502
03221121012322,18.9894144,-71.2683105,-0.088,0.370
03221103321202,19.5287298,-70.8288574,0.025,0.449
03221103221012,19.6115432,-71.4880371,-0.418,0.393
03221121123203,18.6982852,-70.8068848,-0.853,0.363
03221130211032,18.5733616,-69.7302246,-0.318,0.442
03221121211111,18.6358348,-71.0266113,-0.381,0.432
03221121131001,18.9686362,-70.4553223,-0.399,0.437
03221103233120,19.4251534,-71.0925293,-0.619,0.430
03221121112100,19.1347889,-70.5651855,-0.449,0.459
03221103212133,19.7356832,-71.2023926,-0.237,0.391
03221131022002,18.7815164,-68.8952637,-0.811,0.470
03221130100211,19.2178026,-69.5324707,-0.086,0.450
03221131023013,18.7815164,-68.6535645,-0.290,0.417
03221121201102,18.6150130,-71.4440918,-0.363,0.355
03221121120212,18.8647066,-70.9606934,-0.309,0.462
03221103303000,19.7977172,-70.8288574,-0.570,0.426
03221112232122,19.4044302,-69.8620605,-0.070,0.392
03221130133102,18.7815164,-68.9831543,-0.496,0.436
03221130023201,18.7190968,-70.1037598,-0.110,0.475
03221130310021,18.5941885,-69.2248535,-0.180,0.437
03221103220333,19.4873072,-71.5539551,0.204,0.488
03221121300013,18.6150130,-70.9387207,0.825,0.505
03221130303003,18.4483464,-69.4006348,0.748,0.438
03221103331211,19.5494371,-70.4113770,-0.622,0.392
03221121122330,18.6774709,-70.8728027,-0.145,0.361
03221103201211,19.8803914,-71.4660645,-0.475,0.330
03221112221311,19.5494371,-69.9719238,-0.304,0.470
03221130032322,18.6566542,-69.8620605,0.229,0.464
03221103312021,19.7563639,-70.6311035,-0.101,0.446
03221103312202,19.6943139,-70.6530762,-0.666,0.426
03221130023221,18.6774709,-70.1037598,-0.509,0.400
03221103221321,19.5080198,-71.4221191,-0.499,0.398
03221103333203,19.3629758,-70.4553223,0.113,0.436
03221121230231,18.1771685,-71.2902832,-0.688,0.385
03221121220202,18.1980434,-71.7077637,-0.508,0.349
03221103203022,19.7356832,-71.5319824,-0.468,0.425
03221130032320,18.6774709,-69.8620605,0.354,0.491
03221103212122,19.7356832,-71.2683105,-0.290,0.409
03221112232200,19.3837043,-69.9499512,-0.530,0.440
03221130022332,18.6566542,-70.1696777,0.785,0.468
03221130101300,19.2178026,-69.3347168,0.405,0.524
03221123000031,17.9264757,-71.6418457,0.053,0.438
03221103233330,19.3422447,-71.0485840,-0.533,0.445
03221121100030,19.2592938,-70.9606934,-0.368,0.448
03221130201011,18.6358348,-70.0598145,0.196,0.484
03221130020113,18.9478555,-70.1477051,-0.154,0.456
03221130211330,18.5108654,-69.6423340,-0.216,0.477
03221121020201,18.8854977,-71.6857910,-0.125,0.456
03221130101003,19.2800355,-69.4006348,-0.504,0.425
03221131021232,18.8231166,-68.6755371,0.145,0.496
03221121100011,19.3007745,-70.9387207,-0.306,0.437
03221130121331,18.8439129,-69.2687988,-0.732,0.410
03221121233011,18.1354112,-71.1145020,-0.886,0.452
03221103321330,19.5080198,-70.6970215,1.018,0.465
03221131020123,18.9062862,-68.7854004,-0.637,0.365
03221130000021,19.2592938,-70.2795410,0.084,0.474
