quadkey,latitude,longitude,rwi,error
21000131113012,-3.0198411,-78.8708496,0.278,0.489
21001000021102,-0.3845186,-78.4753418,0.585,0.522
21000112113003,-1.6147764,-80.2990723,-0.677,0.406
21001001023011,-0.5383221,-77.0910645,-0.608,0.428
21000131333003,-4.0724942,-78.8928223,-0.317,0.460
03222333233132,0.0988769,-79.4860840,-0.581,0.400
21000112113310,-1.6806671,-80.1892090,-0.276,0.413
03223222302131,0.4724067,-77.8820801,-0.161,0.411
21000131112133,-3.0637244,-78.9367676,-0.351,0.468
21000111210120,-0.7580345,-79.7058105,-0.546,0.486
03222333320030,0.2966295,-79.3981934,-0.646,0.482
03223222211122,0.6262082,-78.1237793,-0.155,0.500
21000111220321,-1.1974226,-80.0354004,-0.551,0.452
21000133031311,-4.6640299,-79.4641113,-0.472,0.396
21000110131323,-0.5163504,-80.2111816,-0.929,0.401
21000111110211,-0.0988769,-79.0246582,-0.619,0.414
21000111001231,-0.1428221,-79.9035645,-0.534,0.421
21001000021023,-0.4284628,-78.5412598,0.283,0.481
03222333231111,0.3405742,-79.4641113,0.555,0.549
21000111122102,-0.5602938,-79.3542480,-0.354,0.494
03223222220320,0.2087398,-78.6511230,-0.952,0.450
03223222221200,0.2526847,-78.5632324,-0.367,0.472
21000131310231,-3.6559638,-79.0246582,-0.891,0.398
03222333121002,1.0216743,-79.2663574,-0.399,0.436
21000110331131,-1.1095498,-80.1672363,0.257,0.416
03222333321003,0.3186019,-79.2443848,0.038,0.502
21000110332033,-1.3072596,-80.4309082,-0.498,0.454
21000133121321,-4.7078283,-79.1564941,-0.801,0.384
21000113013320,-1.7245930,-79.5300293,0.056,0.459
21001002222201,-2.7345569,-78.7170410,-0.184,0.503
21001002001023,-1.4829887,-78.5412598,-0.756,0.481
21001002001223,-1.5708481,-78.5412598,0.535,0.528
21001020200311,-3.6121068,-78.5852051,0.322,0.516
03223222123302,0.7580345,-77.7722168,-0.678,0.447
21000133012022,-4.4669035,-79.7937012,-0.277,0.384
03222333213020,0.4724067,-79.6179199,-0.446,0.412
21000111000123,-0.0769043,-80.0354004,-0.314,0.433
21000113123220,-2.0759616,-79.2663574,-0.481,0.463
21000111333113,-1.2633253,-78.7609863,0.465,0.500
03223222222231,0.0329590,-78.6730957,0.022,0.455
03222333233301,0.0769043,-79.5080566,-0.601,0.444
21000113333322,-2.8003980,-78.8269043,0.234,0.502
21000133001130,-4.2697242,-79.8376465,-0.200,0.414
21000111021010,-0.3625464,-79.9255371,-0.421,0.510
03222333322201,0.0769043,-79.4201660,-0.188,0.446
03222333122023,0.8019758,-79.4201660,-0.666,0.408
21000112111103,-1.4390576,-80.2111816,-0.421,0.419
21000112103323,-1.7465556,-80.5627441,-0.462,0.409
21000111133221,-0.6701507,-78.8928223,-0.549,0.410
21000113011331,-1.5488836,-79.4641113,-0.423,0.532
21001000103302,-0.2966295,-77.7722168,-0.164,0.443
21000131221200,-3.9629009,-79.9694824,-0.221,0.448
21000112111021,-1.4610233,-80.2990723,-0.064,0.419
21000131021010,-3.1734250,-79.9255371,0.066,0.488
21001000003100,-0.1867672,-78.4753418,1.412,0.505
21000110231130,-1.1095498,-80.8923340,-0.344,0.423
03222333122120,0.8239462,-79.3542480,-0.862,0.391
21001002003000,-1.5928123,-78.5632324,0.112,0.489
21000111312311,-0.9777357,-78.9367676,-0.043,0.453
21000131012010,-2.9978987,-79.7497559,-0.191,0.513
21000131031113,-3.1953637,-79.4641113,-0.349,0.434
21000111200330,-0.8459165,-80.0134277,-0.838,0.444
21001001212013,-0.9118267,-76.9152832,-0.375,0.508
21000111113232,-0.3405742,-78.8708496,-0.081,0.438
21001000303130,-0.9337965,-77.7282715,-0.798,0.385
21000113200313,-2.2296616,-79.9914551,0.103,0.583
21001000202212,-0.9997051,-78.6950684,0.365,0.509
21000113100202,-1.5269188,-79.4421387,-0.311,0.451
21000110330133,-1.1315182,-80.3430176,-0.282,0.475
03222333320012,0.3186019,-79.3981934,-0.105,0.494
03222333233130,0.1208495,-79.4860840,-0.436,0.426
03222333300032,0.6262082,-79.3981934,-0.496,0.406
21000113232320,-2.7784514,-79.7058105,-0.391,0.437
21001002122200,-2.0320445,-78.0358887,-0.781,0.417
21000111113001,-0.1867672,-78.8928223,-0.866,0.444
21001001021310,-0.4504348,-77.0251465,0.483,0.537
03223222231122,0.2746571,-78.1237793,-0.025,0.517
21001000200230,-0.8459165,-78.6950684,0.338,0.522
21000131023013,-3.3708564,-79.9035645,-0.272,0.472
21001000012300,-0.2746571,-78.2995605,-0.606,0.483
21000112110313,-1.5269188,-80.3430176,-0.508,0.435
21000131123010,-3.3489215,-79.2224121,-0.622,0.433
21000131200012,-3.5463174,-80.1013184,0.015,0.458
21000131110331,-2.9540126,-78.9367676,0.090,0.502
21000112123132,-2.0100856,-80.5407715,-0.273,0.523
21000131010121,-2.8662354,-79.6838379,-0.485,0.534
