quadkey,latitude,longitude,rwi,error
12231302210031,14.5516838,39.8034668,-0.539,0.291
12231033221031,16.9201944,38.2214355,-0.532,0.278
12231211322003,15.4219101,38.7048340,-0.689,0.268
12231212123001,14.7642589,37.4743652,-0.481,0.274
12231213122212,14.6579971,38.7268066,-0.478,0.287
12231211010223,16.4782298,38.3532715,-0.605,0.270
12231033233213,16.6888167,38.5729980,-0.381,0.276
12231212102200,15.0190747,37.2766113,-0.457,0.273
12231211030303,16.1830238,38.4411621,-0.796,0.282
12231211020202,16.1830238,37.9797363,-0.593,0.267
12231302030123,14.8704688,39.8474121,-0.590,0.277
12231210233222,15.2947823,37.1008301,-0.473,0.295
12231213120312,14.8279911,38.8146973,0.138,0.270
12231213023013,14.7430107,38.2214355,-0.841,0.274
12231211031023,16.2252233,38.5290527,-0.478,0.266
12231033102212,17.6963617,38.7268066,-0.760,0.281
12231210131001,16.2885057,37.8259277,-0.444,0.285
12231212112100,15.1039461,37.7160645,-0.129,0.286
12231213021030,14.8917045,38.1994629,-0.306,0.273
12231210111331,16.4992989,37.9577637,-0.250,0.418
12231210133233,15.9718913,37.8698730,-0.927,0.269
12231302100302,15.1675773,40.1770020,0.127,0.283
12231211210131,15.9085080,38.4851074,-0.692,0.266
12231211011320,16.4992989,38.5949707,-0.671,0.271
12231213110211,15.1887835,39.1003418,-0.715,0.293
12231211020023,16.2252233,38.0017090,-0.264,0.268
12231213300032,14.5304150,38.7268066,-0.463,0.270
12231211203123,15.7182383,38.2653809,0.121,0.267
12231033213230,17.0042615,38.5510254,-0.496,0.293
12231213132100,14.7642589,39.1223145,-0.052,0.271
12231302022210,14.6792536,39.4299316,-0.113,0.271
12231212213200,14.3389038,37.1008301,-0.374,0.280
12231210223232,15.2947823,36.7932129,-0.829,0.272
12231033230032,16.8991717,38.3752441,-0.315,0.277
12231211012313,16.3517676,38.4851074,-0.774,0.266
12231212100303,15.1675773,37.3864746,-0.565,0.272
12231210131331,16.1619207,37.9577637,-0.983,0.267
12231303212032,14.3601909,41.1877441,-0.048,0.288
12231211020002,16.2674138,37.9797363,-0.368,0.269
12231302112013,15.0827314,40.5065918,-1.119,0.281
12231212312000,14.4240402,37.6281738,-0.393,0.279
12231212023130,14.7217604,36.8811035,-0.857,0.274
12231211102312,16.3517676,38.8146973,-0.091,0.276
12231211011330,16.4992989,38.6389160,-0.557,0.273
12231211211320,15.8239658,38.5949707,-0.632,0.265
12231211321101,15.6124559,38.9685059,-0.579,0.267
12231212211210,14.5091441,37.1447754,-0.561,0.276
12231211301110,15.9507657,38.9904785,0.041,0.269
12231211122223,15.9718913,38.7048340,-0.609,0.266
12231212001223,15.1251586,36.7712402,-0.781,0.288
12231211020000,16.2885057,37.9797363,-0.564,0.269
12231213023001,14.7642589,38.1774902,-0.456,0.274
12231213101100,15.2735868,38.9465332,0.091,0.272
12231211203303,15.6759319,38.2653809,-0.504,0.269
12231213032002,14.7430107,38.3312988,-0.576,0.272
12231211323200,15.3583559,38.8586426,0.051,0.296
12231330201113,13.2078602,42.5280762,-0.385,0.286
12231303210011,14.5942153,41.2097168,-0.102,0.282
12231212030223,14.7855051,36.9470215,-0.253,0.273
12231212103232,14.9553991,37.4963379,-0.613,0.273
12231210333223,15.2947823,37.8259277,-0.373,0.271
12231302001011,15.2735868,39.6276855,-0.433,0.288
12231302033203,14.6579971,39.9353027,-0.642,0.276
12231210330011,15.6124559,37.6940918,-0.611,0.270
12231212002011,15.1039461,36.6394043,0.695,0.291
12231211320020,15.5701276,38.6828613,-0.686,0.282
12231213033133,14.7005081,38.6608887,-0.650,0.271
12231213101332,15.1251586,38.9904785,-0.369,0.284
12231211210031,15.9085080,38.3972168,-0.628,0.282
12231213120102,14.9129381,38.7707520,-0.593,0.271
12231210323323,15.2947823,37.5622559,-0.588,0.272
12231210302322,15.6336167,37.3645020,-0.770,0.317
12231303022302,14.6579971,40.8801270,0.005,0.276
12231213033203,14.6579971,38.5290527,-0.482,0.285
12231211102020,16.4150090,38.6828613,-0.350,0.271
12231213130032,14.8704688,39.0783691,-0.086,0.294
12231213101011,15.2735868,38.9245605,-0.213,0.280
12231211120201,16.2041247,38.7048340,-0.670,0.267
12231211302301,15.6970862,38.7927246,-0.791,0.267
12231210221223,15.4642688,36.7712402,-1.068,0.287
12231321121320,13.4430519,41.7590332,-0.456,0.272
12231211330220,15.4854449,39.0344238,-0.416,0.269
12231212301302,14.4878712,37.5402832,-0.588,0.278
12231210231112,15.5912928,37.2326660,-0.528,0.286
12231213100212,15.1675773,38.7268066,-0.374,0.268
12231211122322,15.9718913,38.7707520,-0.425,0.282
12231211331212,15.5066188,39.2541504,-1.045,0.270
12231212113100,15.1039461,37.8918457,-0.473,0.271
12231211220111,15.6124559,38.1335449,-0.712,0.285
12231213120002,14.9129381,38.6828613,-0.002,0.268
12231033033122,17.4030627,38.5949707,-0.566,0.294
12231212131102,14.9129381,37.8918457,-0.317,0.274
12231321311012,13.2078602,42.0666504,-0.711,0.280
12231210122302,16.0141357,37.3645020,-1.013,0.271
12231302013203,14.9978516,39.9353027,-0.818,0.274
12231033030002,17.6126105,38.3312988,-0.932,0.292
12231213111213,15.1675773,39.2761230,0.019,0.294
12231213121302,14.8279911,38.9465332,-0.317,0.286
12231211303323,15.6336167,38.9685059,-0.591,0.283
12231211212033,15.7182383,38.3972168,-0.577,0.267
12231211211211,15.8662413,38.5729980,-0.780,0.266
12231033231203,16.8571194,38.5290527,-0.637,0.293
12231300222231,15.3159757,39.4519043,-0.373,0.272
12231210233032,15.3795428,37.1447754,-0.017,0.296
12231211010232,16.4782298,38.3752441,-0.328,0.269
12231211212021,15.7393882,38.3532715,0.167,0.265
12231302211031,14.5516838,39.9792480,-0.527,0.276
12231302200102,14.5729506,39.4738770,-0.319,0.276
12231211210102,15.9296380,38.4191895,-0.436,0.266
12231302011310,15.1887835,40.0451660,-0.128,0.278
12231212211203,14.4878712,37.1228027,-0.556,0.277
12231212013233,14.9553991,37.1667480,-0.589,0.273
12231212032123,14.7005081,37.0349121,-0.646,0.274
12231213311101,14.5942153,39.3200684,-0.422,0.271
12231211212110,15.7816814,38.4631348,0.964,0.411
12231212102003,15.0827314,37.2985840,-0.623,0.272
12231211021222,16.1408153,38.1555176,-0.561,0.283
12231033213330,17.0042615,38.6389160,-0.310,0.279
12231211033020,16.0774856,38.5070801,-0.338,0.266
12231213003123,15.0402957,38.2653809,-0.025,0.271
12231302200000,14.5942153,39.3859863,-0.553,0.272
12231033211221,17.1722825,38.5290527,-0.399,0.278
12231211321030,15.5701276,38.9025879,-0.464,0.273
12231212030301,14.8492310,37.0349121,-0.528,0.272
12231302033200,14.6792536,39.9133301,-0.402,0.276
12231213102232,14.9553991,38.7268066,0.221,0.295
12231211202222,15.6336167,37.9797363,-0.195,0.270
12231033033222,17.3191761,38.5070801,-0.288,0.277
12231302200121,14.5516838,39.4958496,-0.171,0.279
12231210033132,16.0563712,37.2326660,-0.512,0.272
12231213211110,14.5942153,38.6389160,-0.586,0.272
12231213112320,14.9766264,39.1223145,-0.468,0.270
12231211300030,15.9085080,38.7268066,-0.453,0.266
12231211303021,15.7393882,38.8806152,-0.130,0.266
12231330213203,12.9510290,42.7478027,0.437,0.308
12231211331200,15.5277906,39.2102051,-0.554,0.269
12231033023130,17.4240283,38.2873535,-0.685,0.276
12231211203112,15.7605359,38.2873535,-0.667,0.268
12231212301021,14.5516838,37.4743652,-0.528,0.275
12231211331110,15.6124559,39.3420410,-0.242,0.286
12231033022031,17.4240283,38.0456543,-0.591,0.274
12231211212210,15.6970862,38.3752441,-0.553,0.292
12231211332302,15.3371669,39.1223145,-0.650,0.269
