quadkey,latitude,longitude,rwi,error
03230322021010,12.2004420,-61.6442871,0.286,0.585
03230322003233,12.2219175,-61.6223145,0.526,0.593
03230322022103,12.0070844,-61.7541504,1.069,0.630
03230322021232,12.0500648,-61.6442871,1.152,0.594
03230322020332,12.0500648,-61.7321777,0.934,0.601
03230322022110,12.0285754,-61.7321777,1.033,0.598
03230322021200,12.1145226,-61.6882324,-0.016,0.575
03230322023002,12.0070844,-61.6882324,-0.312,0.625
03230322022102,12.0070844,-61.7761230,0.926,0.622
03230322021100,12.2004420,-61.6003418,0.190,0.607
03230322020132,12.1360050,-61.7321777,0.489,0.586
03230322021012,12.1789647,-61.6442871,0.288,0.597
03230322021231,12.0715524,-61.6223145,0.504,0.585
03230322022121,11.9855916,-61.7541504,0.326,0.680
03230322020301,12.1145226,-61.7541504,0.638,0.581
03230322020323,12.0500648,-61.7541504,1.535,0.580
03230322020330,12.0715524,-61.7321777,1.042,0.601
03230322020321,12.0715524,-61.7541504,1.334,0.611
03230322021000,12.2004420,-61.6882324,0.059,0.575
03230322020333,12.0500648,-61.7102051,0.885,0.600
03230322020133,12.1360050,-61.7102051,-0.114,0.586
03230322022013,12.0070844,-61.7980957,0.541,0.701
03230322010112,12.5223904,-61.3806152,0.618,0.574
03230322022100,12.0285754,-61.7761230,0.324,0.628
03230322020303,12.0930384,-61.7541504,0.801,0.598
03230322021223,12.0500648,-61.6662598,0.549,0.597
03230322003232,12.2219175,-61.6442871,1.279,0.603
03230322021030,12.1574857,-61.6442871,0.073,0.588
03230322021221,12.0715524,-61.6662598,0.230,0.619
03230322023000,12.0285754,-61.6882324,0.928,0.596
03230322010033,12.4794869,-61.4465332,0.707,0.596
03230322021230,12.0715524,-61.6442871,0.202,0.593
03230322021031,12.1574857,-61.6223145,0.599,0.595
03230322023001,12.0285754,-61.6662598,0.884,0.589
03230322020111,12.2004420,-61.7102051,0.854,0.609
03230322020312,12.0930384,-61.7321777,0.308,0.607
03230322022112,12.0070844,-61.7321777,0.647,0.610
03230322020113,12.1789647,-61.7102051,-0.064,0.564
03230322021033,12.1360050,-61.6223145,0.956,0.607
03230322021011,12.2004420,-61.6223145,0.914,0.603
03230322022113,12.0070844,-61.7102051,0.611,0.606
03230322021102,12.1789647,-61.6003418,0.627,0.591
03230322021213,12.0930384,-61.6223145,0.893,0.595
03230322020112,12.1789647,-61.7321777,0.533,0.593
03230322020331,12.0715524,-61.7102051,-0.011,0.579
03230322020313,12.0930384,-61.7102051,0.369,0.582
03230322021210,12.1145226,-61.6442871,0.677,0.591
03230322003222,12.2219175,-61.6882324,0.374,0.577
03230322003322,12.2219175,-61.6003418,0.302,0.578
03230322020310,12.1145226,-61.7321777,0.192,0.581
03230322021212,12.0930384,-61.6442871,0.155,0.600
03230322021032,12.1360050,-61.6442871,0.399,0.592
03230322021001,12.2004420,-61.6662598,0.322,0.590
03230322021122,12.1360050,-61.6003418,0.073,0.593
03230322022101,12.0285754,-61.7541504,1.550,0.618
03230322021201,12.1145226,-61.6662598,0.244,0.589
03230322021211,12.1145226,-61.6223145,0.985,0.678
03230322003223,12.2219175,-61.6662598,0.393,0.581
03230322010120,12.5009395,-61.4245605,0.655,0.588
03230322020130,12.1574857,-61.7321777,0.880,0.610
03230322020123,12.1360050,-61.7541504,0.839,0.587
03230322010211,12.4580325,-61.4465332,0.517,0.541
03230322020131,12.1574857,-61.7102051,0.047,0.590
03230322021022,12.1360050,-61.6882324,0.536,0.563
03230322010122,12.4794869,-61.4245605,0.482,0.588
03230322010031,12.5009395,-61.4465332,0.276,0.592
03230322021222,12.0500648,-61.6882324,0.449,0.604
03230322010032,12.4794869,-61.4685059,0.920,0.603
03230322021013,12.1789647,-61.6223145,0.616,0.593
03230322023010,12.0285754,-61.6442871,-0.357,0.610
03230322021023,12.1360050,-61.6662598,0.415,0.571
03230322010023,12.4794869,-61.4904785,1.215,0.583
03230322022111,12.0285754,-61.7102051,0.600,0.596
03230322010201,12.4580325,-61.4904785,0.422,0.605
03230322010102,12.5223904,-61.4245605,0.394,0.587
03230322010210,12.4580325,-61.4685059,0.262,0.594
