quadkey,latitude,longitude,rwi,error
02331311333313,15.3371669,-90.0109863,-0.638,0.422
02331133211100,17.2981985,-90.7800293,-0.902,0.429
03220200001033,16.5624922,-89.7473145,-0.745,0.446
02331313210022,14.5304150,-91.0437012,-0.594,0.469
02331311122032,16.0563712,-90.6481934,-0.205,0.531
03220022220130,16.9201944,-89.8571777,-0.277,0.503
02331310332231,15.3159757,-91.6809082,-0.532,0.495
03220200031310,16.2041247,-89.3298340,-0.273,0.413
02331133033212,17.3611242,-90.8239746,-0.255,0.427
03220200232220,15.3159757,-89.6374512,-0.278,0.463
02331313000131,15.2311894,-91.2414551,0.533,0.513
02331310333100,15.4430906,-91.4831543,0.173,0.580
03220202122223,14.6154780,-89.2639160,-0.534,0.460
02331313030212,14.8279911,-90.9997559,0.675,0.454
03220201220020,15.5701276,-88.5827637,-0.291,0.493
02331311301002,15.9296380,-90.5163574,0.545,0.561
02331313331030,14.2111385,-90.1208496,-0.146,0.502
02331311322301,15.3583559,-90.5822754,-0.503,0.451
03220202101023,15.2099875,-89.0881348,-0.473,0.454
02331312112200,15.0190747,-91.7468262,0.261,0.524
02331133313123,17.0672871,-90.0549316,-0.363,0.396
02331313312112,14.4027591,-90.2087402,0.321,0.504
03220200201131,15.9085080,-89.6594238,-0.287,0.444
02331313022101,14.7642589,-91.2854004,0.766,0.535
02331313232030,14.0406726,-90.9997559,-0.513,0.390
02331311330321,15.4854449,-90.2307129,0.359,0.521
02331313102121,15.0615146,-90.5822754,-0.657,0.465
02331311212130,15.7393882,-90.9118652,-0.516,0.513
02331311133023,16.0563712,-90.1428223,-0.366,0.475
02331311321310,15.5277906,-90.3845215,-0.122,0.474
02331313001313,15.1675773,-91.0656738,-0.323,0.448
02331313010021,15.2311894,-91.0217285,0.024,0.502
02331313011322,15.1251586,-90.7800293,-0.327,0.432
03220202200310,14.5091441,-89.8571777,0.230,0.523
03220200020100,16.2885057,-89.9011230,-0.909,0.391
03220202000002,15.2523892,-89.9890137,-0.536,0.409
02331313131222,14.7855051,-90.1647949,0.141,0.498
02331311213023,15.7182383,-90.8459473,-0.943,0.391
02331133311220,17.1722825,-90.1647949,-0.991,0.407
02331311111221,16.4992989,-90.1428223,-0.856,0.436
03220022322103,16.7729866,-89.1760254,-0.424,0.426
03220022223311,16.7098626,-89.6594238,-0.866,0.478
02331311323031,15.4007275,-90.4504395,-0.004,0.477
02331310320301,15.5277906,-91.9885254,-0.635,0.430
03220200023001,16.1197076,-89.7912598,-0.561,0.396
02331313221211,14.1685340,-91.1535645,-0.331,0.570
03220202000120,15.2311894,-89.9011230,0.235,0.414
02331133031320,17.5078668,-90.7800293,-0.596,0.425
03220202033132,14.7005081,-89.3298340,-0.073,0.462
02331310322120,15.4007275,-92.0104980,0.337,0.545
02331311302103,15.7605359,-90.5822754,-0.227,0.420
02331313030120,14.8917045,-90.9558105,-0.539,0.508
02331313211301,14.5091441,-90.7580566,-0.263,0.491
02331313010123,15.2099875,-90.9338379,-0.681,0.460
02331313302233,14.2750302,-90.6262207,-0.588,0.463
02331312132310,14.6792536,-91.6149902,-0.176,0.552
03220022222001,16.7940233,-89.9670410,0.497,0.516
03220202101101,15.2735868,-89.0002441,-0.040,0.469
03220202020300,14.8492310,-89.9011230,-1.002,0.457
02331311223101,15.4430906,-91.1096191,-0.186,0.459
03220200220330,15.4854449,-89.8571777,-0.525,0.493
02331310303213,15.6759319,-91.8566895,-0.534,0.510
02331312110223,15.1251586,-91.7248535,-0.149,0.484
02331310333232,15.2947823,-91.5270996,0.090,0.523
02331313030021,14.8917045,-91.0217285,-0.331,0.491
02331313012032,15.0402957,-90.9997559,0.403,0.465
03220202031210,14.8492310,-89.4177246,-0.497,0.469
03220200023200,16.0352546,-89.8132324,-0.603,0.383
03220202033003,14.7430107,-89.4396973,-0.149,0.466
02331311331323,15.4642688,-90.0549316,-0.087,0.449
02331313000332,15.1251586,-91.2634277,-0.239,0.465
03220201202103,15.7605359,-88.4729004,-0.634,0.376
02331310321132,15.5489602,-91.7907715,-0.314,0.536
02331133323121,16.7519476,-90.4064941,-0.351,0.421
03220200330010,15.6124559,-88.8903809,-0.621,0.402
02331311322310,15.3583559,-90.5603027,-0.528,0.477
03220202211103,14.5729506,-89.3518066,1.087,0.544
02331312312223,14.2750302,-91.7248535,-0.141,0.524
03220202022113,14.7430107,-89.8352051,-0.067,0.477
