quadkey,latitude,longitude,rwi,error
03232301322101,4.3792747,-59.6447754,-0.437,0.392
03232132102310,6.7409861,-58.2165527,0.185,0.492
03232121033302,7.7654229,-59.8425293,-0.588,0.401
03232303101221,4.0724942,-59.5568848,-0.538,0.395
03232301032132,5.0143386,-59.9743652,-0.392,0.398
03232132103220,6.6973426,-58.1726074,1.129,0.525
03232130200312,7.5912178,-58.9196777,-0.493,0.399
03232132302213,6.0203850,-58.2824707,0.536,0.476
03232303231331,3.0198411,-59.7766113,-0.404,0.419
03232133022021,6.4354006,-57.6232910,-0.161,0.494
03232132121201,6.5663889,-58.1506348,-0.339,0.408
03232303301200,3.4147247,-59.5788574,-0.980,0.413
03232132112231,6.6973426,-57.9309082,0.510,0.468
03232132011230,6.8718928,-58.4802246,-0.543,0.487
03232132102113,6.8064439,-58.1945801,0.536,0.526
03232132013011,6.8282612,-58.4582520,0.299,0.513
03232132011203,6.8937071,-58.5021973,-0.807,0.475
03232132121220,6.5227299,-58.1726074,-0.195,0.439
03232132011301,6.9155204,-58.4143066,-0.355,0.488
03232303211332,3.3489215,-59.7985840,0.655,0.542
03232130221312,7.2425974,-58.7438965,-0.593,0.407
03232132122110,6.4790672,-58.2165527,-0.122,0.461
03232133201013,6.2825384,-57.4035645,0.567,0.472
03232133200120,6.2606973,-57.5573730,-0.303,0.427
03232130221013,7.3297783,-58.8098145,-0.962,0.391
03232132103201,6.7409861,-58.1506348,0.516,0.529
03232132300120,6.2606973,-58.2604980,-0.093,0.517
03232132103101,6.8282612,-58.0627441,-0.163,0.525
03232130201200,7.6129974,-58.8757324,-0.220,0.453
03232130230012,7.3297783,-58.6560059,-0.373,0.422
03232121100000,8.3962996,-59.7546387,0.187,0.428
03232130200120,7.6565531,-58.9636230,-0.712,0.567
03232132013012,6.8064439,-58.4802246,-0.037,0.511
03232130202013,7.5040887,-58.9855957,-0.535,0.391
03232132011133,6.9373327,-58.3703613,-0.328,0.403
03232132100222,6.8500775,-58.3483887,0.232,0.524
03232133212210,6.0422360,-57.2497559,0.397,0.488
03232132011322,6.8500775,-58.4362793,0.511,0.518
03232132130102,6.6318701,-57.9089355,0.057,0.486
03232130230113,7.3297783,-58.5461426,-0.263,0.468
03232121201321,7.5694372,-60.1721191,-1.263,0.427
03232121203111,7.5258726,-60.1281738,-1.051,0.420
03232132120112,6.6318701,-58.2165527,-0.046,0.467
03232130200122,7.6347758,-58.9636230,-0.780,0.547
03232132103131,6.7846256,-58.0187988,0.755,0.505
03232132122303,6.3698938,-58.2385254,-0.339,0.456
