quadkey,latitude,longitude,rwi,error
03220210202031,15.7393882,-87.1105957,-0.399,0.452
03220230202113,13.0366691,-87.0227051,-0.402,0.471
03220201213101,15.7816814,-87.9455566,0.214,0.540
03220203022300,14.6792536,-88.4948730,-0.191,0.394
03220203011211,15.1887835,-87.9895020,-0.462,0.458
03220212033130,14.7217604,-86.5173340,-0.502,0.513
03220203212120,14.3814760,-88.1433105,-0.419,0.418
03220212333100,14.0833011,-85.8581543,-0.685,0.391
03220202331311,14.1685340,-88.6047363,-0.734,0.406
03220210323133,15.3795428,-86.1437988,-0.440,0.390
03220203210133,14.5304150,-88.0773926,-0.244,0.405
03220203231111,14.2537350,-87.9016113,0.437,0.504
03220212330222,14.1046123,-86.1218262,-0.411,0.401
03220202303112,14.4027591,-88.9782715,-0.318,0.452
03220212222222,13.9340669,-87.1765137,-0.478,0.443
03220203002022,15.0402957,-88.5827637,-0.784,0.411
03220211232202,15.3371669,-85.4187012,-0.568,0.393
03220210203130,15.7393882,-86.8688965,0.545,0.544
03220202311030,14.5516838,-88.7145996,-0.324,0.383
03220221310103,13.2078602,-87.4182129,-0.018,0.510
03220213021202,14.8279911,-85.5944824,-0.520,0.461
03220210330312,15.5066188,-85.9899902,-0.424,0.396
03220201303122,15.7182383,-87.6159668,-0.448,0.471
03220203113032,15.0402957,-87.3083496,-0.810,0.403
03220201232012,15.4219101,-88.1872559,-0.096,0.539
03220203030023,14.8704688,-88.2092285,-0.281,0.463
03220201213131,15.7393882,-87.9016113,0.627,0.494
03220201320023,15.5489602,-87.8576660,0.158,0.484
03220201232212,15.3371669,-88.1872559,0.529,0.527
03220212232003,14.0619878,-86.8029785,-0.666,0.476
03220203323232,13.9340669,-87.6599121,-0.257,0.452
03220203303012,14.4027591,-87.6599121,-0.294,0.480
03220211202013,15.7605359,-85.7043457,0.009,0.430
03220212021133,14.8704688,-86.8469238,-0.494,0.392
03220201320122,15.5489602,-87.7917480,0.449,0.507
03220213201000,14.5942153,-85.5944824,-0.768,0.396
03220203131033,14.8704688,-87.2863770,-0.557,0.396
03220211211130,15.9085080,-85.1110840,-0.247,0.417
03220201233301,15.3583559,-87.9455566,-0.408,0.500
03220203001122,15.2099875,-88.3190918,-0.413,0.370
03220212321131,14.2111385,-86.1437988,-0.685,0.402
03220203112123,15.0402957,-87.4182129,-0.583,0.383
03220212323110,14.0833011,-86.1657715,-0.416,0.403
03220230022333,13.2506393,-87.0227051,-0.297,0.406
03220203330223,14.1046123,-87.5061035,-0.428,0.424
03220210111323,16.4782298,-85.8361816,0.292,0.557
03220211200232,15.8028247,-85.7263184,-0.266,0.436
03220221131020,13.5285192,-87.3522949,-0.544,0.463
