quadkey,latitude,longitude,rwi,error
03221102023312,20.0249676,-72.8063965,0.254,0.373
03221102221013,19.6115432,-72.8723145,-0.596,0.329
03221120013011,19.1347889,-72.5207520,-0.107,0.395
03221120213101,18.4691886,-72.4768066,-0.637,0.332
03221120011313,19.1970531,-72.4328613,-0.467,0.306
03221102212303,19.6943139,-72.6525879,0.021,0.313
03221120013201,19.0517333,-72.5646973,-0.183,0.312
03221102202200,19.7149999,-73.1140137,-0.504,0.317
03221120213230,18.3440975,-72.5427246,-0.823,0.327
03221120011331,19.1763010,-72.4328613,-0.682,0.293
03221102321131,19.5908438,-72.0812988,0.167,0.389
03221102333002,19.4458740,-71.8835449,-0.366,0.302
03221102213113,19.7770419,-72.4328613,-0.203,0.328
03221102210210,19.8803914,-72.7185059,-0.241,0.322
03221120111023,19.2385495,-71.8615723,-0.276,0.296
03221120122132,18.7399059,-72.2790527,-0.239,0.443
03221031211220,18.5108654,-73.9929199,-0.363,0.377
03221102333232,19.3215109,-71.8395996,-0.885,0.277
03221031230301,18.2189158,-74.0588379,-0.208,0.374
03221120333133,18.0727566,-71.7297363,-0.327,0.336
03221102203330,19.6736252,-72.8063965,-0.628,0.329
03221031313000,18.4691886,-73.2897949,-0.085,0.394
03221102212203,19.6943139,-72.7404785,-0.479,0.329
03221102203102,19.7770419,-72.8503418,-0.423,0.336
03221120230013,18.2815179,-72.6965332,-0.547,0.379
03221102223111,19.4665919,-72.7844238,0.057,0.356
03221120012103,19.1140289,-72.6525879,-0.127,0.333
03221120121222,18.8231166,-72.2351074,-0.666,0.322
03221031202100,18.4691886,-74.4323730,-0.110,0.365
03221120221002,18.2815179,-72.9382324,-0.197,0.329
03221120321123,18.2397857,-72.1252441,-0.229,0.373
03221031202330,18.3440975,-74.3884277,-0.371,0.349
03221120130113,18.9478555,-71.9055176,-0.088,0.388
03221031302130,18.4275017,-73.6853027,-0.914,0.343
03221102203033,19.7356832,-72.8723145,-0.411,0.329
03221102322012,19.4458740,-72.3669434,0.041,0.291
03221102323200,19.3837043,-72.2351074,-0.346,0.385
03221120320131,18.2606530,-72.2570801,-0.351,0.328
03221120213221,18.3440975,-72.5646973,-0.632,0.328
03221102232131,19.4251534,-72.6086426,-0.205,0.350
03221120211300,18.5525320,-72.4987793,1.001,0.397
03221102323112,19.4458740,-72.1032715,-0.610,0.323
03221031312203,18.3649523,-73.4436035,-0.291,0.313
03221031303111,18.4691886,-73.4875488,-0.360,0.330
03221102202001,19.7977172,-73.0920410,-0.407,0.319
03221102213032,19.7356832,-72.5427246,-0.593,0.309
03221120302113,18.4483464,-72.2570801,-0.193,0.334
03221120320132,18.2397857,-72.2790527,-0.718,0.330
03221031210213,18.5317000,-74.1027832,-0.210,0.327
03221031320200,18.2189158,-73.8171387,-0.118,0.353
03221102331333,19.4873072,-71.7297363,-0.466,0.355
03221120120333,18.8231166,-72.2570801,-0.623,0.321
03221120101011,19.3007745,-72.1691895,-0.647,0.314
03221120221223,18.1562911,-72.9162598,0.018,0.313
03221120113120,19.0932663,-71.7956543,-0.232,0.324
03221120033102,18.7815164,-72.4987793,0.612,0.383
03221102313232,19.6529339,-71.8395996,0.471,0.433
03221102202232,19.6529339,-73.0700684,-0.418,0.361
03221120031310,18.8854977,-72.4548340,-0.687,0.324
03221031203030,18.4275017,-74.3005371,-0.564,0.340
03221102210021,19.9217124,-72.7404785,-0.477,0.374
03221120103003,19.1140289,-72.2131348,-0.672,0.319
03221031323022,18.0727566,-73.6413574,0.162,0.347
03221102221020,19.5908438,-72.9382324,-0.248,0.353
03221031212233,18.3232401,-74.1027832,-0.419,0.337
03221031213301,18.3858046,-73.8830566,-0.455,0.360
03221120123021,18.7607124,-72.2131348,-0.652,0.303
03221102230112,19.6115432,-72.6306152,-0.264,0.314
03221120230000,18.3023803,-72.7624512,-0.856,0.306
03221031211331,18.5108654,-73.8391113,-0.574,0.320
03221031303210,18.3858046,-73.5974121,-0.402,0.329
03221031312033,18.4066544,-73.3996582,0.680,0.320
03221102203202,19.6943139,-72.9382324,-0.880,0.312
03221120123220,18.6774709,-72.2351074,1.154,0.363
03221031201001,18.6358348,-74.3225098,-0.531,0.340
