quadkey,latitude,longitude,rwi,error
03221020303111,18.4691886,-77.7062988,0.263,0.555
03221021221002,18.2815179,-77.1569824,-0.668,0.535
03221021220202,18.1980434,-77.3327637,-0.484,0.503
03221020230021,18.2606530,-78.3654785,1.055,0.592
03221021232132,18.0727566,-76.8493652,0.706,0.574
03221023100012,17.9473804,-76.5856934,-0.519,0.485
03221021222110,18.1354112,-77.2009277,0.271,0.580
03221020330321,18.1771685,-77.5744629,0.406,0.566
03221021232130,18.0936440,-76.8493652,0.577,0.582
03221020213013,18.4483464,-78.1457520,0.915,0.594
03221022101301,17.8846589,-77.7502441,0.966,0.560
03221020322133,18.0727566,-77.8820801,0.231,0.571
03221022111003,17.9473804,-77.4865723,0.106,0.584
03221021202312,18.3649523,-77.2009277,0.035,0.545
03221020231010,18.3023803,-78.1677246,0.170,0.568
03221020321123,18.2397857,-77.7502441,-1.037,0.524
03221020333013,18.1145288,-77.4426270,0.661,0.539
03221021232001,18.1354112,-76.9592285,-0.229,0.565
03221023000033,17.9055685,-77.2668457,-0.155,0.541
03221020320102,18.2815179,-77.9479980,0.369,0.566
03221020320002,18.2815179,-78.0358887,0.200,0.537
03221023002101,17.8009957,-77.2229004,-0.380,0.566
03221023001010,17.9682826,-77.1130371,0.364,0.588
03221020213020,18.4275017,-78.2116699,-0.514,0.545
03221020231102,18.2815179,-78.1237793,0.459,0.579
03221020323331,18.0100796,-77.7062988,-0.060,0.559
03221020230131,18.2606530,-78.2336426,0.428,0.551
03221020302221,18.3440975,-78.0139160,-0.283,0.594
03221020332122,18.0727566,-77.5964355,-0.245,0.538
03221021202331,18.3440975,-77.1789551,-0.080,0.566
03221021231211,18.2189158,-76.7395020,-0.259,0.614
03221020332212,18.0309744,-77.6403809,0.115,0.550
03221021221132,18.2397857,-77.0251465,0.252,0.557
03221021203202,18.3649523,-77.1569824,-0.286,0.512
03221022111120,17.9264757,-77.4206543,0.232,0.605
03221021322110,18.1354112,-76.4978027,-0.463,0.525
03221020312010,18.4691886,-77.6403809,0.696,0.575
03221022110022,17.9055685,-77.6843262,0.234,0.549
03221021232030,18.0936440,-76.9372559,0.072,0.569
03221021220211,18.2189158,-77.2668457,-0.398,0.523
03221021320332,18.1562911,-76.4978027,-0.508,0.519
03221022101311,17.8846589,-77.7062988,0.899,0.568
03221021320323,18.1562911,-76.5197754,-0.715,0.494
03221020213121,18.4275017,-78.1018066,-0.137,0.554
03221020302222,18.3232401,-78.0358887,-0.159,0.522
03221021212033,18.4066544,-76.9152832,0.263,0.548
03221020332332,17.9891824,-77.5524902,0.439,0.547
03221020332322,17.9891824,-77.5964355,0.303,0.563
03221020321320,18.1771685,-77.7722168,0.201,0.541
03221020320111,18.3023803,-77.8820801,-0.336,0.546
03221020332123,18.0727566,-77.5744629,0.153,0.555
03221021202232,18.3232401,-77.2888184,-0.165,0.552
03221023100011,17.9682826,-76.5637207,-0.496,0.520
03221020333133,18.0727566,-77.3547363,0.471,0.587
03221021222303,18.0309744,-77.2229004,0.184,0.558
03221020331100,18.3023803,-77.4206543,0.468,0.552
03221023000113,17.9473804,-77.1789551,0.471,0.590
03221020312033,18.4066544,-77.6184082,-0.201,0.533
03221020320331,18.1771685,-77.8820801,0.320,0.566
03221020313231,18.3440975,-77.4426270,-0.183,0.483
03221021221012,18.2815179,-77.1130371,0.568,0.582
03221020303301,18.3858046,-77.7502441,-0.366,0.576
03221020313122,18.4066544,-77.4206543,0.285,0.569
03221022110211,17.8846589,-77.6184082,0.431,0.621
03221021233000,18.1354112,-76.8054199,-0.680,0.552
03221021223211,18.0518668,-77.0910645,0.667,0.576
03221021230020,18.2606530,-76.9812012,0.330,0.582
03221021230221,18.1771685,-76.9592285,0.191,0.561
03221021232312,18.0309744,-76.8493652,1.364,0.543
03221021230201,18.2189158,-76.9592285,0.051,0.529
03221021202132,18.4066544,-77.2009277,0.448,0.599
03221021212333,18.3232401,-76.8273926,-0.756,0.502
03221021212302,18.3649523,-76.8933105,0.839,0.547
03221021322322,17.9891824,-76.5417480,-0.545,0.554
03221020313131,18.4275017,-77.3547363,0.044,0.553
03221020213202,18.3649523,-78.2116699,0.330,0.543
03221021221022,18.2397857,-77.1569824,-0.182,0.560
03221021202332,18.3232401,-77.2009277,-0.016,0.560
03221023010000,17.9682826,-76.9812012,0.136,0.567
03221020322102,18.1145288,-77.9479980,-0.103,0.606
03221022111133,17.9055685,-77.3547363,-0.274,0.525
03221022101111,17.9682826,-77.7062988,0.249,0.565
03221022111210,17.8846589,-77.4645996,-0.025,0.561
03221020332011,18.1354112,-77.6184082,0.032,0.575
03221021323032,18.0727566,-76.4099121,-0.137,0.571
03221021202222,18.3232401,-77.3327637,-0.194,0.527
03221020332233,17.9891824,-77.6184082,-0.080,0.532
03221020322101,18.1354112,-77.9260254,-0.399,0.574
03221023101133,17.9055685,-76.3000488,-0.087,0.557
03221020310232,18.4900283,-77.6403809,1.068,0.624
03221020302230,18.3440975,-77.9919434,0.484,0.549
03221021221310,18.2189158,-77.0251465,-0.037,0.541
03221021230133,18.2397857,-76.8273926,-0.070,0.564
