quadkey,latitude,longitude,rwi,error
12211223231323,32.1104954,35.8044434,0.602,0.548
12213001012213,31.7001291,35.5847168,0.454,0.555
12213001033203,31.4005349,35.7165527,-0.189,0.498
12213001011111,31.9428395,35.8483887,1.432,0.487
12211223330123,32.1849106,36.3317871,0.464,0.549
12213003021331,30.3254708,35.4968262,0.725,0.549
12213001223202,30.7984737,35.3430176,-0.395,0.453
12213001221132,30.9870275,35.4748535,-0.403,0.491
12213020111032,29.4682962,35.0354004,0.008,0.526
12213001232110,30.8927970,35.6506348,0.000,0.515
12211223211001,32.5375513,35.7165527,0.684,0.565
12211223122221,32.5745912,35.8923340,0.727,0.468
12211223032320,32.5745912,35.6066895,0.147,0.541
12213003033302,30.1926178,35.7824707,-0.062,0.487
12211223032132,32.6301225,35.6506348,-0.117,0.491
12211223122310,32.6116159,36.0021973,-0.323,0.488
12211223230123,32.1849106,35.6286621,0.772,0.584
12211223122300,32.6116159,35.9582520,-0.432,0.491
12211223210011,32.5375513,35.5847168,0.150,0.454
12213021001030,29.4874244,35.3869629,-0.245,0.535
12213001011313,31.8495649,35.8483887,0.238,0.526
12213001013003,31.7748771,35.7165527,-0.179,0.491
12213001031310,31.5691750,35.8264160,-0.282,0.511
12211223323201,32.0173911,36.0681152,0.395,0.542
12211223211121,32.5004960,35.8044434,0.529,0.532
12213003220312,29.7357620,35.2990723,-0.136,0.476
12213001013331,31.6814326,35.8483887,-0.116,0.504
12213001211120,31.3067147,35.7824707,0.054,0.498
12213001120220,31.5317257,35.8703613,0.148,0.528
12211223300202,32.4448845,35.8703613,0.448,0.514
12211223232031,32.0546442,35.5847168,0.074,0.538
12213020110331,29.4108899,34.9694824,0.748,0.538
12213001012131,31.7561958,35.6726074,-0.236,0.498
12211223122011,32.6856194,35.9362793,0.292,0.577
12211223323020,32.0546442,36.0461426,0.334,0.495
12213001120331,31.5317257,36.0241699,0.320,0.497
12211223232212,31.9987589,35.5627441,-0.175,0.503
12211223300102,32.5190256,35.9582520,0.263,0.519
12211223211221,32.4263397,35.7165527,-0.267,0.498
12211223122222,32.5560732,35.8703613,1.264,0.493
12213001211023,31.2879394,35.7165527,0.087,0.547
12213001221303,30.9493465,35.4528809,0.494,0.513
12211223301131,32.5004960,36.1999512,0.477,0.555
12211223230230,32.1291049,35.5627441,-0.440,0.440
12211223233132,32.0360196,35.8264160,1.308,0.482
12211223303211,32.3149908,36.1120605,-0.173,0.539
