quadkey,latitude,longitude,rwi,error
12121220220320,49.9724218,56.3488770,-0.580,0.224
12130023131231,53.0346066,70.2136230,0.147,0.274
12132312330001,43.3171844,77.0251465,0.024,0.390
12123012013012,47.8500303,59.6447754,-0.393,0.313
12123122021000,45.8211429,62.0617676,0.117,0.403
12130212033010,51.2825342,70.8947754,-0.319,0.252
12130211001110,52.4760885,72.0373535,-0.105,0.317
12121331300013,50.2682762,66.8737793,0.129,0.381
12130310130201,52.2076062,77.0251465,0.072,0.330
12132010233112,48.0854181,70.9826660,-0.345,0.270
12132010232312,48.0266717,70.8068848,-0.436,0.300
12130300222223,51.6248369,73.1579590,0.856,0.329
12132313210031,43.5405843,77.7722168,-0.194,0.341
12122303302331,43.3491491,52.8991699,0.752,0.436
12131232110003,49.8167203,82.6501465,-0.493,0.322
12132101300132,48.4073256,75.3771973,-0.578,0.265
12120223233322,48.9297171,47.0324707,0.117,0.276
12131222333011,49.0306647,80.0573730,-0.093,0.371
12123311233303,44.1270275,66.7419434,-0.445,0.379
12121311202121,51.9103902,66.2145996,0.349,0.376
12130203101011,51.6111941,69.8620605,-0.091,0.296
12121220010231,50.6459768,56.6784668,0.282,0.296
12132312310223,43.4608933,77.0251465,0.630,0.398
12132312221331,43.2211892,76.2780762,-0.106,0.387
12132100130000,48.6837070,74.1906738,-0.223,0.263
12130023010101,53.3243110,69.3786621,0.276,0.372
12132312312222,43.3331689,77.0031738,0.948,0.427
12130003003021,54.8449894,69.1149902,0.637,0.364
12132223031300,41.6975254,69.5324707,-0.245,0.292
12310000100111,40.9716030,68.3679199,-0.523,0.285
12132303300012,43.5565098,75.2893066,-0.634,0.347
12131230332001,49.9441498,82.6501465,0.630,0.382
12130023230230,52.6097189,69.3127441,-0.643,0.249
12131322210202,49.3036352,84.7375488,-0.491,0.253
12123301100101,45.0812781,64.1052246,-0.492,0.303
12310000100021,40.9384144,68.2360840,-0.691,0.284
12123122323010,45.2052629,62.8088379,-0.546,0.269
12132311011310,45.0191845,78.0139160,0.189,0.405
12130213000311,51.5565817,71.8835449,-0.423,0.245
12132222322332,40.9881910,68.3459473,-0.241,0.281
12132302230020,43.2852028,73.4875488,-0.447,0.396
12131233120222,49.5038090,83.6828613,-0.203,0.248
12120303010033,51.5702409,52.4597168,-0.306,0.227
12133032020110,45.8211429,81.7053223,-0.736,0.273
12130002232313,54.1945829,68.0163574,-0.515,0.265
12130320222013,49.9300076,73.2019043,-0.342,0.348
12121301130033,52.2210690,64.4128418,-0.207,0.201
12121313201213,51.1035214,66.3464355,-0.328,0.248
12132302302023,43.3970647,73.8610840,-0.549,0.285
12130303113032,51.4608519,75.8166504,-0.096,0.414
12130212122302,51.2137654,71.1145020,0.821,0.379
12130023133213,52.9420173,70.2136230,0.614,0.404
12121122320221,52.6097189,62.6110840,-0.483,0.206
12122301222302,44.1270275,52.1301270,-0.115,0.409
12122121311000,46.5513050,53.2727051,-0.002,0.386
12130212301221,51.0897224,71.2243652,0.473,0.363
12130132233312,52.5162204,76.6076660,-0.295,0.217
12132312313223,43.3331689,77.2009277,0.337,0.409
12132312231010,43.3171844,76.5197754,1.065,0.325
12131202231101,50.9515056,79.3981934,0.712,0.344
12120223312223,49.1601541,47.4938965,-0.249,0.263
12132221112013,42.9162059,70.0378418,0.278,0.350
12130310111000,52.4760885,77.1789551,-0.310,0.250
12130231333210,49.8875560,73.0041504,0.039,0.390
12121221030200,50.4505085,58.0187988,-0.369,0.234
