quadkey,latitude,longitude,rwi,error
12233222111232,1.2413579,35.0354004,-0.611,0.413
30011001113200,-0.2746571,36.3977051,-0.075,0.463
12233221221310,1.6587038,35.4748535,-0.641,0.362
12233223233232,0.0109863,35.7385254,-0.512,0.450
12233233133303,0.7580345,39.3200684,-0.063,0.362
30011003131312,-1.8783255,36.5295410,-0.800,0.352
30011001310231,-0.8459165,36.2878418,0.229,0.492
12233320003130,2.5809138,39.6936035,-0.625,0.359
12233320330101,1.7465556,40.5505371,-0.293,0.353
30011001331322,-1.2193903,36.4855957,-0.224,0.403
30011000330021,-1.1095498,34.8376465,-0.407,0.351
12233232330123,0.2746571,37.7380371,-0.446,0.374
30011000310311,-0.8019758,34.9694824,-0.210,0.452
30011013022312,-2.0540032,38.1115723,-0.328,0.382
30011030101302,-2.9320690,37.5402832,0.493,0.479
12233232333331,0.0329590,37.9577637,-0.015,0.462
30011102320232,-2.6248138,40.1330566,-0.876,0.473
30011001230213,-1.1754546,35.5847168,-0.402,0.356
30011010333211,-1.3292264,37.8698730,-0.315,0.409
12233222110131,1.3511931,34.9694824,-0.236,0.354
30011000121112,-0.3845186,34.7717285,0.098,0.530
30011001101013,-0.0329590,36.1120605,0.157,0.437
12233222321012,0.3186019,34.6838379,-0.215,0.436
30011000303203,-0.9997051,34.6618652,0.269,0.382
30011000332032,-1.3072596,34.8596191,-0.046,0.400
30011010212200,-0.9777357,36.9250488,0.274,0.514
30011001300300,-0.8019758,35.9582520,-0.570,0.403
30011013002132,-1.6587038,38.1115723,-0.388,0.384
30011010221102,-1.0875811,36.8371582,1.057,0.515
12233223021000,1.0436434,35.3430176,0.106,0.408
30011001311231,-0.8459165,36.4636230,-0.569,0.483
30011012201011,-2.1198775,36.8151855,-0.093,0.393
12233223023120,0.8239462,35.4309082,-0.274,0.380
12233223030100,1.0436434,35.6066895,-0.841,0.426
12233223133112,0.8459165,36.5295410,-0.638,0.362
30011030112013,-3.0198411,37.6940918,-0.240,0.351
30011012131133,-1.8344033,37.9577637,-0.791,0.363
30011120102211,-3.0856655,40.1550293,0.869,0.495
30011010322110,-1.2413579,37.4084473,0.462,0.472
30011003113000,-1.5928123,36.3977051,-0.303,0.373
30011102320100,-2.4711573,40.1770020,-0.103,0.450
12233233222233,0.0109863,38.0456543,-0.674,0.400
30011010113321,-0.3186019,37.9138184,-0.159,0.421
12233322301003,0.6701507,40.2868652,-0.832,0.360
30011012023130,-1.9881263,36.8811035,0.119,0.358
12233320313012,1.9002862,40.6604004,-0.706,0.352
30011030101103,-2.8442900,37.5622559,-0.634,0.489
30011000001121,-0.0549316,34.0466309,0.314,0.535
12233223031323,0.8898568,35.8044434,-0.984,0.351
12233223021102,1.0216743,35.4309082,-0.377,0.409
30011012131211,-1.8563646,37.8698730,-0.336,0.372
30011012210210,-2.2077054,36.9689941,-0.392,0.371
12233201220232,4.4011829,35.2111816,-0.546,0.357
30011010303002,-0.9118267,37.4523926,-0.186,0.422
30011003001321,-1.5488836,35.4528809,-0.299,0.442
