quadkey,latitude,longitude,rwi,error
12132331213023,42.3666611,77.9040527,0.091,0.298
12310100011133,40.9218139,73.8171387,-0.482,0.228
12132231201302,42.4639923,71.9934082,0.315,0.335
12310011110012,40.9550108,72.8283691,0.038,0.311
12132233032321,41.5332536,72.1911621,0.001,0.236
12132231023000,42.6743581,71.9055176,-0.434,0.241
12310011111201,40.9052092,72.9821777,0.358,0.364
12132322023000,41.6318669,73.3117676,0.182,0.443
12310100021313,40.6222913,73.4655762,0.326,0.327
12310013031132,39.5802898,72.3889160,-0.073,0.291
12132321303232,42.3016898,75.4650879,-0.059,0.285
12310003010313,39.8169746,69.4226074,-0.364,0.242
12132233321013,41.2199853,72.6745605,-0.493,0.238
12132330333003,42.1389679,77.2009277,0.301,0.358
12132331300321,42.4477809,78.1677246,-0.049,0.275
12310011121331,40.6056115,72.7624512,0.550,0.379
12132230133312,42.5935321,71.6857910,0.133,0.294
12310010232113,40.0192008,70.8288574,0.245,0.336
12310011122300,40.5054458,72.5207520,0.821,0.389
12132233211000,41.5003491,72.2570801,-0.599,0.237
12132232302321,41.2695490,71.1364746,-0.390,0.230
12310011212033,40.2543761,72.1472168,0.516,0.414
12132321002013,42.9162059,74.6081543,1.386,0.341
12132331222111,42.1552589,77.5085449,0.594,0.351
12132321002210,42.8679120,74.5861816,1.514,0.382
12310001320022,40.1200899,69.6203613,-0.357,0.290
12132233030022,41.7139296,72.0812988,-0.379,0.237
12132330332001,42.1552589,77.0251465,-0.111,0.332
12132230130032,42.7550790,71.4221191,0.071,0.315
12132233021013,41.7467253,71.9714355,-0.362,0.245
12132321002321,42.8356950,74.6520996,0.797,0.400
12132233312231,41.2695490,72.8503418,-0.206,0.262
12132321331120,42.2529173,75.8605957,-0.361,0.265
12132233200303,41.4180145,71.8395996,-0.344,0.256
12132321013332,42.8195802,75.2014160,-0.395,0.276
12132321031212,42.7228032,75.1135254,0.682,0.364
12132321231113,42.2691790,75.2233887,0.178,0.331
12310011302112,40.2879061,72.5646973,0.188,0.278
12132231020230,42.7066590,71.7736816,-0.003,0.270
12132233333213,41.0213546,73.0261230,-0.030,0.356
12310100002330,40.7389327,73.2678223,-0.084,0.333
12310100033000,40.5722396,73.6633301,-0.373,0.286
12132330323202,42.0737617,76.8273926,-0.468,0.337
12132321102302,42.8518056,75.3332520,0.264,0.349
12132330233132,42.1063732,76.6076660,0.056,0.296
12132322233132,41.0545014,73.7951660,-0.359,0.227
12132322021312,41.6811170,73.4436035,-0.126,0.294
12310100003100,40.8387486,73.3996582,-0.474,0.255
12132320102230,42.8356950,73.8830566,0.723,0.335
12310011212210,40.2376048,72.1252441,0.195,0.392
12132331302221,42.3179389,78.0798340,-0.054,0.258
12310011220002,40.1536863,71.7297363,0.538,0.373
12132231210003,42.5287958,72.1032715,-0.130,0.314
12310011122023,40.5221505,72.4548340,0.251,0.347
12132233212303,41.2860619,72.1911621,0.523,0.381
12132321020030,42.7712106,74.5861816,0.540,0.334
12132321023113,42.6582013,74.8718262,0.451,0.268
12132232110200,41.9594896,71.3781738,-0.046,0.226
12132323000012,42.0084885,74.5861816,0.428,0.265
12132320120212,42.7228032,73.8830566,0.055,0.328
12310001233333,39.9181623,69.5983887,-0.418,0.298
12132233023123,41.5825791,72.0153809,-0.196,0.240
12310013130331,39.5294660,72.9382324,-0.220,0.239
12132321130032,42.7550790,75.6408691,-0.260,0.292
12132232133211,41.5661414,71.6198730,-0.325,0.241
12310013030303,39.5464114,72.1911621,0.183,0.386
12132320131000,42.8034612,74.3664551,0.927,0.356
12132320112132,42.8840141,74.3225098,0.207,0.326
12132321020202,42.7228032,74.5422363,0.757,0.362
12132232320002,41.2199853,71.0266113,-0.122,0.230
12310100011320,40.8719872,73.7512207,0.076,0.245
12132232031131,41.7303295,71.0046387,-0.183,0.273
12310011122321,40.4720239,72.5427246,-0.214,0.297
12132321130200,42.7389432,75.5969238,0.669,0.420
12310011131200,40.6389668,72.9602051,0.266,0.317
12132331130201,42.7389432,78.4313965,-0.227,0.284
12132230311100,42.5449861,71.6418457,0.100,0.328
12132330233210,42.0900695,76.5197754,-0.759,0.256
12310100211020,40.4051302,73.6633301,-0.576,0.253
12132232102320,41.7958876,71.1145020,-0.176,0.231
12132233023000,41.6318669,71.9055176,-0.175,0.271
12310011131031,40.6723055,73.0261230,0.026,0.340
12132233113130,41.8613786,73.0920410,0.322,0.273
12132320322121,42.1226726,73.9489746,-0.609,0.260
12132322303003,41.3520716,74.0368652,0.205,0.259
12132232302133,41.3190751,71.1804199,-0.617,0.230
12310100201310,40.3716584,73.4436035,0.146,0.328
12310010332113,40.0192008,71.5319824,-0.071,0.242
12132321012020,42.9001121,74.8937988,0.455,0.337
12132331213302,42.3341839,77.9699707,-0.159,0.329
12132230131031,42.7712106,71.6198730,-0.174,0.267
12132332022201,41.5661414,75.9704590,0.018,0.350
12132330132112,42.6582013,77.1350098,0.393,0.314
12310011302032,40.2543761,72.4768066,-0.321,0.247
12310100002320,40.7389327,73.2238770,-0.034,0.458
12132330123310,42.6097057,76.9592285,0.934,0.299
12310100012212,40.7555791,73.5314941,-0.458,0.266
12310100200323,40.3214195,73.2458496,-0.208,0.256
12132233130222,41.6482878,72.7844238,-0.346,0.318
12132322301221,41.4015351,74.0368652,1.024,0.461
12310011202331,40.2040499,71.8835449,-0.278,0.247
12132231213102,42.3991216,72.3449707,-0.115,0.266
12132321001222,42.9483809,74.7180176,0.145,0.361
12310102000302,39.8169746,73.2238770,-0.495,0.262
12132233021223,41.6482878,71.9274902,-0.003,0.262
12132320131001,42.8034612,74.3884277,0.036,0.372
12132330231121,42.2529173,76.5856934,0.097,0.293
12132321031333,42.6905106,75.2233887,-0.385,0.253
12310100002132,40.7888594,73.2678223,0.236,0.314
12132331020230,42.7066590,77.3986816,-0.395,0.256
12310010232031,40.0023714,70.7409668,-0.056,0.343
12310011132203,40.4887369,72.8063965,1.292,0.353
12132323331111,41.2365107,75.9265137,0.189,0.297
12132321003000,42.9322955,74.7180176,0.460,0.354
12132321131001,42.8034612,75.7946777,-0.377,0.279
12132232311233,41.3850514,71.6198730,0.304,0.317
12132233113020,41.8613786,72.9602051,0.573,0.363
12132323311301,41.4344898,75.8825684,0.066,0.351
12310100001032,40.9218139,73.3557129,0.421,0.329
12132330333000,42.1552589,77.1789551,0.176,0.380
12310100010023,40.9218139,73.5095215,-0.059,0.243
12132231033310,42.6097057,72.3889160,-0.541,0.263
12310011032312,40.4887369,72.2131348,-0.075,0.233
12310100030301,40.6389668,73.5974121,0.529,0.383
12132321330322,42.1715458,75.6848145,-0.212,0.297
12132233212121,41.3355755,72.1911621,0.887,0.427
12310100301103,40.4218598,74.1247559,0.046,0.252
12132232313013,41.3520716,71.6198730,-0.378,0.253
12310011330233,40.0528471,72.8503418,-0.239,0.237
12132323001033,41.9758267,74.7839355,-0.047,0.297
12310100033310,40.5054458,73.7951660,-0.313,0.255
12132230131221,42.7066590,71.5759277,0.389,0.346
12132331301111,42.5449861,78.3874512,0.095,0.325
12310011310020,40.4051302,72.7844238,0.033,0.260
12132330323330,42.0574497,76.9592285,-0.464,0.253
12132320013300,42.8679120,73.7512207,0.498,0.299
12132302333300,43.1250426,74.4543457,-0.205,0.337
12132331030030,42.7712106,77.7502441,-0.248,0.257
12132233023113,41.6154418,72.0593262,0.024,0.287
12310100210213,40.3549162,73.5534668,0.337,0.281
12310011122033,40.5221505,72.4987793,0.990,0.356
12132321113232,42.8195802,75.8166504,0.186,0.313
12310003100302,39.8169746,69.7082520,-0.401,0.335
12310100201123,40.3883964,73.4216309,0.022,0.330
12310001332103,40.0192008,70.0817871,-0.151,0.248
12132233313332,41.2530319,73.0920410,-0.274,0.248
12132322130102,41.7467253,74.2785645,0.509,0.250
12132233320321,41.1372955,72.5427246,-0.232,0.243
12132322130312,41.6811170,74.3225098,-0.645,0.250
12132233333200,41.0379301,72.9602051,-0.567,0.309
12132330201203,42.4639923,76.1462402,-0.070,0.281
12132322023003,41.6154418,73.3337402,0.207,0.252
12310011132000,40.5722396,72.7844238,0.890,0.333
12310100001120,40.9384144,73.3996582,0.046,0.286
12132233021303,41.6811170,72.0153809,0.404,0.343
12310011212203,40.2208295,72.1032715,-0.288,0.245
12132330203300,42.3504246,76.2121582,-0.274,0.293
12310011111123,40.9218139,73.0700684,0.055,0.266
12132321010203,42.9805390,74.9157715,-0.081,0.376
12132322230232,41.1207451,73.5314941,0.144,0.232
12132331213010,42.4153456,77.9260254,-0.375,0.273
12132321002032,42.8840141,74.5861816,0.958,0.368
12132331120210,42.7389432,78.1018066,-0.123,0.443
12310001320320,40.0696640,69.7082520,0.096,0.279
12132320120232,42.6905106,73.8830566,0.122,0.324
12132331121031,42.7712106,78.2995605,0.340,0.298
12132323300133,41.4509609,75.3991699,0.506,0.287
12310003011013,39.8844497,69.5104980,0.286,0.343
12132231022321,42.5773543,71.8395996,0.243,0.353
12132320113313,42.8518056,74.5202637,0.793,0.352
12310011313230,40.2040499,73.0041504,-0.362,0.239
12132233331010,41.2365107,73.0041504,-0.522,0.249
12132322303021,41.3355755,74.0368652,-0.297,0.258
12132321121303,42.7228032,75.5310059,-0.239,0.279
12132321330220,42.1878285,75.5969238,-0.533,0.277
12132320103310,42.8679120,74.1467285,-0.062,0.325
12132331302232,42.3016898,78.1018066,-0.384,0.244
12132322221202,41.1538418,73.3117676,0.004,0.277
12132233230031,41.2034557,72.1472168,-0.093,0.238
12132331130120,42.7712106,78.4973145,0.516,0.304
12132233302220,41.2695490,72.4328613,0.511,0.242
12132233330323,41.1207451,72.8942871,-0.038,0.273
12132321331032,42.2366514,75.8166504,0.367,0.311
12310010230111,40.1704783,70.8288574,0.034,0.245
12310011302133,40.2543761,72.5866699,0.465,0.366
12310010320033,40.1200899,71.0925293,-0.274,0.275
12132331120122,42.7550790,78.1457520,0.270,0.322
12310100003203,40.7555791,73.3337402,0.626,0.366
12132231201312,42.4639923,72.0373535,0.373,0.315
12132320130003,42.7873380,74.2126465,0.280,0.335
12132331213103,42.3991216,77.9919434,-0.012,0.249
12132321001213,42.9805390,74.7839355,0.377,0.333
12310011203010,40.3046649,71.9494629,-0.062,0.264
12132320010330,42.9644620,73.6193848,0.046,0.263
12310003101330,39.8000954,69.9279785,-0.193,0.266
12310003010103,39.8844497,69.3786621,-0.435,0.243
12132233313312,41.2860619,73.0920410,-0.205,0.261
12132330200303,42.4639923,76.0583496,0.497,0.286
12132321013233,42.8195802,75.1354980,-0.460,0.284
12132323332030,41.0710686,75.6408691,-0.181,0.295
12310100203122,40.2543761,73.3996582,0.065,0.321
12132323330233,41.1207451,75.6628418,0.457,0.350
12132232031220,41.6647045,70.8508301,-0.248,0.268
12132232321101,41.2365107,71.3122559,0.322,0.330
12310001323001,40.0360260,69.8181152,-0.204,0.292
12132231122222,42.5611723,72.4328613,-0.669,0.275
12132322020000,41.7631169,73.1359863,0.876,0.288
12132233033022,41.5825791,72.2570801,-0.052,0.235
12132232310223,41.3850514,71.4001465,-0.308,0.280
12132331130011,42.8034612,78.4753418,-0.465,0.238
12132233313230,41.2695490,73.0041504,0.020,0.313
12310011310113,40.4218598,72.9382324,-0.211,0.257
12310100022132,40.5221505,73.2678223,-0.296,0.244
