quadkey,latitude,longitude,rwi,error
13221230312230,12.9296144,105.1721191,0.507,0.514
13223010010031,11.1245072,104.4909668,-0.561,0.562
13221232232302,11.2322862,104.5129395,-0.655,0.498
13221232032001,12.0285754,104.4470215,-0.214,0.501
13221233222301,11.2538371,105.5895996,-0.176,0.586
13221231322313,12.6081759,106.3366699,-0.900,0.458
13221230312103,13.0366691,105.2380371,-0.319,0.483
13221203233210,13.9980363,103.2385254,-0.352,0.485
13221230221223,12.7368003,104.2712402,-0.275,0.489
13221212223102,14.0619878,104.3371582,-0.368,0.544
13221231303022,12.9938527,106.3586426,-0.319,0.601
13221220310312,13.1222796,102.4475098,-0.400,0.555
13221212213211,14.3389038,104.6667480,-0.286,0.504
13223010011223,11.0166883,104.6228027,0.183,0.507
13221232210130,11.8135879,104.5568848,-0.212,0.611
13221220311013,13.2078602,102.5573730,0.172,0.497
13221230203031,13.0152618,104.3151855,-0.376,0.460
13221223311101,11.8565990,104.0075684,-0.711,0.449
13221232103311,12.2863336,105.1062012,-0.380,0.550
13221213321033,14.1898373,106.4245605,-0.772,0.493
13221230213321,12.9296144,104.7106934,-0.121,0.483
13221232322103,11.3184804,104.8864746,-0.666,0.675
13221232330301,11.4261866,105.2380371,0.256,0.506
13221231233303,12.6081759,106.1169434,-0.338,0.487
13221221130321,13.4430519,103.8317871,0.200,0.511
13221230302311,12.9724418,104.9304199,-0.998,0.520
13221232001200,12.4580325,104.2492676,-1.083,0.541
13223010111133,11.1029466,105.4577637,-0.181,0.478
13221221112112,13.7207082,103.8537598,-0.568,0.535
13223010031022,10.7577626,104.6008301,-0.170,0.478
13221320000322,13.7633955,106.9738770,0.483,0.481
13221233003301,12.2863336,105.7653809,-0.161,0.499
13221232113112,12.3507339,105.4357910,-0.461,0.638
13221221200003,13.2078602,102.6892090,-0.556,0.480
13221203322000,14.0833011,103.3703613,-1.052,0.485
13221232221220,11.3831090,104.2492676,-1.020,0.600
13221230200212,13.1222796,104.1174316,-0.267,0.580
13221221222100,12.7153674,102.7551270,-0.310,0.493
13221232111001,12.5438394,105.3259277,-0.321,0.475
13221223111323,12.3936586,104.0075684,-0.748,0.446
13221233132012,12.0070844,106.5783691,-0.564,0.443
13221221100300,13.8274120,103.4582520,-0.407,0.486
13221223232122,11.2753865,103.1066895,-0.307,0.489
13221233122201,11.9426009,106.2048340,-0.284,0.475
13223011001210,11.0813844,105.6994629,-0.006,0.564
13223011000312,11.0598206,105.6115723,-0.262,0.486
13221230321222,12.7368003,104.9523926,-0.092,0.479
13221223020100,12.2004420,102.7551270,0.087,0.488
13221230311210,13.1436775,105.3479004,-0.715,0.469
13221233011032,12.4794869,106.0510254,0.012,0.554
13221232203223,11.5338520,104.2712402,-0.573,0.474
13221221212102,13.0366691,103.1066895,0.445,0.544
13221221020303,13.4644216,102.7770996,-0.313,0.496
13221221111111,13.9127399,104.0515137,-0.850,0.478
13221223010013,12.5223904,103.0847168,-0.271,0.475
13221220310333,13.0794780,102.4694824,0.501,0.522
13221232033232,11.8781020,104.6447754,-0.318,0.499
13221220133310,13.3147939,102.6232910,-0.676,0.527
13221221200010,13.2292507,102.7111816,-0.113,0.454
13221203332201,13.9980363,103.7438965,-0.325,0.517
13221221110111,13.9127399,103.8757324,-0.858,0.430
13221320013020,13.6993616,107.4133301,-0.789,0.505
13221232032210,11.9426009,104.4689941,-0.937,0.536
13221232012310,12.2863336,104.5568848,-0.441,0.528
13221233203332,11.5338520,105.7873535,0.168,0.485
13221203322001,14.0833011,103.3923340,-0.709,0.522
13221232131201,12.1145226,105.3259277,-0.529,0.500
13221232011322,12.3936586,104.6887207,-0.531,0.418
13221232231121,11.4692577,104.7106934,0.466,0.520
13221232312320,11.5553801,105.2160645,-0.642,0.518
13221223101202,12.4365763,103.5461426,-0.276,0.480
13221221211032,13.1650736,103.2385254,0.859,0.548
13221320021033,13.5071552,107.1276855,-0.367,0.529
13221320232023,12.6510579,107.2595215,-0.614,0.499
13223010111112,11.1460662,105.4357910,0.214,0.516
13221232302312,11.5769066,104.9084473,1.534,0.572
13221230012013,13.7207082,104.4909668,-0.660,0.543
13221221032001,13.4003068,103.0407715,-0.237,0.525
13221231031102,13.5498812,106.0949707,0.149,0.502
13223010002132,10.9304048,104.2053223,-0.256,0.482
13221231113311,13.6566625,106.8640137,-0.921,0.570
13223010032313,10.5418209,104.5788574,0.173,0.511
13221221202220,12.9296144,102.6672363,-0.468,0.508
13221232323120,11.2969342,105.0402832,0.489,0.523
13221232012311,12.2863336,104.5788574,-0.034,0.506
13221223201320,11.7275454,102.9309082,-0.339,0.447
13221220133213,13.2934109,102.5573730,-0.655,0.506
13221212220121,14.2111385,104.1833496,-0.444,0.475
13221233010102,12.5223904,105.9191895,-0.511,0.479
13221230102200,13.6566625,104.7766113,-0.465,0.513
13221232123112,12.0070844,105.0842285,0.258,0.534
13221221200102,13.2078602,102.7551270,-0.314,0.506
13221230022211,13.3147939,104.1394043,0.442,0.519
13221220313322,12.9081979,102.5793457,0.274,0.512
13221221000213,13.8060751,102.7331543,0.069,0.476
13221232013300,12.2863336,104.6887207,-0.519,0.469
13221232301010,11.8565990,104.9963379,1.008,0.548
13221320012210,13.6566625,107.2814941,-0.624,0.478
13221223102130,12.3292689,103.5021973,0.334,0.510
13221233220301,11.4261866,105.5895996,-0.151,0.498
13221221222332,12.5652867,102.7990723,-0.536,0.480
13223010000120,11.1245072,104.1613770,0.008,0.504
13221231230300,12.8010881,105.9191895,-0.834,0.435
13221230220200,12.8010881,104.0734863,-0.596,0.478
13221230211331,13.1008797,104.7546387,-0.086,0.530
13221221020010,13.5712413,102.7111816,0.398,0.523
13221223131023,12.1360050,103.9196777,-0.658,0.552
13221220132320,13.2720261,102.4035645,-0.814,0.577
13221233122121,11.9855916,106.2927246,-0.538,0.523
13221232333231,11.2107336,105.3698730,-0.301,0.503
13223010032301,10.5634219,104.5349121,-0.350,0.462
13221232111121,12.5009395,105.4138184,-0.128,0.528
13221221022102,13.3789314,102.7551270,-0.280,0.478
13223010103030,10.9519780,104.9963379,-0.183,0.525
13221232121221,12.0715524,104.9743652,0.227,0.518
13221212213330,14.2963234,104.7326660,-0.423,0.577
13223010111002,11.1460662,105.3039551,-0.564,0.518
13221320232001,12.7153674,107.2595215,-0.495,0.529
13221231030132,13.5071552,105.9631348,0.544,0.526
13221232111002,12.5223904,105.3039551,-0.398,0.471
13221212223300,13.9980363,104.3371582,-0.519,0.495
13221213232202,13.9767151,105.8312988,-0.245,0.488
13221233201313,11.7490585,105.8093262,-0.352,0.478
13221320002110,13.7420528,107.0178223,0.311,0.498
13221233023332,11.8781020,105.7873535,0.015,0.497
13221232301103,11.8350943,105.0622559,-0.101,0.506
13221320000203,13.8060751,106.9079590,-0.466,0.471
13221223322112,11.3184804,103.5021973,-0.060,0.458
13221233011213,12.4365763,106.0729980,-0.334,0.462
13221230323122,12.6510579,105.0402832,-0.604,0.821
13221232032010,12.0285754,104.4689941,-0.091,0.522
13221230130333,13.4216803,105.2819824,-0.786,0.422
13221233001132,12.4794869,105.7873535,-0.766,0.453
13221232200333,11.7060306,104.2272949,-0.553,0.551
13221221121001,13.5712413,103.5681152,-0.321,0.491
13221232101133,12.4794869,105.1062012,0.201,0.530
13221221333032,12.6510579,103.9416504,-0.298,0.573
13221232232332,11.1891794,104.5568848,-0.298,0.485
13221221130332,13.4216803,103.8537598,0.042,0.579
13221233223101,11.3400249,105.7653809,-0.441,0.490
13221232223212,11.2322862,104.2932129,-0.333,0.472
13221221010321,13.7847363,103.1286621,-0.638,0.485
13221203320032,14.1898373,103.4143066,-0.467,0.507
13221232233112,11.3184804,104.7326660,-0.030,0.583
13221203323321,13.9553920,103.6560059,-0.410,0.518
13223001110012,11.1460662,103.7658691,-0.086,0.480
13221322010222,12.3936586,107.2375488,-0.146,0.476
13221232321130,11.4692577,105.0842285,-0.179,0.532
13221221000231,13.7847363,102.7331543,-0.322,0.487
