quadkey,latitude,longitude,rwi,error
13221211302010,15.7816814,106.2268066,-0.772,0.365
13221003022332,19.9836736,102.7990723,-0.431,0.338
13221002300330,19.8390597,102.0959473,-0.539,0.420
13221003233321,19.3422447,103.3044434,-0.643,0.380
13221210112223,16.3095952,105.1501465,-0.792,0.400
13221032111123,17.9055685,105.4138184,-0.418,0.323
13221032112022,17.7382226,105.1281738,-0.272,0.404
13221213131032,14.8704688,106.7541504,-0.437,0.427
13221012122131,20.0868882,104.9304199,-0.339,0.414
13221213232113,14.0619878,105.9851074,-0.182,0.459
13221002300120,19.9217124,102.0520020,-0.675,0.392
13221020102123,19.0725011,102.0739746,-0.371,0.415
13221210121120,16.2463197,105.0402832,-0.673,0.401
13221033321311,16.8781467,106.5124512,-0.349,0.357
13221030022301,18.7190968,104.1833496,-0.033,0.464
13221300002020,16.4150090,106.8859863,-0.589,0.339
13221020222311,18.0518668,101.4147949,0.045,0.425
13221002202011,19.7977172,101.3269043,-0.433,0.353
13221213101331,15.1463690,106.5124512,-0.637,0.387
13220113031010,20.2931131,100.4260254,-0.511,0.478
13221003003011,20.4578958,102.9089355,-0.767,0.371
13221213232010,14.0833011,105.8752441,0.433,0.401
13221211130133,16.2252233,106.6882324,-0.134,0.400
13221000013002,21.7492955,101.7883301,-0.484,0.333
13221002023011,20.1281550,101.5026855,-0.622,0.400
13221033323213,16.6888167,106.4245605,-0.681,0.348
13221302021221,14.8067491,107.0837402,0.289,0.420
13221030323130,18.0936440,105.0842285,-0.139,0.403
13221002231302,19.5287298,101.8762207,-0.539,0.405
13221021011102,19.2800355,103.2824707,-0.429,0.346
13221210113112,16.4360849,105.4357910,-0.377,0.418
13221030231023,18.2397857,104.6228027,-0.366,0.409
13221213010313,15.1675773,105.9851074,0.598,0.408
13221003122023,20.0662507,103.3923340,-0.196,0.406
13221003312101,19.7977172,103.8317871,-0.176,0.358
13221211012233,16.3095952,105.8972168,-0.706,0.379
13221020313010,18.4691886,102.5354004,-0.629,0.406
13221032311200,17.2142640,105.3039551,-0.747,0.350
13221003321033,19.5701418,103.6120605,-0.279,0.397
13221020203303,18.3649523,101.5466309,-0.034,0.446
13221020212103,18.4483464,101.7224121,-0.543,0.459
13221030223222,17.9891824,104.2492676,-0.575,0.399
13221213023211,14.6792536,105.7214355,-0.116,0.412
13221020303211,18.3858046,102.2058105,-0.074,0.416
13221003100100,20.6225019,103.4582520,-0.629,0.451
13221030223210,18.0518668,104.2932129,-0.243,0.432
13221002023323,19.9836736,101.5466309,-0.857,0.351
13221032332120,16.7519476,105.2160645,-0.377,0.400
13221001220220,20.8280094,102.6672363,-0.324,0.459
13221000112233,21.6267923,102.3815918,-0.380,0.400
13221020021120,18.9270721,101.5246582,0.291,0.446
13221003233023,19.4044302,103.2165527,-0.025,0.447
13221300202202,15.6759319,106.8859863,0.319,0.385
13221211111312,16.5203656,106.8420410,-0.455,0.395
13221211102132,16.3939308,106.3146973,-0.575,0.354
13221033210330,17.1722825,105.9631348,-1.108,0.349
13221003001200,20.5402210,102.8430176,-0.471,0.319
13221211003230,16.3306825,105.6994629,-0.540,0.378
13221030323001,18.1354112,104.9743652,-0.396,0.401
13221021113233,18.9894144,103.9636230,-0.535,0.343
13221012033131,20.0868882,104.7546387,-0.712,0.387
13221000223032,20.7252905,101.4807129,-0.350,0.380
13221020331000,18.3023803,102.4914551,-0.198,0.411
13221211300330,15.8239658,106.3146973,-0.764,0.394
13221000123211,21.3610128,102.2058105,-0.468,0.357
13221000123221,21.3200806,102.1618652,-0.861,0.461
13221030321021,18.2606530,104.9743652,-0.468,0.391
13221022111132,17.9055685,102.6232910,1.349,0.486
13221012030120,20.2518900,104.5129395,-0.389,0.452
13220113312220,19.6736252,100.9094238,-0.318,0.400
13221003321123,19.5701418,103.6560059,-0.691,0.430
13221211101210,16.5414301,106.4025879,-0.790,0.365
13221002201031,19.9217124,101.5026855,-0.728,0.343
13221033302230,17.0042615,106.2268066,-0.739,0.339
13221020130123,18.9062862,102.4255371,-0.443,0.396
13221000301221,21.1562380,102.1618652,-0.820,0.372
13220131333331,18.0100796,101.2390137,-0.545,0.447
13221000332313,20.6841834,102.4694824,-0.165,0.419
13221003231202,19.5287298,103.1945801,-0.440,0.406
13221210100231,16.4992989,104.8425293,-0.806,0.490
13221020313030,18.4275017,102.5354004,0.817,0.450
13221000033221,21.3200806,101.8103027,-0.178,0.349
13221021223303,18.0309744,102.9528809,-0.417,0.417
13221021223001,18.1354112,102.8649902,-0.344,0.493
13221032301302,17.1932744,105.0402832,-0.454,0.466
13221213230322,14.1046123,105.9191895,-0.458,0.349
13221213201000,14.5942153,105.6555176,-0.681,0.339
13221020330123,18.2397857,102.4255371,-0.642,0.421
13221002121113,20.2725029,102.2937012,-0.865,0.350
13221020113303,19.0309630,102.6013184,-0.702,0.354
13221000331123,20.8896072,102.6013184,-0.351,0.350
13221000211221,21.1562380,101.8103027,-0.204,0.452
13221020303210,18.3858046,102.1838379,-0.354,0.468
13221020131200,18.8854977,102.4914551,-0.104,0.412
13221001220221,20.8280094,102.6892090,-0.743,0.348
13221002212313,19.6943139,101.7663574,0.000,0.345
13221213023103,14.7430107,105.7653809,-0.465,0.382
13221213000232,15.1251586,105.5236816,-0.452,0.443
13221002301032,19.9010533,102.1838379,0.539,0.438
13221210101032,16.5624922,104.9963379,-0.679,0.455
13221021030032,18.9062862,103.0627441,-0.186,0.430
13221032312013,17.1092924,105.1940918,-0.231,0.349
13221211303121,15.7393882,106.4685059,-0.606,0.491
13221211320021,15.5701276,106.2048340,-0.480,0.398
13221003322223,19.3215109,103.3923340,0.110,0.428
13221211000131,16.5835521,105.6335449,-0.606,0.374
13221032331003,16.9412147,105.3259277,-0.402,0.453
13221003311203,19.8597269,103.9196777,-0.162,0.344
13221213001032,15.2099875,105.6994629,-0.074,0.410
13220111133322,21.2996102,101.1730957,-0.507,0.438
13221000331233,20.8074712,102.5573730,-0.487,0.400
13221213202021,14.3814760,105.5017090,-0.599,0.411
13221002002102,20.4373076,101.3488770,-0.329,0.426
13221211222330,15.3159757,105.6115723,-0.570,0.391
13221211111323,16.4782298,106.8200684,-0.290,0.340
13220133111301,17.8846589,101.1950684,-0.700,0.352
13221002001201,20.5402210,101.4587402,0.288,0.455
13221012201230,19.8390597,104.2932129,-0.340,0.350
13221021232031,18.0936440,103.0847168,-0.211,0.360
13221030222110,18.1354112,104.2053223,-0.678,0.416
13221032013323,17.6544909,104.7106934,-0.180,0.371
13221213223131,14.0406726,105.8093262,-0.208,0.428
13221033233202,16.6888167,106.0070801,-0.372,0.407
13221003020033,20.2312743,102.7331543,-0.622,0.339
13221002320012,19.6115432,102.0080566,-0.192,0.354
13221020222020,18.0936440,101.2609863,-0.379,0.416
13221211201232,15.8028247,105.6994629,0.016,0.413
13221003203203,19.6943139,102.8649902,-0.447,0.354
13221211300322,15.8028247,106.2707520,-0.485,0.416
13221003130223,20.1487843,103.7438965,-0.334,0.319
13221032031120,17.5916666,104.6887207,1.164,0.420
13221033203130,17.0882909,105.7873535,-0.359,0.349
13221003221212,19.5287298,102.8869629,0.185,0.442
13221002132113,20.1075229,102.4694824,0.052,0.386
13221021232001,18.1354112,103.0407715,0.329,0.427
13221003012230,20.3343253,103.0627441,-0.968,0.346
13221032122232,17.3191761,104.8205566,-0.141,0.447
13221213030233,14.7855051,105.8972168,-0.773,0.394
13221000320120,20.9101341,102.0520020,-0.700,0.422
13221213132120,14.7217604,106.6223145,-0.638,0.352
13221002022233,19.9836736,101.3269043,-0.784,0.369
13220113112313,20.3549272,101.0632324,-0.372,0.350
13221032323100,16.7940233,105.0402832,-0.434,0.414
13221300230021,15.5701276,107.2595215,-0.675,0.336
13221032132331,17.3401514,105.2819824,-0.405,0.432
13221211113132,16.3939308,106.8420410,-0.114,0.464
13221012012322,20.3137206,104.5129395,-0.485,0.404
13221211132030,16.0774856,106.5783691,-0.352,0.380
13221211302112,15.7605359,106.3146973,-0.428,0.435
13221020313331,18.3440975,102.6452637,0.252,0.417
13221002333001,19.4665919,102.5134277,-0.254,0.422
13221003321111,19.6322399,103.6999512,-0.889,0.394
13221033212122,17.0672871,105.9191895,-0.250,0.414
13220113012113,20.4373076,100.3601074,-0.534,0.449
13220133113103,17.7800738,101.1950684,-0.551,0.400
13221012202131,19.7563639,104.2272949,-0.818,0.465
13221002110300,20.5402210,102.4035645,-0.478,0.379
13221033021201,17.5497715,105.6774902,-0.813,0.356
13221030222331,18.0100796,104.2272949,-0.790,0.424
13221003020133,20.2312743,102.8210449,-0.781,0.368
13221002202113,19.7770419,101.4147949,-0.545,0.363
13221211212312,15.6759319,105.9631348,-0.200,0.381
13221000322101,20.7869302,102.0739746,-0.359,0.429
13221002223301,19.3837043,101.5466309,-0.476,0.456
13221000121111,21.6063650,102.2937012,-0.834,0.333
13221021003102,19.1140289,102.9309082,0.299,0.437
13221211102022,16.3939308,106.1828613,-0.802,0.429
13221032011221,17.8428322,104.6228027,-0.259,0.365
13221020300110,18.6358348,102.0959473,-0.384,0.411
13221213011120,15.2311894,106.0949707,-0.359,0.378
13221033000321,17.8428322,105.5895996,-0.320,0.357
13220113213103,19.7770419,100.4919434,-0.459,0.379
13221020232233,17.9891824,101.6784668,-0.019,0.442
13221003313323,19.6529339,104.0075684,0.339,0.425
13221021313001,18.4691886,103.9196777,-0.736,0.348
