quadkey,latitude,longitude,rwi,error
12201223133020,32.6486253,13.8977051,-0.674,0.370
12203201121232,26.5983508,13.5900879,-0.569,0.285
12201333031220,32.7225981,21.6320801,-0.088,0.395
12201232023202,32.5931055,14.2492676,-0.558,0.390
12201333023102,32.6671243,21.3684082,-0.195,0.343
12201232201013,32.5190256,14.3151855,0.089,0.385
12201223123202,32.5931055,13.5461426,0.402,0.294
12201223212021,32.3521223,13.0407715,0.224,0.313
12201332303332,32.2592650,20.7092285,-0.026,0.400
12201332313012,32.3706824,20.9729004,-0.372,0.329
12201222311110,32.5375513,12.6232910,-0.448,0.310
12201223302102,32.3706824,13.4582520,-0.328,0.235
12201333103202,32.8888127,21.9836426,-0.930,0.471
12201222333302,31.9987589,12.5793457,-0.043,0.360
12201333211111,32.5375513,21.7858887,0.141,0.417
12201223023111,32.6856194,12.9968262,-0.005,0.359
12210222020310,32.7595615,22.6428223,1.019,0.460
12201333012330,32.8703597,21.5881348,-0.119,0.355
12201222121312,32.7410818,12.2717285,0.030,0.365
12201223320312,32.1477106,13.5021973,-0.178,0.234
12201222322303,31.9987589,12.0739746,-0.256,0.408
12201333330310,32.1663125,22.2912598,0.103,0.499
12201222131222,32.7041107,12.4914551,-0.103,0.359
12201223131222,32.7041107,13.8977051,0.426,0.430
12201232321030,32.2035049,14.9963379,-0.329,0.287
12203110013323,31.6627324,20.3356934,-0.388,0.320
12201332300302,32.4448845,20.4895020,-0.017,0.438
12201333102230,32.8703597,21.8518066,0.240,0.344
12203000011131,31.9055410,11.9421387,-0.097,0.306
12201333031132,32.7780375,21.7639160,0.815,0.477
12201223022311,32.6116159,12.8210449,-0.453,0.348
12201223300123,32.4819627,13.4802246,-0.472,0.245
12201223022200,32.6116159,12.6672363,-0.060,0.373
12203110012133,31.7375107,20.2038574,-0.174,0.322
12201333121331,32.7225981,22.1374512,-0.471,0.317
12201223321022,32.1849106,13.5461426,0.115,0.257
12201332133221,32.5745912,20.9509277,0.073,0.396
12203000101213,31.8495649,12.2058105,-0.553,0.329
12201223122111,32.6856194,13.5241699,0.393,0.336
12203010002212,31.7001291,14.1174316,-0.266,0.347
12210222212321,32.2778440,22.9724121,-0.097,0.364
12201223301333,32.4077911,13.6999512,-0.465,0.363
12201223200230,32.4263397,12.7111816,0.142,0.307
12203110003333,31.6627324,20.0280762,-0.103,0.467
12203000101311,31.8682273,12.2937012,-0.261,0.322
12201222332202,31.9987589,12.3156738,-0.235,0.374
12201232203210,32.3149908,14.2932129,-0.008,0.268
12203210023120,26.5393939,14.3371582,-0.486,0.296
12201223232220,31.9801229,13.0187988,-0.076,0.368
12201333031311,32.7595615,21.7858887,1.257,0.494
12203010133203,31.4005349,15.3259277,-0.183,0.301
12201332301010,32.5375513,20.6213379,-0.394,0.429
12201223033012,32.6671243,13.2385254,0.275,0.367
12201222311100,32.5375513,12.5793457,-0.137,0.253
12203210001313,26.9514527,14.4030762,-0.692,0.280
12201333130301,32.7595615,22.2692871,-0.002,0.439
12201232321120,32.2035049,15.0402832,-0.468,0.473
12201223300232,32.4077911,13.4143066,-0.389,0.232
12201333200101,32.5375513,21.2145996,-0.035,0.378
12201223031002,32.8149779,13.1945801,0.473,0.414
12201223302323,32.2592650,13.4802246,-0.436,0.270
12203201121213,26.6376385,13.6120605,-0.114,0.363
12203210022331,26.4607376,14.2272949,-0.629,0.262
12201222130021,32.7965096,12.3376465,-0.575,0.317
12201332303112,32.3706824,20.7092285,-0.166,0.373
12210222211230,32.4263397,23.0822754,-0.398,0.369
