quadkey,latitude,longitude,rwi,error
03230320100333,13.7633955,-61.0070801,0.216,0.647
03230320103000,13.7420528,-60.9851074,0.883,0.671
03230320101223,13.7633955,-60.9631348,0.580,0.658
03230302322312,13.9767151,-61.0290527,0.246,0.709
03230302323023,14.0193555,-60.9631348,0.733,0.670
03230302323020,14.0406726,-60.9851074,0.288,0.649
03230320101201,13.8274120,-60.9631348,-0.678,0.685
03230320100330,13.7847363,-61.0290527,-0.040,0.647
03230302323032,14.0193555,-60.9411621,0.690,0.672
03230302323010,14.0833011,-60.9411621,0.916,0.678
03230320100321,13.7847363,-61.0510254,1.070,0.650
03230320101013,13.8914108,-60.9191895,-0.285,0.668
03230320101302,13.8060751,-60.8972168,-0.177,0.631
03230320101210,13.8274120,-60.9411621,0.131,0.663
03230302323022,14.0193555,-60.9851074,1.340,0.638
03230302322321,13.9553920,-61.0510254,-0.053,0.647
03230320101221,13.7847363,-60.9631348,0.212,0.658
03230320101222,13.7633955,-60.9851074,0.691,0.665
03230320101233,13.7633955,-60.9191895,0.010,0.623
03230320100301,13.8274120,-61.0510254,0.119,0.669
03230320101122,13.8487469,-60.8972168,0.149,0.657
03230320100331,13.7847363,-61.0070801,0.287,0.662
03230320101220,13.7847363,-60.9851074,0.463,0.637
03230320100122,13.8487469,-61.0729980,0.169,0.631
03230320100302,13.8060751,-61.0729980,-0.080,0.667
03230320101033,13.8487469,-60.9191895,0.012,0.645
03230320101211,13.8274120,-60.9191895,0.499,0.670
03230302321233,14.1046123,-60.9191895,0.372,0.748
03230302323221,13.9553920,-60.9631348,-0.025,0.648
03230320101000,13.9127399,-60.9851074,0.075,0.653
03230302322323,13.9340669,-61.0510254,0.679,0.668
03230302323002,14.0619878,-60.9851074,-0.019,0.746
03230302322311,13.9980363,-61.0070801,1.081,0.673
03230320100303,13.8060751,-61.0510254,0.373,0.646
03230302322133,14.0193555,-61.0070801,0.793,0.666
03230302322333,13.9340669,-61.0070801,0.161,0.659
03230302323202,13.9767151,-60.9851074,0.683,0.663
03230302323013,14.0619878,-60.9191895,0.215,0.676
03230320100132,13.8487469,-61.0290527,0.175,0.649
03230320100123,13.8487469,-61.0510254,0.958,0.668
03230302323211,13.9980363,-60.9191895,0.091,0.660
03230320100300,13.8274120,-61.0729980,0.420,0.706
03230320101231,13.7847363,-60.9191895,0.591,0.632
03230320101232,13.7633955,-60.9411621,0.524,0.661
03230320101101,13.9127399,-60.8752441,-0.528,0.621
03230320101100,13.9127399,-60.8972168,0.682,0.671
03230320100102,13.8914108,-61.0729980,0.269,0.650
03230302323021,14.0406726,-60.9631348,0.755,0.670
03230302323222,13.9340669,-60.9851074,0.626,0.651
03230320101202,13.8060751,-60.9851074,-0.547,0.904
03230320100332,13.7633955,-61.0290527,0.360,0.663
03230302321232,14.1046123,-60.9411621,0.910,0.722
03230302322313,13.9767151,-61.0070801,0.861,0.666
03230302323223,13.9340669,-60.9631348,0.035,0.628
