quadkey,latitude,longitude,rwi,error
12333030221201,7.2643942,81.7712402,-0.046,0.570
12333003020331,9.3081485,80.3210449,-0.392,0.568
12333023031322,6.5008990,80.7824707,-0.237,0.558
12333021333311,7.0899903,81.5515137,-0.223,0.544
12333023120233,6.5008990,80.9362793,-0.425,0.553
12333023000130,6.9591440,80.2990723,0.754,0.610
12333003203302,8.8090822,80.4309082,0.278,0.548
12333023120001,6.6536952,80.8923340,0.514,0.630
12333021131030,8.0048367,81.4416504,-0.308,0.505
12333003233012,8.5484296,80.7385254,-0.473,0.537
12333021320110,7.3515708,81.0021973,0.613,0.610
12333021021011,8.0483515,80.4089355,-0.399,0.591
12333003233311,8.4832384,80.8483887,-0.377,0.540
12333021002022,8.1571180,80.1672363,-0.386,0.540
12333021102311,8.1353671,81.0241699,0.660,0.623
12333023110102,6.9809543,81.3098145,-0.402,0.547
12333020113301,8.1353671,80.1013184,-0.019,0.549
12333023203323,5.9766803,80.4528809,1.148,0.590
12333030223031,7.1335976,81.8151855,-1.029,0.545
12333002111303,9.6765684,80.1013184,0.702,0.581
12333021112100,8.2223637,81.3098145,-0.340,0.507
12333021023022,7.8089630,80.3430176,-0.013,0.579
12333002103113,9.5899171,79.7937012,0.315,0.567
12333003223231,8.4397714,80.4089355,-0.335,0.550
12333021223201,7.0899903,80.3649902,-0.276,0.602
12333021032022,7.8089630,80.5187988,0.285,0.564
12333023020003,6.6318701,80.1892090,-0.153,0.605
12333021221021,7.3079846,80.3649902,-0.028,0.593
12333021233333,7.0245718,80.8483887,0.686,0.608
12333020132211,7.7871935,79.8815918,0.061,0.553
12333020311231,7.5694372,80.0573730,0.475,0.572
12333003302133,8.8525066,81.0241699,-0.227,0.576
12333021323333,7.0245718,81.1999512,0.211,0.585
12333023110310,6.9155204,81.3537598,0.369,0.590
12333021003021,8.1788678,80.3649902,0.042,0.595
12333021312111,7.5258726,81.3757324,-0.407,0.578
12333021233230,7.0463790,80.7385254,-0.103,0.606
12333021210030,7.6565531,80.5627441,-0.816,0.555
12333003323032,8.5049700,81.0900879,0.115,0.597
12333022111123,6.9373327,80.1013184,0.533,0.614
12333023300323,6.1514779,80.9802246,0.625,0.567
12333021023000,7.8742645,80.3430176,-0.326,0.570
12333023100330,6.8718928,81.0021973,0.456,0.607
12333020130300,7.9613173,79.9035645,0.124,0.572
12333023221010,5.9548266,80.3869629,0.513,0.582
12333003223233,8.4180361,80.4089355,0.087,0.560
12333021210013,7.6783293,80.5847168,0.582,0.585
12333021333111,7.1772006,81.5515137,-0.079,0.587
12333020312030,7.4823037,79.8596191,0.276,0.601
12333020311023,7.6347758,80.0134277,0.066,0.565
12333023202031,6.0859354,80.2331543,0.832,0.587
12333020310232,7.5476555,79.8596191,0.166,0.578
12333023102132,6.7628064,81.0021973,0.140,0.595
12333020332012,7.1553996,79.8596191,0.644,0.595
12333003211302,8.9827489,80.7824707,0.601,0.592
12333021210132,7.6347758,80.6506348,-0.109,0.583
12333023302030,6.0859354,80.9143066,0.028,0.575
12333021223121,7.1335976,80.4528809,-0.044,0.592
12333003220020,8.7004990,80.1672363,-0.234,0.542
12333021211322,7.5476555,80.7824707,-0.619,0.533
12333021221223,7.1990006,80.3649902,0.582,0.617
12333023102112,6.8064439,81.0021973,0.530,0.569
12333021120202,7.9395558,80.8703613,0.232,0.612
12333030220010,7.3515708,81.6174316,0.191,0.597
12333003230301,8.6570568,80.6286621,-0.508,0.531
12333020310032,7.6347758,79.8596191,0.055,0.564
12333030022303,7.7654229,81.6833496,0.574,0.582
12333020130322,7.8960294,79.9035645,-0.115,0.558
12333023100111,7.0027636,81.0241699,0.360,0.629
12333023021000,6.6536952,80.3430176,0.165,0.595
12333021033022,7.8089630,80.6945801,-0.015,0.574
12333030223322,7.0245718,81.8371582,-0.306,0.563
12333021202333,7.3733623,80.3210449,0.584,0.565
12333021220212,7.2425974,80.2111816,1.059,0.582
12333003001221,9.6549077,80.3649902,-0.005,0.577
12333021002300,8.1353671,80.2551270,-0.460,0.542
12333023012100,6.8282612,80.6066895,0.742,0.595
12333003213003,8.8959258,80.7165527,0.404,0.594
12333003231220,8.6136097,80.6945801,-0.320,0.546
12333022112302,6.7191648,79.9035645,1.807,0.573
12333022112310,6.7409861,79.9475098,0.539,0.611
12333021122133,7.8089630,81.0241699,-0.229,0.578
12333021121333,7.8960294,81.1999512,-0.211,0.604
12333021021110,8.0483515,80.4748535,-0.052,0.589
12333023021323,6.5008990,80.4528809,-0.383,0.596
12333023000100,7.0027636,80.2551270,0.272,0.583
12333023020231,6.5227299,80.2331543,0.719,0.644
12333023300303,6.1951683,80.9802246,0.360,0.550
12333002311220,8.9610451,79.9914551,0.277,0.558
12333020301113,7.6783293,79.7937012,0.021,0.542
12333003321100,8.7439361,81.1340332,0.167,0.577
12333023112013,6.8064439,81.2878418,0.370,0.583
12333002310320,8.9610451,79.9035645,-0.024,0.578
12333023031131,6.6100440,80.8483887,-0.385,0.529
12333023010111,7.0027636,80.6726074,0.008,0.578
12333021030220,7.9177932,80.5187988,0.081,0.571
12333021212203,7.4169421,80.5407715,-0.099,0.545
12333023221011,5.9548266,80.4089355,1.471,0.603
12333023212233,5.9766803,80.5847168,0.439,0.582
12333021212220,7.3951528,80.5187988,0.438,0.588
12333022133332,6.3262180,80.1232910,0.428,0.561
12333003320002,8.7222181,80.8703613,-0.270,0.555
12333021302123,7.4605176,80.9802246,-0.034,0.582
12333020312133,7.4605176,79.9694824,0.307,0.576
12333023301031,6.2606973,81.1120605,-0.259,0.569
12333022110303,6.8937071,79.9255371,1.125,0.574
