quadkey,latitude,longitude,rwi,error
30030231133131,-30.0405660,28.1140137,-0.659,0.424
30030231102130,-29.7357620,27.5646973,0.412,0.458
30030213323221,-29.5065490,27.6306152,0.414,0.428
30030213321302,-29.3342978,27.6965332,-0.163,0.484
30030302320132,-29.2959801,28.9709473,0.053,0.488
30030213123333,-28.9120143,27.7624512,0.120,0.418
30030302023332,-28.9120143,28.4436035,0.188,0.540
30030231300130,-30.1926178,27.5646973,-0.347,0.419
30030302023100,-28.7772886,28.3996582,-0.205,0.453
30030320023202,-30.0976128,28.3117676,-0.214,0.423
30030231102021,-29.7357620,27.4548340,-0.677,0.453
30030213323310,-29.4682962,27.7404785,0.744,0.580
30030320033223,-30.1356258,28.6853027,0.012,0.548
30030302320323,-29.3726011,28.9489746,-0.503,0.446
30030213233223,-29.5256700,27.2790527,-0.537,0.447
30030320033033,-30.0595852,28.7292480,-0.215,0.446
30030320100211,-29.6212207,28.9050293,-0.927,0.459
30030213331230,-29.3534512,28.0041504,-0.642,0.422
30030231310333,-30.2875311,27.9382324,-0.494,0.424
30030213312313,-29.1809408,27.9382324,-0.016,0.470
30030320023310,-30.0786009,28.4436035,-0.054,0.441
30030213333120,-29.4300290,28.0480957,-0.230,0.449
30030231011210,-29.6212207,27.3010254,-0.186,0.452
30030213333302,-29.4874244,28.0480957,0.265,0.528
30030302233030,-29.4300290,28.7072754,-0.060,0.442
30030231012312,-29.7929837,27.2131348,0.162,0.544
30030231312102,-30.3254708,27.8723145,-0.223,0.448
30030231310030,-30.1926178,27.8283691,-0.105,0.420
30030302321220,-29.3534512,29.0148926,0.479,0.495
30030231300101,-30.1546268,27.5427246,-0.266,0.421
30030320022310,-30.0786009,28.2678223,-0.357,0.439
30030213323220,-29.5065490,27.6086426,0.123,0.465
30030231312302,-30.4013061,27.8723145,-0.475,0.425
30030213233333,-29.5256700,27.4108887,-0.144,0.566
30030231100102,-29.5639011,27.5207520,0.147,0.471
30030320030002,-29.8692284,28.4875488,-0.291,0.421
30030320100202,-29.6403199,28.8391113,-1.020,0.458
30030231103010,-29.6975960,27.6525879,-0.326,0.418
30030231130300,-29.9263737,27.8723145,-0.666,0.422
30030320033210,-30.0786009,28.7072754,-0.854,0.439
30030302321013,-29.2576481,29.0808105,0.056,0.426
30030231123303,-30.0976128,27.7185059,-0.185,0.420
30030302321100,-29.2384766,29.1027832,-0.569,0.440
30030302220132,-29.2959801,28.2678223,-0.291,0.432
30030302302302,-29.1809408,28.9270020,-0.147,0.456
30030320121001,-29.8501727,29.0368652,-0.284,0.427
30030213303210,-29.1617551,27.6525879,0.264,0.533
30030302320312,-29.3342978,28.9709473,-0.448,0.441
30030231120300,-29.9263737,27.5207520,-0.386,0.445
30030231132103,-30.0215431,27.8942871,-0.175,0.453
30030213320203,-29.3342978,27.4548340,1.292,0.596
30030302320211,-29.3151407,28.9050293,-0.518,0.426
30030320102020,-29.7357620,28.8391113,-0.683,0.422
30030320003103,-29.7166808,28.4216309,0.016,0.476
30030213313321,-29.2001230,28.0700684,-0.144,0.446
30030320032013,-30.0215431,28.5534668,-0.756,0.439
30030213320333,-29.3726011,27.5866699,-0.305,0.513
30030302200220,-29.0465652,28.1359863,-0.448,0.468
