quadkey,latitude,longitude,rwi,error
30102031322022,-15.1887835,49.9328613,-0.651,0.338
30102023221221,-16.4360849,46.6149902,-0.448,0.378
30102212030320,-18.4483464,48.2629395,-0.252,0.366
30102221311313,-20.0868882,47.8015137,-0.548,0.364
30102230222131,-20.5196439,47.9772949,-0.612,0.339
30120001131220,-22.4008712,47.6477051,-0.605,0.325
30102203302110,-18.8231166,47.2521973,-0.054,0.365
30120020123232,-25.1552290,45.9338379,-0.450,0.326
30102030322312,-15.2311894,48.6584473,-0.537,0.368
30031113221232,-24.3571051,43.8244629,-0.844,0.358
30031113011221,-23.3725134,44.1540527,-0.802,0.366
30102221103200,-19.5701418,47.2961426,-0.223,0.360
30031111002322,-22.2585964,43.6926270,-0.617,0.388
30102202321101,-18.9894144,45.9997559,-0.456,0.377
30102203202202,-18.9270721,46.4172363,-0.280,0.369
30102230201233,-20.1281550,48.0651855,-0.406,0.344
30120003110223,-23.3926816,47.4938965,-0.913,0.326
30120020022121,-25.0557447,45.1208496,-0.615,0.341
30120001133223,-22.5835822,47.6696777,-0.418,0.331
30102032013210,-15.5489602,48.3947754,-0.755,0.361
30102023232110,-16.4782298,46.9006348,-0.449,0.377
30102221321232,-20.4578958,47.3400879,-0.401,0.365
30102212023321,-18.6150130,48.1091309,-0.387,0.361
30102232000200,-20.7252905,47.8234863,-0.220,0.342
30102210211121,-17.3611242,48.4606934,-0.204,0.366
30120003023110,-23.7350688,46.7248535,-0.656,0.312
30120020121113,-24.8764695,46.0437012,-0.900,0.317
30120001332333,-23.2312505,47.6257324,-0.699,0.331
30102230230120,-20.3549272,48.2629395,-0.448,0.341
30102030203003,-14.8067491,48.0212402,-0.319,0.375
30013311110310,-16.7309063,44.7912598,-0.597,0.386
30102212320012,-19.0101900,48.5705566,-0.409,0.352
30013311300013,-17.3401514,44.3737793,-0.559,0.390
30102232022210,-21.2177003,47.8674316,-0.558,0.326
30102023031312,-15.7393882,47.0764160,-0.146,0.371
30120000323011,-23.0898380,45.9558105,-0.703,0.336
30102212223300,-19.2385495,48.0871582,-0.788,0.355
30102220322103,-20.4990639,45.8239746,-0.232,0.356
30013333202122,-21.5246269,43.6926270,-0.594,0.384
30102203112220,-18.2815179,47.4719238,-0.310,0.363
30120003130321,-23.6948343,47.5817871,-0.300,0.324
30031113012200,-23.4934763,43.9562988,-0.205,0.378
30120010020032,-22.3399141,47.8674316,-0.560,0.326
30102203233200,-19.2385495,46.9445801,-0.017,0.371
30102203102222,-18.3023803,47.1203613,-0.064,0.458
30102203130100,-18.3232401,47.5598145,-0.342,0.363
30013333113200,-20.8896072,44.8352051,-0.474,0.369
30102023321101,-16.3095952,47.4060059,-0.361,0.379
30102031102003,-14.1259215,49.9548340,-0.579,0.340
30102203333333,-19.3007745,47.8015137,-0.197,0.359
30102210221222,-17.8009957,47.9992676,-0.822,0.363
30013333202023,-21.5246269,43.6267090,-0.432,0.398
30102223033121,-21.1767283,47.0544434,-0.132,0.351
30102022230233,-16.4571585,45.4284668,-0.289,0.376
30013313310003,-18.6774709,44.6813965,-0.229,0.375
30102033010321,-15.4219101,49.6911621,0.250,0.358
30102200000310,-16.7309063,45.1428223,-0.854,0.378
30102212303232,-18.9686362,48.7463379,-0.274,0.472
30102223131321,-21.0947502,47.7575684,-0.298,0.333
30013311133332,-17.2981985,44.9670410,-0.840,0.370
30102232221101,-21.6267923,48.1091309,-0.621,0.320
30102013213112,-13.4430519,49.8889160,-0.061,0.338
30102212031211,-18.4066544,48.4167480,-0.259,0.347
30102031013322,-14.2537350,49.8449707,0.057,0.346
30102030131022,-14.3389038,49.0539551,-0.813,0.354
30102223210133,-21.3610128,46.9226074,-0.340,0.347
30102211002120,-16.8571194,49.3176270,-0.322,0.348
30120001033322,-22.5835822,47.0324707,-0.784,0.326
30120021000101,-24.5371290,46.5270996,-0.580,0.316
30102202331133,-19.0517333,46.3952637,-0.108,0.370
30031111211113,-22.6241518,44.2858887,-0.403,0.366
30102213000312,-18.0936440,49.3615723,-0.614,0.346
30102223112311,-20.8896072,47.6257324,-0.535,0.340
30013332331122,-21.6880569,43.5168457,-0.724,0.381
30120001303200,-22.8470703,47.2961426,-0.513,0.318
30120002200022,-23.9561359,45.0109863,-0.206,0.350
30102223111312,-20.7458399,47.7795410,-0.350,0.343
30031111102121,-22.1568828,44.4177246,-0.772,0.369
30120002112211,-23.4934763,46.1315918,-0.467,0.314
30120020031132,-24.9163310,45.6701660,-0.336,0.320
30102210132033,-17.2142640,48.9440918,-0.608,0.347
30102031020101,-14.2750302,49.3395996,-0.191,0.353
30102202330030,-19.0309630,46.1096191,0.088,0.372
30102223033130,-21.1767283,47.0764160,0.121,0.349
30102032120232,-15.7816814,48.5705566,-0.542,0.374
30102030333020,-15.1675773,49.0539551,-0.649,0.364
30102221113302,-19.5908438,47.7355957,-0.450,0.353
30102033231213,-16.4150090,49.8229980,-0.388,0.335
30102013202211,-13.5071552,49.2956543,-0.683,0.352
30120001323301,-23.1706634,47.4060059,-0.511,0.321
30102221320310,-20.3961229,47.2521973,-0.126,0.380
30102221212321,-20.2725029,46.8786621,-0.179,0.360
30120002220113,-24.2369466,45.1647949,-0.713,0.348
30102210131133,-17.0462809,49.2077637,-0.495,0.356
30102223011123,-20.7047384,47.0544434,-0.467,0.373
30102221200221,-20.1075229,46.4392090,-0.473,0.359
30013331320132,-20.3755265,44.4396973,-0.608,0.377
30031111302223,-22.9078031,44.3298340,-0.676,0.430
30102013022220,-13.2078602,49.2297363,-0.330,0.363
30102230213100,-20.1487843,48.4387207,-0.498,0.338
30102022230332,-16.4571585,45.4943848,-0.572,0.375
30102030002330,-14.2324377,47.9553223,-0.721,0.367
30120021021213,-24.9561796,46.6589355,-0.480,0.322
30102023310012,-15.9930146,47.5158691,-0.427,0.410
30120002331010,-24.2169091,46.2854004,-0.126,0.320
30102221013323,-19.6322399,47.0544434,-0.379,0.358
30102223132113,-21.1562380,47.6257324,-0.616,0.334
30102023012203,-15.5701276,46.7907715,-0.502,0.370
30102033210301,-16.0563712,49.6911621,-0.293,0.357
30102013001110,-12.5652867,49.5373535,-0.927,0.362
30102222031103,-20.9922139,45.6481934,0.190,0.356
30120000321210,-23.0089639,45.9338379,-0.429,0.334
30102222301213,-21.4019335,45.9558105,-0.745,0.349
30102030012100,-14.1046123,48.2629395,-0.792,0.364
30102013002213,-12.8439375,49.2956543,-0.088,0.352
30102232223113,-21.8105080,48.1530762,-0.693,0.322
30031113110002,-23.2716267,44.6594238,-0.456,0.360
30031131130012,-24.8764695,44.7033691,-0.429,0.356
30102030130233,-14.4240402,48.9440918,-0.456,0.362
30120001110230,-22.0754590,47.5158691,-0.287,0.321
30102203130320,-18.4483464,47.5598145,-0.373,0.377
30102212203222,-18.9686362,47.9992676,-0.501,0.359
30102202221112,-19.0101900,45.3186035,-0.186,0.366
30120001113012,-22.1365313,47.6916504,-0.301,0.328
30031113030333,-23.7149531,44.1101074,-0.367,0.364
30102022303332,-16.2885057,46.0217285,-0.637,0.373
30120021023301,-25.0955481,46.7028809,-0.370,0.323
30013313131313,-18.4275017,44.9890137,-0.620,0.370
30102212113112,-18.1771685,49.1857910,-0.126,0.346
30102013231331,-13.7207082,49.9108887,-0.457,0.342
30102032033022,-15.8662413,48.3508301,-0.630,0.360
30102032013130,-15.5066188,48.4826660,-0.143,0.358
30102031201011,-14.6154780,49.4714355,0.023,0.358
30120000130020,-22.3195891,46.0656738,-0.451,0.356
30102230221130,-20.3549272,48.1311035,-0.427,0.346
30120001312002,-22.7863104,47.4719238,-0.182,0.329
30102031302002,-14.8067491,49.9328613,-0.542,0.340
30102223212221,-21.5859348,46.7907715,-0.112,0.345
30120001211132,-22.6647094,47.0764160,-0.475,0.320
30102211003132,-16.8781467,49.5373535,-0.421,0.353
30102223032323,-21.2791370,46.8786621,-0.190,0.360
30120000300312,-22.7052551,45.8459473,-0.852,0.345
30102221312101,-20.1487843,47.5817871,0.007,0.357
30102223101033,-20.7047384,47.3620605,-0.138,0.349
30102223100102,-20.6636257,47.2082520,-0.337,0.355
30102223102132,-20.8690774,47.2521973,0.135,0.355
30102212023212,-18.5941885,48.0432129,-0.392,0.379
30120001303133,-22.8268200,47.4499512,-0.091,0.325
30102232220021,-21.6676382,47.8454590,-0.385,0.325
30120003103001,-23.4128467,47.3181152,-0.780,0.317
30102202131132,-18.3858046,46.3732910,-0.493,0.371
30102022210213,-16.0774856,45.4284668,-0.180,0.386
30120001321013,-22.9482765,47.3620605,-0.614,0.316
30120000122110,-22.4414945,45.8459473,-0.431,0.412
30120002212321,-24.1768248,45.4724121,-0.830,0.317
30102201012102,-16.8360897,46.8566895,-0.210,0.386
30102223320210,-21.7084727,47.1643066,0.310,0.338
30120003123110,-23.7350688,47.4279785,-0.339,0.323
30102013233011,-13.7633955,49.8229980,-0.762,0.346
30102230213011,-20.1487843,48.4167480,-0.377,0.339
30120002103303,-23.5136260,45.9997559,-0.306,0.315
30102232032121,-21.1767283,48.2849121,-0.485,0.326
30102202300322,-18.8023178,45.8020020,-0.638,0.368
30102232203331,-21.5859348,48.1530762,-0.478,0.318
30102232010100,-20.6430652,48.2629395,-0.397,0.319
30102013031010,-12.9081979,49.8010254,-0.498,0.329
30102030023020,-14.4878712,47.9992676,-0.475,0.371
30120020013200,-24.7767595,45.5383301,-0.755,0.320
30102033203323,-16.2885057,49.5153809,-0.767,0.347
30102201220302,-17.7591494,46.5051270,-0.812,0.370
30102212321131,-19.0309630,48.8562012,-0.556,0.348
30120002222121,-24.4171416,45.1208496,-0.556,0.350
30120001303322,-22.9078031,47.3840332,-0.254,0.318
30102212012103,-18.1771685,48.2849121,-0.518,0.357
30120020000113,-24.5571158,45.1647949,-0.972,0.342
30120001020112,-22.2992611,46.5490723,-0.606,0.347
30102032120133,-15.6970862,48.6804199,-0.387,0.364
30102221020112,-19.6736252,46.5490723,-0.284,0.370
30102030130230,-14.4027591,48.9221191,-0.216,0.366
30120001112100,-22.1161768,47.5598145,-0.889,0.322
30120020002130,-24.7368531,45.1428223,-0.576,0.345
30031113112222,-23.5539161,44.6594238,-0.213,0.366
30031113133120,-23.7752908,44.9230957,-0.818,0.351
30102210231233,-17.8009957,48.4167480,0.064,0.413
30031111100003,-21.9736132,44.3298340,-0.851,0.367
30013311123233,-17.2981985,44.5495605,-0.797,0.386
