quadkey,latitude,longitude,rwi,error
12332033132130,6.4354006,72.9162598,0.496,0.766
12332213133022,3.6121068,72.9602051,0.337,0.598
12332322220312,0.2307123,73.2678223,0.807,0.660
12332302210013,3.4805234,73.5534668,0.387,0.725
12332320210233,1.9442068,73.5534668,0.165,0.688
12332233331120,0.2966295,73.0480957,0.090,0.553
12332033131300,6.5663889,73.0480957,-0.119,0.675
12332322200321,0.5602938,73.2458496,0.039,0.572
12332122002011,6.8282612,73.2019043,0.110,0.743
12332122221133,5.8892605,73.4655762,0.837,0.748
12332211111122,5.5394455,73.0480957,-0.416,0.616
12332033131101,6.6536952,73.0700684,-0.575,0.718
12332122221231,5.8236865,73.3776855,-0.189,0.630
12332320022022,2.2077054,73.1359863,0.363,0.723
12332033133320,6.3480564,73.0480957,-0.111,0.647
12332320210032,2.0320445,73.5314941,0.359,0.714
12332122002032,6.7628064,73.1799316,0.768,0.753
12332211111223,5.4519589,72.9821777,0.311,0.787
12332213333011,2.9759559,73.0261230,0.529,0.741
12332322022012,0.8459165,73.1799316,0.185,0.573
12332320210011,2.0979197,73.5534668,0.606,0.714
12332033313222,5.9766803,72.9602051,0.277,0.607
12332122223010,5.7799663,73.3557129,-0.264,0.743
12332122200003,6.2825384,73.1579590,-0.930,0.625
12332300232232,4.2258996,73.5314941,0.198,0.618
12332322230010,0.3405742,73.5314941,-0.173,0.670
12332033311111,6.3043786,73.1140137,-0.243,0.658
12332302001310,4.1163273,73.4436035,-0.182,0.605
12332300010231,5.4738318,73.5534668,-0.379,0.676
12332211132033,5.0143386,72.8503418,0.632,0.736
12332320001103,2.7784514,73.4216309,1.081,0.713
12332300020022,5.1894234,73.1359863,-0.170,0.738
12332033110103,6.9809543,72.8942871,0.939,0.764
12332033131122,6.5882169,73.0480957,-0.143,0.702
12332320032322,2.1198775,73.5754395,0.765,0.715
12332300001232,5.4519589,73.3557129,0.733,0.748
12332302010003,4.1820725,73.5095215,1.285,0.803
12332320021203,2.3394375,73.3337402,0.187,0.717
12332300001131,5.5613152,73.4655762,0.057,0.686
12332322023312,0.7580345,73.4436035,0.283,0.606
12332122222312,5.6706511,73.2678223,0.298,0.624
12332033113332,6.6755194,73.0920410,0.158,0.739
12332302003313,3.9190595,73.4655762,0.243,0.722
12332033131203,6.5445599,72.9821777,0.441,0.738
12332033112313,6.7191648,72.9382324,-0.136,0.741
12332322023321,0.7360637,73.4216309,0.069,0.591
12332300020001,5.2550677,73.1579590,-0.540,0.606
12332300221231,4.4230904,73.3776855,-0.293,0.606
12332211131331,5.1237722,73.1140137,-0.078,0.661
12332300232223,4.2258996,73.5095215,-0.267,0.650
12332122022322,6.3262180,73.2238770,-0.388,0.665
12332322212232,0.3625464,73.5314941,0.252,0.665
12332320212011,1.9222467,73.5534668,0.853,0.727
12332320202121,1.8783255,73.2458496,0.721,0.725
12332300001303,5.4957038,73.4216309,0.224,0.618
12332322201132,0.6262082,73.4436035,0.173,0.618
12332211132132,5.0143386,72.9162598,0.048,0.754
12332211110303,5.4957038,72.8942871,-0.431,0.611
12332302010012,4.1820725,73.5314941,0.923,0.825
30110011133331,-0.6701507,73.1140137,1.036,0.670
12332322023332,0.7140928,73.4436035,0.257,0.566
12332300221122,4.4888091,73.3996582,-0.275,0.602
12332302012200,3.9409805,73.4875488,1.190,0.795
12332302003233,3.8752158,73.3776855,-0.357,0.668
12332231113133,2.5589632,73.1140137,0.113,0.584
12332300221013,4.5326183,73.3776855,-0.239,0.609
12332300023330,4.9486696,73.4436035,-0.304,0.653
12332033123123,6.4135660,72.7185059,-0.412,0.608
12332122022222,6.3262180,73.1359863,-0.380,0.697
12332211111231,5.4738318,73.0261230,-0.422,0.743
30110011133132,-0.6042368,73.0920410,1.053,0.686
12332213110331,4.0724942,72.9382324,-0.218,0.691
12332213313302,3.2173020,73.0480957,-0.544,0.592
12332122221232,5.8018269,73.3557129,0.098,0.720
12332033133302,6.3698938,73.0480957,-0.073,0.609
12332302023101,3.6778914,73.4216309,0.112,0.721
12332320212023,1.8563646,73.5095215,0.375,0.709
12332122000031,6.9591440,73.2019043,0.162,0.707
12332320021220,2.3174830,73.3117676,0.612,0.735
12332302012023,3.9629009,73.5095215,0.250,0.774
12332300023331,4.9486696,73.4655762,-0.014,0.609
12332122002013,6.8064439,73.2019043,0.660,0.728
12332322221131,0.2966295,73.4655762,0.177,0.631
12332122200321,6.1733235,73.2458496,-0.346,0.717
12332213132333,3.5243866,72.9382324,-0.062,0.741
12332322220202,0.2307123,73.1359863,0.386,0.673
12332320203231,1.7904800,73.3776855,0.206,0.722
12332302021111,3.8532931,73.4655762,0.318,0.754
12332300001233,5.4519589,73.3776855,0.226,0.737
12332122221122,5.8892605,73.3996582,-0.101,0.734
12332033131202,6.5445599,72.9602051,0.101,0.750
12332322023330,0.7360637,73.4436035,-0.085,0.636
12332122203322,5.9766803,73.3996582,-0.027,0.713
12332300012323,5.2769476,73.5974121,0.218,0.668
12332233313032,0.4504348,73.0041504,1.383,0.658
12332322201133,0.6262082,73.4655762,0.273,0.575
12332033123122,6.4135660,72.6965332,-0.123,0.608
12332302001323,4.0505767,73.4216309,-0.392,0.600
12332033113300,6.7409861,73.0480957,0.059,0.732
12332302230133,3.0856655,73.6413574,-0.326,0.597
12332320210210,2.0100856,73.5314941,0.279,0.719
12332122230220,5.8236865,73.4875488,-0.100,0.741
30110011133130,-0.5822654,73.0920410,0.396,0.629
12332320203320,1.7904800,73.3996582,0.423,0.716
12332322212013,0.4943786,73.5534668,0.102,0.685
12332033131103,6.6318701,73.0700684,0.811,0.748
12332033113232,6.6755194,73.0041504,0.157,0.666
12332211131323,5.1018870,73.0700684,0.334,0.756
12332302232300,2.8881803,73.5754395,0.399,0.745
12332033133221,6.3480564,72.9821777,0.262,0.732
12332300203321,4.5983271,73.4216309,-0.177,0.744
12332300020020,5.2113056,73.1359863,0.005,0.708
12332302001302,4.0944111,73.3996582,-0.297,0.616
12332213312032,3.2611771,72.8283691,-0.816,0.592
12332302210031,3.4585910,73.5534668,0.217,0.717
30110011133123,-0.6042368,73.0700684,0.788,0.650
12332211111222,5.4519589,72.9602051,0.030,0.673
12332302021110,3.8532931,73.4436035,0.417,0.693
12332320210232,1.9442068,73.5314941,0.373,0.719
12332122002201,6.7409861,73.1579590,0.236,0.734
12332122002001,6.8282612,73.1579590,0.090,0.701
12332122022223,6.3262180,73.1579590,0.430,0.757
12332300020200,5.1675404,73.1359863,0.247,0.763
12332033110111,7.0027636,72.9382324,0.228,0.781
12332122202311,6.0422360,73.2897949,-0.321,0.610
12332322212122,0.4504348,73.5754395,0.017,0.588
12332302021121,3.8094460,73.4216309,-0.275,0.600
12332211131133,5.1894234,73.1140137,0.158,0.752
12332300003123,5.3644596,73.4216309,-0.268,0.609
12332322023303,0.7580345,73.4216309,-0.181,0.592
12332322221130,0.2966295,73.4436035,0.219,0.668
12332033313122,6.0640861,73.0480957,0.034,0.691
12332213331232,2.9978987,73.0041504,-0.092,0.731
12332033132101,6.4790672,72.8942871,-0.470,0.610
12332211131131,5.2113056,73.1140137,-0.079,0.726
12332302003331,3.8971380,73.4655762,0.345,0.759
12332302003230,3.8971380,73.3557129,0.042,0.604
12332320210212,1.9881263,73.5314941,-0.001,0.666
12332302010002,4.1820725,73.4875488,1.288,0.746
12332213121132,3.7875216,72.7404785,-0.504,0.597
12332320212030,1.8783255,73.5314941,0.408,0.725
12332211113321,5.2988268,73.0700684,-0.060,0.645
12332033131110,6.6536952,73.0920410,0.070,0.738
12332320212012,1.9002862,73.5314941,0.649,0.708
12332320021210,2.3613917,73.3557129,0.434,0.725
12332213132331,3.5463174,72.9382324,0.043,0.734
12332213332213,2.8662354,72.8503418,0.425,0.721
30110011133310,-0.6262082,73.0920410,0.702,0.644
12332302230031,3.1076060,73.5534668,0.202,0.636
12332231133213,2.1637921,73.0261230,0.121,0.709
12332231130333,2.2955282,72.9382324,0.032,0.715
12332122000120,6.9591440,73.2238770,0.966,0.730
12332300001231,5.4738318,73.3776855,0.408,0.749
12332213333021,2.9320690,72.9821777,-0.536,0.602
12332033110131,6.9591440,72.9382324,0.457,0.764
12332320212200,1.8344033,73.4875488,0.917,0.706
12332033111232,6.8500775,73.0041504,0.056,0.705
12332233311232,0.5383221,73.0041504,0.433,0.612
12332033132131,6.4354006,72.9382324,-0.370,0.737
12332320212201,1.8344033,73.5095215,0.963,0.733
12332320203302,1.8124418,73.3996582,0.513,0.761
12332213123123,3.6121068,72.7185059,-0.113,0.603
12332213313213,3.2173020,73.0261230,-0.700,0.607
12332211131313,5.1456567,73.1140137,-0.154,0.717
12332122000223,6.8500775,73.1579590,0.437,0.724
12332122200333,6.1514779,73.2897949,0.966,0.754
12332122000320,6.8718928,73.2238770,0.655,0.770
12332320032233,2.1198775,73.5534668,-0.348,0.700
12332033110130,6.9591440,72.9162598,0.496,0.776
12332302010010,4.2039864,73.5314941,0.658,0.731
30110011133121,-0.5822654,73.0700684,0.543,0.642
12332213333001,2.9759559,72.9821777,-0.047,0.630
12332031332123,7.1117945,72.8942871,0.175,0.642
12332033111223,6.8500775,72.9821777,-0.018,0.616
12332033131121,6.6100440,73.0700684,0.416,0.758
12332302010203,4.0944111,73.5095215,0.207,0.718
12332300221031,4.5107140,73.3776855,-0.113,0.610
12332033112311,6.7409861,72.9382324,0.655,0.741
12332122022231,6.3480564,73.2019043,0.024,0.763
12332211111233,5.4519589,73.0261230,-0.010,0.712
12332211332322,4.2258996,72.8723145,0.450,0.737
12332122000203,6.8937071,73.1579590,-0.158,0.765
12332211111100,5.6050520,73.0480957,0.491,0.744
12332233331311,0.2526847,73.1140137,0.228,0.661
12332033113213,6.7191648,73.0261230,0.606,0.731
12332211111320,5.4738318,73.0480957,0.308,0.756
12332122002210,6.7409861,73.1799316,-0.221,0.722
12332320203213,1.8124418,73.3776855,-0.054,0.685
12332122222112,5.7581050,73.2678223,-0.502,0.612
12332300002222,5.2769476,73.1359863,-0.055,0.783
12332302232122,2.9101249,73.5754395,0.213,0.721
12332233313010,0.5163504,73.0041504,0.577,0.575
12332300010023,5.5394455,73.5095215,0.380,0.760
12332033113111,6.8282612,73.1140137,-0.478,0.622
12332031332310,7.0899903,72.9162598,0.045,0.754
12332033111313,6.8937071,73.1140137,0.620,0.602
12332300223123,4.3135463,73.4216309,0.240,0.620
12332033113323,6.6755194,73.0700684,0.122,0.711
12332300232233,4.2258996,73.5534668,0.278,0.615
12332211132032,5.0143386,72.8283691,-0.118,0.621
12332322220230,0.2087398,73.1799316,0.485,0.652
12332302012021,3.9848207,73.5095215,0.408,0.605
12332300023313,4.9705600,73.4655762,-0.873,0.606
12332211113232,5.2769476,73.0041504,0.687,0.745
12332033133121,6.4354006,73.0700684,-0.368,0.630
12332033113331,6.6973426,73.1140137,0.712,0.750
12332300003311,5.3425828,73.4655762,0.096,0.666
12332320212010,1.9222467,73.5314941,0.544,0.714
12332302001101,4.2039864,73.4216309,-0.019,0.609
12332300223301,4.2916356,73.4216309,-0.567,0.605
12332211111120,5.5613152,73.0480957,0.469,0.607
