quadkey,latitude,longitude,rwi,error
02331030210100,18.6358348,-97.9870605,-0.395,0.495
02313220102101,24.3571051,-100.4260254,-0.045,0.396
02330113333010,19.4665919,-101.3708496,-0.239,0.391
02331032213031,17.0882909,-97.8332520,-0.893,0.513
02331030230230,18.1771685,-98.0310059,0.053,0.493
02331000301033,21.2177003,-100.2941895,-0.065,0.450
02331133010021,17.9264757,-91.0217285,-0.004,0.515
02331001120010,21.6063650,-99.0856934,-0.258,0.448
02312333210010,22.5835822,-102.2497559,0.892,0.482
02331012011012,20.6019358,-97.8552246,-0.060,0.558
02312211312102,26.2441559,-107.1276855,-0.792,0.343
02331032023222,17.3191761,-98.2507324,-0.580,0.420
02330101201231,21.1562380,-105.2160645,0.588,0.490
02330111100323,21.7901067,-101.8322754,-0.163,0.382
02331000310120,21.2381821,-100.0964355,-0.215,0.433
02330131002020,19.0932663,-102.6452637,-0.197,0.415
02331002311032,19.9010533,-99.9645996,0.302,0.526
02330131110302,19.1970531,-101.5026855,-0.315,0.395
02331032132112,17.4449916,-97.2399902,0.084,0.501
02313223332300,22.0143603,-98.6901855,0.044,0.465
02313222010211,23.1504616,-100.8215332,-0.546,0.372
02331012221011,19.6322399,-98.1848145,-0.352,0.505
02331020002321,19.0101900,-101.1291504,0.404,0.479
02312303323302,24.5770993,-104.4909668,-0.614,0.362
02301323132320,32.5745912,-115.5651855,-0.013,0.430
03220000330323,20.8074712,-88.8244629,-0.101,0.467
03220002023113,20.1075229,-89.6594238,-0.387,0.461
02313220101333,24.3771204,-100.2062988,-0.280,0.395
02313232230310,22.1772314,-97.9431152,0.319,0.530
02330103100221,20.4990639,-104.7326660,-0.152,0.426
02312213103001,25.6316212,-107.3693848,0.417,0.511
02331021022213,18.6982852,-99.7668457,-0.102,0.513
02312333300312,22.4821059,-101.8103027,0.022,0.404
02331021210121,18.5941885,-99.3713379,0.846,0.542
02330111022012,21.4223895,-102.6013184,-0.060,0.392
02331310120033,16.2252233,-92.0324707,-0.042,0.515
02331012003323,20.3137206,-98.1408691,-0.455,0.484
02331312021100,14.9341696,-92.5378418,-0.453,0.480
02331033100330,17.8428322,-96.1853027,-0.449,0.521
02331020303231,18.3440975,-100.2941895,0.170,0.494
02312302201112,25.1353386,-106.5563965,-0.069,0.441
02331020113212,19.0309630,-99.9645996,-0.142,0.549
02331020313031,18.4275017,-99.9426270,-0.127,0.463
02330103011031,20.5813670,-104.8645020,0.067,0.414
02331310223302,15.3371669,-92.5378418,0.074,0.521
02312210002002,26.8730805,-109.6765137,-0.243,0.409
02313202021210,25.3936601,-101.0192871,1.299,0.418
02312231103000,24.3571051,-107.3913574,-0.624,0.440
02330111300313,21.1767283,-101.7883301,0.121,0.437
02313221031020,24.1567778,-99.3054199,-0.370,0.568
02331301132120,16.0774856,-93.0651855,-0.659,0.419
02331002000120,20.5813670,-101.1511230,0.445,0.468
02331310130222,16.1408153,-91.7468262,-0.098,0.474
02330110333330,20.6636257,-102.6892090,0.079,0.454
02312321200303,23.7752908,-105.3479004,0.593,0.491
02313222201101,22.5835822,-100.9533691,-0.208,0.417
02331201111323,16.4782298,-98.4924316,-0.778,0.455
02330112121222,20.1487843,-103.1726074,0.945,0.438
02330113000002,20.6019358,-102.6452637,-0.329,0.442
02330112212002,19.7770419,-103.6999512,-0.179,0.424
02312032320331,27.2448621,-108.8195801,-0.359,0.339
02312023312211,27.4400400,-109.9621582,0.667,0.467
02331001300113,21.2586610,-98.9758301,-0.339,0.468
02331132001111,17.9682826,-92.4719238,-0.285,0.535
02312303302210,24.9163310,-104.7106934,0.030,0.454
02330111313013,21.0947502,-101.3488770,0.039,0.629
02331001311013,21.2586610,-98.5363770,-0.352,0.450
02331032213122,17.0672871,-97.8112793,-0.106,0.429
02330113110120,20.5813670,-101.5026855,0.131,0.415
02312333332302,21.9939882,-101.5026855,-0.568,0.401
02330113113213,20.3549272,-101.3488770,0.048,0.444
02331301102113,16.4360849,-93.3508301,-0.362,0.477
02312213320113,24.8166532,-107.4133301,1.111,0.441
02331002032202,20.0249676,-100.8874512,-0.629,0.410
02313232223003,22.0754590,-98.2287598,-0.125,0.475
02331010302122,21.0537441,-97.6354980,-0.408,0.497
02331120302312,18.3649523,-94.7790527,-0.300,0.518
02331310120231,16.1619207,-92.0324707,0.326,0.479
02331121333233,17.9891824,-92.9113770,1.512,0.595
02312030020013,29.2001230,-109.6105957,-0.229,0.360
02331122233300,16.7098626,-94.9987793,0.155,0.577
02331021331001,18.3023803,-98.5803223,-0.530,0.498
02331030132310,18.7190968,-97.2399902,-0.348,0.502
02330131310032,18.5733616,-101.5466309,-0.582,0.426
02330113112311,20.3755265,-101.4367676,0.200,0.436
02331032210132,17.2352512,-97.9431152,-0.447,0.481
02331000020220,21.4837405,-101.2390137,-0.061,0.472
02331012201123,19.9010533,-98.1408691,-0.093,0.516
02331002031320,20.1694109,-100.6237793,-0.350,0.445
02331123112222,17.6544909,-93.1530762,-0.123,0.525
02331031211213,18.5317000,-96.4270020,-0.176,0.521
02331021000100,19.3007745,-99.7448730,1.267,0.523
02331021022121,18.7607124,-99.7229004,-0.105,0.499
02312333223131,22.0550957,-102.3156738,0.282,0.463
02331023010130,17.9264757,-99.3493652,0.451,0.509
02331122032001,17.4659524,-95.2404785,-0.378,0.513
02331122230323,16.8150577,-95.1525879,-0.032,0.573
02331031022320,18.6774709,-96.9323730,-0.160,0.540
02331002320223,19.4873072,-100.5139160,-0.847,0.431
02330130113330,19.0101900,-102.6892090,-0.351,0.432
02331211212002,15.7605359,-96.6687012,-0.654,0.472
02331020300101,18.6358348,-100.4260254,-0.092,0.415
02331310100230,16.4992989,-92.0544434,0.189,0.509
02331012001302,20.5196439,-98.1628418,-0.813,0.433
02312031333301,28.3720684,-106.9299316,0.063,0.405
02330101223213,20.6841834,-105.2160645,1.189,0.482
02331001013113,21.7492955,-99.1516113,-0.431,0.367
02331002113003,20.4373076,-99.9865723,1.478,0.493
03220001330022,20.8896072,-87.5280762,0.396,0.541
02312210323232,25.8097816,-108.7536621,0.303,0.463
02331310230131,15.5701276,-92.2961426,-0.520,0.427
02330111103331,21.6472167,-101.6125488,-0.275,0.426
02330113233232,19.3215109,-102.0739746,-0.323,0.406
02331023220310,16.8781467,-99.7009277,-0.058,0.534
02331211022230,15.9930146,-96.9763184,0.179,0.556
02331120323301,18.0518668,-94.6252441,-0.537,0.518
02331032232120,16.7519476,-97.9870605,0.138,0.534
02331012112010,20.4578958,-97.3278809,1.163,0.556
02331000110010,21.9328544,-100.1403809,-0.381,0.390
02313223203300,22.3399141,-99.5690918,-0.697,0.413
02331023330301,16.8781467,-98.6682129,-0.525,0.471
02313222111113,23.2110579,-99.8547363,0.206,0.387
02312330331203,23.4531676,-102.7990723,-0.493,0.456
02331310112101,16.4571585,-91.6369629,-0.646,0.418
02330112031202,20.1900348,-103.5241699,0.722,0.390
02330113210010,19.9630226,-102.2497559,0.304,0.456
02331123211122,17.2352512,-93.5925293,-0.375,0.546
