quadkey,latitude,longitude,rwi,error
13023102001033,47.9384264,107.1276855,-0.261,0.422
13023011321232,48.1147661,106.4025879,-0.407,0.514
13023001101220,48.8285650,103.5461426,0.505,0.299
13023313120231,43.7314135,111.8737793,0.276,0.388
13023103020003,47.7319340,108.3142090,0.203,0.332
12131333333303,48.9585801,89.9450684,1.256,0.368
13023100222010,48.1000942,106.9299316,0.709,0.345
13023102001002,47.9678583,107.0617676,-0.066,0.289
13023102013122,47.8205313,107.5012207,-0.075,0.293
13023102002202,47.7910157,106.8859863,-0.211,0.351
13023102031300,47.6875786,107.5012207,-0.503,0.326
13023100222320,48.0119746,106.9738770,0.543,0.391
13023100220221,48.1294339,106.9079590,0.287,0.447
13023013111130,47.9531444,106.8420410,1.259,0.393
13023011131033,48.6401682,106.7761230,0.411,0.360
13023013111030,47.9531444,106.7541504,-0.207,0.332
13023100222030,48.0707377,106.9299316,0.791,0.409
13021232232212,48.9585801,104.4689941,-0.211,0.267
13023103002132,47.8205313,108.4240723,-0.438,0.276
13023103002231,47.7762515,108.3581543,0.647,0.419
13020333003310,49.6605162,100.1623535,-0.028,0.358
13023112110031,47.9531444,110.8190918,-0.386,0.265
13023102001123,47.9384264,107.1716309,-0.197,0.361
13021233312023,49.2175966,106.5563965,-0.171,0.265
13021233030322,49.5038090,105.9191895,0.346,0.332
13022131320333,46.2026459,100.7116699,1.148,0.344
13023102013303,47.7910157,107.5231934,0.022,0.299
13023013113032,47.8205313,106.7541504,0.021,0.382
13023102012231,47.7762515,107.3034668,-0.321,0.362
13023102003030,47.8352829,107.1057129,-0.026,0.383
13023013113011,47.8647734,106.7761230,1.162,0.409
13023013110231,47.8942472,106.6003418,-0.294,0.372
13023102001121,47.9531444,107.1716309,-0.126,0.414
13020333003313,49.6462909,100.1843262,1.183,0.371
13023102013201,47.8057756,107.4353027,-0.114,0.309
13023212201111,43.5724312,104.4030762,0.741,0.390
13020221231312,49.9865516,92.0764160,0.688,0.372
13023112112223,47.7614832,110.7751465,-0.681,0.265
13023102001301,47.9237042,107.1716309,0.848,0.384
13023011323330,48.0119746,106.4904785,0.093,0.500
13032020120232,46.6871309,113.2580566,-0.089,0.306
13032001231330,48.1294339,114.5764160,0.370,0.315
13023011321011,48.2173524,106.4245605,-0.107,0.264
13023102001213,47.9089778,107.1276855,-0.073,0.417
13023013112233,47.7614832,106.6003418,0.631,0.366
13023013113030,47.8352829,106.7541504,0.375,0.368
13021223331333,49.0450691,104.0515137,0.125,0.429
13021233012120,49.6889544,105.9191895,0.015,0.341
13023212023321,43.6042613,104.3591309,0.205,0.489
13023100222231,48.0119746,106.9519043,-0.311,0.384
13023011331213,48.1440974,106.7761230,-0.582,0.261
13023011331212,48.1440974,106.7541504,0.059,0.277
13023011321200,48.1587568,106.3586426,-0.096,0.338
13021231302220,50.0853439,106.1828613,0.779,0.347
13021233203202,49.1888837,105.6555176,-0.086,0.421
13023100222012,48.0854181,106.9299316,-0.127,0.427
13021233012123,49.6747374,105.9411621,0.118,0.283
13023100223213,48.0266717,107.1276855,0.324,0.277
13021233220033,49.1026450,105.5456543,0.699,0.415
13032020122010,46.6720559,113.2580566,-0.184,0.379
13023011321001,48.2173524,106.3806152,-0.940,0.261
13023003220330,47.1822454,102.7990723,0.146,0.365
13023013110202,47.9089778,106.5344238,0.493,0.343
13023100220231,48.1294339,106.9519043,0.318,0.430
13021233032103,49.4752627,105.9411621,0.449,0.422
13023011333010,48.1000942,106.7541504,0.027,0.505
13023102012221,47.7762515,107.2595215,0.331,0.408
13023103002323,47.7614832,108.4020996,-0.061,0.372
13023002023213,47.5542862,101.5026855,-0.368,0.264
13023013111131,47.9531444,106.8640137,1.185,0.392
13023013113120,47.8352829,106.7980957,0.349,0.351
13023102012212,47.7910157,107.2814941,0.047,0.361
13023102021123,47.7023679,107.1716309,-0.256,0.279
13023112133200,47.5691132,110.9289551,-1.016,0.275
13023301311001,44.5826423,109.5446777,-0.368,0.266
13023310012122,44.9103586,110.1379395,0.535,0.361
13020333012002,49.7031672,100.2062988,-0.412,0.279
13022131323000,46.1874363,100.7336426,0.538,0.393
13023102011203,47.9089778,107.4353027,0.246,0.381
13032020122011,46.6720559,113.2800293,0.761,0.404
13023011332201,48.0413646,106.5563965,0.006,0.341
13023013111231,47.8942472,106.7761230,0.427,0.343
13023011332100,48.1000942,106.6223145,0.154,0.366
13032001231231,48.1294339,114.5104980,-0.239,0.295
13023102002221,47.7762515,106.9079590,-0.340,0.293
13023011101312,48.8430278,106.4904785,0.224,0.373
13023100223011,48.1000942,107.1276855,-0.291,0.261
13023103020030,47.7171530,108.3361816,-0.855,0.370
13021233033201,49.4324121,106.0290527,-0.225,0.324
13021233303212,49.1888837,106.4025879,-0.343,0.265
13023013101133,47.9384264,106.5124512,-0.386,0.331
13023102030201,47.6875786,107.2595215,-0.232,0.504
13023102001222,47.8795124,107.0617676,0.686,0.380
13023013111002,47.9678583,106.7102051,0.031,0.376
13023013111110,47.9825679,106.8420410,0.479,0.382
13023013111201,47.9237042,106.7321777,0.658,0.391
13023013111332,47.8795124,106.8420410,0.092,0.448
13023102000233,47.8795124,106.9519043,0.377,0.384
13023102003001,47.8647734,107.0837402,0.559,0.670
13023100222020,48.0707377,106.8859863,1.016,0.395
13021232220213,49.0738654,104.1394043,0.277,0.407
13023100220303,48.1440974,106.9958496,-0.050,0.284
13021233220032,49.1026450,105.5236816,-0.556,0.363
13021233321010,49.1457831,106.4025879,-0.493,0.267
13023102000033,47.9384264,106.9519043,1.120,0.353
13023033120301,45.7598582,106.2927246,0.480,0.441
13023013101101,47.9825679,106.4685059,-0.168,0.324
13023013113202,47.7910157,106.7102051,0.705,0.390
13023011323100,48.1000942,106.4465332,0.398,0.330
13023102020100,47.7467107,106.9738770,-0.368,0.389
13023013113230,47.7762515,106.7541504,-0.077,0.335
13023013113100,47.8647734,106.7980957,0.766,0.408
13023100220323,48.1147661,106.9958496,-0.362,0.274
13023013111133,47.9384264,106.8640137,1.314,0.407
13032001231323,48.1147661,114.5544434,-0.130,0.322
13023102000122,47.9384264,106.9738770,1.075,0.352
13023102012213,47.7910157,107.3034668,0.166,0.326
13023001101223,48.8140980,103.5681152,-0.185,0.308
13023011333202,48.0266717,106.7102051,-0.502,0.263
13023013111112,47.9678583,106.8420410,0.753,0.335
13023100223002,48.0854181,107.0617676,-0.245,0.292
13021233303330,49.1745210,106.4904785,-0.482,0.265
13020333003331,49.6320614,100.1843262,0.686,0.384
13023212201113,43.5565098,104.4030762,0.151,0.393
13020333003333,49.6178278,100.1843262,0.595,0.378
13023100222102,48.0854181,106.9738770,-0.251,0.411
13023102012120,47.8352829,107.3254395,-0.092,0.467
13023011323303,48.0266717,106.4685059,-0.420,0.262
13023112123130,47.5987548,110.7092285,-0.120,0.265
13023100222200,48.0413646,106.8859863,0.178,0.372
13032001233130,48.0707377,114.5764160,-0.099,0.531
13023310012120,44.9259178,110.1379395,0.332,0.305
13023011333111,48.1000942,106.8640137,0.594,0.361
13023102000003,47.9678583,106.9079590,0.800,0.347
13021232220202,49.0738654,104.0734863,-0.145,0.412
13023112123301,47.5691132,110.6872559,-0.042,0.265
13023001100331,48.8285650,103.5241699,0.986,0.319
13023013111031,47.9531444,106.7761230,-0.460,0.377
13023001100333,48.8140980,103.5241699,0.710,0.360
13023011012100,48.7996268,105.9191895,0.335,0.397
13021233032310,49.4324121,105.9631348,0.231,0.410
13023102003312,47.7910157,107.1936035,0.147,0.626
13023212210001,43.5724312,104.4470215,-0.374,0.302
13023003221203,47.1971774,102.8649902,-0.268,0.621
13023013101331,47.8942472,106.5124512,0.205,0.377
13023100220330,48.1294339,107.0178223,-0.301,0.285
13023013113110,47.8647734,106.8420410,0.143,0.411
13023102001130,47.9531444,107.1936035,-0.164,0.278
13023102020122,47.7023679,106.9738770,0.832,0.394
13021233312020,49.2319468,106.5344238,0.151,0.265
13023102000211,47.9237042,106.9519043,1.154,0.402
13023102000320,47.8942472,106.9738770,-0.187,0.431
13023011332120,48.0707377,106.6223145,-0.277,0.278
13023011330300,48.1587568,106.6223145,-0.159,0.262
13023212210020,43.5405843,104.4250488,0.375,0.288
13023102002011,47.8647734,106.9519043,0.410,0.408
13020221231311,50.0006772,92.0983887,-0.402,0.425
13023011333221,48.0119746,106.7321777,0.286,0.425
13023011332032,48.0560532,106.5783691,-0.198,0.436
13023013111202,47.9089778,106.7102051,0.150,0.390
13021232220221,49.0594693,104.0954590,0.869,0.361
13023103020100,47.7467107,108.3801270,-0.031,0.347
13023103002332,47.7614832,108.4240723,-0.361,0.410
13023013130013,47.7319340,106.6003418,-0.229,0.321
13021233303031,49.2319468,106.4245605,-0.089,0.380
13023103020110,47.7467107,108.4240723,-0.098,0.335
13021233303112,49.2462928,106.4904785,-0.369,0.314
13023100232233,47.9972733,107.3034668,-0.399,0.283
13023100232002,48.0854181,107.2375488,-0.651,0.292
13023102000323,47.8795124,106.9958496,0.340,0.347
13023011333300,48.0413646,106.7980957,-0.748,0.287
13023013110122,47.9384264,106.6223145,-0.002,0.339
13023011113002,48.7851515,106.7102051,-0.079,0.358
13032001233121,48.0707377,114.5544434,0.030,0.387
13021233032130,49.4609833,105.9631348,0.601,0.441
13023011010322,48.8140980,105.9191895,-0.466,0.361
13023013110330,47.8942472,106.6662598,0.402,0.358
13023102000230,47.8942472,106.9299316,0.454,0.478
13023112132113,47.6135692,110.9069824,-0.797,0.265
13023021220310,46.2482494,102.7990723,-0.005,0.362
13023102013022,47.8205313,107.4133301,0.053,0.278
13023100222033,48.0560532,106.9519043,-0.233,0.376
13021233220300,49.0882573,105.5676270,0.295,0.376
13023011101123,48.8719410,106.4685059,0.085,0.332
13023011332030,48.0707377,106.5783691,0.421,0.341
13023011101303,48.8430278,106.4685059,0.512,0.398
13023013113221,47.7762515,106.7321777,0.284,0.358
13022003001011,47.9825679,91.6589355,0.606,0.388
13023013110331,47.8942472,106.6882324,0.361,0.394
13023011332301,48.0413646,106.6442871,-0.375,0.263
