quadkey,latitude,longitude,rwi,error
30012333131301,-21.0537441,33.6950684,-0.688,0.362
30013210002112,-16.8360897,36.7053223,-0.343,0.358
30030132131201,-26.2047338,32.2009277,-0.633,0.392
30031001220023,-22.9887378,35.1892090,-0.493,0.388
30013201202302,-17.5916666,35.2551270,-0.866,0.367
30013032312210,-16.2252233,37.6721191,-0.484,0.355
30012313313222,-18.9686362,33.5852051,-0.641,0.363
30013120102013,-14.1259215,40.1550293,-0.507,0.374
30013120000201,-14.0193555,39.4079590,0.098,0.373
30013220010002,-19.3422447,34.1125488,-0.251,0.387
30031002131200,-23.6545875,34.9914551,-0.798,0.432
30013220000203,-19.4251534,33.7829590,-0.565,0.366
30030133020011,-26.1258498,32.4206543,-0.426,0.372
30013031323123,-15.1887835,38.9685059,-0.377,0.377
30013102332320,-13.8914108,40.5285645,-0.661,0.373
30013030012021,-14.1472288,36.9470215,-0.496,0.351
30013030301330,-14.7430107,37.5842285,-1.008,0.356
30012131121211,-14.3601909,33.2995605,-0.092,0.341
30013120102223,-14.2537350,40.1110840,-0.534,0.374
30013023213132,-16.2041247,35.8264160,0.512,0.338
30031020103012,-24.7168951,34.6838379,-0.323,0.423
30013020302002,-14.8067491,34.4641113,-0.417,0.360
30030131301131,-25.2148807,33.3874512,-0.418,0.360
30013030230131,-14.9978516,37.0788574,-0.624,0.351
30013120302202,-14.8917045,40.0891113,-0.538,0.453
30012313013332,-18.3023803,33.0139160,-0.414,0.357
30013120130201,-14.3601909,40.4626465,-0.094,0.381
30013003223323,-13.9127399,35.4528809,-0.258,0.351
30013210102323,-16.9622326,37.3864746,-0.645,0.358
30013033121312,-15.7393882,38.9904785,-0.716,0.383
30013023300231,-16.0985977,35.9362793,-0.625,0.340
30012132130332,-15.7816814,32.1350098,-0.477,0.354
30012133311322,-16.1197076,33.6730957,0.537,0.486
30013012232301,-13.8487469,37.0349121,-0.878,0.363
30013211111310,-16.7309063,39.3420410,-0.580,0.383
30013032210212,-16.0774856,36.9689941,-0.588,0.354
30013032231020,-16.3517676,37.1008301,-0.754,0.352
30013023313033,-16.2041247,36.4636230,-0.470,0.346
30013201331320,-17.7800738,36.4855957,-0.623,0.358
30012313233213,-19.2592938,32.9479980,-0.216,0.365
30031000132111,-22.4414945,34.9694824,-0.752,0.378
30013210033123,-17.2142640,37.2106934,-0.612,0.353
30030131110323,-24.6769694,33.5192871,0.361,0.508
30013013310100,-13.2506393,39.1223145,-0.815,0.380
30013023102001,-15.4642688,35.8923340,0.148,0.336
30013033321333,-16.4571585,39.0124512,-0.953,0.380
30031002331331,-24.3370866,35.1452637,-0.537,0.405
30012331313322,-20.2931131,33.6730957,-0.528,0.378
30013023233121,-16.5203656,35.8044434,-0.325,0.350
30031003202112,-24.0765587,35.2990723,-0.587,0.470
30013201011120,-16.6888167,35.7824707,-0.511,0.350
30013033101313,-15.4007275,39.0124512,-0.491,0.375
30012333001232,-20.7869302,32.5744629,-0.295,0.381
30013033332100,-16.4782298,39.1223145,-0.717,0.379
30013032033313,-15.9085080,37.2546387,-0.373,0.352
30013201101112,-16.6677684,36.1779785,-0.116,0.349
30013102202322,-13.5712413,39.4738770,-0.831,0.379
30013202031323,-18.4691886,34.3981934,-0.631,0.388
30013021333332,-15.2735868,36.5295410,-0.612,0.347
30013032320230,-16.4360849,37.3205566,-0.245,0.351
30013031123322,-14.5942153,38.9465332,-0.679,0.378
30012131333113,-15.1463690,33.7390137,-0.661,0.344
30030133001221,-25.9284066,32.5524902,1.383,0.493
30013201010232,-16.7940233,35.5627441,-0.559,0.344
30013021132321,-14.5729506,36.3317871,-0.364,0.350
30013033132230,-15.9296380,39.0783691,-0.615,0.420
