quadkey,latitude,longitude,rwi,error
30103220312123,-20.2106559,57.4255371,0.558,0.589
30103321020033,-19.7149999,63.3581543,-0.262,0.488
30103220313110,-20.1487843,57.6232910,0.523,0.574
30103221200231,-20.1075229,57.7331543,0.421,0.579
30103321020122,-19.7149999,63.3801270,0.571,0.577
30103220331031,-20.3549272,57.5573730,-0.111,0.560
30103321020131,-19.6943139,63.4460449,0.744,0.583
30103221202010,-20.1487843,57.7111816,-0.137,0.569
30103220311110,-19.9836736,57.6232910,0.764,0.595
30103220330220,-20.4373076,57.3156738,0.703,0.638
30103221220001,-20.3137206,57.6892090,-0.231,0.560
30103221202123,-20.2106559,57.7770996,1.003,0.592
30103220331102,-20.3343253,57.5793457,0.032,0.593
30103221200221,-20.1075229,57.6892090,1.185,0.607
30103220333012,-20.4990639,57.5354004,0.049,0.556
30103220331313,-20.4167166,57.6452637,0.465,0.568
30103321020300,-19.7356832,63.3801270,0.905,0.580
30103220313323,-20.2931131,57.6013184,0.082,0.621
30103220313101,-20.1487843,57.6013184,0.267,0.596
30103220311300,-20.0662507,57.5793457,0.932,0.595
30103220312321,-20.2725029,57.4255371,0.556,0.605
30103221202231,-20.2725029,57.7331543,0.359,0.587
30101222032022,-10.3905714,56.6125488,-0.432,0.508
30103321020133,-19.7149999,63.4460449,0.571,0.598
30103220313222,-20.2931131,57.4914551,1.566,0.594
30103220330013,-20.3343253,57.3815918,0.599,0.610
30103321020310,-19.7356832,63.4240723,0.224,0.555
30103221202002,-20.1694109,57.6672363,0.724,0.591
30103220312133,-20.2106559,57.4694824,1.328,0.605
30103220332011,-20.4784813,57.3815918,0.709,0.579
30103220330012,-20.3343253,57.3596191,0.716,0.606
30103221200223,-20.1281550,57.6892090,0.266,0.588
30103220330333,-20.4578958,57.4694824,-0.117,0.554
30103220313232,-20.2931131,57.5354004,0.894,0.572
30103220311311,-20.0662507,57.6452637,0.723,0.584
30103220312330,-20.2725029,57.4475098,0.542,0.596
30103221202021,-20.1900348,57.6892090,-0.136,0.586
30103220331030,-20.3549272,57.5354004,-0.122,0.592
30103220313210,-20.2312743,57.5354004,1.051,0.598
30103220313221,-20.2725029,57.5134277,1.172,0.594
30103220331122,-20.3755265,57.5793457,0.528,0.572
30103220313132,-20.2106559,57.6232910,0.180,0.591
30103220311230,-20.1075229,57.5354004,0.781,0.583
30103321021020,-19.6943139,63.4680176,0.400,0.593
30103220311301,-20.0662507,57.6013184,0.936,0.578
30103220331320,-20.4373076,57.5793457,0.122,0.583
30103220312231,-20.2725029,57.3815918,1.326,0.600
30103221200232,-20.1281550,57.7111816,-0.004,0.587
30103220331322,-20.4578958,57.5793457,0.372,0.594
30103321020211,-19.7356832,63.3581543,-0.295,0.521
30103221220201,-20.3961229,57.6892090,1.113,0.586
30103220330133,-20.3755265,57.4694824,-0.340,0.559
30103221202201,-20.2312743,57.6892090,0.096,0.572
30103220332103,-20.4990639,57.4255371,0.849,0.602
30103221202032,-20.2106559,57.7111816,0.829,0.577
30103220312311,-20.2312743,57.4694824,1.319,0.548
30103221202220,-20.2725029,57.6672363,0.336,0.588
30103220330033,-20.3755265,57.3815918,0.664,0.661
30103221220222,-20.4578958,57.6672363,0.678,0.606
30103220333103,-20.4990639,57.6013184,-0.331,0.526
30103220311330,-20.1075229,57.6232910,0.171,0.593
30103220311030,-20.0249676,57.5354004,0.106,0.613
30103220331010,-20.3137206,57.5354004,0.971,0.597
30103220312233,-20.2931131,57.3815918,-0.059,0.600
30103220312322,-20.2931131,57.4035645,0.710,0.582
30103220311032,-20.0456105,57.5354004,1.008,0.601
30103221220230,-20.4373076,57.7111816,1.131,0.606
30103220313203,-20.2518900,57.5134277,0.643,0.572
30103221202012,-20.1694109,57.7111816,0.228,0.562
30103221220220,-20.4373076,57.6672363,1.122,0.613
30103220330212,-20.4167166,57.3596191,0.805,0.594
30103220312310,-20.2312743,57.4475098,0.946,0.600
30103220333011,-20.4784813,57.5573730,0.941,0.586
30103220331202,-20.4167166,57.4914551,0.409,0.580
30103321020121,-19.6943139,63.4020996,0.406,0.567
30103220331222,-20.4578958,57.4914551,0.009,0.576
30103220312132,-20.2106559,57.4475098,0.579,0.585
30103220332113,-20.4990639,57.4694824,0.764,0.615
30103220331330,-20.4373076,57.6232910,0.830,0.545
30103220332102,-20.4990639,57.4035645,0.901,0.623
30103221200202,-20.0868882,57.6672363,0.453,0.544
30103221202031,-20.1900348,57.7331543,0.995,0.623
30103220330213,-20.4167166,57.3815918,0.022,0.577
30103220311321,-20.1075229,57.6013184,0.003,0.592
30103221200020,-20.0249676,57.6672363,1.146,0.592
30103220312113,-20.1694109,57.4694824,1.283,0.621
30103220313311,-20.2312743,57.6452637,0.375,0.576
30103220313020,-20.1900348,57.4914551,1.360,0.601
30103220331213,-20.4167166,57.5573730,0.793,0.594
30103221200023,-20.0456105,57.6892090,-0.097,0.623
30103220330320,-20.4373076,57.4035645,0.220,0.563
30103220331331,-20.4373076,57.6452637,0.662,0.568
30103220313100,-20.1487843,57.5793457,0.798,0.596
30103221202233,-20.2931131,57.7331543,0.587,0.593
30103221202312,-20.2518900,57.7990723,0.628,0.620
30103220313302,-20.2518900,57.5793457,0.923,0.593
30103221200201,-20.0662507,57.6892090,0.435,0.611
