quadkey,latitude,longitude,rwi,error
30013021230100,-14.9553991,35.6066895,-0.133,0.359
30012113300113,-13.2720261,33.2116699,-0.061,0.353
30012111313223,-12.2004420,33.6071777,-0.194,0.357
30013000200113,-11.8996033,33.9147949,-0.376,0.375
30013000221013,-12.2433913,34.0026855,-0.124,0.431
30013021212323,-14.9341696,35.6286621,-0.486,0.358
30013023002223,-15.6124559,35.1892090,-0.394,0.401
30013022013333,-15.6124559,34.4421387,0.487,0.345
30012113331130,-13.6353101,33.7170410,-0.550,0.387
30013023200220,-16.0985977,35.1672363,-0.377,0.387
30013000210000,-11.8781020,34.1125488,-0.921,0.384
30013023032011,-15.8028247,35.5847168,0.062,0.470
30012113231103,-13.6139558,32.9919434,-0.441,0.354
30013002202232,-13.5712413,33.8049316,-0.288,0.379
30012113231031,-13.6353101,32.9479980,-0.611,0.358
30012113313222,-13.5712413,33.5852051,-0.730,0.360
30013023202212,-16.2463197,35.2111816,-0.240,0.377
30012113300323,-13.4003068,33.1677246,-0.428,0.355
30013002200110,-13.2506393,33.8928223,-0.188,0.391
30012113302310,-13.5071552,33.1896973,-0.595,0.363
30013020311300,-14.7005081,35.0793457,-0.572,0.357
30012113101130,-12.6081759,33.3654785,-0.529,0.352
30013000000233,-11.3400249,33.8269043,-0.637,0.366
30013020030320,-14.4027591,34.2004395,-0.123,0.366
30012111312311,-12.1360050,33.5632324,-0.489,0.356
30013002010231,-12.6939327,34.1784668,0.092,0.475
30012131113120,-14.1472288,33.6730957,-0.436,0.466
30013020122000,-14.4453192,34.4641113,-0.309,0.369
30010331213310,-9.3731925,33.0139160,-0.038,0.371
30013023220002,-16.3306825,35.1672363,-0.332,0.358
30013022310323,-16.1197076,34.9255371,-0.337,0.378
30013021022020,-14.4878712,35.1672363,-0.307,0.396
30012111333111,-12.3936586,33.7390137,-0.656,0.359
30013022313010,-16.1408153,35.0354004,-0.587,0.375
30013000021311,-11.6199546,34.0905762,-0.864,0.392
30013020123121,-14.4878712,34.7497559,-0.697,0.358
30013020130310,-14.3601909,34.9475098,-0.353,0.357
30012113133010,-13.0794780,33.6291504,-0.685,0.362
30012113132130,-13.1222796,33.5412598,-0.366,0.363
30013020102021,-14.1472288,34.4860840,-0.832,0.360
30013000222132,-12.4580325,33.8928223,-0.815,0.363
30010333131232,-10.3041101,33.6291504,-0.389,0.363
30013023023031,-15.8451046,35.4089355,-0.342,0.380
30010331321302,-9.5682508,33.3215332,-0.450,0.374
30012113303313,-13.5285192,33.3874512,-0.655,0.361
30012131111030,-13.9767151,33.6291504,0.179,0.468
30012113132301,-13.1650736,33.5192871,-0.358,0.417
30012111333033,-12.4580325,33.6511230,-0.262,0.363
30013023202133,-16.2041247,35.3210449,-0.043,0.344
30013020333013,-15.1463690,35.0573730,-0.714,0.363
30013002201203,-13.3575541,33.9587402,-0.124,0.363
30010333101132,-9.8714518,33.3654785,-0.263,0.436
30013022313120,-16.1830238,35.0793457,-0.011,0.395
30012113301230,-13.3789314,33.2775879,-0.483,0.364
30013022131332,-15.7816814,35.1232910,0.129,0.405
30013000223121,-12.4365763,34.0466309,-0.295,0.366
30012111333330,-12.5223904,33.7170410,-0.739,0.357
30013002322321,-13.8914108,34.5739746,0.067,0.362
30013022332100,-16.4782298,34.9035645,0.237,0.406
30013201002123,-16.8781467,35.2770996,-0.355,0.364
30012113132120,-13.1222796,33.4973145,-0.434,0.401
30012111113233,-11.5123222,33.6511230,-0.649,0.416
30013000223100,-12.3936586,34.0246582,-0.739,0.385
30013022300300,-16.0563712,34.5520020,-0.530,0.360
30013022301333,-16.1197076,34.7937012,0.176,0.367
30012113231110,-13.5925995,33.0139160,-0.706,0.355
30013023021013,-15.6547754,35.4089355,-0.129,0.361
30012113112012,-12.7582314,33.4533691,-0.665,0.384
30012111331300,-12.3078021,33.6730957,-0.371,0.359
30013021210010,-14.6154780,35.5627441,-0.209,0.360
30010333103133,-10.0445848,33.3874512,-0.616,0.360
30013022303101,-16.1408153,34.7497559,-0.134,0.364
30013022133030,-15.8451046,35.0354004,0.362,0.496
30013021201231,-14.7430107,35.4089355,-0.054,0.363
30013020323132,-15.1887835,34.7717285,-0.234,0.363
30013201002112,-16.8360897,35.2990723,-0.311,0.364
30012113302202,-13.5285192,33.0578613,-0.112,0.355
30012111132332,-11.8565990,33.5412598,0.288,0.357
30013002012302,-12.8439375,34.2004395,-0.544,0.368
30013002222121,-13.8060751,33.8708496,-0.408,0.402
30011222223102,-11.0382553,34.0246582,-0.329,0.364
30010333333121,-11.0598206,33.6950684,-0.218,0.364
30012131111232,-14.0833011,33.6291504,-0.547,0.474
30013022111221,-15.4219101,35.0134277,-0.435,0.455
30013023003302,-15.5701276,35.4309082,-0.187,0.361
30013022112123,-15.5277906,34.9255371,-0.440,0.362
30013023000032,-15.3583559,35.2111816,-0.059,0.382
30013020132222,-14.5942153,34.8156738,-0.885,0.361
30012111123333,-11.8565990,33.3874512,-0.471,0.352
30011222212030,-10.7145865,34.1564941,-0.064,0.420
30013002002322,-12.8867796,33.8488770,-0.382,0.395
30012113303010,-13.4216803,33.2775879,-0.432,0.369
30013023010102,-15.3159757,35.6066895,-0.715,0.354
30012113103102,-12.7582314,33.3215332,-0.858,0.360
30013020313000,-14.7855051,34.9914551,-0.583,0.365
30013020323122,-15.1887835,34.7277832,-0.137,0.356
30013023202202,-16.2463197,35.1672363,-0.305,0.357
30013002322210,-13.8487469,34.5080566,-0.378,0.366
30012111130301,-11.6199546,33.5192871,-0.448,0.362
30013022333020,-16.5203656,34.9914551,-0.127,0.371
30012113133031,-13.1222796,33.6511230,-0.141,0.360
30013022130133,-15.6970862,34.9694824,0.232,0.474
30012113302200,-13.5071552,33.0578613,-0.653,0.351
30013000010022,-11.2538371,34.1125488,-0.286,0.363
30013020330313,-15.0615146,34.9694824,-0.456,0.363
30013000222202,-12.5009395,33.7609863,-0.168,0.361
30013023001221,-15.4219101,35.3649902,0.438,0.365
30013002032101,-13.0794780,34.2224121,-0.570,0.369
30013000220220,-12.3507339,33.7609863,-0.564,0.357
30013002012233,-12.8867796,34.1784668,-0.556,0.363
30013002012100,-12.7368003,34.2004395,0.015,0.362
30011222002330,-10.1094859,33.8928223,-0.457,0.366
30013022101302,-15.4007275,34.7277832,-0.405,0.381
30013020113210,-14.1898373,35.0354004,-0.593,0.496
30012113331303,-13.6993616,33.6950684,-0.270,0.386
30013000000021,-11.2322862,33.7829590,-0.434,0.358
30013023201112,-15.9930146,35.4748535,0.432,0.437
30013000030022,-11.5984314,34.1125488,-0.766,0.371
30011222230220,-10.9735497,34.1125488,-0.471,0.367
30013020303131,-14.8279911,34.7937012,-0.238,0.364
30012113321223,-13.7420528,33.2556152,-0.391,0.353
30013023020210,-15.7182383,35.2111816,-0.505,0.371
30013020312233,-14.9341696,34.8815918,0.563,0.435
30013002233211,-13.8487469,34.3542480,-0.240,0.373
30012113311121,-13.2934109,33.6950684,0.124,0.373
30012113113020,-12.7796606,33.5852051,-0.636,0.362
30013022113112,-15.4854449,35.1232910,-0.403,0.360
30013023002322,-15.6124559,35.2551270,0.240,0.434
30013020300310,-14.7005081,34.5959473,-0.537,0.360
30013002201201,-13.3361750,33.9587402,-0.236,0.362
30013023201323,-16.1197076,35.4528809,-0.273,0.349
30012113303223,-13.5712413,33.2556152,-0.303,0.354
30013020000301,-14.0193555,33.8708496,-0.050,0.610
30013022301302,-16.0774856,34.7277832,-0.410,0.360
30012113312310,-13.5071552,33.5412598,-0.782,0.360
30012111110131,-11.2322862,33.5632324,-0.561,0.362
30010333330101,-10.8440961,33.5192871,-0.506,0.386
30013022121331,-15.7605359,34.7937012,-0.424,0.398
30012113302003,-13.4430519,33.0798340,-0.602,0.359
30013000010013,-11.2107336,34.1784668,-0.499,0.369
30012111311001,-11.8781020,33.6071777,-0.034,0.479
30013021222002,-15.1463690,35.1672363,-0.219,0.361
30013002320312,-13.6993616,34.5959473,0.536,0.451
30012111111020,-11.2322862,33.5852051,-0.348,0.363
30013020021110,-14.2750302,34.0686035,-0.031,0.356
30012113332220,-13.8914108,33.4094238,0.004,0.356
30013002000022,-12.6296178,33.7609863,-0.487,0.355
30012113312122,-13.4857894,33.4973145,-0.399,0.364
30013021203233,-14.9341696,35.4089355,-0.561,0.365
30013002220211,-13.6780130,33.8269043,-0.100,0.375
30012131101330,-14.0619878,33.3654785,-0.098,0.352
30013023202231,-16.2674138,35.2331543,-0.378,0.358
30012113310203,-13.3575541,33.4313965,-0.327,0.369
30012111310310,-11.9640971,33.5412598,-0.781,0.359
30013023013302,-15.5701276,35.7824707,0.202,0.368
30013023022103,-15.8239658,35.2770996,-0.236,0.360
30010333312322,-10.8225151,33.4973145,-0.240,0.363
30012113313223,-13.5712413,33.6071777,-0.149,0.357
30013022110111,-15.2947823,34.9694824,-0.790,0.379
30013023003321,-15.5912928,35.4528809,-0.501,0.361
30013002223130,-13.8060751,34.0686035,-0.172,0.359
30013000221212,-12.3292689,33.9807129,-0.420,0.363
30013002213202,-13.5285192,34.2883301,0.004,0.441
30011222002131,-10.0229482,33.9147949,-0.446,0.372
30012113313123,-13.4857894,33.6950684,-0.479,0.540
30012113111211,-12.6510579,33.6511230,-0.328,0.362
30013002213020,-13.4644216,34.2883301,-0.231,0.360
30012113300103,-13.2720261,33.1677246,-0.715,0.351
30012131131301,-14.3601909,33.6950684,-0.316,0.365
30012111313321,-12.1789647,33.6950684,-0.006,0.361
30013201000010,-16.6467178,35.2111816,-0.660,0.357
30013020132121,-14.4878712,34.9255371,-0.457,0.358
30010331323012,-9.6549077,33.2775879,-0.376,0.382
30013020132100,-14.4453192,34.9035645,-0.916,0.358
30012113310333,-13.4003068,33.5632324,-0.490,0.419
30013022130332,-15.7816814,34.9475098,0.870,0.405
30013000232201,-12.4794869,34.1345215,0.415,0.381
30013020303320,-14.9129381,34.7277832,-0.475,0.358
30013002231131,-13.6353101,34.4421387,0.000,0.358
30013022103322,-15.6124559,34.7277832,-0.610,0.360
30013020102013,-14.1259215,34.5300293,-0.385,0.404
30013023020332,-15.7816814,35.2990723,-0.450,0.390
30010331333031,-9.6765684,33.6511230,-0.715,0.373
30012113322021,-13.8060751,33.0798340,-0.366,0.359
30013002231101,-13.5925995,34.3981934,-0.190,0.363
30013020130001,-14.2750302,34.8376465,-1.109,0.373
30012113312123,-13.4857894,33.5192871,-0.342,0.361
30013022313031,-16.1830238,35.0573730,-0.266,0.360
30013020012232,-14.2537350,34.1564941,-0.201,0.397
30013020123032,-14.5091441,34.6838379,0.115,0.380
30013023021320,-15.7605359,35.4309082,-0.607,0.388
30013002331021,-13.6353101,35.0134277,-0.820,0.356
30012131112123,-14.1685340,33.5192871,0.231,0.346
30012113312231,-13.5498812,33.4753418,-0.624,0.362
30013022111202,-15.4007275,34.9914551,-0.664,0.421
30013023201033,-16.0352546,35.4089355,0.296,0.351
30012113312100,-13.4216803,33.4973145,-0.389,0.373
30013020320131,-14.9978516,34.6179199,-0.223,0.347
30012113111202,-12.6724962,33.5852051,-0.386,0.359
30012113103310,-12.8225137,33.3654785,-0.608,0.360
30013000002230,-11.4907908,33.8049316,-0.596,0.376
30013023000221,-15.4219101,35.1892090,-0.329,0.388
30012113131213,-13.0152618,33.6511230,-0.409,0.384
30013002010033,-12.6296178,34.1784668,-0.226,0.413
30011222000010,-9.8065034,33.8049316,-0.491,0.385
30013022311033,-16.0352546,35.0573730,0.043,0.386
30013000002132,-11.4261866,33.8928223,-0.223,0.363
30013002220011,-13.5925995,33.8269043,-0.574,0.360
30012113303220,-13.5498812,33.2336426,-0.511,0.353
30011222221101,-10.8440961,34.0466309,-0.381,0.390
30011222220022,-10.9088300,33.7609863,-0.534,0.370
30013020013230,-14.2324377,34.3322754,0.066,0.355
30012113121312,-13.0152618,33.3654785,-0.466,0.358
30011222232100,-11.0166883,34.2004395,-0.799,0.365
30013021211312,-14.7217604,35.8264160,-0.481,0.354
30013021202201,-14.8704688,35.1892090,-0.114,0.385
30013000223113,-12.4151184,34.0905762,-0.278,0.426
30012113312110,-13.4216803,33.5412598,-0.594,0.356
30013023001223,-15.4430906,35.3649902,0.032,0.359
30013020323232,-15.2735868,34.6838379,0.047,0.354
30013020333011,-15.1251586,35.0573730,-0.539,0.374
30013022100031,-15.3371669,34.5300293,-0.012,0.343
30013000002200,-11.4477230,33.7609863,-0.655,0.361
30013023032112,-15.8239658,35.6506348,-0.351,0.365
30013000200020,-11.9211029,33.7609863,0.908,0.493
30013021201332,-14.7642589,35.4748535,-0.194,0.361
30012113331022,-13.6566625,33.5852051,0.061,0.355
30013022133131,-15.8451046,35.1452637,0.638,0.428
