quadkey,latitude,longitude,rwi,error
13232201311122,4.8392069,115.2355957,-0.237,0.509
13223220130011,2.4492049,102.3815918,0.199,0.518
13222133032232,6.3262180,100.2502441,0.434,0.523
13232033021310,6.5663889,117.0373535,-0.451,0.487
13223221101203,2.6906608,103.5681152,-0.217,0.521
13223331221000,1.7465556,111.2805176,-0.624,0.526
13223220101032,2.7345569,102.1838379,0.454,0.525
13223220100002,2.7784514,101.9641113,-0.365,0.546
13232202220303,3.0417830,112.6208496,-0.691,0.531
13232033022303,6.3698938,116.8395996,-0.029,0.450
13223201030022,5.1894234,103.0187988,0.522,0.492
13232300032032,5.0143386,118.5314941,-0.229,0.540
13222133300122,6.2388552,100.6457520,0.058,0.532
13232032132132,6.4135660,116.5100098,-0.365,0.534
13232210003132,5.3644596,115.6311035,0.690,0.616
13223332100211,1.3072596,110.4675293,-0.047,0.528
13223202200321,3.3708564,101.3708496,0.094,0.577
13223221033222,2.1198775,103.1945801,-0.114,0.503
13232033203131,6.0859354,117.0593262,-0.506,0.442
13222313103301,3.9409805,100.8435059,0.531,0.499
13223332103023,1.1534865,110.5993652,0.225,0.508
13222133030301,6.5663889,100.3161621,-0.234,0.527
13232202312230,3.1953637,113.6096191,-0.129,0.504
13223331001220,2.6687122,111.2805176,-0.340,0.414
13222133300220,6.1733235,100.5578613,-0.106,0.534
13232033313302,6.0203850,118.0480957,-0.139,0.450
13223022302122,6.0640861,102.0520020,0.419,0.542
13223220121032,2.3833455,102.1838379,0.342,0.538
13232201301302,4.7954168,114.8840332,0.608,0.515
13232211320310,4.4669035,117.5646973,-0.857,0.474
13232220011323,2.6467632,113.1481934,-0.957,0.498
13223022323130,5.7362428,102.2717285,0.296,0.538
13232211332112,4.3573658,117.9162598,-0.390,0.523
13223332102333,1.0656124,110.5554199,0.056,0.512
13223202031230,3.7217452,101.8322754,-0.234,0.511
13223220013031,2.5809138,101.8542480,0.885,0.483
13223201030302,5.1456567,103.1066895,0.056,0.528
13223201032322,4.9267785,103.1066895,0.322,0.530
13223220012102,2.6028640,101.7004395,0.690,0.559
13222311321132,4.4888091,100.8654785,-0.324,0.522
13232032303123,6.0640861,116.3122559,-0.417,0.525
13232033032303,6.3698938,117.1911621,-0.518,0.565
13232203010012,4.1820725,114.3127441,0.752,0.566
13232210100313,5.4957038,116.1804199,-0.796,0.498
13223221130312,2.3394375,103.8537598,-0.154,0.537
13232211131001,5.2550677,117.9821777,-0.653,0.554
13223331210033,2.0320445,111.5222168,0.261,0.526
13232033321221,5.8236865,117.6306152,-0.444,0.526
13223221211201,2.0100856,103.2165527,0.146,0.536
13223022333132,5.7143797,102.6232910,0.016,0.525
13223221323022,1.5049538,103.5461426,0.659,0.525
13223221330333,1.5928123,103.8757324,0.513,0.550
13223202220123,3.0856655,101.3708496,0.925,0.557
13232033002020,6.7846256,116.7297363,-0.467,0.541
13223221322201,1.4829887,103.3923340,1.161,0.578
13222133212110,6.1296313,100.3381348,0.975,0.516
13223202223121,2.9320690,101.5466309,0.884,0.545
13223202202103,3.3050503,101.3708496,0.080,0.507
13223332011312,1.2852926,110.3576660,-0.159,0.510
13232211111023,5.5394455,117.9821777,-0.683,0.472
13222133322321,5.6487856,100.6677246,-0.061,0.547
13232202122330,3.5463174,113.3459473,0.316,0.545
13223331112111,2.6248138,112.3132324,-0.348,0.506
13223203031202,3.7436712,103.1945801,1.153,0.555
13232300013000,5.4300853,118.6633301,-0.348,0.550
13232033000220,6.8718928,116.7297363,-0.284,0.562
13223201211000,4.9048867,103.1945801,0.932,0.544
13232300032100,5.0800010,118.5754395,-0.757,0.534
13232032233123,5.7143797,115.9606934,0.408,0.539
13222133300211,6.2170122,100.6237793,0.071,0.541
13223332110330,1.2633253,110.8850098,-0.468,0.512
13223202122003,3.6559638,101.9860840,-0.241,0.498
13223203012023,3.9629009,103.0407715,0.150,0.521
13232202230123,3.0856655,112.9724121,0.075,0.505
13223202120231,3.7217452,102.0300293,-0.378,0.528
13223200331102,4.5326183,102.5793457,-0.194,0.520
13232221010221,2.6687122,114.2907715,0.654,0.555
13223022330110,5.9548266,102.4475098,0.893,0.542
13223333002312,1.1095498,111.2365723,0.195,0.492
13232032310020,6.2606973,116.3781738,-0.406,0.513
13232211001223,5.4519589,116.9274902,-0.584,0.542
13223313332223,2.8223442,112.1813965,-0.310,0.537
13223200210022,4.8392069,101.6125488,-0.813,0.489
13223332101012,1.3731595,110.6213379,-0.320,0.572
13232201303003,4.7078283,114.8181152,0.734,0.526
13223332011011,1.3951258,110.2917480,0.183,0.532
13223201012022,5.3644596,103.0187988,-0.697,0.550
13232300021120,5.2113056,118.3996582,-0.144,0.555
13232300120330,5.1237722,118.9709473,0.169,0.490
13222311122322,4.9267785,100.6457520,0.765,0.534
13232300121110,5.2550677,119.1467285,-0.252,0.586
13223331010032,2.7345569,111.5002441,-0.463,0.461
13223202002023,3.9629009,101.2829590,-0.041,0.523
13222311031310,5.1675404,100.5139160,0.961,0.524
13232033322102,5.7581050,117.5207520,-0.619,0.536
13222133321012,5.9329721,100.7775879,-0.021,0.497
13232210130220,5.1237722,116.3781738,0.065,0.578
13223203031022,3.7875216,103.1945801,0.095,0.550
13223332103210,1.1315182,110.6213379,0.671,0.599
13223220010011,2.8003980,101.6784668,0.680,0.541
13232210033231,4.9486696,115.9167480,0.605,0.523
13232220002013,2.6028640,112.5769043,-0.074,0.507
13232210301031,4.8611009,116.2683105,0.108,0.506
13222311320233,4.4011829,100.6237793,0.290,0.489
13222313132013,3.6559638,100.9753418,0.098,0.544
13222311332223,4.2258996,100.9313965,0.093,0.539
13223330220133,1.6806671,109.8522949,0.491,0.565
13232220313010,1.9222467,113.7854004,-0.528,0.407
13223331030011,2.4492049,111.5222168,-0.773,0.544
13232033211013,6.2825384,117.3229980,-0.124,0.540
13232033202130,6.0859354,116.8615723,-0.515,0.472
13223330323001,1.5708481,110.5993652,-0.511,0.558
13223223100122,1.3292264,103.4582520,0.797,0.545
13223202122012,3.6559638,102.0080566,-0.552,0.482
13223220112301,2.5370123,102.4255371,-0.030,0.505
13232033030000,6.6536952,117.0812988,-0.221,0.546
13222311100211,5.5175751,100.6237793,0.500,0.557
13223221200110,2.0979197,102.7990723,-0.434,0.490
13222311331321,4.4230904,101.1950684,0.099,0.499
13223202233103,2.9540126,101.8981934,-0.007,0.583
13222133031221,6.5227299,100.4040527,0.072,0.557
13223331121320,2.3174830,112.0715332,-0.023,0.481
13232211131002,5.2331870,117.9602051,-0.298,0.479
13232211112030,5.3863356,117.8283691,-0.908,0.482
13223330233202,1.4610233,110.2258301,0.570,0.514
13232033331322,5.8018269,118.0480957,1.514,0.534
13222311100030,5.5613152,100.6018066,-0.242,0.538
13223200121110,5.2550677,102.2717285,-0.542,0.510
13232210031221,5.1237722,115.8728027,0.003,0.596
13223220132000,2.2735730,102.3156738,0.598,0.550
13223331100310,2.7126091,111.9396973,0.150,0.550
13223221112000,2.6248138,103.7219238,-0.135,0.527
13223200122021,5.0362268,101.9860840,-0.268,0.488
13232210031201,5.1675404,115.8728027,0.066,0.427
