quadkey,latitude,longitude,rwi,error
30003211301333,-17.4659524,16.5124512,-0.667,0.444
30003213100222,-18.1354112,16.1828613,-0.675,0.458
30003210330131,-17.6963617,15.2819824,-0.322,0.549
30003210320130,-17.6963617,14.9084473,-0.152,0.501
30003211220000,-17.6544909,15.4797363,0.738,0.608
30003211212330,-17.6126105,15.9631348,-0.469,0.504
30003210330032,-17.7172934,15.1721191,-0.453,0.440
30003210212333,-17.6335519,14.5788574,-0.604,0.441
30003211313313,-17.5916666,16.8640137,-0.715,0.453
30003213112223,-18.3023803,16.5563965,-0.518,0.523
30003213103223,-18.3023803,16.3806152,-0.426,0.473
30003213110222,-18.1354112,16.5344238,-0.845,0.446
30003211220013,-17.6754275,15.5456543,-0.137,0.491
30003210303331,-17.6126105,15.1062012,-0.717,0.438
30003302002121,-18.1980434,16.9958496,-0.778,0.437
30003211203323,-17.6335519,15.7653809,-0.694,0.485
30021010211022,-22.6647094,14.6008301,0.272,0.559
30003310232231,-17.9473804,20.1159668,-0.525,0.489
30003213001011,-17.9891824,15.7214355,-0.408,0.447
30003210330313,-17.7591494,15.2819824,-0.365,0.466
30003211321021,-17.6963617,16.3806152,-0.863,0.449
30003211312102,-17.5078668,16.6223145,-0.695,0.440
30003211223120,-17.8637468,15.7434082,-0.340,0.525
30003210331201,-17.7382226,15.3259277,-0.082,0.556
30003213001003,-18.0100796,15.6774902,-0.740,0.442
30003213131013,-18.3440975,16.7761230,-0.680,0.443
30003211212000,-17.4869108,15.8312988,0.110,0.451
30003210330322,-17.8009957,15.2160645,-0.583,0.461
30012201231122,-17.7172934,24.5324707,0.512,0.631
30003211231123,-17.7172934,16.1169434,-0.515,0.446
30003211203332,-17.6335519,15.7873535,-0.405,0.464
30003302000011,-17.9891824,16.9519043,-0.788,0.434
30021100000122,-22.0143603,16.9738770,-1.039,0.476
30003213102030,-18.1980434,16.2268066,-0.406,0.446
30003213131213,-18.4275017,16.7761230,-0.085,0.443
30003210211331,-17.4449916,14.7546387,-0.707,0.461
30003213120031,-18.3649523,16.2487793,-0.261,0.464
30003210330011,-17.6544909,15.1940918,-0.678,0.448
30003210322120,-17.8637468,14.8645020,-0.283,0.454
30003210312022,-17.5497715,15.1281738,-0.239,0.483
30003211311213,-17.4240283,16.7761230,-0.772,0.442
30003211212231,-17.6126105,15.8972168,-0.500,0.482
30003210311320,-17.4449916,15.3918457,-0.320,0.464
