quadkey,latitude,longitude,rwi,error
03220231331033,12.8225137,-84.4738770,-0.219,0.307
03220320222203,12.6081759,-84.3420410,-0.283,0.311
03220231033112,13.3789314,-85.1110840,-0.687,0.314
03220233333333,11.1891794,-84.3859863,-0.794,0.315
03220233001311,12.4580325,-85.4406738,-0.397,0.332
03220230331120,12.8439375,-85.8581543,-0.603,0.387
03220320021203,13.4644216,-84.1662598,-0.344,0.309
03220233321320,11.3831090,-84.8034668,-0.008,0.427
03220232301221,11.7275454,-86.2756348,-0.157,0.323
03220232333132,11.2753865,-85.8142090,-0.961,0.503
03220233121332,12.0500648,-84.7595215,-0.373,0.351
03220230033132,13.3361750,-86.5173340,-0.573,0.384
03220233130321,12.0715524,-84.6057129,-0.604,0.385
03220232102322,12.2219175,-86.3854980,0.856,0.428
03220232033231,11.8996033,-86.5832520,-0.275,0.379
03220230123232,13.2506393,-86.2536621,-0.031,0.395
03220232130022,12.1360050,-86.1218262,0.574,0.438
03220232121323,12.0500648,-86.1877441,1.179,0.434
03220232122333,11.8781020,-86.3195801,-0.292,0.358
03220302230221,14.1259215,-83.9904785,-0.828,0.332
03220231230202,12.7796606,-85.4187012,-0.655,0.296
03220320220021,12.8439375,-84.3420410,-0.179,0.324
03220231312313,12.9510290,-84.5617676,-0.492,0.304
03220320011010,13.9127399,-83.7927246,-0.557,0.324
03220302202222,14.2750302,-84.3640137,-0.575,0.307
03220232110011,12.5438394,-86.0559082,0.288,0.380
03220233101311,12.4580325,-84.7375488,-0.607,0.320
03220322203020,11.6414761,-84.1882324,-0.586,0.409
03220233211110,11.8565990,-85.1110840,-0.651,0.337
03220232103120,12.3292689,-86.2097168,-0.477,0.371
03220231220200,12.8010881,-85.7702637,-0.104,0.317
03220230221212,12.7796606,-86.9567871,0.051,0.469
03220322001101,12.5438394,-84.0783691,-0.333,0.316
03220231030211,13.4857894,-85.3527832,-0.802,0.401
03220230103332,13.5925995,-86.1657715,-0.116,0.373
03220320222103,12.6939327,-84.2541504,-0.508,0.311
03220231320023,12.8225137,-85.0451660,-1.067,0.313
03220230330223,12.7368003,-86.0998535,-0.405,0.441
03220213232220,13.9553920,-85.4187012,-0.592,0.325
03220231200033,13.1650736,-85.7043457,-0.544,0.349
03220231112303,13.6353101,-84.6057129,-0.534,0.326
