quadkey,latitude,longitude,rwi,error
12313003332301,29.6021178,81.3317871,-0.046,0.425
12313033023230,27.7127098,83.1994629,0.061,0.465
12313033032023,27.7710508,83.3532715,-0.608,0.510
12313123300233,27.5374999,86.5612793,-0.713,0.467
12313123200303,27.5764596,85.9020996,-0.064,0.452
12313033010101,28.2947070,83.4411621,-0.381,0.410
12313132231101,27.3620101,87.8356934,-0.348,0.462
12313123213211,27.4400400,86.3854980,-0.180,0.399
12313032010103,28.2753578,82.0349121,-0.487,0.380
12313033111311,28.2172893,84.3640137,-0.111,0.484
12313123302303,27.4205377,86.6052246,-0.501,0.508
12313033012030,28.1010575,83.3752441,-0.346,0.466
12313123210120,27.6348734,86.2316895,0.397,0.511
12313122123302,27.7321603,85.3527832,1.741,0.459
12313032000223,28.1591892,81.5954590,-0.659,0.490
12313021030012,29.2001230,80.5627441,-0.442,0.386
12313033302331,27.4010320,83.8366699,0.513,0.454
12313301100013,27.0297703,86.5612793,-0.165,0.383
12313030221230,28.4880048,81.7932129,-0.336,0.449
12313021101023,29.4682962,81.0681152,-0.353,0.369
12313122020221,27.8682161,84.4079590,-0.359,0.460
12313032011021,28.2560052,82.1228027,-0.613,0.387
12313123232021,27.1666948,86.1657715,-0.844,0.373
12313123212132,27.4595389,86.2756348,-0.218,0.424
12313033113013,28.1204382,84.2761230,-0.434,0.508
12313301111002,27.0297703,87.0227051,0.019,0.393
12313132222132,27.1471444,87.3303223,-0.763,0.449
12313030030013,29.2001230,81.9909668,-0.375,0.368
12313132202032,27.4595389,87.2424316,-0.694,0.396
12313021321323,28.4686909,81.1560059,-0.162,0.489
12313122202212,27.4205377,84.4299316,-0.373,0.410
12313030231332,28.4686909,82.2326660,-0.566,0.414
12313030013210,29.2959801,82.1447754,-0.684,0.372
12313123322233,27.0689087,86.5612793,-0.256,0.387
12313123312221,27.4010320,86.8688965,-0.764,0.384
12313123220033,27.3034516,85.8581543,-0.137,0.405
12313122121313,27.8876388,85.4187012,-0.678,0.496
12313033030032,27.9264736,83.3752441,0.154,0.427
12313123023122,27.7710508,86.0559082,-0.544,0.386
12313123203012,27.4985263,86.0119629,-0.522,0.401
12313132322032,27.1471444,87.9455566,-0.643,0.396
12313021131132,29.1617551,81.5295410,-0.743,0.367
12313021231101,28.6038140,80.8044434,-0.127,0.433
12313032113030,28.1010575,82.8479004,1.035,0.529
12313132222120,27.1666948,87.2863770,-0.221,0.491
12313032121112,27.9652945,82.5842285,-0.493,0.394
12313030330303,28.5073151,82.7380371,-0.580,0.379
12313021110213,29.4300290,81.2878418,-0.230,0.404
12313122131311,27.9070579,85.7702637,-0.043,0.475
12313123202300,27.4400400,85.8801270,0.533,0.483
12313033111022,28.2366490,84.2102051,0.426,0.509
12313030000210,29.4491644,81.6174316,-0.643,0.364
12313033033330,27.7127098,83.6389160,-0.536,0.454
12313300010131,27.0101960,84.8913574,0.809,0.539
12313132222220,27.0884727,87.1984863,-0.344,0.409
12313021210212,28.8157994,80.5627441,0.588,0.524
12313122133121,27.7904908,85.7263184,0.352,0.452
12313301123221,26.4607376,86.6931152,0.114,0.462
12313310013330,26.7750390,87.8576660,-0.005,0.447
12313301100112,27.0297703,86.6271973,-0.467,0.397
12313032031023,27.9264736,82.1228027,-0.684,0.381
12313310003201,26.8142658,87.3962402,-0.478,0.437
12313030213330,28.6423887,82.2326660,-0.379,0.466
12313030013222,29.2384766,82.1008301,-0.248,0.419
12313031221102,28.5845213,83.2434082,-0.789,0.415
12313033000013,28.2753578,83.0456543,-0.664,0.433
12313122130103,27.9652945,85.5505371,0.158,0.493
12313122320200,27.2839252,85.0891113,-0.149,0.451
12313021301010,28.9120143,81.0900879,-0.218,0.404
12313122210123,27.6154056,84.8474121,-0.727,0.446
12313033230010,27.3620101,83.3752441,-0.431,0.420
12313030201330,28.7965458,81.8811035,-0.303,0.364
12313310102300,26.8142658,87.9895020,-0.394,0.447
12313021213013,28.7387635,80.7604980,0.254,0.520
12313030321113,28.5845213,82.6062012,-0.441,0.365
12313300113313,26.7946541,85.7702637,0.699,0.519
12313021102113,29.3534512,81.0241699,-0.439,0.369
12313132223330,27.0884727,87.5061035,-0.119,0.405
12313032002012,28.1204382,81.6174316,0.043,0.577
12313122303220,27.4010320,85.2648926,-0.154,0.425
12313023113101,28.1398155,81.5075684,0.066,0.449
12313310011023,26.9906183,87.7478027,-0.730,0.412
12313021300023,28.8542961,80.8923340,-0.256,0.375
12313030201020,28.8735390,81.7492676,-0.135,0.478
12313033210020,27.6348734,83.3312988,0.073,0.481
12313021132231,28.9504752,81.2878418,-0.312,0.382
12313033302121,27.4790343,83.7927246,0.402,0.502
12313021320133,28.5459253,81.0241699,0.221,0.487
12313030213233,28.6231031,82.1667480,-0.687,0.472
12313033111011,28.2947070,84.2761230,-0.497,0.433
12313030223300,28.3720684,81.8371582,-0.739,0.387
12313021133032,29.0081399,81.4416504,-0.250,0.381
12313300100120,27.0101960,85.1770020,-0.025,0.466
12313021030333,29.0849761,80.6726074,-0.624,0.405
12313310032102,26.5590496,87.6379395,-0.111,0.473
