quadkey,latitude,longitude,rwi,error
21001222130330,-10.2824911,-77.5524902,-0.437,0.373
21001210020300,-6.0640861,-75.8386230,-0.552,0.430
21003012113032,-12.8010881,-74.6520996,-0.067,0.485
21001222312200,-10.7577626,-77.6843262,-0.182,0.453
21003030100032,-13.9980363,-75.1794434,-0.555,0.402
21003123220313,-16.4150090,-71.5539551,1.024,0.542
21001200002331,-5.9329721,-78.5852051,-0.537,0.471
21001233222032,-11.0813844,-74.4763184,-1.131,0.396
21001202303330,-8.0265947,-77.7282715,0.127,0.464
21001200201200,-6.4135660,-78.5632324,-0.532,0.516
21001031313021,-3.7436712,-73.2678223,0.750,0.579
21000133332330,-5.5831840,-78.9587402,-0.284,0.436
21003013223210,-13.8487469,-74.3005371,-0.755,0.414
21003132210031,-16.0141357,-69.8840332,-0.557,0.397
21001023213010,-5.1018870,-76.7614746,-0.329,0.410
21001202012210,-7.2861900,-78.3435059,-0.378,0.404
21003013012013,-12.7582314,-74.1027832,-0.111,0.412
21001202331020,-8.1136149,-77.5085449,-0.084,0.534
21003033030111,-15.6336167,-74.0148926,-0.004,0.525
21000132122300,-4.8392069,-80.7604980,0.457,0.589
21003030103001,-14.1046123,-75.0256348,-0.258,0.392
21001232332121,-11.0598206,-74.7619629,-0.342,0.468
21003001020330,-11.6629959,-77.2009277,0.376,0.436
21003130322320,-15.2523892,-69.5104980,-0.756,0.385
21003010111121,-11.2322862,-74.5861816,-0.247,0.488
21000311113021,-5.8455454,-78.8928223,-0.345,0.400
21001201030301,-6.0640861,-76.8713379,-0.816,0.423
21003132012302,-15.5701276,-69.8620605,-0.550,0.429
21000311331121,-6.7191648,-78.8049316,-0.422,0.451
21001201131000,-5.9766803,-76.1022949,-0.568,0.437
21001232212300,-10.7577626,-75.4870605,-0.495,0.412
21001220133133,-9.0044514,-77.3547363,-0.136,0.449
21001202031222,-7.5258726,-78.2116699,-0.356,0.434
21001202211111,-7.7218784,-78.0578613,-0.379,0.542
21001233221110,-10.8440961,-74.2126465,-0.471,0.408
21001201332322,-7.0027636,-76.1901855,-0.690,0.526
21001202210201,-7.8089630,-78.3654785,0.177,0.548
21001202331202,-8.1788678,-77.5085449,-0.248,0.406
21003001231022,-12.2863336,-76.8054199,-0.043,0.555
21003031023023,-14.5091441,-74.3225098,-0.523,0.440
21000313011310,-7.1117945,-79.4860840,-0.300,0.492
21001230103010,-8.5918843,-75.0036621,-0.334,0.533
21003103203113,-13.4430519,-71.3781738,-0.585,0.452
21003010011033,-11.2538371,-75.3332520,-0.877,0.512
21003012311030,-13.2934109,-74.6520996,-0.668,0.396
21001230123023,-9.0044514,-75.0256348,-0.742,0.441
21001201303121,-6.5445599,-76.3439941,0.071,0.490
21003010211003,-11.8996033,-75.3771973,-0.136,0.491
21001220021332,-8.9176335,-78.4313965,-0.122,0.365
21001221331131,-9.5032437,-75.9484863,0.100,0.542
21003013330103,-13.6139558,-73.3557129,-0.506,0.507
21001230112131,-8.6353339,-74.7180176,-0.990,0.406
21003103021131,-12.9510290,-71.3781738,-0.903,0.415
21001202321102,-8.0918616,-77.7722168,0.316,0.386
21003121332200,-15.2099875,-70.6530762,-0.348,0.421
21003012100113,-12.5867322,-75.0695801,-0.598,0.417
21003130230102,-14.9766264,-69.8620605,-0.206,0.460
21001223013012,-10.0013102,-76.7614746,-0.636,0.405
21003121203121,-14.8279911,-71.4221191,0.207,0.461
21001202023221,-7.6783293,-78.5412598,-0.344,0.391
21003103220032,-13.6566625,-71.6638184,0.387,0.506
21003013021312,-13.0152618,-74.2126465,0.006,0.544
21001220201030,-9.1563324,-78.5192871,0.045,0.472
21003102010122,-12.6296178,-72.6745605,-0.397,0.460
21001200122023,-6.2170122,-78.0139160,-0.492,0.450
21001230102131,-8.6353339,-75.0695801,-0.343,0.405
21003102030003,-12.9296144,-72.7404785,-0.700,0.458
21001202110223,-7.1772006,-77.6623535,-0.033,0.460
21001232303202,-10.7793483,-75.0476074,-0.385,0.486
21001031312313,-3.8094460,-73.3117676,0.445,0.607
21001200003310,-5.8892605,-78.4313965,-0.765,0.485
21000133302200,-5.1894234,-79.4421387,-0.349,0.534
21001203011000,-7.0245718,-76.8054199,-0.255,0.434
21003102221023,-13.6566625,-72.9162598,0.594,0.525
21000311100220,-5.7581050,-79.4421387,-0.634,0.415
21003011003032,-11.4261866,-74.3005371,-0.536,0.412
21003132100002,-15.3159757,-69.5983887,-0.844,0.437
21003123113123,-15.5277906,-70.3674316,-0.119,0.453
21001212132221,-7.6783293,-74.8498535,-0.431,0.389
21003122120130,-15.6759319,-72.2790527,-0.005,0.480
21003010330333,-12.3721972,-74.7180176,-0.271,0.431
21000132301301,-5.0143386,-80.5627441,-0.188,0.509
21001223111233,-9.9580298,-76.0363770,-0.137,0.539
21003112101202,-12.6724962,-69.4226074,-0.514,0.494
21001220112310,-8.6787785,-77.5524902,-0.159,0.386
21003310222232,-17.9682826,-70.2575684,0.319,0.530
21000133220300,-5.3644596,-80.0573730,-0.284,0.454
21001201323123,-6.9155204,-76.3439941,0.291,0.558
21003102102001,-12.7368003,-72.3889160,-0.464,0.407
21003300131311,-17.0672871,-71.7297363,-0.285,0.549
21001220201001,-9.1129444,-78.5412598,0.580,0.482
21003010001331,-11.3184804,-75.5969238,-0.321,0.417
21001200000231,-5.7581050,-78.6730957,-0.665,0.466
21003012101212,-12.6724962,-75.0036621,0.073,0.421
21001230013000,-8.5918843,-75.3991699,-0.352,0.407
21003003102102,-12.7582314,-76.5417480,0.277,0.527
21001230220201,-9.5465832,-75.9045410,-0.540,0.426
21003033032033,-15.8662413,-74.1027832,-0.259,0.452
21003130233021,-15.1675773,-69.7521973,-0.449,0.411
21001201320113,-6.6973426,-76.4758301,-0.626,0.401
21003012023101,-13.0794780,-75.6408691,-0.272,0.518
21003010120322,-11.6845141,-75.1354980,-0.715,0.406
21003013313222,-13.5712413,-73.2897949,-0.074,0.435
21000311323113,-6.8718928,-79.1125488,-0.071,0.568
21003130221203,-15.0615146,-70.1037598,-0.799,0.445
21000132302120,-5.1456567,-80.7604980,-0.555,0.461
21003110102010,-11.3615678,-69.5544434,-0.767,0.411
21003130220121,-14.9978516,-70.1916504,-0.436,0.475
21001022223033,-5.5175751,-78.4973145,0.146,0.450
21001223221121,-10.8872536,-77.0471191,-0.387,0.390
21001223333323,-11.1676236,-75.9924316,1.019,0.524
21003033020211,-15.7182383,-74.4543457,-0.207,0.496
21003123330121,-16.3517676,-70.5432129,-0.622,0.411
21003123220112,-16.3306825,-71.5759277,0.576,0.625
21001203013303,-7.3079846,-76.6955566,-0.375,0.461
21003130220233,-15.1039461,-70.2355957,-0.517,0.436
21001221303003,-9.3081485,-76.4318848,-0.771,0.431
21001031223110,-4.0505767,-74.2126465,-0.649,0.428
21001202012332,-7.3515708,-78.2556152,-0.723,0.395
