quadkey,latitude,longitude,rwi,error
13233030220022,7.2861900,126.5734863,0.338,0.569
13233023123120,6.4354006,126.1340332,-0.732,0.561
13230331000132,13.8487469,122.4865723,-0.551,0.439
13232113102303,9.5032437,123.1677246,0.657,0.615
13233022210120,6.2606973,124.2004395,-0.871,0.465
13230333111130,12.5009395,123.7170410,-0.074,0.458
13233021320230,7.2207995,125.9143066,-0.410,0.521
13232110002330,10.8656756,121.0803223,-0.045,0.530
13233020103201,8.1353671,124.6618652,-0.703,0.554
13232031012122,8.1571180,117.1691895,-0.853,0.440
13230301133133,16.0563712,120.9265137,-0.726,0.452
13230121321131,18.2606530,120.5749512,0.094,0.535
13233002332311,8.4832384,124.9694824,-0.443,0.512
13233000130112,10.8009324,124.9475098,0.376,0.565
13232113122221,9.1346391,123.0798340,-0.492,0.484
13233021121210,7.9613173,126.0900879,-0.341,0.552
13230301333133,15.3795428,120.9265137,0.694,0.544
13231223022132,11.9640971,125.2990723,-0.630,0.425
13232111302123,10.2392486,123.1677246,-0.483,0.470
13232132131132,6.5882169,122.3107910,-0.210,0.468
13232130132132,7.8089630,122.1350098,0.892,0.617
13230130323211,18.0518668,121.8933105,-0.595,0.456
13233000111022,11.1029466,124.9914551,-0.050,0.556
13233022110133,6.9373327,124.9694824,-0.230,0.590
13233002322211,8.4832384,124.5300293,0.060,0.662
13230130231030,18.2606530,121.5197754,-0.597,0.463
13232132121031,6.6100440,121.8933105,-0.336,0.502
13230312211033,14.5304150,121.5417480,-0.158,0.531
13233021212021,7.4823037,125.5407715,-0.716,0.510
13230330202302,12.9510290,121.0363770,-0.945,0.462
13232131033111,7.8742645,123.0358887,-0.826,0.495
13230301211112,15.9296380,120.2014160,0.200,0.533
13232113121211,9.3515125,123.2995605,1.167,0.595
13233022122231,6.3480564,124.5300293,-0.524,0.460
13233020123030,7.8307313,124.6838379,-0.204,0.621
13231222312200,11.5984314,124.8156738,0.001,0.542
13230330223221,12.5867322,121.1462402,-0.763,0.421
13230310221311,15.5277906,121.2780762,0.172,0.513
13232131120220,7.9177932,123.0578613,-0.313,0.491
13230132203233,16.9832482,121.1901855,-0.220,0.427
13230132221211,16.8781467,121.1901855,-0.696,0.441
13232113100301,9.6982277,123.1677246,-0.148,0.547
13233020033221,7.7436512,124.3103027,0.178,0.616
13230312203222,14.2750302,121.1242676,1.278,0.521
13232113133202,9.1563324,123.5852051,-0.460,0.597
13230310101210,16.5414301,121.8713379,-0.284,0.646
13230303130230,14.8067491,120.6408691,-0.418,0.614
13233020320110,7.3515708,124.5959473,0.048,0.555
13230301021121,16.2463197,119.8278809,-0.082,0.551
13233020210003,7.6783293,124.1345215,-0.668,0.462
13233021232013,7.1553996,125.5847168,0.907,0.596
13230312211133,14.5304150,121.6296387,0.264,0.507
13232132230031,5.9111167,121.3659668,-0.290,0.471
13231223023322,11.8781020,125.4309082,-0.195,0.534
13233021030023,7.9830776,125.5407715,-0.602,0.478
13233003302212,8.8090822,125.9143066,-0.756,0.478
13232101020202,10.7145865,119.5422363,-0.714,0.428
13230330201002,13.2078602,121.1242676,-0.579,0.521
13230332001200,12.4580325,121.1242676,-0.194,0.544
13233020132222,7.7218784,124.8156738,-0.362,0.659
13233002000303,9.6765684,123.8708496,1.523,0.578
13232130331013,7.3297783,122.2448730,-0.450,0.509
13230323120210,12.1145226,120.2893066,-0.400,0.436
13233020131323,7.8960294,125.1013184,1.094,0.622
13232111223203,9.8498038,122.5524902,-0.975,0.483
13232111111221,11.0382553,123.6071777,-0.120,0.464
13233020021200,7.9613173,123.9367676,-0.139,0.492
13232013320133,8.6787785,117.5866699,0.070,0.568
13230301321133,15.5489602,120.5749512,-0.155,0.534
13230132023032,17.4030627,121.1682129,0.386,0.520
13230312221201,14.1685340,121.1462402,1.364,0.556
13232131132100,7.8742645,123.4973145,-0.374,0.564
13230331133101,13.4003068,123.6950684,0.622,0.546
13230121323213,18.0309744,120.4870605,0.423,0.521
13230330130221,13.4430519,122.0251465,-0.337,0.538
13232111231323,9.9796707,122.9919434,-0.433,0.579
13233021133201,7.7871935,126.4196777,-0.044,0.567
13230330001003,13.8914108,121.1462402,0.393,0.529
13230303330132,14.1898373,120.7287598,-0.016,0.544
13233003101201,9.6982277,126.0681152,-0.557,0.600
13230301103320,16.3306825,120.5090332,-0.362,0.566
13231222121202,12.0930384,124.6398926,-0.780,0.526
13233023101232,6.8500775,126.0900879,-0.153,0.592
