quadkey,latitude,longitude,rwi,error
21031200011311,-27.1471444,-55.5578613,-0.403,0.455
21030131230212,-25.5919938,-57.2497559,-0.175,0.485
21030113011310,-23.3321679,-56.9860840,-0.072,0.467
21030111313223,-22.9078031,-56.3928223,-0.080,0.404
21030133103332,-26.1061204,-56.6345215,-0.074,0.387
21030131213320,-25.4531946,-57.0300293,0.578,0.545
21031020001033,-24.5970797,-55.9973145,0.034,0.399
21031020032231,-25.1353386,-55.8215332,-0.754,0.390
21031020111010,-24.5371290,-54.9645996,-0.728,0.425
21030131322002,-25.6712354,-56.9421387,0.596,0.518
21030131300111,-25.1751161,-56.7883301,-0.485,0.389
21030131321032,-25.5523532,-56.7224121,-0.087,0.473
21031022231330,-26.8730805,-55.5798340,0.053,0.463
21031020003201,-24.7767595,-56.0412598,-0.057,0.524
21030131333121,-25.6910376,-56.3049316,-0.320,0.450
21030133113111,-25.9679218,-56.2609863,0.020,0.447
21030131223311,-25.7306321,-57.3156738,0.245,0.458
21031002332033,-24.4371475,-55.1184082,-0.166,0.430
21031022023220,-26.4017101,-56.0632324,-0.237,0.436
21031022133302,-26.3820276,-54.9206543,-0.695,0.395
21031020200110,-25.1751161,-56.1071777,-0.679,0.388
21031000200101,-22.6038685,-56.1291504,-0.464,0.448
21030113321221,-24.3370866,-56.7443848,-0.339,0.456
21030131310301,-25.2546322,-56.4807129,-0.315,0.464
21030131033221,-25.1353386,-57.0959473,-0.228,0.445
21031020321200,-25.5721751,-55.3601074,-0.150,0.463
21030113311110,-23.8958823,-56.2829590,-0.488,0.426
21031003210000,-23.8958823,-54.4812012,0.158,0.452
21030133110003,-25.8295607,-56.5686035,0.198,0.446
21031020113321,-24.8166532,-54.8986816,0.402,0.463
21030131330133,-25.5523532,-56.4367676,-0.055,0.457
21031022232323,-27.0493412,-55.7775879,-0.213,0.423
21031020223300,-25.7306321,-55.9753418,-0.540,0.436
21030111311321,-22.7255234,-56.3049316,-0.265,0.473
21031020013321,-24.8166532,-55.6018066,0.065,0.448
21030113121310,-23.6545875,-56.6345215,0.076,0.417
21031002233001,-24.3771204,-55.6896973,-0.525,0.447
21031022130122,-26.1850178,-55.0964355,0.233,0.460
21031022320113,-26.7750390,-55.3820801,-0.012,0.410
21031020302322,-25.4730329,-55.4479980,-0.476,0.476
21031021022223,-25.1552290,-54.8107910,-0.326,0.440
21030133030010,-26.1258498,-57.2497559,-0.717,0.431
21031200010200,-27.1471444,-55.8874512,-0.406,0.427
21030113213021,-24.0966182,-57.0959473,0.253,0.555
21030133233302,-27.0101960,-57.0300293,-0.484,0.459
21030133322131,-26.9514527,-56.7883301,-0.639,0.445
21031022010302,-25.9086440,-55.7995605,0.042,0.504
21031020203303,-25.4333530,-55.9533691,-0.310,0.448
21030133312333,-26.7357986,-56.4367676,0.438,0.382
21031020133000,-25.0159284,-55.0085449,0.147,0.437
21031000021133,-22.3399141,-55.9094238,0.062,0.463
21031022330223,-26.8926787,-55.1623535,-0.716,0.370
21031022120231,-26.2441559,-55.4699707,-0.435,0.416
21030132320230,-26.8730805,-58.3044434,0.712,0.486
21031022321200,-26.8338741,-55.3601074,-0.316,0.426
21030110110232,-22.0958194,-57.9528809,-0.682,0.466
21031020003330,-24.8166532,-55.9313965,-0.448,0.446
21031003210201,-23.9762142,-54.4592285,-0.344,0.417
21030131131211,-24.9362569,-56.3488770,-0.389,0.450
21031000023332,-22.5835822,-55.9313965,-0.750,0.442
21031021003233,-24.8365952,-54.5910645,-0.236,0.421
21030133131300,-26.2047338,-56.3269043,-0.380,0.421
21030133013102,-25.9876744,-57.0300293,0.464,0.475
21030133113212,-26.0666517,-56.3708496,-0.666,0.438
21030113313030,-24.0966182,-56.3708496,-0.325,0.421
21031003203020,-24.0966182,-54.6569824,-0.035,0.405
21030113003121,-23.4531676,-57.3596191,-0.313,0.502
21031020222010,-25.6514299,-56.1950684,-0.228,0.433
21030111323103,-23.1100489,-56.6564941,-0.455,0.389
21031200010011,-27.0689087,-55.8215332,-0.669,0.405
21030113013000,-23.4128467,-57.1179199,-0.147,0.415
21031000022231,-22.5632929,-56.1730957,-0.563,0.453
21030133012112,-25.9876744,-57.1618652,0.058,0.543
21031020030322,-24.9960153,-55.7995605,-0.249,0.475
21031022213200,-26.6769127,-55.7116699,-0.561,0.452
21031002230000,-24.2169091,-55.8874512,-0.343,0.491
21031002313220,-24.1768248,-55.0085449,0.566,0.438
21030113100223,-23.3926816,-56.9201660,-0.327,0.416
21030111323033,-23.1504616,-56.7004395,-0.419,0.443
21031021202320,-25.4531946,-54.7448730,0.134,0.471
21031002013021,-23.4531676,-55.6896973,-0.033,0.371
21031022203321,-26.7161733,-55.9533691,-0.082,0.366
21030132312122,-26.6572773,-57.9089355,0.231,0.405
21030111221001,-22.9280413,-57.4475098,-0.352,0.424
21030113010023,-23.3119906,-57.2717285,-0.180,0.477
21030131332010,-25.6514299,-56.5466309,-0.402,0.475
21031002203030,-24.0966182,-56.0192871,-0.137,0.419
21030133011020,-25.8493365,-57.1179199,-0.504,0.437
21031020220313,-25.5919938,-56.0852051,-0.926,0.455
21030131203112,-25.3539542,-57.3376465,1.024,0.494
21031002223200,-24.4571501,-56.0632324,-0.452,0.445
21031021202332,-25.4730329,-54.7009277,0.860,0.516
21030131111122,-24.5970797,-56.3269043,-0.591,0.400
21031022012211,-26.0469124,-55.8215332,-0.762,0.394
21031020022101,-25.0159284,-56.1291504,-0.363,0.413
21031000233121,-23.1302568,-55.6018066,0.340,0.437
21031002203333,-24.1968685,-55.9094238,-0.322,0.417
21030133213231,-26.7161733,-57.0520020,-0.127,0.478
21030132310223,-26.5787018,-57.9748535,-0.157,0.533
21030133212313,-26.6965447,-57.1398926,0.299,0.454
21030113110302,-23.3523422,-56.5026855,0.701,0.462
21031022222320,-27.0297703,-56.1511230,-0.494,0.417
21031002122013,-23.7551814,-55.4699707,0.176,0.541
21031022232000,-26.9122734,-55.8874512,-0.411,0.440
21030131321321,-25.6118091,-56.6564941,-0.503,0.405
21031002232022,-24.4371475,-55.8874512,-0.476,0.397
21031020132333,-25.1552290,-55.0305176,-0.122,0.427
21030111223202,-23.1908622,-57.4694824,-0.866,0.410
21031020033331,-25.1353386,-55.5578613,-0.255,0.452
21031020030232,-24.9960153,-55.8435059,-0.266,0.450
21031020321021,-25.5325281,-55.3381348,-0.041,0.509
21030133110101,-25.8097816,-56.4807129,-0.303,0.479
21031021221202,-25.5919938,-54.6569824,0.097,0.423
21031020133133,-25.0756480,-54.8547363,-0.222,0.445
21031020202030,-25.3738088,-56.1950684,-0.394,0.462
21030131321021,-25.5325281,-56.7443848,0.950,0.465
21031000322200,-23.1706634,-55.5358887,0.341,0.471
21030131112222,-24.8365952,-56.5905762,-0.599,0.395
21031020032332,-25.1552290,-55.7556152,-0.523,0.447
21030133120032,-26.1850178,-56.8981934,-0.505,0.415
21031002310202,-23.9962894,-55.1843262,-0.218,0.392
21031020212320,-25.4531946,-55.7995605,-0.094,0.454
21030131221000,-25.4928679,-57.4694824,0.090,0.487
21031000023030,-22.4821059,-56.0192871,-0.766,0.404
21030131221223,-25.6316212,-57.4475098,0.006,0.466
21030111223032,-23.1504616,-57.4255371,-0.189,0.488
21031002013213,-23.5136260,-55.6457520,-0.157,0.383
21030133112300,-26.0469124,-56.5026855,0.661,0.486
21030131223303,-25.7504244,-57.3596191,-0.044,0.469
21030113322123,-24.4371475,-56.8322754,0.617,0.491
21030133311033,-26.5000725,-56.3488770,0.397,0.452
21031020031203,-24.9561796,-55.6896973,-0.024,0.429
21031021021123,-24.9163310,-54.5471191,-0.312,0.441
21030131203101,-25.3340963,-57.3596191,1.013,0.503
21030133311210,-26.5197349,-56.3708496,0.024,0.427
21030311002210,-27.3034516,-57.6013184,-0.853,0.470
21030131110210,-24.6170569,-56.5466309,-0.172,0.462
21031022021202,-26.2244465,-56.0632324,-0.239,0.459
21031002222333,-24.5171391,-56.0852051,0.149,0.471
21031002222323,-24.5171391,-56.1291504,0.423,0.450
21030311111202,-27.1666948,-56.4147949,-0.271,0.420
21031022002101,-25.9679218,-56.1291504,-0.043,0.567
21030131131021,-24.8964019,-56.3928223,-0.243,0.400
21030113123331,-23.8556976,-56.6125488,-0.643,0.430
21030311120012,-27.4010320,-56.8981934,-0.340,0.414
21031002202121,-24.0966182,-56.1291504,-0.591,0.425
21030113010123,-23.3119906,-57.1838379,0.174,0.452
21030131231113,-25.5126996,-56.9641113,-0.431,0.472
21031020011211,-24.6170569,-55.6457520,-0.634,0.371
21031020202333,-25.4730329,-56.0852051,-0.001,0.471
21031020213230,-25.4531946,-55.6677246,0.387,0.496
21031200000001,-27.0689087,-56.2170410,-0.219,0.451
21030131230320,-25.6118091,-57.2058105,0.376,0.479
21030311111223,-27.2057853,-56.3928223,-0.383,0.475
21031002223303,-24.4771496,-55.9533691,-0.562,0.440
21030131133323,-25.1552290,-56.3049316,-0.411,0.512
21031020202131,-25.3738088,-56.0852051,-0.205,0.430
21030113032122,-23.7953972,-57.2058105,-0.783,0.407
21031020031023,-24.9163310,-55.6896973,0.092,0.441
21031022211222,-26.5787018,-55.7116699,-0.761,0.375
21031022013313,-26.0666517,-55.5578613,-0.013,0.452
21031003230011,-24.2169091,-54.4152832,-0.385,0.424
21031000023331,-22.5632929,-55.9094238,-0.164,0.418
21031022221310,-26.8338741,-55.9313965,0.093,0.414
21030131110131,-24.5770993,-56.4367676,-0.121,0.424
21030133322133,-26.9710372,-56.7883301,-0.454,0.432
21030131200310,-25.2546322,-57.5134277,1.208,0.462
21031020112113,-24.7168951,-55.0305176,-0.792,0.414
21031022300322,-26.5787018,-55.4479980,-0.950,0.417
21030113112012,-23.4330087,-56.5466309,0.205,0.425
21031020122130,-25.0557447,-55.4040527,-0.539,0.405
21030132112213,-26.0666517,-57.9309082,0.392,0.491
21031020302211,-25.4135082,-55.4699707,0.036,0.470
21031022102021,-26.0074237,-55.5139160,-0.454,0.434
21031022221202,-26.8534790,-56.0632324,-0.232,0.381
21031020002230,-24.8166532,-56.1950684,-0.492,0.512
21030133100211,-25.8888782,-56.8762207,0.152,0.492
21030131333013,-25.6712354,-56.3488770,-0.440,0.425
21031021221002,-25.5126996,-54.6569824,1.139,0.435
21031021221003,-25.5126996,-54.6350098,1.202,0.438
21031022010020,-25.8493365,-55.8874512,0.361,0.552
21030131233133,-25.7108365,-56.9641113,-0.008,0.439
21031022202001,-26.5983508,-56.2170410,0.296,0.460
21030131231320,-25.6118091,-57.0300293,-0.219,0.429
21031002322130,-24.4171416,-55.4040527,0.145,0.506
21031020331131,-25.5325281,-54.8547363,-0.104,0.456
21031020221223,-25.6316212,-56.0412598,-0.661,0.423
21031020210102,-25.1950000,-55.7995605,-0.768,0.425
21030131313002,-25.3539542,-56.4147949,-0.066,0.489
21031020222100,-25.6514299,-56.1511230,-0.547,0.440
21031022032213,-26.3820276,-55.8215332,-0.291,0.416
21031022003333,-26.1061204,-55.9094238,0.063,0.480
