quadkey,latitude,longitude,rwi,error
03220202212122,14.3601909,-89.5495605,-0.089,0.425
03220221020223,13.4216803,-88.5607910,0.037,0.458
03220221012313,13.6353101,-88.0773926,-0.015,0.404
03220220000332,13.7633955,-89.8571777,-0.128,0.436
03220202333221,13.9553920,-88.7365723,0.054,0.448
03220220103212,13.6353101,-89.0661621,0.196,0.436
03220221023131,13.3575541,-88.2531738,0.306,0.427
03220220120021,13.5285192,-89.2639160,-0.451,0.412
03220220003213,13.6353101,-89.7473145,-0.171,0.424
03220220101101,13.9127399,-89.0002441,-0.245,0.377
03220220121230,13.4430519,-89.0661621,0.310,0.492
03220221020220,13.4430519,-88.5827637,0.205,0.458
02331331111233,13.7633955,-90.0988770,0.473,0.420
03220220133220,13.2720261,-88.7585449,-0.178,0.414
03220221102303,13.6353101,-87.7697754,-0.348,0.492
03220221033013,13.3789314,-87.9895020,-0.868,0.372
03220221030130,13.5285192,-88.0993652,-0.096,0.402
03220220012323,13.5925995,-89.5275879,0.619,0.485
03220220103001,13.7420528,-89.0881348,0.907,0.489
03220221030320,13.4430519,-88.1433105,0.739,0.443
03220202322303,13.9767151,-89.1760254,0.693,0.436
03220220113101,13.7420528,-88.6486816,-0.330,0.423
03220221002131,13.6993616,-88.4289551,-0.237,0.428
03220221023100,13.4003068,-88.3190918,-0.177,0.426
03220220100012,13.8914108,-89.2419434,-0.584,0.447
03220221013112,13.7207082,-87.9235840,-0.504,0.429
03220202223223,13.9340669,-89.7912598,0.174,0.447
03220221030001,13.5712413,-88.2092285,-0.212,0.416
03220220030003,13.5498812,-89.6154785,-0.523,0.352
03220221300002,13.2078602,-87.8796387,-0.109,0.332
03220221020031,13.5285192,-88.5168457,0.477,0.471
03220220000130,13.8700799,-89.8571777,0.828,0.473
03220202321323,14.1046123,-89.0002441,-0.285,0.424
03220220001130,13.8700799,-89.6813965,0.463,0.446
03220221211012,13.2078602,-88.0114746,-0.472,0.398
03220221021310,13.4857894,-88.2751465,-0.158,0.435
03220202323223,13.9340669,-89.0881348,-0.653,0.384
03220221100212,13.8060751,-87.8356934,-0.368,0.425
03220220030132,13.5071552,-89.5056152,-0.108,0.418
03220202303233,14.2750302,-89.0441895,-0.737,0.328
03220202330023,14.1898373,-88.9123535,-0.569,0.434
03220221012003,13.7207082,-88.2092285,-0.117,0.385
03220220111202,13.8060751,-88.7585449,-0.193,0.420
03220220121232,13.4216803,-89.0661621,-0.388,0.364
03220220131131,13.5285192,-88.6047363,-0.355,0.334
03220202320100,14.2537350,-89.1979980,-0.558,0.363
03220221010330,13.7847363,-88.0993652,-0.036,0.418
03220221000001,13.9127399,-88.5607910,-0.728,0.376
03220220011310,13.8274120,-89.3298340,-0.250,0.440
03220221122200,13.3147939,-87.8796387,0.227,0.452
03220202332010,14.0833011,-88.8903809,0.086,0.472
03220220110002,13.8914108,-88.9343262,-0.305,0.430
03220221020300,13.4857894,-88.4948730,-0.203,0.442
03220202212102,14.4027591,-89.5495605,-0.586,0.379
03220202320202,14.1472288,-89.2858887,0.085,0.420
03220202222322,13.9340669,-89.9011230,-0.048,0.442
03220202323202,13.9767151,-89.1101074,0.171,0.417
03220220012332,13.5925995,-89.5056152,-0.394,0.451
03220202232213,13.9767151,-89.5715332,1.416,0.411
03220220112321,13.6139558,-88.8244629,-0.090,0.365
03220220133121,13.3575541,-88.6486816,-0.074,0.404
03220202230311,14.1685340,-89.4836426,0.204,0.430
03220220133122,13.3361750,-88.6706543,0.061,0.413
03220221120022,13.5071552,-87.8796387,-0.238,0.411
03220220030110,13.5712413,-89.5056152,-0.077,0.466
03220220100010,13.9127399,-89.2419434,-0.127,0.453
03220202330231,14.1259215,-88.8684082,-0.270,0.521
03220221021321,13.4430519,-88.2971191,-0.188,0.446
03220221020311,13.4857894,-88.4289551,0.082,0.444
03220220120013,13.5498812,-89.2199707,-0.204,0.423
03220220012221,13.6139558,-89.6154785,-0.571,0.404
03220221031120,13.5285192,-87.9675293,-0.497,0.429
03220220031113,13.5498812,-89.3078613,0.044,0.416
03220221201132,13.1650736,-88.2751465,0.236,0.441
03220220003232,13.5925995,-89.7692871,0.061,0.406
03220202223201,13.9980363,-89.7912598,0.226,0.451
03220202223210,13.9980363,-89.7692871,0.422,0.467
03220221022202,13.2934109,-88.5827637,-0.176,0.442
03220203232323,13.9340669,-88.1213379,-0.509,0.412
03220202322033,14.0193555,-89.2199707,-0.272,0.392
03220220131232,13.4216803,-88.7145996,0.283,0.427
03220220131332,13.4216803,-88.6267090,-0.595,0.382
03220202213021,14.3814760,-89.4396973,0.042,0.430
03220220000232,13.7633955,-89.9450684,-0.102,0.438
03220221012303,13.6353101,-88.1213379,0.317,0.465
03220221031020,13.5285192,-88.0554199,0.167,0.422
03220221001320,13.7847363,-88.3190918,-0.273,0.406
03220221000032,13.8487469,-88.5388184,-0.349,0.386
03220220130111,13.5712413,-88.7805176,0.027,0.452
03220221032131,13.3575541,-88.0773926,0.086,0.408
03220220002130,13.6993616,-89.8571777,-0.375,0.427
03220220012211,13.6566625,-89.5715332,0.039,0.429
03220220103203,13.6353101,-89.0881348,-0.053,0.454
03220220123132,13.3361750,-88.9782715,0.357,0.475
03220220011131,13.8700799,-89.3078613,0.075,0.434
03220202332231,13.9553920,-88.8684082,-0.009,0.426
03220220113113,13.7207082,-88.6047363,-0.376,0.358
03220220112201,13.6566625,-88.9123535,-0.001,0.456
03220221011232,13.7633955,-88.0114746,-0.116,0.393
03220221210103,13.2078602,-88.1213379,-0.058,0.403
03220221200123,13.1650736,-88.4729004,-0.788,0.319
03220202320232,14.1046123,-89.2419434,-0.237,0.407
03220220120211,13.4857894,-89.2199707,-0.107,0.456
03220220013210,13.6566625,-89.4177246,0.367,0.468
03220220012022,13.6780130,-89.6374512,0.105,0.443
03220220111113,13.8914108,-88.6047363,-0.383,0.406
03220220101033,13.8487469,-89.0441895,0.081,0.423
03220220001033,13.8487469,-89.7473145,1.313,0.477
03220220012230,13.6139558,-89.5935059,0.583,0.485
03220220120030,13.5285192,-89.2419434,-0.121,0.479
03220220101301,13.8274120,-89.0002441,-0.691,0.389
03220220121302,13.4644216,-89.0222168,0.593,0.475
03220221010221,13.7847363,-88.2092285,-0.348,0.374
03220202233023,14.0193555,-89.4396973,-0.295,0.407
03220202321223,14.1046123,-89.0881348,0.163,0.438
03220221021210,13.4857894,-88.3630371,-0.111,0.438
03220221011300,13.8274120,-87.9675293,0.280,0.421
03220202231223,14.1046123,-89.4396973,-0.248,0.438
03220220132030,13.3575541,-88.8903809,-0.325,0.475
03220221002012,13.7207082,-88.5388184,-0.327,0.382
03220221000203,13.8060751,-88.5607910,-0.186,0.419
03220220000303,13.8060751,-89.8791504,-0.334,0.336
03220220120012,13.5498812,-89.2419434,0.003,0.416
03220202232220,13.9553920,-89.6374512,0.398,0.480
03220220031023,13.5071552,-89.4396973,0.444,0.445
03220221022211,13.3147939,-88.5168457,-0.123,0.436
03220220010223,13.7633955,-89.6154785,-0.447,0.432
03220220111001,13.9127399,-88.7365723,-0.801,0.352
03220220012100,13.7420528,-89.5495605,0.211,0.462
03220220001212,13.8060751,-89.7692871,-0.456,0.414
03220220003203,13.6353101,-89.7912598,0.510,0.447
03220202233231,13.9553920,-89.3957520,-0.629,0.370
03220221211120,13.1864679,-87.9675293,0.458,0.447
03220220102310,13.6566625,-89.1540527,1.395,0.442
03220221120303,13.4644216,-87.7697754,-0.436,0.406
03220221033120,13.3575541,-87.9675293,-0.109,0.407
03220221102021,13.6993616,-87.8576660,-0.533,0.393
03220220311113,13.2078602,-88.6047363,-0.552,0.386
03220221030021,13.5285192,-88.2092285,-0.148,0.442
03220221102323,13.5925995,-87.7697754,0.528,0.472
03220203232231,13.9553920,-88.1652832,-0.159,0.311
03220221023000,13.4003068,-88.4069824,0.189,0.423
03220221010303,13.8060751,-88.1213379,-0.013,0.413
03220220120213,13.4644216,-89.2199707,-0.180,0.383
03220221001311,13.8274120,-88.2531738,0.006,0.419
03220221032011,13.4003068,-88.1652832,-0.043,0.426
03220220013102,13.7207082,-89.3737793,1.078,0.415
03220221021313,13.4644216,-88.2531738,-0.107,0.421
03220220031101,13.5712413,-89.3518066,-0.470,0.409
03220220112332,13.5925995,-88.8024902,-0.765,0.359
03220221003331,13.6139558,-88.2531738,0.017,0.438
03220220112131,13.6993616,-88.7805176,-0.387,0.435
03220221102100,13.7420528,-87.7917480,-0.022,0.425
03220220112000,13.7420528,-88.9343262,0.398,0.443
03220221030312,13.4644216,-88.0993652,-0.043,0.430
03220202332323,13.9340669,-88.8244629,-0.644,0.384
03220221001211,13.8274120,-88.3410645,0.185,0.430
03220220121202,13.4644216,-89.1101074,0.567,0.466
03220221002332,13.5925995,-88.4509277,0.632,0.456
03220220010321,13.7847363,-89.5275879,-0.135,0.413
03220221022330,13.2720261,-88.4509277,0.042,0.396
03220220102230,13.6139558,-89.2419434,0.102,0.434
03220202322020,14.0406726,-89.2858887,0.434,0.458
03220220001213,13.8060751,-89.7473145,0.307,0.433
03220221002331,13.6139558,-88.4289551,-0.213,0.411
03220220133202,13.2934109,-88.7585449,0.927,0.447
03220202232132,14.0193555,-89.5056152,-0.385,0.421
03220202323131,14.0406726,-88.9562988,0.787,0.446
03220221022121,13.3575541,-88.4729004,0.504,0.432
