quadkey,latitude,longitude,rwi,error
12222322330211,0.2526847,6.7565918,0.126,0.534
12222322321000,0.3405742,6.5148926,-0.216,0.484
12222322321131,0.2966295,6.6687012,0.402,0.530
12222322321123,0.2746571,6.6247559,-0.403,0.385
12222321230200,1.6587038,7.3937988,-0.297,0.510
12222322323221,0.0329590,6.5368652,-0.281,0.464
12222322321313,0.2307123,6.6687012,0.206,0.414
12222322323222,0.0109863,6.5148926,0.331,0.527
12222322330032,0.2746571,6.7346191,-0.126,0.524
12222322320113,0.3186019,6.4929199,0.390,0.429
12222322330010,0.3405742,6.7346191,1.560,0.577
12222322321132,0.2746571,6.6467285,-0.409,0.508
12222322330210,0.2526847,6.7346191,0.237,0.536
12222321230210,1.6587038,7.4377441,0.369,0.474
12222322321002,0.3186019,6.5148926,-0.206,0.441
12222322323121,0.1208495,6.6247559,-0.144,0.534
12222322320133,0.2746571,6.4929199,-0.315,0.390
12222322303313,0.4064907,6.6687012,-0.076,0.450
12222322330202,0.2307123,6.6906738,-0.122,0.384
12222322323123,0.0988769,6.6247559,-0.273,0.458
12222321230023,1.6806671,7.4157715,0.523,0.498
12222322312220,0.3845186,6.6906738,0.013,0.482
12222322312222,0.3625464,6.6906738,0.352,0.540
12222322330033,0.2746571,6.7565918,-0.156,0.510
12222322330031,0.2966295,6.7565918,-0.034,0.525
12222322323203,0.0549316,6.5368652,-0.461,0.569
12222322312223,0.3625464,6.7126465,1.097,0.544
12222322330001,0.3405742,6.7126465,0.834,0.544
12222322323210,0.0769043,6.5588379,0.232,0.473
12222322330000,0.3405742,6.6906738,0.294,0.515
12222322330020,0.2966295,6.6906738,0.822,0.552
12222322303232,0.3625464,6.5588379,0.686,0.572
12222322330212,0.2307123,6.7346191,0.099,0.480
12222322312202,0.4064907,6.6906738,-0.369,0.464
12222322321103,0.3186019,6.6247559,-0.435,0.387
12222321230212,1.6367402,7.4377441,0.646,0.508
12222321230221,1.6147764,7.4157715,-0.269,0.462
12222322321312,0.2307123,6.6467285,-0.309,0.384
12222322323122,0.0988769,6.6027832,-0.336,0.485
12222322303312,0.4064907,6.6467285,0.658,0.503
12222322321310,0.2526847,6.6467285,-0.359,0.408
30000100101000,-0.0109863,6.5148926,-0.580,0.421
12222322321010,0.3405742,6.5588379,-0.342,0.444
12222321230230,1.6147764,7.4377441,-0.141,0.480
12222322321113,0.3186019,6.6687012,0.144,0.486
12222322320312,0.2307123,6.4709473,-0.205,0.391
12222321230201,1.6587038,7.4157715,0.383,0.522
12222322321001,0.3405742,6.5368652,0.493,0.506
12222322330021,0.2966295,6.7126465,0.203,0.520
12222322303223,0.3625464,6.5368652,0.420,0.552
12222321230213,1.6367402,7.4597168,-0.156,0.504
12222322323111,0.1647947,6.6687012,0.343,0.439
12222321230032,1.6806671,7.4377441,0.631,0.503
12222322321020,0.2966295,6.5148926,-0.148,0.404
12222321221311,1.6587038,7.3718262,-0.386,0.464
12222321230033,1.6806671,7.4597168,0.254,0.394
12222322321121,0.2966295,6.6247559,-0.186,0.528
12222322312232,0.3625464,6.7346191,-0.114,0.522
12222322303303,0.4064907,6.6247559,0.420,0.478
12222322330201,0.2526847,6.7126465,-0.237,0.429
12222321230022,1.6806671,7.3937988,-0.041,0.518
12222322303233,0.3625464,6.5808105,-0.347,0.436
12222322320132,0.2746571,6.4709473,0.717,0.481
12222322330222,0.1867672,6.6906738,0.099,0.504
12222322303332,0.3625464,6.6467285,-0.111,0.513
12222322303331,0.3845186,6.6687012,0.200,0.509
12222322303330,0.3845186,6.6467285,0.407,0.551
12222322330221,0.2087398,6.7126465,0.112,0.500
12222322321101,0.3405742,6.6247559,-0.086,0.412
12222322321311,0.2526847,6.6687012,-0.631,0.384
12222322320310,0.2526847,6.4709473,-0.541,0.405
12222322303322,0.3625464,6.6027832,-0.197,0.404
12222322323130,0.1208495,6.6467285,-0.302,0.429
12222322330220,0.2087398,6.6906738,-0.313,0.429
12222321230203,1.6367402,7.4157715,0.426,0.580
12222322332000,0.1647947,6.6906738,-0.457,0.461
12222322321110,0.3405742,6.6467285,0.330,0.481
12222322330203,0.2307123,6.7126465,-0.316,0.424
12222322330022,0.2746571,6.6906738,0.025,0.420
12222322330002,0.3186019,6.6906738,0.243,0.508
12222322321112,0.3186019,6.6467285,-0.365,0.479
12222322303323,0.3625464,6.6247559,-0.432,0.437
12222322330030,0.2966295,6.7346191,0.458,0.536
12222322323112,0.1428221,6.6467285,0.155,0.523
12222322321111,0.3405742,6.6687012,-0.061,0.525
12222321221331,1.6147764,7.3718262,-0.638,0.572
12222322330230,0.2087398,6.7346191,-0.088,0.497
12222322312221,0.3845186,6.7126465,0.502,0.556
12222322330003,0.3186019,6.7126465,0.824,0.538
12222322330012,0.3186019,6.7346191,1.112,0.565
12222322330200,0.2526847,6.6906738,-0.441,0.400
12222321230202,1.6367402,7.3937988,0.115,0.506
12222322330013,0.3186019,6.7565918,-0.113,0.473
12222321230220,1.6147764,7.3937988,-0.392,0.432
12222322303320,0.3845186,6.6027832,-0.285,0.410
12222322321130,0.2966295,6.6467285,0.199,0.497
12222322321133,0.2746571,6.6687012,-0.255,0.411
12222322321333,0.1867672,6.6687012,-0.204,0.416
12222322320131,0.2966295,6.4929199,-0.074,0.446
12222322323220,0.0329590,6.5148926,-0.096,0.517
12222322303333,0.3625464,6.6687012,0.099,0.533
12222322330023,0.2746571,6.7126465,-0.131,0.444
12222322323120,0.1208495,6.6027832,-0.156,0.500
12222322303321,0.3845186,6.6247559,0.179,0.563
