quadkey,latitude,longitude,rwi,error
03233022220203,5.8455454,-56.2170410,-0.054,0.388
03233022330333,5.8018269,-55.0305176,0.496,0.445
03233201010011,5.6050520,-54.4152832,0.690,0.448
03233022323211,5.6925158,-55.2941895,-0.012,0.419
03233200133013,5.0581143,-54.9426270,-0.519,0.339
03233022321203,5.8455454,-55.3381348,-0.311,0.420
03233200131321,5.1237722,-54.8986816,-0.405,0.338
03233201100300,5.5175751,-54.0417480,0.268,0.465
03233201010030,5.5613152,-54.4372559,-1.025,0.341
03233022321302,5.8455454,-55.2722168,0.561,0.411
03233200101313,5.4957038,-55.2062988,0.240,0.502
03233200131221,5.1237722,-54.9865723,-0.185,0.427
03233022321202,5.8455454,-55.3601074,-0.162,0.415
03233200103020,5.3863356,-55.3601074,-0.337,0.407
03233023232322,5.6269192,-54.3933105,0.519,0.516
03233022323132,5.7143797,-55.2282715,0.189,0.455
03233022330230,5.8236865,-55.1403809,0.870,0.490
03232133231100,5.9548266,-57.0300293,0.192,0.463
03232133231310,5.8674033,-56.9860840,-0.307,0.438
03232133320210,5.8674033,-56.8981934,0.080,0.491
03233022330212,5.8455454,-55.1403809,0.939,0.422
03233022220331,5.8236865,-56.0852051,-0.174,0.406
03233200110100,5.6050520,-55.0964355,0.146,0.486
03233201020221,5.1237722,-54.8107910,-0.895,0.421
03233022330300,5.8674033,-55.0964355,1.054,0.474
03233022330231,5.8236865,-55.1184082,0.577,0.450
03233022330213,5.8455454,-55.1184082,1.529,0.429
03233200112002,5.4082108,-55.1843262,-0.083,0.474
03233200110323,5.4519589,-55.0744629,-0.080,0.462
03233022323122,5.7143797,-55.2722168,-0.391,0.431
03233200112110,5.4300853,-55.0524902,-0.345,0.370
03233200110200,5.5175751,-55.1843262,0.144,0.424
03233200131203,5.1456567,-54.9865723,-0.524,0.356
03233022332132,5.7143797,-55.0524902,0.075,0.381
03232133320201,5.8674033,-56.9201660,0.240,0.445
03233022321220,5.8236865,-55.3601074,-0.205,0.387
03233022330221,5.8236865,-55.1623535,1.088,0.446
03233200101332,5.4519589,-55.2282715,0.000,0.452
03233200130101,5.2550677,-55.0744629,-0.309,0.465
03233023222003,5.7581050,-54.8107910,-0.541,0.399
03233022330222,5.8018269,-55.1843262,1.420,0.424
03233022231312,5.8455454,-55.5798340,0.121,0.441
03232133231311,5.8674033,-56.9641113,-0.439,0.404
03233022332321,5.6487856,-55.0744629,-0.048,0.453
03233022321221,5.8236865,-55.3381348,0.163,0.458
03233202102013,4.0067400,-55.4699707,-0.457,0.469
03232133231102,5.9329721,-57.0300293,0.322,0.452
03233200113031,5.3863356,-54.9426270,-0.870,0.368
03233200131110,5.2550677,-54.8767090,-0.758,0.341
03233022322133,5.7143797,-55.3820801,0.105,0.379
03233022323100,5.7799663,-55.2722168,0.379,0.450
03233200110213,5.4957038,-55.1184082,-0.009,0.407
03233022321123,5.8892605,-55.2502441,-0.602,0.419
03233022321313,5.8455454,-55.2062988,1.086,0.419
03233200132023,5.0143386,-55.1623535,0.284,0.508
03233022323201,5.6925158,-55.3381348,0.091,0.449
03233022323102,5.7581050,-55.2722168,0.616,0.463
03233022323011,5.7799663,-55.2941895,0.357,0.451
03233022332300,5.6925158,-55.0964355,0.727,0.442
03233022220321,5.8236865,-56.1291504,-0.557,0.357
03233200111223,5.4519589,-54.9865723,-0.522,0.454
03233023222133,5.7143797,-54.6789551,-0.530,0.404
03232133230111,5.9548266,-57.1398926,0.340,0.449
03233022330331,5.8236865,-55.0305176,0.278,0.452
03232133331300,5.8674033,-56.3269043,0.673,0.464
03233022231303,5.8455454,-55.6018066,0.475,0.434
03233022322130,5.7362428,-55.4040527,-0.288,0.439
03233022330322,5.8018269,-55.0964355,-0.309,0.423
03233022323213,5.6706511,-55.2941895,-0.065,0.400
03233200110132,5.5394455,-55.0524902,0.127,0.490
03233200112021,5.3863356,-55.1623535,-0.192,0.477
03233200133120,5.0362268,-54.9206543,-1.002,0.339
03233022322131,5.7362428,-55.3820801,-0.194,0.451
03232133231110,5.9548266,-56.9860840,0.458,0.473
03233022223011,5.7799663,-55.9973145,0.299,0.393
03233022322013,5.7581050,-55.4699707,-0.034,0.454
03233023222102,5.7581050,-54.7448730,0.358,0.439
03233022231330,5.8236865,-55.5798340,0.150,0.425
03233022323012,5.7581050,-55.3161621,-0.163,0.438
03233022321033,5.8892605,-55.2941895,-0.559,0.343
03233022331202,5.8455454,-55.0085449,-0.188,0.417
03233022322101,5.7799663,-55.4260254,0.179,0.426
03232133231013,5.9329721,-57.0520020,0.461,0.452
03233023222012,5.7581050,-54.7888184,-0.245,0.435
03233022323310,5.6925158,-55.2282715,0.402,0.453
03233022332233,5.6269192,-55.1184082,0.284,0.495
03233023222000,5.7799663,-54.8327637,0.091,0.439
03233200130301,5.1675404,-55.0744629,0.153,0.452
03233022331022,5.8892605,-55.0085449,-0.276,0.350
03233200112213,5.3207052,-55.1184082,-0.407,0.383
03233200132111,5.0800010,-55.0305176,-0.203,0.456
03233022333011,5.7799663,-54.9426270,0.161,0.437
03233023223200,5.6925158,-54.6569824,-0.506,0.410
03233022321310,5.8674033,-55.2282715,0.282,0.450
03233200110101,5.6050520,-55.0744629,0.118,0.446
03233022332211,5.6925158,-55.1184082,0.129,0.445
03233201020222,5.1018870,-54.8327637,-0.867,0.455
03233023232332,5.6269192,-54.3493652,-0.654,0.417
03233202031101,3.8532931,-55.6018066,-0.769,0.340
03233022330122,5.8892605,-55.0964355,0.413,0.464
03233022321300,5.8674033,-55.2722168,0.127,0.440
03233202100030,4.1601581,-55.4919434,-1.185,0.338
03232133231112,5.9329721,-56.9860840,0.935,0.431
03232133231113,5.9329721,-56.9641113,0.432,0.446
03233200133133,5.0143386,-54.8547363,-0.762,0.339
03233022332202,5.6706511,-55.1843262,0.184,0.449
03233022332033,5.7143797,-55.1184082,0.417,0.439
03233022321321,5.8236865,-55.2502441,0.523,0.462
03233200133102,5.0581143,-54.9206543,-0.478,0.340
03233022323311,5.6925158,-55.2062988,0.451,0.463
03233200110202,5.4957038,-55.1843262,0.326,0.434
03233022323023,5.7143797,-55.3381348,0.060,0.334
03233022321301,5.8674033,-55.2502441,0.306,0.443
03233022323111,5.7799663,-55.2062988,0.888,0.471
03233022321223,5.8018269,-55.3381348,-0.142,0.451
03233201010031,5.5613152,-54.4152832,-0.368,0.362
03233022330311,5.8674033,-55.0305176,0.673,0.456
03233022323233,5.6269192,-55.2941895,0.175,0.388
03232133231012,5.9329721,-57.0739746,0.242,0.449
03232133231103,5.9329721,-57.0080566,0.581,0.460
03233022323303,5.6706511,-55.2502441,0.255,0.445
03233200131232,5.1018870,-54.9645996,-0.952,0.354
03233022320331,5.8236865,-55.3820801,0.131,0.400
03233022223103,5.7581050,-55.9533691,-1.003,0.341
03233022321133,5.8892605,-55.2062988,0.236,0.426
03233200110022,5.5394455,-55.1843262,-0.582,0.424
03233200101333,5.4519589,-55.2062988,-0.100,0.495
03233201010100,5.6050520,-54.3933105,0.777,0.454
03233022321132,5.8892605,-55.2282715,0.241,0.441
03233200130112,5.2331870,-55.0524902,-0.427,0.357
03233200113322,5.2769476,-54.9206543,-0.837,0.341
03233202013331,3.8971380,-55.5578613,-1.081,0.356
03233022321233,5.8018269,-55.2941895,0.121,0.446
03233023232233,5.6269192,-54.4152832,0.051,0.485
03233022330033,5.8892605,-55.1184082,-0.110,0.432
03233022323101,5.7799663,-55.2502441,0.165,0.441
03233022231302,5.8455454,-55.6237793,0.051,0.445
03233200133301,4.9924497,-54.8986816,-0.424,0.365
03233200112030,5.3863356,-55.1403809,-0.399,0.408
03233022323013,5.7581050,-55.2941895,0.306,0.459
03233022323330,5.6487856,-55.2282715,0.517,0.450
03233022323121,5.7362428,-55.2502441,0.059,0.436
03233022323133,5.7143797,-55.2062988,0.313,0.457
03233200101111,5.6050520,-55.2062988,0.085,0.430
03233022321323,5.8018269,-55.2502441,0.603,0.463
03233022330223,5.8018269,-55.1623535,0.678,0.431
03233200101010,5.6050520,-55.3161621,-0.606,0.432
03232311003312,5.3207052,-57.3376465,-0.229,0.470
03232133231132,5.8892605,-56.9860840,-0.058,0.423
03233022330303,5.8455454,-55.0744629,0.770,0.444
03233022321230,5.8236865,-55.3161621,0.160,0.456
03233200121321,5.1237722,-55.2502441,0.256,0.494
03233200101312,5.4957038,-55.2282715,0.675,0.458
03233022323332,5.6269192,-55.2282715,-0.054,0.487
03233022332301,5.6925158,-55.0744629,0.268,0.454
03233022320230,5.8236865,-55.4919434,0.338,0.430
03233200103111,5.4300853,-55.2062988,0.081,0.438
03233022321231,5.8236865,-55.2941895,0.401,0.448
03233023232323,5.6269192,-54.3713379,-0.612,0.519
03233022323003,5.7581050,-55.3381348,-0.007,0.424
03233022332001,5.7799663,-55.1623535,0.642,0.474
03232133231101,5.9548266,-57.0080566,0.602,0.457
03232133231031,5.9111167,-57.0520020,0.121,0.454
03233022330200,5.8674033,-55.1843262,0.481,0.457
03233200133010,5.0800010,-54.9645996,-0.259,0.446
03233200133001,5.0800010,-54.9865723,-0.283,0.496
03233022332012,5.7581050,-55.1403809,0.778,0.483
03233200133110,5.0800010,-54.8767090,-0.886,0.381
03233022323010,5.7799663,-55.3161621,-0.412,0.438
03233022332320,5.6487856,-55.0964355,0.063,0.417
03233022332111,5.7799663,-55.0305176,0.521,0.465
03233022323001,5.7799663,-55.3381348,-0.093,0.450
03232133331311,5.8674033,-56.2609863,-0.205,0.429
03233023222103,5.7581050,-54.7229004,-0.139,0.408
03233200123312,4.9705600,-55.2282715,-0.437,0.420
03233022323203,5.6706511,-55.3381348,-0.123,0.476
03233200133012,5.0581143,-54.9645996,0.084,0.441
03233023222001,5.7799663,-54.8107910,-0.176,0.411
03233200133030,5.0362268,-54.9645996,-0.859,0.385
03233022323130,5.7362428,-55.2282715,0.469,0.460
03233022323301,5.6925158,-55.2502441,0.155,0.446
03233022320303,5.8455454,-55.4260254,-0.059,0.392
03233023232212,5.6706511,-54.4372559,-0.366,0.365
03233022330032,5.8892605,-55.1403809,0.081,0.442
03233022321320,5.8236865,-55.2722168,0.609,0.453
03233200131332,5.1018870,-54.8767090,-0.664,0.348
03233202102012,4.0067400,-55.4919434,-1.046,0.389
03233200112033,5.3644596,-55.1184082,0.256,0.470
03232133231030,5.9111167,-57.0739746,-0.145,0.423
03233022321130,5.9111167,-55.2282715,0.024,0.424
03233022330201,5.8674033,-55.1623535,0.885,0.455
03232133212333,5.9766803,-57.1398926,-0.001,0.448
