quadkey,latitude,longitude,rwi,error
30030132312031,-26.6376385,32.0690918,-0.390,0.431
30030132001332,-25.9481659,31.2561035,0.311,0.555
30030132302323,-26.7357986,31.7614746,0.175,0.532
30030310011103,-27.0884727,31.5856934,0.107,0.441
30030132201202,-26.5393939,31.1242676,-0.428,0.458
30030132320131,-26.7946541,31.8054199,-0.516,0.444
30030132112230,-26.0863877,32.0471191,-0.463,0.497
30030132303330,-26.7161733,31.9592285,0.406,0.454
30030132230212,-26.8534790,31.3439941,-0.224,0.454
30030132103230,-26.0863877,31.8713379,1.043,0.527
30030132103313,-26.0666517,31.9812012,-0.496,0.451
30030132203012,-26.6179963,31.1682129,-0.498,0.444
30030132303112,-26.6179963,31.9592285,-0.814,0.434
30030132233032,-26.9710372,31.5197754,-0.439,0.448
30030132221023,-26.8142658,31.1462402,-0.017,0.457
30030132013101,-25.9679218,31.5856934,-0.427,0.430
30030132103202,-26.0666517,31.8273926,0.636,0.532
30030132032112,-26.3032638,31.4318848,-0.454,0.447
30030132302200,-26.6769127,31.6516113,-0.136,0.473
30030132211232,-26.5787018,31.5197754,-0.491,0.484
30030132203123,-26.6572773,31.2341309,-0.706,0.451
30030132003320,-26.0863877,31.2121582,-0.219,0.566
30030132221301,-26.8338741,31.2341309,-0.618,0.452
30030132233103,-26.9318647,31.5856934,0.168,0.455
30030132230002,-26.7750390,31.3000488,-0.372,0.545
30030132232232,-27.0493412,31.3439941,-0.372,0.544
30030132210100,-26.4410651,31.3879395,-0.171,0.502
30030132112022,-26.0271697,32.0031738,-0.626,0.452
30030132320223,-26.8926787,31.6735840,-0.160,0.459
30030132201011,-26.4410651,31.1901855,0.730,0.612
30030132210122,-26.5000725,31.3879395,1.143,0.588
30030132023033,-26.3426524,31.1901855,0.232,0.625
30030132302303,-26.6965447,31.7614746,-0.007,0.534
30030132320021,-26.7946541,31.6735840,-0.677,0.448
30030310011002,-27.0884727,31.4758301,-0.681,0.431
30030132030201,-26.2047338,31.3220215,-0.553,0.456
30030132301013,-26.4607376,31.8933105,-0.222,0.512
30030310010123,-27.1275906,31.4099121,0.059,0.459
30030132011310,-25.8888782,31.6076660,-0.194,0.462
30030132020212,-26.2244465,30.9924316,0.112,0.526
30030132321213,-26.8534790,31.8933105,-0.133,0.489
30030310010302,-27.1666948,31.3879395,-0.084,0.465
30030132232213,-27.0101960,31.3659668,0.048,0.442
30030132012031,-26.0074237,31.3659668,0.052,0.460
30030132301201,-26.5197349,31.8493652,0.027,0.480
30030132323330,-27.0297703,31.9592285,0.108,0.523
30030132221221,-26.8730805,31.1462402,-0.475,0.431
30030123331122,-26.8142658,30.8605957,-0.066,0.450
30030132031222,-26.2638619,31.4758301,-0.251,0.463
30030132021212,-26.2244465,31.1682129,0.026,0.595
30030132213201,-26.6769127,31.4978027,0.140,0.475
30030132003101,-25.9679218,31.2341309,-0.413,0.540
30030132211022,-26.5000725,31.4758301,-0.384,0.548
30030132100231,-25.9284066,31.7175293,-0.289,0.440
30030132020313,-26.2244465,31.1022949,-0.449,0.476
30030132032022,-26.3426524,31.3000488,-0.246,0.472
30030132230102,-26.7750390,31.3879395,-0.410,0.436
30030132020123,-26.1850178,31.0583496,-0.699,0.456
30030123313232,-26.7357986,30.8166504,-0.410,0.439
30030310013102,-27.2448621,31.5637207,0.196,0.435
30030132301221,-26.5590496,31.8493652,-0.781,0.437
30030132303332,-26.7357986,31.9592285,-0.096,0.482
30030132222132,-26.9710372,31.0803223,-0.438,0.465
30030132323203,-27.0101960,31.8493652,-0.135,0.435
30030132233320,-27.0297703,31.5637207,-0.199,0.444
30030132233021,-26.9514527,31.4978027,-0.256,0.431
30030132010001,-25.8097816,31.3220215,0.158,0.448
30030130232322,-25.7899992,31.3879395,-0.208,0.457
30030132211031,-26.4804067,31.5417480,-0.487,0.456
30030132203102,-26.6179963,31.2121582,-0.337,0.503
30030132211123,-26.5000725,31.5856934,-0.017,0.451
30030132221032,-26.8142658,31.1682129,-0.014,0.443
30030310103022,-27.2839252,31.8273926,-0.378,0.455
30030132021211,-26.2047338,31.1901855,-0.038,0.480
30030310001102,-27.0884727,31.2121582,0.418,0.542
30030132322113,-26.9318647,31.8054199,-0.554,0.429
30030132320122,-26.8142658,31.7395020,-0.176,0.473
30030123311223,-26.5787018,30.7946777,-0.078,0.453
30030132011002,-25.8295607,31.4758301,-0.353,0.492
30030132010011,-25.8097816,31.3659668,-0.249,0.474
30030132010131,-25.8493365,31.4538574,-0.394,0.427
30030132210103,-26.4607376,31.4099121,-0.223,0.488
30030132032100,-26.2835645,31.3879395,-0.518,0.475
30030310011301,-27.1471444,31.5856934,-0.420,0.438
30030132011202,-25.9086440,31.4758301,0.428,0.465
30030132330013,-26.7750390,32.0690918,-0.502,0.537
30030132021003,-26.1455758,31.1462402,0.349,0.528
30030132322231,-27.0297703,31.7175293,0.368,0.544
30030132021332,-26.2638619,31.2561035,-0.171,0.480
30030132021310,-26.2047338,31.2561035,-0.310,0.429
30030132112210,-26.0469124,32.0471191,-0.388,0.442
30030132200011,-26.4410651,31.0144043,-0.677,0.468
30030132212211,-26.6769127,31.3659668,0.006,0.488
30030132103303,-26.0666517,31.9372559,-0.339,0.471
30030132023122,-26.3426524,31.2121582,-0.012,0.493
30030132201302,-26.5393939,31.2121582,-0.093,0.505
30030132012223,-26.1061204,31.3220215,-0.402,0.558
30030123311112,-26.4607376,30.9045410,-0.227,0.430
30030310010300,-27.1471444,31.3879395,-0.172,0.556
30030132203322,-26.7357986,31.2121582,-0.485,0.427
30030132232310,-26.9906183,31.4318848,-0.436,0.445
30030132230321,-26.8730805,31.4099121,-0.080,0.431
30030132103032,-26.0271697,31.8713379,0.876,0.479
30030132032302,-26.3820276,31.3879395,-0.418,0.463
30030310013211,-27.3034516,31.5417480,-0.269,0.445
30030132211130,-26.4804067,31.6076660,0.061,0.462
30030132323220,-27.0297703,31.8273926,-0.103,0.434
30030132223131,-26.9514527,31.2780762,-0.714,0.434
30030123311321,-26.5590496,30.8825684,-0.115,0.438
30030132223301,-26.9906183,31.2341309,0.032,0.427
30030132232030,-26.9514527,31.3439941,0.211,0.520
30030132011032,-25.8691090,31.5197754,-0.093,0.474
30030310012030,-27.2643953,31.3439941,-0.082,0.454
30030132210123,-26.5000725,31.4099121,0.714,0.572
30030132232333,-27.0493412,31.4538574,-0.291,0.486
30030132212110,-26.5983508,31.4318848,0.199,0.482
30030132021102,-26.1455758,31.2121582,-0.240,0.494
30030310010030,-27.1080334,31.3439941,-0.041,0.432
30030132303103,-26.6179963,31.9372559,-0.347,0.430
30030310010103,-27.0884727,31.4099121,-0.513,0.432
30030132211101,-26.4410651,31.5856934,0.251,0.575
30030132120001,-26.1258498,31.6735840,-0.520,0.450
30030132003211,-26.0469124,31.1901855,-0.032,0.518
30030132023132,-26.3426524,31.2561035,0.062,0.471
30030132023030,-26.3229598,31.1682129,0.591,0.576
30030132312000,-26.5983508,32.0031738,-0.185,0.435
30030123133311,-26.3623416,30.9265137,-0.265,0.451
30030132021210,-26.2047338,31.1682129,-0.651,0.583
30030132301321,-26.5590496,31.9372559,-0.471,0.450
30030132201323,-26.5787018,31.2341309,-0.236,0.537
30030132322020,-26.9514527,31.6516113,-0.750,0.436
30030310013131,-27.2643953,31.6296387,-0.274,0.436
30030132103113,-25.9876744,31.9812012,0.485,0.534
30030132012313,-26.0666517,31.4538574,0.354,0.463
30030132013312,-26.0666517,31.6076660,-0.321,0.456
30030132020131,-26.1652985,31.1022949,-0.178,0.507
30030132012300,-26.0469124,31.3879395,-0.191,0.427
30030310001302,-27.1666948,31.2121582,0.207,0.483
30030132103301,-26.0469124,31.9372559,-0.799,0.446
30030132320202,-26.8534790,31.6516113,-0.210,0.463
30030310012002,-27.2448621,31.3000488,0.320,0.458
30030132303111,-26.5983508,31.9812012,-0.293,0.433
30030310103111,-27.2253254,31.9812012,-0.533,0.423
30030132221021,-26.7946541,31.1462402,0.095,0.443
30030310001103,-27.0884727,31.2341309,-0.091,0.522
30030132230101,-26.7554205,31.4099121,-0.602,0.435
30030310013011,-27.2253254,31.5417480,-0.250,0.502
30030132013213,-26.0666517,31.5417480,0.037,0.496
30030132122300,-26.3623416,31.7395020,-0.186,0.489
30030132231002,-26.7750390,31.4758301,0.142,0.446
30030310011212,-27.1666948,31.5197754,0.135,0.465
30030132203002,-26.6179963,31.1242676,-0.219,0.539
30030132231331,-26.8730805,31.6296387,0.269,0.506
30030132010313,-25.9086440,31.4538574,0.417,0.445
30030132030220,-26.2441559,31.3000488,-0.129,0.449
30030132013130,-26.0074237,31.6076660,0.147,0.443
30030132322333,-27.0493412,31.8054199,-0.022,0.446
30030310011001,-27.0689087,31.4978027,-0.339,0.448
30030310100330,-27.1862418,31.7834473,-0.564,0.433
30030310010231,-27.1862418,31.3659668,-0.130,0.483
30030132200123,-26.5000725,31.0583496,-0.551,0.444
30030132032321,-26.4017101,31.4099121,-0.156,0.450
30030132230223,-26.8926787,31.3220215,1.182,0.501
30030132001131,-25.8493365,31.2780762,-0.327,0.427
30030310102022,-27.2839252,31.6516113,-0.272,0.436
30030132200330,-26.5590496,31.0803223,0.116,0.543
30030132122322,-26.4213893,31.7395020,-0.036,0.529
30030132203010,-26.5983508,31.1682129,-0.164,0.519
30030132323000,-26.9122734,31.8273926,-0.311,0.446
30030132301031,-26.4804067,31.8933105,0.242,0.461
30030132112020,-26.0074237,32.0031738,0.286,0.532
30030132303131,-26.6376385,31.9812012,-0.393,0.444
30030132223201,-26.9906183,31.1462402,-0.130,0.451
30030310001000,-27.0689087,31.1242676,-0.248,0.454
30030132011330,-25.9284066,31.6076660,0.185,0.425
30030123311330,-26.5590496,30.9045410,-0.389,0.424
30030132230020,-26.7946541,31.3000488,-0.237,0.569
30030132301113,-26.4607376,31.9812012,-0.383,0.442
30030132210221,-26.5590496,31.3220215,-0.152,0.505
30030310100033,-27.1275906,31.7175293,-0.116,0.438
30030310001211,-27.1471444,31.1901855,-0.581,0.542
30030132013233,-26.1061204,31.5417480,-0.472,0.478
30030310011013,-27.0884727,31.5417480,-0.016,0.428
30030132320111,-26.7554205,31.8054199,0.142,0.481
30030310011323,-27.2057853,31.5856934,0.611,0.531
30030310101020,-27.1080334,31.8273926,-0.337,0.449
30030310102002,-27.2448621,31.6516113,-0.383,0.441
30030132022210,-26.3623416,30.9924316,-0.003,0.513
30030132212130,-26.6376385,31.4318848,0.171,0.561
30030310101220,-27.1862418,31.8273926,-0.921,0.450
