quadkey,latitude,longitude,rwi,error
13220313032000,14.7642589,100.2062988,-0.160,0.441
13220310001102,16.6046096,98.7121582,-0.553,0.446
13221200300221,15.8239658,101.9860840,0.421,0.437
13221201211322,15.8028247,103.2824707,0.127,0.442
13223022213123,6.0640861,101.8981934,0.418,0.435
13221200110202,16.5203656,102.3156738,0.504,0.441
13220133221330,16.8360897,100.1623535,0.225,0.454
13221032001222,17.8219152,104.2492676,-0.463,0.432
13221032202231,17.0042615,104.1394043,-0.133,0.450
13220331310003,13.2078602,100.9313965,1.070,0.468
13222133031122,6.5882169,100.4699707,-0.015,0.446
13221212023010,14.7642589,104.2932129,0.167,0.448
13222133020101,6.6536952,99.9645996,0.203,0.461
13221210012221,16.3306825,104.4470215,-0.326,0.410
13221201133220,15.9930146,103.8977051,0.931,0.436
13221203300232,14.4453192,103.4143066,0.041,0.436
13221201122023,16.0563712,103.3923340,0.596,0.438
13221201220133,15.5489602,102.8210449,-0.096,0.443
13222133031211,6.5663889,100.4479980,-0.106,0.443
13221200301202,15.8451046,102.1398926,-0.389,0.426
13220131003030,19.0932663,100.0744629,0.700,0.467
13220130033003,18.7815164,98.9978027,1.198,0.464
13222131201032,7.6347758,100.0744629,0.955,0.467
13221202102013,15.0827314,102.0300293,-0.118,0.439
13220130300001,18.6358348,99.1735840,-0.396,0.443
13222113200230,8.9610451,99.8986816,0.810,0.448
13221203120130,14.8917045,103.5021973,1.001,0.436
13221200022223,15.9718913,101.2829590,-0.170,0.474
13221201003300,16.3728503,102.9309082,0.138,0.425
13221201121231,16.1619207,103.6120605,0.607,0.426
13220130032330,18.6774709,98.9318848,0.924,0.469
13222133112203,6.7191648,100.9313965,0.282,0.429
13220332133311,11.9426009,99.8327637,0.930,0.404
13222133012302,6.7191648,100.2941895,0.375,0.446
13221221000003,13.8914108,102.6892090,0.028,0.416
13221202210300,14.5091441,101.7004395,-0.354,0.461
13221023222220,16.6677684,102.6672363,-0.477,0.424
13221202021023,14.8704688,101.4587402,0.163,0.419
13220331313311,12.9724418,101.2390137,0.463,0.467
13222112323003,8.5484296,99.3493652,0.633,0.433
13222112222333,8.4180361,98.6022949,-0.313,0.493
13221211222001,15.4430906,105.5017090,-0.429,0.413
13221202211112,14.5729506,101.9201660,-0.060,0.437
13220331331203,12.7796606,101.1071777,0.631,0.461
13220331103202,13.6353101,100.7336426,0.964,0.458
13221212013331,14.9766264,104.7546387,0.150,0.428
13221222310113,11.8350943,102.4694824,0.081,0.463
13220313320113,14.2324377,100.7116699,0.700,0.475
13220330103013,13.7207082,99.3933105,0.010,0.415
13221023200001,17.2981985,102.6892090,0.811,0.455
13220132320202,16.8571194,99.1516113,0.627,0.471
13222121131121,8.0048367,98.3825684,0.404,0.475
13221023102203,17.6963617,103.3923340,0.249,0.455
13220132332212,16.6888167,99.5471191,0.469,0.464
13221210313200,15.6970862,105.3039551,0.057,0.436
13221222112131,12.3292689,102.4694824,0.365,0.424
13221200313203,15.6759319,102.5134277,0.484,0.429
13221022321010,16.9622326,102.1838379,0.427,0.465
13221020323213,18.0309744,102.2058105,0.658,0.479
13220311223230,15.3159757,100.0744629,0.673,0.454
13222112230102,8.7222181,98.8879395,-0.359,0.441
13220331133313,13.2934109,101.2390137,0.580,0.451
13221201322332,15.2947823,103.5021973,-0.038,0.399
13221021231102,18.2815179,103.2824707,0.152,0.411
13221220132000,13.4003068,102.3156738,0.094,0.445
13220313012000,15.1039461,100.2062988,-0.135,0.462
13221200231021,15.5701276,101.8103027,0.040,0.459
13220133133012,17.4449916,101.1291504,-0.861,0.451
13222110201330,10.3473437,98.7561035,0.105,0.462
13221200303332,15.6336167,102.2717285,-0.065,0.422
13220331110122,13.8487469,100.9973145,0.126,0.440
13221201110031,16.5835521,103.7878418,0.632,0.472
13221210323302,15.3371669,105.0402832,-0.124,0.432
13222130031221,7.9177932,98.9978027,0.087,0.468
13221200010321,16.4992989,101.7224121,-0.484,0.437
13221212011232,15.1251586,104.6447754,0.058,0.433
13221200232223,15.2947823,101.6345215,0.256,0.446
13220132303100,17.1302914,99.4152832,0.104,0.453
13221222113130,12.3292689,102.6232910,-0.363,0.430
13221201200202,15.8451046,102.6672363,0.915,0.448
13220313002323,14.9553991,99.9645996,0.181,0.440
13220131232201,18.0518668,100.2282715,0.073,0.461
13221210220302,15.5066188,104.1613770,-0.057,0.452
13221200110030,16.5835521,102.3596191,-0.562,0.476
13220311330203,15.5066188,100.9313965,0.103,0.441
13222130012122,8.1571180,98.8879395,0.681,0.442
13220313123033,14.7005081,100.7995605,0.073,0.495
13222112211331,8.9610451,99.1296387,0.219,0.448
13222112230101,8.7439361,98.9099121,-0.305,0.453
13220310310201,15.8662413,99.5251465,-0.338,0.443
13220312121202,14.8279911,99.3273926,0.293,0.450
13221023200223,17.1512882,102.6892090,0.821,0.487
13221200213003,15.7605359,101.8103027,0.073,0.414
13221203200321,14.4665962,102.7770996,-0.344,0.459
13220311333302,15.3371669,101.1730957,-0.132,0.458
13221210003020,16.4150090,104.2492676,0.399,0.452
13221023210032,17.2352512,103.0627441,0.946,0.466
13220312323001,14.0833011,99.3493652,0.280,0.418
13221023332122,16.7309063,103.8098145,-0.349,0.432
13221203210123,14.5304150,103.1286621,0.337,0.448
13220121320331,18.1771685,97.8991699,-0.419,0.427
13221022123130,17.4240283,102.2717285,-0.435,0.437
13221023002112,17.7800738,102.7990723,0.417,0.461
13221202223001,14.0833011,101.4587402,-0.244,0.443
13220131212321,18.3440975,100.3161621,0.835,0.491
13220312021022,14.8704688,98.6242676,-0.121,0.479
13222112012103,9.5899171,98.9099121,0.117,0.449
13221212200011,14.5942153,104.1394043,0.171,0.436
13220311111201,16.5414301,101.1071777,0.469,0.433
13221220010322,13.7633955,101.7004395,0.505,0.411
13220332131210,12.1145226,99.7229004,0.005,0.423
13220113222203,19.3629758,99.8767090,-0.655,0.441
13220131111112,19.2800355,101.2170410,-0.336,0.420
13221222130113,12.1789647,102.4694824,0.497,0.456
13221212133201,14.6792536,105.3259277,-0.386,0.432
13220133321100,16.9622326,100.8215332,0.048,0.416
13221203030002,14.9129381,103.0187988,0.781,0.423
13221023113220,17.6754275,103.8977051,-0.352,0.431
13220132333313,16.6888167,99.8327637,0.323,0.440
13221222110101,12.5438394,102.4255371,0.276,0.425
13220312231332,14.1046123,99.1076660,0.398,0.451
13220112301113,19.9423689,99.4812012,-0.418,0.451
13221203013003,15.0827314,103.2165527,0.363,0.410
13220311013231,16.3306825,100.4479980,0.354,0.448
13221023232222,16.6467178,103.0187988,-0.185,0.445
13220132201001,17.2981985,98.6462402,-0.565,0.450
13220311231112,15.5912928,100.5139160,0.386,0.440
13220130213030,18.4275017,99.0197754,0.760,0.443
13221203000331,15.1463690,102.8210449,-0.547,0.409
13220113200032,19.9010533,99.8986816,0.148,0.458
13220133212222,16.9832482,100.2062988,0.744,0.435
13221022133310,17.3820946,102.6232910,0.264,0.519
13222130121332,7.8960294,99.4592285,-0.602,0.432
13220311001033,16.5624922,100.0964355,0.310,0.433
13220311333130,15.4007275,101.2170410,0.137,0.460
13220312211012,14.5729506,99.0197754,-0.549,0.463
13220311120020,16.2463197,100.5578613,-0.283,0.429
13220121330120,18.2606530,98.1848145,0.209,0.467
13220133223123,16.7309063,100.1403809,-0.207,0.427
13220132203310,17.0462809,98.7561035,-0.270,0.465
13222131201212,7.5912178,100.0744629,0.881,0.468
13221201020021,16.2463197,102.6892090,-0.281,0.439
13221203010200,15.1887835,103.0187988,0.128,0.413
13221030222230,18.0100796,104.1174316,-0.330,0.392
13221023011233,17.8219152,103.2604980,-0.038,0.470
13221202033230,14.6367386,101.8322754,0.251,0.426
13221023112333,17.6544909,103.8757324,-0.484,0.427
13220103331022,19.5701418,98.2727051,0.194,0.471
13221023013010,17.8009957,103.2385254,-0.663,0.435
13220130012323,18.9894144,98.9099121,0.313,0.470
13221202120113,14.9129381,102.1179199,0.803,0.457
13220132030002,17.6126105,98.8000488,-0.249,0.425
13221201301312,15.8451046,103.6779785,0.701,0.446
13221022121231,17.5078668,102.2058105,-0.598,0.431
13220113202230,19.6736252,99.8986816,0.130,0.455
13221032032223,17.3191761,104.4470215,0.269,0.427
13220133020233,17.4869108,99.9206543,-0.557,0.404
13220133120123,17.5707203,100.6677246,0.241,0.463
13220313102033,15.0402957,100.6237793,-0.578,0.561
13220132221100,16.9622326,98.7121582,-0.744,0.522
13220311322321,15.3159757,100.6677246,0.211,0.446
13221201012221,16.3306825,103.0407715,-0.464,0.429
13221220000332,13.7633955,101.3928223,0.638,0.426
13221220100320,13.7847363,102.0520020,0.138,0.442
13220113023122,20.0662507,100.1184082,-0.039,0.444
13221200212312,15.6759319,101.7443848,-0.608,0.427
13220311031132,16.2252233,100.5139160,-0.147,0.445
13221200323121,15.4007275,102.2497559,-0.265,0.435
13221220231110,12.8867796,101.9201660,-0.505,0.453
13222112233312,8.4615055,99.1076660,0.063,0.432
13220130203013,18.4483464,98.6901855,0.400,0.438
13221022122113,17.4449916,102.1179199,-0.547,0.430
13220310133323,15.9718913,99.7888184,0.591,0.437
13220113223301,19.3837043,100.1403809,-0.139,0.443
13221212131311,14.8492310,105.4577637,0.339,0.459
13221201311103,15.9296380,104.0075684,0.446,0.441
13221023102010,17.8009957,103.4143066,-0.448,0.460
13221203102122,15.0402957,103.4582520,0.189,0.435
13221202102213,14.9978516,102.0300293,0.159,0.431
13221202010212,15.1675773,101.6564941,-0.152,0.408
13221220010032,13.8487469,101.6564941,0.123,0.446
13221210020100,16.2885057,104.1613770,0.519,0.429
13221212013332,14.9553991,104.7326660,0.684,0.443
13220112231033,19.5701418,99.0417480,-0.688,0.436
13221220213320,12.9296144,101.8762207,-0.031,0.433
13220113230322,19.4873072,100.2941895,0.295,0.463
13221220200302,13.1222796,101.3488770,0.365,0.400
13220313113032,15.0402957,101.1291504,-0.224,0.415
13221032023330,17.3401514,104.3811035,-0.339,0.433
13221210323030,15.4007275,104.9963379,-0.365,0.419
13222112231220,8.6136097,98.9758301,0.833,0.480
13221201233222,15.2947823,103.1945801,0.281,0.443
13222110030233,10.6714043,98.8659668,-0.012,0.421
13221203110200,15.1887835,103.7219238,0.071,0.441
13221032201210,17.2142640,104.2932129,-0.012,0.458
13221023013303,17.6963617,103.3044434,-0.126,0.436
13220131010110,19.3007745,100.3381348,-0.445,0.436
13222133112112,6.8064439,101.0412598,0.138,0.434
13222133031301,6.5663889,100.4919434,-0.457,0.448
13220330332311,12.6296178,99.6569824,-0.163,0.421
13220103331200,19.5494371,98.2727051,-0.243,0.475
13220311331202,15.5066188,101.0852051,0.021,0.451
13222121111330,8.2658549,98.4045410,-0.404,0.498
13221023303031,17.0882909,103.6120605,-0.890,0.439
13221023121321,17.5078668,103.6560059,-0.428,0.503
13221203210222,14.4453192,103.0187988,0.082,0.446
13221201133011,16.1197076,103.9636230,0.294,0.439
13220131320131,18.2606530,100.7116699,0.435,0.456
13222133010031,6.9591440,100.2722168,0.421,0.441
13220131223211,18.0518668,100.0964355,0.622,0.410
13220313312022,14.3601909,100.9094238,0.667,0.460
13221210302212,15.6759319,104.8205566,0.251,0.428
13221022210031,17.2562360,101.6784668,-0.185,0.428
13220112122033,20.0662507,99.2175293,-0.356,0.455
13221201022201,16.0352546,102.6892090,0.390,0.437
13221032033122,17.4030627,104.6887207,0.231,0.459
13220113203233,19.6529339,100.0964355,1.028,0.427
13220311323200,15.3583559,100.7336426,-0.052,0.449
13222133130311,6.5663889,101.0632324,-0.007,0.442
13221021323332,17.9891824,103.6779785,-0.465,0.419
13221203013203,14.9978516,103.2165527,0.657,0.445
13220312133123,14.7005081,99.7888184,0.115,0.426
13222110230113,10.1094859,98.9538574,0.196,0.461
13222131000122,8.3310827,99.9426270,0.452,0.459
13221023021210,17.5497715,102.8869629,0.391,0.446
13221210000032,16.5624922,104.1174316,-0.195,0.437
13221203003132,15.0402957,102.9748535,0.016,0.416
13222112230210,8.6570568,98.8439941,-0.027,0.465
13220310311110,15.9507657,99.8107910,0.286,0.446
13221023130322,17.4869108,103.8098145,-0.674,0.420
13221200103322,16.3095952,102.2277832,-0.440,0.428
13221200220131,15.5701276,101.4147949,0.091,0.429
13221203222011,14.0833011,102.7331543,0.504,0.453
13220310101323,16.4782298,99.4372559,-0.268,0.437
13222130113030,8.1788678,99.7229004,0.579,0.460
13221201000202,16.5203656,102.6672363,0.391,0.452
13222133112300,6.7409861,100.9973145,0.301,0.445
13220313222230,13.9553920,99.8986816,0.271,0.449
13220310113132,16.3939308,99.8107910,-0.279,0.441
13222130101231,8.2658549,99.3933105,-0.623,0.441
13221022033232,17.3191761,101.8322754,-0.153,0.445
13221201111113,16.6046096,104.0515137,0.112,0.450
13220332311223,11.7060306,99.7009277,0.625,0.424
13220312231303,14.1472288,99.0856934,-0.361,0.432
13220313230331,14.1259215,100.3601074,0.114,0.458
13220131121222,18.8231166,100.7336426,0.842,0.419
13220311010332,16.4782298,100.3381348,0.531,0.439
13220330102121,13.6993616,99.2614746,-0.875,0.464
13221022133200,17.3820946,102.4914551,0.498,0.458
13221022020202,17.5288204,101.2609863,-0.309,0.458
13220312201011,14.5942153,98.6901855,0.097,0.454
13220332111012,12.5223904,99.7229004,0.158,0.447
13220313332220,13.9553920,100.9094238,0.361,0.435
13220331120132,13.5071552,100.6896973,0.981,0.464
13222131203102,7.5040887,100.1184082,0.437,0.451
13221210201022,15.8873757,104.2492676,0.560,0.450
13221212310022,14.5304150,105.1281738,-0.280,0.442
13222112321201,8.6570568,99.3493652,0.226,0.436
13220112330211,19.5494371,99.5690918,-0.572,0.463
13220313000230,15.1463690,99.8986816,-0.630,0.420
13221023000303,17.8637468,102.7770996,1.169,0.466
13220310111303,16.5203656,99.7888184,-0.534,0.423
13220131202222,18.3232401,99.8547363,0.413,0.450
13221210233231,15.3159757,104.6667480,0.049,0.428
13222133031001,6.6536952,100.4040527,-0.437,0.468
13220311330003,15.5912928,100.9313965,-0.006,0.438
13221200210303,15.8451046,101.7224121,-0.265,0.443
13220331013313,13.6353101,100.5358887,0.887,0.429
13220131221310,18.2189158,100.1623535,0.719,0.463
13221023023033,17.4030627,102.9089355,0.040,0.473
13222131232212,7.0681852,100.2502441,0.577,0.463
13221210323020,15.4007275,104.9523926,0.284,0.438
13220331121132,13.5071552,100.8654785,0.272,0.449
13221222110202,12.4365763,102.3156738,0.291,0.424
13221023023133,17.4030627,102.9968262,-0.225,0.445
