quadkey,latitude,longitude,rwi,error
12310003232200,38.8824807,69.2687988,-0.210,0.294
12310002022202,39.4107325,67.5109863,-0.318,0.282
12310020313213,38.0394384,68.8073730,-0.105,0.288
12310021122230,38.2985586,69.6643066,0.287,0.312
12310030310101,38.2640625,71.4880371,-0.587,0.293
12310020113222,38.5567566,68.7414551,1.735,0.421
12310001120322,40.5889276,69.7082520,-0.353,0.309
12310030123213,38.3158005,71.2683105,-0.425,0.299
12310022012333,37.4486961,68.0163574,-1.313,0.303
12310020322210,37.7793981,68.2580566,-0.452,0.288
12310022130211,37.3614250,68.6315918,-0.283,0.325
12310021322011,37.8488320,69.6862793,0.212,0.309
12310021220220,37.8835245,68.9172363,0.039,0.352
12310001302012,40.2879061,69.6643066,1.264,0.358
12310020112032,38.6254535,68.6096191,-0.172,0.376
12310021312011,38.1259141,70.0378418,0.565,0.330
12310003332131,38.9166810,70.1257324,-0.026,0.326
12310021230003,37.9701842,69.2907715,-0.773,0.312
12310021030213,38.4535882,69.3347168,-0.323,0.288
12310003001032,39.8507204,69.1369629,-0.397,0.282
12310020111102,38.7969078,68.8293457,0.364,0.357
12310023010131,37.6751248,69.4226074,-0.193,0.311
12310020330113,37.9701842,68.7194824,0.081,0.364
12310010221310,40.1032854,70.6311035,0.865,0.360
12310022033132,37.2390748,68.1701660,0.306,0.327
12310020113300,38.6082854,68.8293457,0.295,0.361
12310021230323,37.8661803,69.3786621,-0.377,0.292
12310023023010,37.2915350,69.1369629,0.359,0.317
12310021100122,38.7626498,69.7082520,-0.175,0.300
12310023100223,37.5881183,69.6423340,-0.605,0.287
12310022030301,37.3614250,67.9724121,-0.635,0.326
12310023012302,37.4835760,69.3566895,-0.097,0.337
12310012232321,38.8482639,70.7849121,-0.318,0.279
12310021211132,38.2122875,69.5764160,-0.307,0.290
12310021310300,38.1950210,70.0598145,-0.184,0.294
12310020333301,37.7793981,68.8513184,0.536,0.295
12310002331021,39.0533176,68.7634277,-0.386,0.288
12310020102103,38.6597772,68.3239746,-0.323,0.286
12310021032322,38.2813126,69.3566895,-0.398,0.288
12310021200002,38.2468082,68.9172363,-0.575,0.323
12301113131322,39.5125165,67.4230957,-0.310,0.313
12310001223022,39.9855379,69.0930176,-0.384,0.326
12310030133102,38.3847272,71.6418457,-0.949,0.301
12310003133310,39.4277069,70.2795410,-0.596,0.268
12310022111023,37.6577316,68.7634277,-0.100,0.308
12310001223011,40.0360260,69.1589355,-0.145,0.286
12310003003202,39.6818255,69.0930176,-0.446,0.279
12310001032331,40.4720239,69.4226074,-0.240,0.376
12310021300321,38.1604758,69.7302246,-0.026,0.286
12310020330230,37.8835245,68.6096191,-0.101,0.308
12310032113113,37.5532871,71.7077637,0.142,0.312
12310003021111,39.6310763,69.2468262,-0.282,0.278
12310023002011,37.5707047,68.9831543,-0.588,0.300
12310021111121,38.7797809,70.2575684,-0.192,0.278
12310003230223,38.9679506,69.2907715,0.000,0.275
12310022102013,37.5532871,68.2800293,-0.140,0.297
12310021322312,37.7620294,69.7521973,-0.418,0.294
12310010012320,40.7389327,70.7629395,-0.446,0.314
12310020133101,38.4019486,68.8513184,-0.024,0.303
12310023000322,37.5881183,69.0051270,-0.672,0.314
12310020102232,38.5567566,68.2580566,0.351,0.381
12310023112111,37.5707047,70.1257324,-0.568,0.307
12310010023001,40.5722396,70.5212402,-0.854,0.272
12310020120212,38.4535882,68.2580566,-0.282,0.412
12310010202113,40.2879061,70.4772949,-0.367,0.410
12310021223220,37.7446566,69.0930176,0.039,0.287
12310001121230,40.6056115,69.8400879,-0.221,0.271
12310032112112,37.5532871,71.5100098,0.733,0.418
12310021033132,38.3502720,69.5764160,-0.138,0.299
12310002321313,39.0021098,68.5437012,-0.070,0.293
12310001221313,40.0864768,69.2468262,-0.316,0.273
12310020013213,38.5911133,68.1042480,-0.072,0.299
12310012231001,39.0874355,70.8728027,-0.159,0.280
12310020120030,38.5051909,68.2580566,0.127,0.462
12310003001330,39.8000954,69.2248535,0.016,0.272
12310021220230,37.8835245,68.9611816,-0.208,0.298
12310020313302,38.0394384,68.8293457,-0.882,0.314
12310021013220,38.5739370,69.4445801,-0.697,0.286
12310033011001,37.7098988,72.2790527,-0.752,0.300
12310023020200,37.3614250,68.9172363,0.042,0.296
12310001121120,40.6723055,69.8840332,-0.549,0.298
12310023010013,37.6925138,69.3347168,-0.454,0.307
12310002133223,39.3767715,68.7634277,-0.695,0.277
12310020133301,38.3330383,68.8513184,-0.575,0.303
12310012221111,39.0874355,70.6530762,0.101,0.304
12310022110111,37.7098988,68.7194824,-0.295,0.297
12310012001211,39.8338496,70.5651855,0.079,0.280
12310022121101,37.4312500,68.4997559,0.169,0.324
12132232222321,41.0047749,70.4333496,-0.291,0.267
12310023032101,37.2915350,69.3786621,-0.629,0.307
12310002122132,39.4446771,68.3459473,0.216,0.287
12310021323331,37.7446566,69.9499512,-0.019,0.292
12310003333020,38.9166810,70.1477051,-0.925,0.297
12310022111003,37.6925138,68.7634277,-0.399,0.323
12310012221132,39.0362524,70.6311035,-0.667,0.281
12310001212020,40.2711432,69.2687988,-0.336,0.294
12310003132033,39.4446771,70.0378418,-0.704,0.269
12310022112130,37.5358655,68.6975098,-0.525,0.302
12310010230211,40.1032854,70.7409668,0.801,0.434
12310010221223,40.0528471,70.5212402,-0.466,0.294
12310021212310,38.0567417,69.4006348,-0.283,0.308
12310023023330,37.1865781,69.2248535,0.127,0.301
12310001121300,40.6389668,69.8840332,-0.459,0.293
12310020121301,38.4707932,68.4997559,-0.521,0.305
12310021012321,38.5739370,69.3786621,0.159,0.342
12310012221120,39.0533176,70.5871582,0.310,0.283
12310001221000,40.1704783,69.0930176,0.012,0.270
12310020312103,38.1086272,68.6755371,-0.379,0.313
12301113131333,39.5125165,67.4890137,-0.374,0.286
12310021312201,38.0567417,69.9938965,0.106,0.294
12310020310133,38.2122875,68.7194824,-0.289,0.310
12310021111132,38.7626498,70.2795410,-0.367,0.282
12310022112201,37.5010099,68.5876465,-0.493,0.331
12310030333222,37.7272798,71.5539551,0.065,0.310
12310012213232,39.1044883,70.8947754,-0.174,0.292
12310021233033,37.7967627,69.5104980,-0.343,0.293
12310021201110,38.2640625,69.2248535,-0.380,0.314
12310021331111,37.9875039,70.3015137,-0.614,0.273
12310001320010,40.1704783,69.6643066,0.331,0.302
12310010223033,39.9855379,70.5651855,0.395,0.379
12310020313313,38.0394384,68.8952637,-0.290,0.424
12310021032330,38.2985586,69.4006348,-0.101,0.304
12310002032210,39.4277069,67.9064941,-0.131,0.289
12310021233323,37.7272798,69.5544434,0.203,0.331
12310021320202,37.9008646,69.6203613,0.236,0.323
12310010212323,40.1872662,70.7849121,-0.428,0.276
12310020120100,38.5395722,68.3020020,-0.183,0.372
12310003012200,39.6987336,69.2687988,-0.533,0.285
12310020110230,38.7112320,68.6096191,0.158,0.303
12310012221212,39.0021098,70.5432129,-0.597,0.307
12310010002321,40.7389327,70.4333496,0.226,0.320
12310003002130,39.7325375,69.0490723,0.027,0.278
12310022030311,37.3614250,68.0163574,-0.450,0.304
12310022113121,37.5358655,68.8513184,-0.449,0.302
12310010201233,40.3214195,70.5651855,0.581,0.340
12310003000112,39.8844497,69.0490723,-0.153,0.292
12310022121100,37.4312500,68.4777832,-0.010,0.333
12310003000302,39.8169746,69.0051270,-0.161,0.316
12310020103320,38.5739370,68.4777832,0.320,0.360
12310020310011,38.2640625,68.6315918,-0.165,0.287
12310020102023,38.6254535,68.2360840,0.265,0.299
12310010230033,40.1200899,70.7409668,-0.069,0.374
12310020313013,38.1086272,68.8073730,-0.235,0.301
12310022130031,37.3963456,68.6315918,-0.225,0.347
12310001221011,40.1704783,69.1589355,-0.449,0.288
12310020131130,38.5051909,68.8732910,0.706,0.383
12310002203211,39.1556219,67.7526855,-0.231,0.295
12310020123122,38.3502720,68.4777832,0.077,0.312
12310020333310,37.7793981,68.8732910,0.365,0.314
12310020133121,38.3675016,68.8513184,-0.095,0.301
12310030310211,38.1950210,71.4440918,-0.178,0.311
12310021220211,37.9182006,68.9831543,0.044,0.360
12310030131210,38.4707932,71.5979004,-0.647,0.285
12310021222312,37.7620294,69.0490723,-0.350,0.304
12310030330120,37.9528604,71.4660645,-0.424,0.313
12310022110301,37.6403344,68.6755371,0.108,0.313
12310001302130,40.2711432,69.7521973,-0.184,0.500
12310032113210,37.5010099,71.5979004,0.601,0.501
12310021101111,38.8140306,69.9499512,-0.259,0.298
12310021320123,37.9355326,69.7302246,-0.163,0.317
12310020123130,38.3675016,68.5217285,-0.398,0.302
12310020103131,38.6426174,68.5437012,0.305,0.351
12310003001321,39.8000954,69.2028809,-0.106,0.318
12310022103011,37.5707047,68.4558105,-0.282,0.395
12310021010233,38.6940845,69.3347168,-0.297,0.308
12310021331203,37.9008646,70.1696777,0.179,0.425
12310021303002,38.1086272,69.7961426,-0.002,0.398
12310022103102,37.5532871,68.4777832,-0.132,0.337
12310002132330,39.3937541,68.6975098,0.017,0.294
12310002132320,39.3937541,68.6535645,0.008,0.277
12310021332020,37.8141232,69.9719238,-0.181,0.302
12310032112132,37.5184397,71.5100098,0.473,0.395
12310020103302,38.5911133,68.4777832,-0.275,0.318
12310010022012,40.5555474,70.3674316,-0.827,0.354
12310021002212,38.5911133,68.9611816,0.276,0.350
12310021213222,38.0048195,69.4445801,0.002,0.287
12310022031121,37.3963456,68.1481934,-0.281,0.339
12310023003123,37.5184397,69.2028809,-0.284,0.295
12310000330113,40.1536863,68.7194824,0.358,0.314
12310021332003,37.8314796,69.9938965,-0.254,0.310
12310020313323,38.0048195,68.8513184,0.513,0.284
12310021302102,38.1086272,69.7082520,0.053,0.283
12310010012213,40.7555791,70.7409668,-0.684,0.274
12310001222123,39.9855379,69.0270996,-0.109,0.373
12310002111233,39.7832122,68.8073730,0.497,0.363
12310001203220,40.2040499,69.0930176,-0.581,0.306
12310021022100,38.4019486,69.0051270,0.176,0.302
12310021231131,37.9528604,69.5983887,0.065,0.287
12310021313121,38.0913361,70.2575684,-0.296,0.298
12310021002032,38.6254535,68.9611816,0.629,0.331
12310003232220,38.8482639,69.2687988,-0.088,0.294
12310022110211,37.6403344,68.6315918,-0.295,0.391
12310001300103,40.4218598,69.7302246,-0.445,0.300
12310022033010,37.2915350,68.0822754,-0.525,0.307
12310020310320,38.1604758,68.6535645,-0.203,0.314
12310002210013,39.3427939,67.9284668,-0.481,0.281
12310032310330,37.0464084,71.5100098,-0.353,0.286
12310022111033,37.6577316,68.8073730,-0.088,0.335
12310020113001,38.6769329,68.7634277,0.530,0.415
12310022013120,37.5358655,68.1262207,-0.069,0.338
12310020131013,38.5223836,68.8073730,0.819,0.447
12310021303112,38.1086272,69.9279785,-0.211,0.289
12310001230003,40.1536863,69.2907715,-0.179,0.308
12310022112033,37.5184397,68.6315918,-0.450,0.323
12310001320031,40.1368902,69.6862793,0.128,0.347
12310002023233,39.3767715,67.7526855,-0.148,0.292
12310021323323,37.7272798,69.9060059,-0.210,0.302
12310002110310,39.8338496,68.6975098,-0.395,0.295
12310001233210,39.9687002,69.4885254,-0.527,0.310
12310022111221,37.6055277,68.7634277,-0.759,0.297
12310032132301,37.2215800,71.4880371,-0.016,0.289
12310003332200,38.8824807,69.9719238,-0.029,0.370
12310022033031,37.2565656,68.1042480,0.403,0.393
12310023011131,37.6751248,69.5983887,-0.168,0.381
12310003323220,38.8482639,69.7961426,0.035,0.320
12310020120202,38.4535882,68.2141113,-0.279,0.350
12310002312020,39.1896903,68.5656738,0.054,0.350
12310020111221,38.7112320,68.7634277,-0.053,0.346
12310010222311,39.9687002,70.4772949,0.377,0.381
12310020332231,37.7446566,68.6315918,-0.020,0.484
12310001220113,40.1536863,69.0710449,-0.443,0.269
12310022112211,37.5010099,68.6315918,-0.302,0.376
12310001231102,40.1536863,69.5324707,-0.132,0.352
12310021300131,38.2295499,69.7741699,-0.128,0.302
12310021323000,37.8488320,69.7961426,-0.243,0.309
12310022133000,37.2915350,68.7414551,-0.405,0.283
12310021122201,38.3330383,69.6423340,-0.625,0.287
12310003222113,38.9337750,69.0710449,-0.776,0.277
12310020120013,38.5223836,68.2800293,-0.474,0.361
12310022033320,37.1865781,68.1262207,-0.226,0.310
12310022211030,37.1165257,68.0822754,-0.222,0.281
12310001012332,40.7222822,69.4006348,0.048,0.286
12310020111232,38.6940845,68.7854004,0.599,0.378
12310021212101,38.1259141,69.3786621,0.111,0.386
12310021331010,37.9875039,70.1916504,-0.660,0.284
12310023000122,37.6577316,69.0051270,-0.492,0.410
12310020113310,38.6082854,68.8732910,0.042,0.322
12310002123202,39.4107325,68.3898926,-0.306,0.286
12310020121132,38.4879941,68.5217285,-0.453,0.299
12310023012321,37.4661381,69.3786621,0.066,0.346
12310010020332,40.5889276,70.4553223,-0.408,0.292
12310021212121,38.0913361,69.3786621,-0.332,0.304
12310002021232,39.5125165,67.7307129,-0.399,0.308
12310003000103,39.8844497,69.0270996,-0.183,0.355
12310020102302,38.5911133,68.3020020,0.299,0.299
12310022033120,37.2565656,68.1262207,0.388,0.428
12310012001030,39.8675871,70.5432129,-0.171,0.390
12310001300313,40.3549162,69.7741699,-0.374,0.304
12310023011213,37.6229331,69.5104980,-0.314,0.301
12310020331133,37.9355326,68.8952637,0.128,0.300
12310021201111,38.2640625,69.2468262,-0.411,0.317
12310002333332,38.8311493,68.8732910,-0.004,0.308
12310021323113,37.8314796,69.9499512,0.242,0.302
