quadkey,latitude,longitude,rwi,error
12123232010000,42.0248131,59.4250488,0.003,0.376
12300112120330,39.5294660,54.2834473,-0.413,0.398
12301103221232,38.9679506,63.5119629,0.287,0.569
12301103203310,39.1556219,63.5998535,0.310,0.587
12301103232122,38.8995829,63.7316895,-0.066,0.392
12301020133320,38.2985586,57.5793457,0.056,0.369
12123232120302,41.6811170,59.8645020,0.118,0.332
12123232011020,41.9921597,59.6008301,-0.533,0.372
12123232112230,41.7958876,60.1721191,-0.184,0.381
12301131223123,37.7967627,66.3903809,-0.602,0.384
12301133020011,37.4312500,66.1706543,-0.192,0.553
12301002113223,39.6479968,57.5134277,-0.711,0.377
12301130302110,38.1259141,65.5334473,-0.528,0.389
12301130233211,37.7793981,65.2917480,-0.604,0.418
12123232100121,41.9921597,59.8864746,-0.590,0.392
12301020132033,38.3502720,57.3815918,-0.342,0.367
12301011232121,40.0023714,60.9411621,0.668,0.376
12300130033010,38.4019486,54.0197754,-0.139,0.382
12301300310230,35.9157469,62.9846191,0.077,0.387
12301122010001,37.7098988,62.2595215,-0.602,0.388
12301121102302,38.5911133,64.0832520,-0.198,0.398
12301130203002,38.1086272,64.8742676,-0.334,0.397
12301000232011,40.0360260,56.6784668,-0.489,0.356
12301121011102,38.7969078,63.9074707,0.130,0.452
12301122030330,37.3264881,62.3693848,-0.355,0.403
12301033110231,37.6055277,61.6003418,0.414,0.486
12301103232030,38.9166810,63.6877441,-0.268,0.400
12301021230120,37.9528604,58.1066895,0.153,0.573
12300101320212,40.0864768,52.7893066,-0.085,0.389
12300113211320,39.2577776,55.4699707,-0.584,0.388
12123221311203,42.4639923,58.9196777,0.050,0.381
12301021213321,38.0221310,58.3044434,-0.142,0.504
12123232123120,41.5990125,60.0402832,-0.398,0.375
12123232121211,41.6975254,60.0183105,-0.645,0.371
12123230220112,42.2691790,59.2053223,-0.347,0.371
12300101322013,40.0192008,52.8112793,-0.015,0.387
12301020021330,38.4363791,56.5686035,0.574,0.351
12301122010303,37.6229331,62.3474121,-0.067,0.394
12123232031121,41.7303295,59.7106934,0.123,0.372
12301122001312,37.6229331,62.1936035,0.111,0.507
12301130221131,37.9528604,65.0280762,-0.274,0.402
12301121011132,38.7626498,63.9514160,-0.367,0.407
12301122030121,37.3963456,62.3474121,-0.110,0.425
12123232010321,41.9268027,59.5349121,-0.909,0.388
12301122211032,37.0990024,62.4572754,-0.630,0.396
12123232010330,41.9268027,59.5568848,-0.420,0.374
12301021231101,37.9875039,58.3044434,0.131,0.566
12123232121231,41.6647045,60.0183105,0.006,0.408
12301121123113,38.3847272,64.3249512,0.277,0.401
12123232031113,41.7467253,59.7546387,-0.396,0.373
12123230232000,42.1552589,59.4250488,-0.576,0.369
12300112120132,39.5802898,54.2834473,-0.153,0.468
12123232100032,41.9758267,59.8205566,0.239,0.374
12123221303211,42.3504246,58.6120605,0.033,0.388
12301122000111,37.7098988,62.0397949,0.025,0.390
12301103221013,39.0703786,63.5339355,0.286,0.565
12301033201311,37.0814751,60.8093262,-0.190,0.394
12300110232231,39.9350124,53.8659668,-0.099,0.402
12301103221201,39.0191832,63.4899902,0.088,0.408
12301122021002,37.4137998,62.0617676,0.112,0.377
12123230322331,42.0574497,59.9304199,-0.319,0.393
12301130200312,38.1777505,64.8303223,-0.060,0.401
12301132010233,37.5881183,65.1159668,-0.379,0.414
12300132120320,37.3264881,54.2395020,0.100,0.379
12301003332322,38.8311493,58.8098145,-0.565,0.366
