quadkey,latitude,longitude,rwi,error
31011221021220,-8.8959258,125.3430176,-0.601,0.381
31011221113013,-8.6136097,126.4636230,0.120,0.380
31011221022002,-8.9610451,125.1672363,-0.519,0.392
31011221200203,-9.2214045,125.1892090,-0.391,0.389
31011221111130,-8.4615055,126.5295410,-0.013,0.480
31011230003021,-8.6353339,126.7712402,-0.478,0.388
31011221111230,-8.5484296,126.4416504,-0.514,0.546
31011221001333,-8.5701576,125.4968262,0.614,0.515
31011221131302,-8.8742168,126.4855957,-0.738,0.499
31011221030331,-8.8959258,125.6726074,-0.024,0.374
31011221003032,-8.6570568,125.3869629,-0.552,0.402
31011221111220,-8.5484296,126.3977051,-0.486,0.505
31011221033131,-8.9827489,125.8483887,-0.807,0.375
31011221102221,-8.7222181,125.8923340,-0.427,0.378
31011220132311,-9.0261526,124.9694824,-0.514,0.387
31011221020013,-8.7873681,125.2331543,-0.741,0.396
31011221113300,-8.6787785,126.4855957,-0.231,0.381
31011221012010,-8.5918843,125.5627441,-0.257,0.470
31011221113201,-8.6787785,126.4196777,-0.717,0.378
31011221021310,-8.8525066,125.4748535,-0.384,0.377
31011221201133,-9.1780244,125.4968262,-0.406,0.415
31011230002213,-8.7004990,126.6394043,-0.408,0.383
31011221033020,-8.9827489,125.6945801,-0.419,0.494
31011221030133,-8.8307950,125.6726074,0.056,0.559
31011221032302,-9.0478525,125.6066895,-0.585,0.388
31011221202100,-9.2864645,125.2551270,-0.484,0.496
31011221033012,-8.9610451,125.7385254,-0.255,0.378
31011221011133,-8.4832384,125.8483887,0.791,0.463
31011221012103,-8.6136097,125.6286621,0.109,0.457
31011221102001,-8.5918843,125.8923340,-0.545,0.380
31011221022111,-8.9393399,125.3210449,-0.317,0.490
31011221110120,-8.4615055,126.3098145,0.249,0.506
31011221002121,-8.6353339,125.2770996,-0.116,0.398
31011221023223,-9.0912484,125.3649902,-0.528,0.514
31011221100022,-8.4832384,125.8703613,-0.044,0.482
31011220133110,-8.9393399,125.1232910,-0.406,0.379
31011220133030,-8.9827489,125.0354004,-0.456,0.436
31011221210010,-9.1129444,125.5627441,-0.604,0.407
31011220113303,-8.7004990,125.1013184,-0.069,0.445
31011221032031,-8.9827489,125.5847168,-0.632,0.423
31011221122201,-9.0261526,125.8923340,-0.418,0.387
31011221112333,-8.7439361,126.3757324,0.237,0.507
31011221121133,-8.8307950,126.1999512,-0.375,0.451
31011220211310,-9.1997151,124.4201660,-0.247,0.415
31011230010221,-8.5484296,126.9470215,-0.065,0.444
31011212223331,-8.3745618,126.9030762,-0.218,0.467
31011220212313,-9.3948711,124.2663574,-0.800,0.387
31011220211330,-9.2430925,124.4201660,-0.575,0.385
31011230002313,-8.7004990,126.7272949,-0.258,0.393
31011221111223,-8.5701576,126.4196777,-0.569,0.445
31011221211003,-9.1346391,125.7165527,-0.225,0.397
31011221123110,-8.9393399,126.1779785,-0.684,0.379
31011221130333,-8.9176335,126.3757324,-0.757,0.384
31011221002133,-8.6570568,125.3210449,-0.514,0.398
31011230010013,-8.4397714,126.9909668,0.199,0.501
31011221020223,-8.9176335,125.1892090,-0.256,0.530
31011221032310,-9.0261526,125.6506348,-0.565,0.462
31011230010002,-8.4397714,126.9250488,-0.586,0.430
31011221110131,-8.4615055,126.3757324,-0.499,0.427
31011221130133,-8.8307950,126.3757324,-0.180,0.482
31011221031131,-8.8090822,125.8483887,-0.420,0.393
31011221032001,-8.9393399,125.5407715,-0.155,0.425
31011220311311,-9.1997151,125.1452637,-0.639,0.390
31011220213222,-9.4382242,124.2883301,-0.328,0.395
31011221031003,-8.7873681,125.7165527,-0.392,0.375
31011221020131,-8.8090822,125.3210449,0.237,0.485
31011221130331,-8.8959258,126.3757324,-0.493,0.418
31011220132310,-9.0261526,124.9475098,-0.813,0.387
31011221200112,-9.1346391,125.2990723,-0.756,0.394
31011221100313,-8.5267005,126.0241699,-0.625,0.468
31011220211323,-9.2647792,124.3981934,-0.418,0.387
31011221120012,-8.7873681,125.9143066,-0.337,0.395
31011221023210,-9.0261526,125.3869629,-0.326,0.475
31011203232000,-8.2441099,125.5187988,-0.544,0.383
31011221121232,-8.9176335,126.0900879,-0.345,0.385
31011221032300,-9.0261526,125.6066895,-0.936,0.407
31011221021112,-8.7873681,125.4748535,-0.464,0.384
31011221011221,-8.5484296,125.7165527,-0.607,0.539
31011221132003,-8.9610451,126.2438965,-0.336,0.381
31011221022113,-8.9610451,125.3210449,-0.289,0.397
31011221030311,-8.8525066,125.6726074,-0.279,0.488
31011230001222,-8.5701576,126.7492676,-0.555,0.384
31011220212331,-9.4165483,124.2663574,-0.535,0.395
31011230002310,-8.6787785,126.7053223,-0.283,0.379
31011220211230,-9.2430925,124.3322754,-0.319,0.507
31011221200012,-9.1346391,125.2111816,0.029,0.413
31011220113331,-8.7222181,125.1452637,-0.157,0.436
31011221100323,-8.5701576,125.9802246,-0.555,0.405
31011220133031,-8.9827489,125.0573730,0.269,0.391
31011221200333,-9.2647792,125.3210449,-0.217,0.461
31011203230301,-8.1571180,125.6286621,-0.194,0.373
31011221113120,-8.6353339,126.4855957,-0.597,0.377
31011221012031,-8.6353339,125.5847168,-0.079,0.446
31011221023032,-9.0044514,125.3869629,-0.176,0.433
31011230020101,-8.7656527,126.6833496,-0.299,0.458
31011221202031,-9.3298312,125.2331543,-0.155,0.481
31011221022122,-9.0044514,125.2551270,-0.518,0.602
31011221033031,-8.9827489,125.7604980,-0.120,0.381
31011220212033,-9.3515125,124.1784668,-0.742,0.384
31011220213011,-9.2864645,124.3542480,0.487,0.472
31011221020233,-8.9176335,125.2331543,-0.472,0.396
31011221032230,-9.0695511,125.5627441,-0.436,0.407
31011221010322,-8.5701576,125.6066895,0.787,0.554
31011221013102,-8.6136097,125.7824707,-0.676,0.397
31011230003231,-8.7222181,126.8151855,-0.039,0.472
31011221121103,-8.7873681,126.1560059,-0.597,0.406
31011221031100,-8.7656527,125.7824707,-0.366,0.381
31011220211222,-9.2647792,124.2883301,-0.613,0.389
31011221112130,-8.6353339,126.3537598,-0.534,0.388
31011230000221,-8.5484296,126.5954590,-0.425,0.437
31011221002213,-8.7004990,125.2331543,-0.014,0.391
31011230003300,-8.6787785,126.8371582,-0.270,0.400
31011220212133,-9.3515125,124.2663574,-0.757,0.411
31011221002222,-8.7439361,125.1672363,0.009,0.405
31011221020031,-8.8090822,125.2331543,-0.100,0.383
31011221111012,-8.4397714,126.4416504,-0.020,0.469
31011221201023,-9.1780244,125.3649902,-0.443,0.392
31011230000332,-8.5701576,126.7053223,-0.520,0.383
31011221202032,-9.3515125,125.2111816,-0.695,0.518
31011221113102,-8.6136097,126.4855957,-0.287,0.490
31011221032202,-9.0478525,125.5187988,-0.116,0.423
31011230010303,-8.5267005,127.0349121,0.147,0.395
31011221011321,-8.5484296,125.8044434,-0.691,0.413
31011221031212,-8.8742168,125.7385254,-0.386,0.386
31011221030323,-8.9176335,125.6286621,-0.529,0.406
31011220131303,-8.8742168,125.1013184,-0.427,0.403
31011221003012,-8.6136097,125.3869629,-0.051,0.462
31011221012121,-8.6353339,125.6286621,-0.351,0.504
31011221023220,-9.0695511,125.3430176,-0.450,0.515
31011221123003,-8.9610451,126.0681152,-0.482,0.398
31011221023302,-9.0478525,125.4309082,-0.535,0.391
31011230002211,-8.6787785,126.6394043,-0.680,0.383
31011221130202,-8.8742168,126.2219238,-0.501,0.398
31011221012011,-8.5918843,125.5847168,0.379,0.478
31011221121311,-8.8525066,126.1999512,-0.820,0.388
31011220211123,-9.1780244,124.3981934,-0.174,0.502
