quadkey,latitude,longitude,rwi,error
12200313231120,34.5518109,10.4699707,-0.505,0.386
12200310221131,35.7019162,8.7780762,-0.784,0.355
12200333013311,32.9072618,10.5358887,0.130,0.369
12200310211220,35.9157469,8.9758301,-0.430,0.421
12200330213011,33.5688607,9.0417480,-0.278,0.389
12200312112132,35.2545905,9.6350098,0.091,0.338
12200313123201,34.9489902,10.7556152,-0.206,0.511
12200311022332,36.0402154,9.9865723,-0.486,0.468
12200313130302,35.0749644,10.9973145,-0.326,0.503
12200312330020,34.5518109,9.5031738,-0.841,0.350
12200312312303,34.6422466,9.6130371,-0.387,0.391
12200311201011,36.0224462,10.0964355,-0.522,0.445
12200310233122,35.5411658,9.0637207,0.668,0.541
12200311222322,35.4696175,9.9426270,-0.550,0.419
12200313230133,34.5337119,10.3601074,-0.173,0.383
12200132330131,36.8356677,9.6569824,-0.494,0.426
12200312203200,34.6603219,8.6242676,-0.512,0.342
12200312033111,35.0209992,9.1296387,-0.393,0.340
12200331201233,33.5871669,10.0964355,-0.341,0.391
12200310313330,35.7732571,9.8107910,-0.857,0.363
12200310301112,36.0046730,9.4592285,-0.681,0.398
12200310331322,35.6126503,9.7668457,-0.466,0.387
12200133032220,37.1865781,10.2062988,0.798,0.559
12200313021113,35.1468624,10.1843262,-0.261,0.352
12200312010032,35.3980054,8.8439941,-0.294,0.384
12200330110113,34.2799139,9.6569824,-0.573,0.331
12200133323130,36.6948504,10.8654785,-0.071,0.485
12200331211312,33.6237675,10.5139160,0.130,0.423
12200313211220,34.7686910,10.3820801,-0.435,0.362
12200311203222,35.7554279,10.0305176,-0.449,0.430
12200311232210,35.5232847,10.2502441,-0.113,0.466
12200133303233,36.8884075,10.7995605,0.742,0.491
12200310131033,36.2531327,9.7448730,-0.550,0.407
12200313121131,35.1288938,10.8874512,-0.288,0.523
12200313020033,35.1109213,9.9206543,-0.599,0.385
12200313223013,34.4250356,10.0964355,-0.211,0.401
12200331203030,33.5322367,10.0744629,0.084,0.323
12200311233123,35.5411658,10.4919434,-0.633,0.385
12200331213311,33.4955973,10.5358887,-0.224,0.497
12200311202223,35.7554279,9.8767090,-0.338,0.448
12200330313111,33.5688607,9.8327637,-0.501,0.314
12200310022322,36.0402154,8.5363770,-0.403,0.380
12200311033120,36.1290012,10.4699707,-0.156,0.577
