quadkey,latitude,longitude,rwi,error
30011023303020,-5.1456567,36.0461426,-0.404,0.346
30011233111331,-9.9363874,39.3640137,-0.564,0.485
30010331213032,-9.3515125,32.9260254,-0.344,0.344
30011232322020,-11.0598206,37.2766113,-0.429,0.321
30011002222110,-2.6467632,33.8928223,-0.020,0.304
30011023320133,-5.3425828,36.0241699,-0.760,0.330
30010312332203,-8.3528229,32.0251465,-0.609,0.319
30010331003302,-8.7004990,32.6184082,-0.689,0.305
30010133021202,-4.6859294,32.5305176,-0.406,0.345
30011002230323,-2.6248138,34.2224121,-0.183,0.340
30011322300133,-10.5634219,40.2429199,-0.353,0.308
30011033300221,-5.0581143,38.7048340,-0.449,0.306
30011022202231,-5.2331870,33.8269043,-0.579,0.329
30011020203012,-3.7217452,33.9807129,-0.187,0.331
30010131012101,-2.9978987,32.8161621,0.089,0.310
30011211332210,-6.9373327,39.0783691,-0.328,0.427
30011201012012,-5.8236865,35.5627441,-0.634,0.331
30011220130231,-8.8959258,34.8815918,-0.397,0.328
30010133222121,-5.4957038,32.4645996,-0.555,0.327
30010113333212,-2.7565043,33.6291504,-0.270,0.347
30010103330313,-2.5809138,30.7507324,-0.357,0.292
30011202331300,-8.1571180,35.0793457,-0.563,0.315
30011023322211,-5.5394455,35.9362793,-1.122,0.352
30011202313013,-7.9177932,35.0573730,-0.378,0.316
30010132313112,-5.1237722,32.3107910,-0.387,0.331
30011210323003,-6.8718928,37.4743652,-0.498,0.355
30011233223221,-11.1460662,38.1774902,-0.502,0.305
30011033233132,-5.5175751,38.6389160,-1.043,0.302
30010132303022,-5.1675404,31.8273926,-0.406,0.309
30011212101003,-7.0463790,37.4743652,-0.546,0.325
30010112230211,-2.5589632,31.3659668,-0.409,0.296
30010131232031,-4.0944111,32.7722168,-0.150,0.339
30010330101103,-8.4397714,31.9372559,-0.121,0.326
30011232212201,-10.7577626,36.9470215,0.664,0.457
30010132303111,-5.1018870,31.9812012,-0.650,0.315
30011002203331,-2.4272521,34.0905762,-0.477,0.308
30011003032332,-2.0979197,35.6506348,0.010,0.334
30011200012321,-5.9329721,34.2224121,-0.371,0.324
30011233031220,-10.2824911,38.5070801,-0.708,0.308
30010133211112,-4.9486696,33.0139160,-0.077,0.346
30011322202102,-10.6929962,39.4738770,-0.553,0.345
30010123210212,-5.0362268,29.9377441,-0.583,0.306
30011201011000,-5.6269192,35.6945801,-0.316,0.356
30010133021323,-4.7297265,32.6403809,-0.531,0.331
30011021211022,-3.5901776,35.6945801,-0.588,0.337
30011212030012,-7.3951528,36.9689941,0.451,0.473
30011220111211,-8.5049700,35.0573730,0.271,0.444
30010133200303,-5.0362268,32.4645996,-0.413,0.328
30011213133223,-7.7001044,39.2321777,-0.173,0.335
30010110221310,-1.1534865,31.2561035,-0.472,0.301
30011023012123,-4.4669035,35.6286621,-0.486,0.336
30011022122313,-4.8611009,34.6179199,-0.325,0.332
30010310022301,-6.2388552,31.0583496,-0.324,0.331
30010130010300,-2.9101249,31.3879395,-0.377,0.300
30011021232221,-4.1820725,35.5407715,-0.077,0.354
30011210331202,-6.7846256,37.8039551,-0.028,0.400
30011233303230,-10.8009324,38.9025879,-0.225,0.313
30011211203210,-6.5882169,38.1994629,-0.490,0.325
30011233122112,-10.3473437,38.8146973,-0.527,0.315
30010133202023,-5.1675404,32.3767090,-0.331,0.329
30011210332111,-6.8500775,37.7819824,-0.574,0.378
30010131230333,-4.0286586,32.8601074,-0.553,0.328
30010131230332,-4.0286586,32.8381348,-0.774,0.325
30011211132111,-6.1514779,39.1882324,1.147,0.490
30011322211122,-10.5634219,40.0012207,-0.170,0.334
30011032232330,-5.5831840,37.0568848,-0.440,0.327
30011022130221,-4.7078283,34.8376465,-0.370,0.341
30010130102033,-3.0637244,31.7175293,-0.529,0.299
30011210203121,-6.5445599,36.8591309,-0.280,0.324
30011220322200,-9.7198857,34.4641113,-0.427,0.321
30011000230231,-1.1974226,34.1784668,0.053,0.303
30010313210113,-7.7436512,32.8601074,-0.774,0.307
30011201222000,-6.8500775,35.1672363,-0.815,0.323
30010130122012,-3.3708564,31.6955566,-0.368,0.309
30010132311211,-5.0143386,32.2448730,-0.638,0.334
30013001131132,-11.5984314,36.5295410,-0.804,0.299
30010121321012,-3.8971380,30.4650879,-0.105,0.309
30011221200322,-9.2647792,35.2551270,-0.388,0.350
30010330101202,-8.5267005,31.8273926,-0.319,0.313
30010113220333,-2.6248138,32.5085449,-0.299,0.307
30011020322012,-4.0724942,34.5080566,-0.296,0.345
30011222100030,-9.8498038,34.5080566,-0.542,0.328
30011030312212,-3.8094460,37.6721191,-0.521,0.321
30011022133201,-4.8392069,35.0134277,-0.241,0.332
30011222331132,-10.9088300,35.1232910,-0.034,0.315
30011200001031,-5.6706511,34.0026855,-0.087,0.340
30010132113022,-4.4669035,32.1789551,-0.309,0.307
30010131023223,-3.5024552,32.5524902,-0.431,0.313
30011232330310,-10.9304048,37.7600098,-0.682,0.308
30011033323123,-5.5175751,38.9685059,0.000,0.423
30010133003030,-4.4449973,32.5744629,-0.374,0.329
30011023102132,-4.4669035,36.0021973,-0.341,0.320
30010113331303,-2.5809138,33.6950684,0.326,0.334
30011220212321,-9.4165483,34.2224121,-0.318,0.338
30011322022310,-10.4121830,39.5178223,-0.026,0.312
30013000111103,-11.2107336,35.1013184,-0.170,0.301
30010133223120,-5.4957038,32.6184082,0.250,0.325
30010331000322,-8.5701576,32.4426270,-0.653,0.331
30011021203203,-3.8094460,35.3649902,-0.303,0.326
30010131011011,-2.8223442,32.9479980,-0.210,0.321
30011020012232,-3.1514858,34.1564941,-0.321,0.315
30010131200020,-3.5682478,32.3547363,-0.462,0.310
30011223001212,-9.9147437,35.3869629,-0.605,0.312
30010331031030,-8.8090822,32.9260254,-0.444,0.315
30011030022013,-3.3708564,36.6394043,0.371,0.425
30010313320310,-8.1571180,33.1896973,-0.421,0.313
30011202333002,-8.2658549,34.9914551,-0.215,0.354
30011223200223,-10.6498109,35.1892090,-0.815,0.324
