quadkey,latitude,longitude,rwi,error
12233220201130,2.0540032,34.0686035,-0.305,0.326
12232330012232,2.4711573,31.3439941,0.129,0.398
12232331313322,1.7685179,33.6730957,-0.566,0.333
12232332302210,0.4284628,31.6955566,-0.277,0.350
30010110003330,-0.3186019,31.2561035,-0.241,0.339
12233222030012,1.0216743,34.1564941,-0.366,0.366
12232332102013,1.1974226,31.7175293,0.199,0.365
12232333311302,0.5822654,33.6730957,-0.117,0.329
12232313030321,3.7217452,32.8161621,-0.498,0.354
12232331110003,2.7784514,33.4313965,-0.439,0.337
30010101220123,-1.1315182,29.6520996,-0.279,0.311
12232332220302,0.2307123,31.0363770,-0.387,0.331
12232332300211,0.6042368,31.7175293,-0.102,0.359
12232331330331,1.6147764,33.5632324,-0.487,0.335
12232332122212,0.7580345,31.6955566,-0.658,0.347
12232331113002,2.6028640,33.5852051,-0.440,0.344
12232332303101,0.5163504,31.9372559,0.158,0.371
12232303331112,3.1295462,30.9045410,-0.354,0.349
30010101320013,-1.0875811,30.3112793,-0.353,0.334
30010111020030,-0.4064907,32.3986816,-0.416,0.348
12232330322030,1.5269188,31.6955566,-0.464,0.350
12232333300212,0.5822654,33.1018066,-0.124,0.376
12233202210303,3.3927908,34.2224121,-0.363,0.342
30010101131302,-0.4724067,30.8605957,-0.242,0.358
12233220032230,2.1418349,34.1564941,-0.429,0.344
12232323303111,0.5163504,30.5749512,-0.600,0.329
12232323331313,0.2307123,30.9265137,-0.462,0.343
30010101201013,-0.7360637,29.7839355,-0.335,0.330
12232331310220,1.9661667,33.4094238,-0.326,0.334
12232332223010,0.1647947,31.1682129,-0.422,0.326
30010101113322,-0.3405742,30.8605957,-0.718,0.339
12232330030031,2.4052990,31.3659668,-0.953,0.346
12233220323103,1.5488836,34.7497559,-0.582,0.324
12232331222322,1.4170918,32.4426270,0.096,0.352
12233220201031,2.0540032,34.0026855,-0.433,0.327
12232313213001,3.3269861,32.9040527,0.575,0.463
12232332012201,1.1315182,31.3220215,-0.127,0.362
12232332103022,1.1534865,31.8273926,-0.681,0.342
12232313231122,3.0856655,32.9699707,-0.401,0.345
12232323122201,0.7800052,30.2673340,-0.303,0.357
12232331132322,2.1198775,33.4973145,-0.046,0.345
12232312322102,2.9540126,31.7395020,-0.351,0.349
12232332322220,0.0329590,31.6516113,-0.512,0.363
12233220213113,1.9002862,34.4421387,-0.289,0.331
12232332123223,0.7140928,31.8493652,-0.369,0.342
12233220203021,1.8783255,33.9587402,-0.232,0.329
12232313322231,2.8442900,33.1237793,-0.249,0.343
12232333200111,0.6921218,32.5085449,0.093,0.419
12232332212000,0.5163504,31.3000488,-0.464,0.365
30010101103012,-0.2087398,30.4650879,-0.388,0.346
30010101113032,-0.2526847,30.8166504,0.147,0.324
12232333330302,0.2307123,33.4973145,0.081,0.359
12232333302100,0.5163504,33.1457520,0.363,0.412
30010101130332,-0.5163504,30.7287598,0.558,0.454
12232332303123,0.4504348,31.9372559,-0.488,0.349
12232330000001,2.8003980,30.9704590,-0.111,0.332
12232323312212,0.4064907,30.6408691,-0.373,0.334
12232333120223,0.8898568,33.0798340,-0.103,0.368
12232333000112,1.3731595,32.4865723,0.066,0.384
12232331022010,2.2735730,32.3986816,-0.047,0.351
30010101313132,-0.9557662,30.9045410,-0.643,0.348
12233220102301,2.5370123,34.5739746,-0.464,0.331
12232333202122,0.4504348,32.4426270,0.051,0.399
12232323313131,0.4724067,30.9265137,-0.059,0.352
30010101320001,-1.0656124,30.2673340,-0.479,0.332
30010101210003,-0.7360637,29.9157715,-0.432,0.366
30010111010300,-0.0988769,32.7941895,-0.211,0.332
12232313230222,2.9978987,32.7062988,-0.346,0.338
12232332323012,0.1428221,31.8713379,-0.404,0.343
12232332102230,1.0875811,31.6955566,-0.484,0.341
12232332310312,0.5822654,32.1350098,-0.138,0.353
12232333223130,0.1208495,32.6623535,-0.363,0.466
12232313221201,3.0637244,32.5524902,-0.556,0.357
12232333012130,1.1754546,32.8381348,-0.338,0.332
12233220300300,2.0100856,34.5520020,0.066,0.342
12232313223222,2.8223442,32.5305176,-0.301,0.352
12232313201223,3.3489215,32.5524902,-0.382,0.353
12233222031213,0.9337965,34.3542480,-0.255,0.381
12232331211310,2.0100856,33.0139160,-0.317,0.341
12232332310333,0.5383221,32.1569824,-0.158,0.360
12233222003132,1.1534865,34.0686035,-0.261,0.329
12232330312332,1.7685179,32.1350098,-0.246,0.351
12232313330022,3.0856655,33.4094238,-0.527,0.356
30010110210030,-0.7580345,31.3439941,-0.016,0.321
12232331011203,2.6906608,32.9040527,-0.271,0.349
12232332323300,0.0769043,31.9152832,0.109,0.382
12233222031121,0.9997051,34.3981934,-0.524,0.321
12232331102131,2.5809138,33.2116699,-0.341,0.358
30010110212110,-0.8898568,31.4318848,0.112,0.338
12232333233013,0.1428221,32.9479980,-0.079,0.389
12232312313223,3.1734250,32.2009277,-0.608,0.347
12232331012330,2.4931093,32.8381348,-0.386,0.348
12232323211130,0.6481795,30.2014160,-0.293,0.355
12232333122222,0.7140928,33.0578613,-0.272,0.335
12232332323312,0.0549316,31.9592285,0.261,0.368
12232312332301,2.8881803,32.1130371,-0.623,0.351
12232331321110,1.7465556,33.3654785,-0.509,0.329
12232333312023,0.4504348,33.4313965,-0.124,0.383
12232332220030,0.2966295,30.9924316,-0.535,0.335
12232330322131,1.5269188,31.8054199,-0.463,0.362
12232313332130,2.9320690,33.5412598,-0.255,0.351
12232330223212,1.4610233,31.1682129,-0.406,0.337
12232332121312,0.9337965,31.9592285,-0.302,0.339
12232330113232,2.4711573,32.2229004,-0.355,0.341
12232333123012,0.8459165,33.2775879,-0.157,0.341
12233222201013,0.6701507,34.0026855,-0.334,0.360
12232333211213,0.5822654,32.9479980,-0.247,0.347
12232312220230,3.0198411,30.9924316,-0.142,0.395
12232331201012,2.0759616,32.5744629,-0.403,0.362
30010110302101,-0.8898568,31.7614746,-0.436,0.333
12232323330212,0.2307123,30.6408691,-0.644,0.330
30010110102020,-0.2307123,31.6516113,-0.289,0.356
12232333120020,0.9997051,33.0578613,-0.174,0.332
12232331303122,1.8563646,33.3215332,-0.179,0.340
12232313233111,2.9759559,33.0358887,-0.680,0.363
30010110103333,-0.3405742,31.9812012,-0.410,0.365
12232333122300,0.7800052,33.1457520,-0.192,0.393
12232333101112,1.3731595,33.3654785,0.143,0.395
12232330030011,2.4492049,31.3659668,-0.629,0.365
30010101212113,-0.9118267,30.0476074,-0.584,0.329
12232330332013,1.5488836,32.0690918,-0.077,0.339
30010110003011,-0.1867672,31.1901855,-0.388,0.350
12232332122032,0.8019758,31.6955566,-0.215,0.339
12232332323010,0.1647947,31.8713379,-0.347,0.368
30010110102102,-0.2087398,31.7395020,-0.099,0.409
12232331320220,1.6147764,33.0578613,-0.520,0.342
12232333033313,0.7580345,33.0358887,-0.389,0.382
30010110000111,-0.0109863,31.1022949,-0.262,0.331
12232323133310,0.7800052,30.9045410,-0.484,0.343
12232312203201,3.2392398,31.1462402,-0.629,0.344
12233202032202,3.5682478,34.1125488,-0.022,0.367
12232332020311,0.9557662,31.1022949,-0.128,0.345
12232332321132,0.2746571,31.9592285,-0.414,0.350
12232332303020,0.4724067,31.8273926,-0.037,0.347
12233220211000,2.0979197,34.2883301,-0.410,0.326
