quadkey,latitude,longitude,rwi,error
12301113001300,39.8338496,66.3684082,-0.575,0.326
12123230100002,43.0448049,59.7766113,-0.722,0.287
12301131103132,38.6254535,67.1154785,0.219,0.352
12310011200211,40.3716584,71.7956543,0.611,0.417
12123233103010,41.8940990,61.4025879,-0.714,0.289
12123230332231,42.0574497,60.1940918,-0.302,0.284
12310001203122,40.2543761,69.1809082,-0.220,0.309
12301113023303,39.4107325,66.3903809,-0.450,0.340
12310020031320,38.4363791,68.1262207,0.075,0.337
12301130010211,38.7455147,65.1159668,-0.127,0.306
12310011021331,40.6056115,72.0593262,-0.306,0.265
12310010013330,40.7389327,70.9826660,-0.122,0.339
12123232310131,41.4674278,60.2819824,-0.330,0.286
12301131003001,38.6769329,66.3024902,0.146,0.406
12310010011333,40.8553700,71.0046387,-0.210,0.376
12123233022210,41.5661414,60.5236816,-0.426,0.307
12301113022233,39.3767715,66.1706543,-0.855,0.296
12132232330330,41.1372955,71.5100098,-0.130,0.330
12301113011002,39.8844497,66.6320801,0.994,0.410
12310000130303,40.6222913,68.6755371,-0.169,0.309
12310001110002,40.9550108,69.9719238,-0.420,0.314
12301110320100,40.1704783,65.4895020,-0.201,0.269
12132232330302,41.1538418,71.4660645,-0.196,0.333
12310002101101,39.9013081,68.4997559,-0.159,0.323
12310011112132,40.7888594,72.9162598,0.179,0.338
12310000210123,40.3883964,67.9724121,-0.591,0.302
12310010102331,40.7389327,71.1804199,-0.189,0.317
12301113200132,39.3087998,66.2365723,-0.588,0.296
12310010031231,40.6056115,70.9167480,-0.049,0.327
12301133111301,37.6403344,67.4450684,-0.333,0.305
12310000111313,40.8886003,68.8952637,0.263,0.319
12310010111220,40.8719872,71.5539551,0.162,0.425
12310020022310,38.3330383,67.6428223,-0.200,0.308
12301113102110,39.7663247,66.9396973,-0.214,0.351
12310001201101,40.4385853,69.2028809,0.383,0.309
12310020201031,38.2295499,67.7526855,-0.133,0.437
12123232311200,41.4344898,60.3039551,-0.424,0.288
12123230212001,42.4153456,59.4470215,1.030,0.378
12310011020021,40.6723055,71.7517090,0.139,0.367
12310001200333,40.3214195,69.0710449,0.030,0.303
12310011030122,40.6556382,72.1691895,-0.294,0.387
12123230212313,42.3341839,59.5788574,1.055,0.389
12132223220210,41.1703840,68.9611816,-0.259,0.343
12310011022121,40.5388510,71.8395996,0.057,0.328
12301113012010,39.7663247,66.5002441,-0.150,0.314
12310002012131,39.7325375,68.0163574,-0.314,0.298
12132223210211,41.4344898,69.3347168,1.427,0.394
12123233030333,41.6482878,60.9851074,-0.375,0.290
12301131311223,38.1431970,67.3571777,0.092,0.317
12301113221203,39.0021098,66.3024902,-0.340,0.299
12132232333130,41.0710686,71.6857910,-0.443,0.360
12310011121103,40.6889685,72.7185059,-0.259,0.411
12301113203133,39.1726582,66.4343262,-0.556,0.314
12301113211022,39.3087998,66.6320801,-0.306,0.294
12132223232213,41.0213546,69.3347168,0.066,0.392
12123230013232,42.8195802,59.6447754,-0.538,0.286
12310011001003,40.9550108,71.9274902,0.024,0.379
12301113130312,39.5464114,67.2912598,-0.160,0.330
12123230031112,42.7873380,59.7326660,-0.448,0.250
12123233031212,41.6811170,61.0510254,-0.648,0.308
12301112313102,39.2067183,66.0168457,-0.573,0.297
12132223221101,41.2365107,69.2028809,1.052,0.395
12310011023013,40.5555474,71.9714355,0.206,0.311
12301111301233,40.3214195,67.0495605,-0.629,0.296
12301113011211,39.8338496,66.6979980,-0.353,0.296
12301130120331,38.4363791,65.5554199,-0.195,0.301
12301103033200,39.4277069,63.8195801,-0.155,0.348
12123230122110,42.6743581,59.9084473,-0.681,0.286
12301103330332,38.9679506,64.4787598,0.052,0.367
12123233030122,41.7139296,60.9191895,-0.548,0.306
12310001021320,40.6056115,69.1809082,0.274,0.321
12310001110001,40.9716030,69.9938965,0.031,0.390
12301113323330,38.8482639,67.1154785,-0.396,0.301
12301131312123,38.0740409,67.2692871,-0.751,0.300
12310011120111,40.7056274,72.5866699,-0.378,0.346
12310011032300,40.5054458,72.1691895,-0.429,0.319
12301111233122,39.9855379,66.7199707,-0.243,0.322
12301133103233,37.4486961,67.0495605,-0.436,0.307
12310002000102,39.8844497,67.5988770,-0.082,0.435
12301111212231,40.2040499,66.5222168,-0.542,0.297
12301130103133,38.6254535,65.7312012,-0.693,0.303
12310000320213,40.0864768,68.2800293,-0.170,0.337
12123212323201,43.1250426,59.9743652,-0.510,0.287
12301130111202,38.7283754,65.9289551,0.168,0.354
12301131122210,38.3330383,66.8518066,-0.292,0.295
12310000210102,40.4218598,67.9504395,-0.720,0.316
12301110313233,40.1872662,65.9948730,-0.090,0.302
12301111023202,40.4887369,66.2805176,-0.544,0.299
12301111302130,40.2711432,66.9396973,-0.335,0.297
12310001010310,40.9052092,69.4006348,-0.278,0.333
12301131310333,38.1431970,67.3132324,-0.319,0.306
12301130110032,38.7626498,65.7971191,-0.122,0.324
12310002012133,39.7156376,68.0163574,0.238,0.307
12123230302310,42.3504246,59.9084473,-0.595,0.288
12301110133301,40.5054458,66.0388184,-0.550,0.303
12310000323010,40.0360260,68.4338379,-0.279,0.352
12123221130320,42.7066590,58.8098145,-0.186,0.295
12123233032103,41.6154418,60.9411621,-0.197,0.317
12310000210302,40.3549162,67.9504395,-0.903,0.301
12301113223123,38.8995829,66.3903809,0.049,0.298
12301112110111,39.9013081,65.9069824,-0.440,0.333
12310020221213,37.9008646,67.7526855,0.145,0.310
12301130130002,38.5223836,65.7531738,-0.657,0.318
12310020213001,38.1259141,68.0603027,-0.190,0.303
12301131310031,38.2295499,67.2253418,-0.529,0.303
12123233201021,41.4674278,60.6774902,-0.311,0.354
12301113132231,39.3937541,67.2253418,0.947,0.393
12123230013213,42.8518056,59.6667480,-0.269,0.285
12132223211301,41.4344898,69.5544434,1.037,0.390
12123230213332,42.3016898,59.7326660,-0.333,0.288
12301101323123,39.9855379,64.2810059,-0.547,0.366
12310000131012,40.6889685,68.7854004,-0.459,0.309
12123221133320,42.5773543,58.9855957,-0.445,0.283
12123232133102,41.6154418,60.3918457,-0.418,0.289
12310000032200,40.5054458,67.8625488,-0.396,0.380
12123230120302,42.7228032,59.8645020,-0.523,0.285
12301113321003,39.0703786,67.0056152,-0.147,0.315
12123232310132,41.4509609,60.2600098,-0.702,0.288
12310001201022,40.3883964,69.0930176,0.170,0.313
12123212233011,43.1891572,59.6667480,-0.293,0.299
12310000023322,40.4553067,67.7746582,-0.354,0.314
12123233200130,41.4674278,60.6115723,-0.354,0.332
12123233201322,41.3850514,60.7434082,-0.882,0.306
12301131310021,38.2295499,67.1813965,-0.287,0.416
12310010033031,40.5388510,70.9167480,1.962,0.410
12132233202022,41.3190751,71.7297363,-0.363,0.324
12310010132103,40.5555474,71.4880371,0.177,0.319
12123233000132,41.9758267,60.6115723,-0.322,0.305
12301131323233,37.7272798,67.0495605,-0.249,0.415
12132223212121,41.3355755,69.3786621,0.957,0.420
12310001012013,40.8221231,69.3347168,0.481,0.315
12310010012313,40.7555791,70.8288574,0.088,0.428
12310020032300,38.3330383,67.9504395,-0.373,0.320
12310022002032,37.5184397,67.5549316,-0.023,0.323
12310011201230,40.3381699,71.9494629,0.145,0.347
12310011022222,40.4553067,71.7297363,0.783,0.400
12123212322320,43.0929602,59.8645020,-0.762,0.286
12310010033321,40.4720239,70.9606934,-0.275,0.447
12301111333320,39.9350124,67.4230957,-0.044,0.353
12301130103311,38.6082854,65.7312012,-0.021,0.305
12301112233010,38.9508649,65.2697754,-0.223,0.330
12310010111121,40.9384144,71.6638184,-0.063,0.370
12310000213212,40.2208295,68.0822754,0.055,0.305
12301113132230,39.3937541,67.2033691,-0.354,0.306
12301112320330,38.9850323,65.5334473,-0.004,0.305
12301113201020,39.3257989,66.2805176,-0.752,0.299
12132232232003,41.0876316,70.6970215,-0.182,0.304
12301101321333,40.0528471,64.3249512,0.480,0.389
12123230021122,42.7550790,59.3371582,-0.080,0.283
12310010103103,40.8221231,71.3122559,-0.279,0.326
12132233222231,41.0047749,71.7956543,0.343,0.344
12123212323222,43.0769126,59.9523926,-0.365,0.286
12123232112310,41.8286415,60.2600098,-0.296,0.312
12132233232232,40.9881910,72.1252441,0.097,0.332
12123233102333,41.7795043,61.3366699,-0.378,0.291
12132223332123,41.0545014,70.0817871,0.372,0.390
12132223203133,41.3190751,69.2468262,0.986,0.437
12123233203010,41.3685636,60.6994629,-0.253,0.291
12301103102112,39.7494332,64.1271973,0.616,0.351
12123230022301,42.6097057,59.1833496,-0.070,0.302
12301112323322,38.8311493,65.6652832,0.288,0.404
12301130112230,38.5739370,65.7971191,-0.829,0.308
12310000130323,40.5889276,68.6755371,0.943,0.398
12310011030000,40.7056274,72.0812988,0.350,0.385
12132223320210,41.1703840,69.6643066,0.819,0.410
12310010112003,40.8221231,71.4001465,0.101,0.351
12123212322233,43.0769126,59.8425293,-0.442,0.302
12301110222113,40.0192008,64.8522949,-0.136,0.470
12301113211120,39.3257989,66.7199707,-0.392,0.298
12123322222023,41.0545014,61.9079590,-0.033,0.307
12310000323121,40.0023714,68.4997559,-0.537,0.324
12123230321210,42.2203813,59.9963379,-0.128,0.310
12310011013312,40.7555791,72.3889160,0.880,0.379
12310010122332,40.4553067,71.1584473,0.075,0.326
12123233032101,41.6318669,60.9411621,-0.564,0.313
12310001011131,40.9384144,69.5983887,0.220,0.400
12301112331111,39.0874355,66.0827637,-0.003,0.324
12310011020110,40.7056274,71.8615723,0.110,0.306
12132223332202,41.0213546,69.9719238,-0.018,0.319
12301111233200,39.9687002,66.6320801,-0.706,0.307
12310011102010,40.8387486,72.4768066,-0.089,0.330
12310001100222,40.8553700,69.6203613,0.944,0.393
12310011012203,40.7555791,72.1032715,-0.354,0.340
12123230203110,42.4153456,59.3811035,-0.488,0.284
12301113231321,38.9850323,66.7419434,-0.257,0.367
12123230103210,42.8679120,59.9963379,-1.163,0.287
12310020210002,38.2468082,67.8625488,-0.565,0.353
12123221110011,43.0608608,58.7878418,-0.202,0.284
12310000211321,40.3381699,68.1481934,-0.977,0.329
12310000232012,40.0192008,67.9064941,0.074,0.302
12123233022203,41.5496996,60.5017090,-0.634,0.289
12301112301322,39.2407620,65.6652832,-0.641,0.302
12301131331231,37.8835245,67.4011230,-0.398,0.318
12310002000131,39.8675871,67.6647949,-0.150,0.302
12301112212122,39.1726582,65.1379395,-0.288,0.302
12310010012213,40.7555791,70.7409668,-0.656,0.322
12301111211302,40.3549162,66.7199707,0.147,0.322
12132223210210,41.4344898,69.3127441,0.256,0.392
12301112112230,39.6649132,65.7971191,-0.578,0.316
12310010212133,40.2543761,70.8288574,-0.655,0.307
12301112213032,39.1726582,65.2697754,-0.348,0.323
12301113113130,39.7325375,67.4670410,-0.255,0.299
12123233020211,41.6975254,60.5456543,-0.038,0.323
12301131023321,38.2985586,66.3903809,-0.446,0.295
12301133113331,37.4661381,67.4890137,-0.611,0.309
12310022000033,37.6577316,67.5769043,-0.510,0.311
12310020031300,38.4707932,68.1262207,0.598,0.340
12310000310303,40.3549162,68.6755371,-0.357,0.317
12123230332302,42.0737617,60.2160645,-0.409,0.285
12301130111210,38.7455147,65.9729004,-0.493,0.323
12301131032020,38.3675016,66.4562988,-0.171,0.331
