quadkey,latitude,longitude,rwi,error
03230320122221,13.2720261,-61.1389160,-0.444,0.644
03230320213033,12.9938527,-61.2707520,0.962,0.643
03230320211131,13.1864679,-61.1828613,0.103,0.649
03230320213123,12.9938527,-61.2268066,0.768,0.649
03230320122230,13.2720261,-61.1169434,0.673,0.655
03230320033113,13.3789314,-61.1828613,-0.170,0.601
03230320122210,13.3147939,-61.1169434,0.211,0.640
03230320033132,13.3361750,-61.2048340,-0.557,0.511
03230320033233,13.2506393,-61.2707520,0.367,0.646
03230320211123,13.1650736,-61.2268066,1.527,0.666
03230320300021,13.1864679,-61.1389160,0.668,0.647
03230320122002,13.3789314,-61.1608887,0.303,0.639
03230320300200,13.1436775,-61.1608887,0.900,0.657
03230320213122,12.9938527,-61.2487793,1.184,0.646
03230320300022,13.1650736,-61.1608887,0.860,0.642
03230320122212,13.2934109,-61.1169434,0.412,0.662
03230320211121,13.1864679,-61.2268066,-0.339,0.643
03230320122023,13.3361750,-61.1389160,-0.531,0.642
03230320211301,13.1436775,-61.2268066,1.368,0.668
03230320033302,13.2934109,-61.2487793,1.172,0.660
03230320122203,13.2934109,-61.1389160,-0.380,0.657
03230320300202,13.1222796,-61.1608887,-0.229,0.650
03230320122003,13.3789314,-61.1389160,0.693,0.653
03230320300003,13.2078602,-61.1389160,0.707,0.655
03230320211130,13.1864679,-61.2048340,0.027,0.643
03230320213103,13.0366691,-61.2268066,0.166,0.729
03230320211102,13.2078602,-61.2487793,-0.142,0.641
03230320122021,13.3575541,-61.1389160,0.904,0.648
03230320211013,13.2078602,-61.2707520,0.610,0.656
03230320233000,12.7153674,-61.3366699,0.203,0.630
03230320033322,13.2506393,-61.2487793,0.185,0.644
03230320211031,13.1864679,-61.2707520,0.301,0.646
03230320211312,13.1222796,-61.2048340,0.246,0.643
03230320232302,12.6081759,-61.4245605,0.917,0.648
03230320211120,13.1864679,-61.2487793,0.469,0.657
03230320233001,12.7153674,-61.3146973,0.917,0.666
03230320300002,13.2078602,-61.1608887,0.442,0.658
03230320231111,12.8867796,-61.1828613,0.942,0.668
03230320233002,12.6939327,-61.3366699,0.878,0.667
03230320033303,13.2934109,-61.2268066,0.291,0.654
03230320232301,12.6296178,-61.4025879,0.564,0.648
03230320300010,13.2292507,-61.1169434,0.455,0.649
03230320211113,13.2078602,-61.1828613,-0.062,0.633
03230320211311,13.1436775,-61.1828613,0.843,0.652
03230320122223,13.2506393,-61.1389160,0.662,0.654
03230320211103,13.2078602,-61.2268066,0.026,0.651
03230320213120,13.0152618,-61.2487793,0.486,0.654
03230320211313,13.1222796,-61.1828613,0.891,0.651
03230320122201,13.3147939,-61.1389160,-0.101,0.563
03230320231113,12.8653594,-61.1828613,0.968,0.641
03230320211133,13.1650736,-61.1828613,0.506,0.651
03230320122232,13.2506393,-61.1169434,0.922,0.653
03230320232321,12.5867322,-61.4025879,0.232,0.689
03230320122032,13.3361750,-61.1169434,0.189,0.653
03230320232320,12.5867322,-61.4245605,0.577,0.669
03230320213121,13.0152618,-61.2268066,1.016,0.646
03230320211122,13.1650736,-61.2487793,1.520,0.619
03230320211310,13.1436775,-61.2048340,1.323,0.661
03230320033321,13.2720261,-61.2268066,-0.586,0.626
03230320033310,13.3147939,-61.2048340,-0.285,0.535
03230320300001,13.2292507,-61.1389160,0.781,0.647
03230320211011,13.2292507,-61.2707520,1.379,0.663
03230320300020,13.1864679,-61.1608887,0.700,0.651
03230320033320,13.2720261,-61.2487793,0.538,0.653
03230320300000,13.2292507,-61.1608887,-0.290,0.618
03230320033131,13.3575541,-61.1828613,-0.577,0.646
03230320033301,13.3147939,-61.2268066,-0.085,0.697
03230320232231,12.5867322,-61.4465332,0.089,0.644
03230320232213,12.6081759,-61.4465332,0.484,0.642
03230320211132,13.1650736,-61.2048340,0.614,0.651
03230320300023,13.1650736,-61.1389160,0.183,0.636
