quadkey,latitude,longitude,rwi,error
30030321132301,-30.0786009,30.7067871,-0.240,0.519
30032100101130,-31.9987589,29.1467285,-0.131,0.518
30030033222003,-26.9318647,26.7517090,0.575,0.604
30030322321220,-31.7748771,29.0148926,-0.082,0.492
30030033132201,-26.3623416,27.8063965,-0.295,0.588
30030201123213,-27.6348734,24.8620605,-0.207,0.500
30030032111300,-25.8888782,26.6418457,-0.579,0.489
30030120202011,-25.3340963,28.2019043,-0.331,0.573
30030032322002,-26.9318647,26.0266113,-0.524,0.469
30030233331121,-31.7001291,28.0700684,-0.332,0.467
30030320210330,-30.2685558,28.6193848,-0.205,0.450
30030310213031,-27.8876388,31.5417480,-0.162,0.562
30030312122323,-28.9120143,31.7614746,-0.430,0.591
30030122021221,-26.2441559,28.3337402,0.841,0.627
30030210012133,-27.2839252,25.8288574,-0.575,0.585
30023103210303,-33.8247931,18.7536621,0.603,0.560
30030101212321,-22.8875618,30.0036621,0.222,0.595
30030312230130,-29.2768159,31.4318848,0.239,0.585
30030322201213,-31.4567820,28.3776855,-0.500,0.431
30023101230221,-32.9625860,18.6657715,0.009,0.516
30030212202122,-29.1425657,25.4113770,-0.240,0.510
30030022332110,-26.9122734,23.6975098,-0.395,0.482
30030122032222,-26.4213893,28.4875488,0.474,0.601
30023103203233,-34.0071346,18.5339355,0.969,0.573
30030323000000,-30.7607184,29.5422363,-0.162,0.491
30030121332203,-25.7504244,30.6188965,0.456,0.601
30030322012123,-30.9681888,28.5974121,-0.140,0.435
30032003312011,-33.8795365,25.0378418,0.149,0.571
30030322212000,-31.5129954,28.4875488,-0.149,0.515
30032010210122,-32.6116159,25.7629395,-0.042,0.526
30030310210033,-27.7516073,31.3659668,-0.482,0.439
30032011131230,-32.3706824,28.0041504,0.199,0.520
30030310321022,-28.0622856,31.8273926,-0.059,0.484
30030102332110,-24.3771204,29.3225098,0.276,0.559
30030321120031,-29.8882805,30.3112793,0.163,0.541
30030121012120,-24.7368531,29.9816895,-0.056,0.541
30030312201301,-29.0081399,31.2341309,-0.513,0.483
30030121330210,-25.5721751,30.6408691,0.164,0.569
30032100030203,-32.3521223,28.5095215,-0.187,0.473
30030301311120,-27.7321603,30.8605957,0.065,0.499
30030322301333,-31.4942613,29.1687012,-0.344,0.474
30030303333310,-29.4682962,30.9045410,-0.646,0.516
30030310202111,-27.8487900,31.1022949,-0.115,0.441
30030101303232,-22.9078031,30.4650879,-0.007,0.585
30030121210023,-25.2347581,29.9157715,-0.508,0.478
30030311202022,-27.9070579,32.3547363,0.155,0.526
30023113330021,-34.0617609,22.1813965,0.881,0.556
30030303122030,-28.8157994,30.2893066,-1.245,0.472
30030130012021,-24.7368531,31.3220215,-0.340,0.530
30030033111221,-25.9284066,27.9821777,0.774,0.566
30030120220133,-25.5523532,28.2897949,0.612,0.538
30030120023201,-25.0955481,28.3337402,-0.347,0.586
30030301022222,-27.6737985,29.5422363,-0.047,0.550
30023113021122,-33.4955973,21.3684082,-0.096,0.517
30032010313103,-32.7225981,26.6638184,-0.423,0.453
30030321233010,-30.6095493,30.1135254,-0.092,0.472
30030031213221,-25.4531946,27.2790527,-0.327,0.613
30030233201130,-31.4005349,27.0373535,-0.373,0.567
30030201311321,-27.8099273,25.2575684,-0.533,0.517
30030310332211,-28.2366490,32.0690918,-0.294,0.461
30030120310021,-25.2148807,29.2126465,-0.200,0.552
30030213122333,-28.9120143,27.5866699,0.930,0.551
30030312032200,-28.8542961,31.3000488,-0.044,0.499
30030031212202,-25.4333530,27.0812988,0.406,0.633
30030121111212,-24.6370310,30.8166504,0.067,0.498
30030302120021,-28.6616708,28.8610840,0.127,0.441
30030330000030,-29.5830112,30.9924316,0.260,0.585
30030100323003,-23.1100489,29.0368652,-0.391,0.571
30030233322101,-31.8122286,27.5427246,-0.467,0.450
30030031233032,-25.7108365,27.3010254,0.605,0.605
30030033231310,-26.8338741,27.3889160,-0.601,0.522
30030101323202,-23.1908622,30.4211426,-0.517,0.525
30030302130102,-28.6423887,29.2785645,-0.638,0.645
30030312110231,-28.4300525,32.0690918,-0.635,0.485
30023101202332,-32.8334424,18.4240723,0.259,0.553
30030322212223,-31.6440285,28.5095215,-0.451,0.468
30030312112100,-28.4686909,32.0910645,-0.712,0.504
30030200322322,-28.2947070,23.3020020,-0.228,0.543
30030031233013,-25.6712354,27.3229980,0.548,0.664
30030312030333,-28.7580278,31.4538574,-0.618,0.478
30030303101110,-28.3140526,30.5529785,-0.163,0.476
30030322322023,-31.8682273,28.8610840,-0.287,0.462
30023103220312,-34.1163520,18.4240723,-0.362,0.606
30032011313132,-32.7595615,28.0920410,0.008,0.598
30030310212231,-27.9652945,31.3659668,0.445,0.515
30030312022130,-28.8157994,31.0803223,-0.315,0.480
30023130110301,-34.3887788,20.8630371,0.232,0.565
30030233020300,-31.1376028,26.8176270,0.040,0.549
30030321233301,-30.6851635,30.1794434,-0.325,0.553
30030022112310,-26.0469124,23.6975098,-0.801,0.447
30030102133122,-23.7953972,29.4543457,0.023,0.571
30032002212202,-33.9706975,22.8625488,-0.228,0.541
30023112221330,-34.1345412,20.0061035,-0.469,0.487
30030120122120,-25.0557447,28.9270020,-0.088,0.610
30030310113303,-27.3229745,32.2888184,-0.691,0.423
30030031013112,-24.7168951,27.3889160,-0.119,0.547
30030301222330,-28.2753578,29.6740723,0.127,0.447
30030322203012,-31.5317257,28.3557129,-0.367,0.444
30030303130320,-28.7387635,30.6848145,-0.142,0.463
30030031023030,-25.0557447,26.9494629,-0.243,0.566
30030123113031,-26.0074237,30.8386230,-0.084,0.467
30032002231013,-34.0435560,23.1042480,0.896,0.599
30030233223100,-31.8122286,26.9934082,-0.340,0.477
30030122112110,-25.9679218,29.3225098,0.121,0.580
30030323031210,-31.1376028,30.1135254,-0.581,0.454
30030310312322,-27.9846997,32.0910645,-0.495,0.453
30030322232112,-31.8308986,28.6193848,-0.290,0.515
30030101323023,-23.1504616,30.4431152,0.072,0.555
30030322133320,-31.3254862,29.4543457,-0.303,0.523
30030013232033,-24.4371475,27.1472168,-0.717,0.478
30030033312111,-26.5983508,27.9382324,-0.285,0.562
30032100031221,-32.3706824,28.6853027,0.229,0.481
30030030303320,-25.4531946,26.2902832,-0.470,0.501
30030321022213,-30.0976128,29.6081543,0.228,0.515
30023103212331,-33.9889180,18.7976074,0.272,0.562
30030301030000,-27.3815228,29.8937988,0.350,0.569
30032013100213,-33.2386870,27.4987793,-0.412,0.467
30032100011201,-32.0360196,28.6853027,-0.489,0.499
30023103231023,-34.0799618,18.8415527,1.325,0.546
30030322231331,-31.7748771,28.8171387,-0.372,0.468
30030321102110,-29.6975960,30.3771973,0.412,0.559
30030122201103,-26.4607376,28.4216309,0.238,0.586
30030103300020,-23.9360545,30.2453613,0.153,0.600
30030233333320,-31.9241921,28.0480957,-0.572,0.447
30023112212300,-33.9524731,20.1379395,-0.112,0.538
30030312020203,-28.7194957,30.9704590,-0.156,0.494
30030130320221,-25.6118091,31.6735840,0.260,0.517
30032011202220,-32.8149779,26.7297363,-0.205,0.527
30030320323012,-30.6284584,29.0588379,0.161,0.506
30030132333113,-26.9318647,32.3327637,-0.269,0.450
30030103120121,-23.6143282,30.3552246,-0.013,0.580
30030322300322,-31.4942613,28.9270020,-0.229,0.468
30030323022201,-31.2879394,29.5642090,0.067,0.531
30032011332001,-32.9994495,27.8063965,1.029,0.604
30030310112123,-27.2839252,32.1130371,-0.447,0.505
30030022033233,-26.4213893,23.1042480,-0.303,0.461
30023101302233,-32.8334424,19.0612793,-0.629,0.458
30030301130022,-27.4400400,30.5969238,-0.692,0.426
30030303220311,-29.3151407,29.6960449,-0.090,0.504
30030232110010,-30.7607184,26.4221191,-0.267,0.477
30030233233332,-31.9428395,27.3889160,-0.723,0.451
30030301320130,-28.0428943,30.3771973,-0.511,0.530
30030322320111,-31.6627324,28.9929199,-0.515,0.565
30030201300012,-27.7127098,24.6643066,-0.130,0.509
30030232223203,-31.9055410,25.5212402,-0.227,0.505
30032010210301,-32.6301225,25.7849121,-0.600,0.475
30030233333220,-31.9241921,27.9602051,-0.309,0.440
30030203120303,-28.7194957,24.7302246,1.258,0.603
30032100100323,-32.0918821,28.9489746,-0.438,0.500
30032003230123,-34.0799618,24.3786621,-0.300,0.509
30030023100230,-25.9284066,24.6643066,0.006,0.579
30030303130331,-28.7387635,30.7507324,-0.657,0.448
30030101301001,-22.6038685,30.4431152,-0.308,0.513
30030303122123,-28.8350495,30.3552246,-0.360,0.454
30023103012123,-33.3488843,18.7536621,0.171,0.543
30030033301010,-26.4410651,27.6525879,-0.316,0.557
30021320102003,-29.7166808,17.6110840,-0.758,0.429
30030213111323,-28.4493734,28.0700684,-0.183,0.456
30032013011021,-33.1835362,27.2790527,-0.559,0.566
30030321103230,-29.8120503,30.4650879,0.159,0.558
30030123323030,-26.9514527,30.4650879,0.065,0.499
30030210002310,-27.3034516,25.4553223,-0.296,0.521
