quadkey,latitude,longitude,rwi,error
30012120210002,-14.6367386,28.4875488,-0.422,0.385
30012201022110,-17.1512882,24.0490723,-0.258,0.352
30010332123002,-10.3473437,31.8273926,-0.399,0.362
30010323321322,-10.9951198,30.5090332,-0.101,0.384
30012100222312,-12.5009395,28.2678223,-0.272,0.408
30012033111212,-15.4007275,28.0041504,-0.656,0.445
30012111301200,-11.9640971,33.2336426,-0.738,0.352
30010330030001,-8.7656527,31.3220215,-0.613,0.369
30012020232021,-15.1675773,22.8845215,-0.204,0.375
30012011332233,-12.5438394,27.8503418,1.222,0.498
30012211003312,-16.9201944,27.0373535,-0.102,0.380
30012120332021,-15.1675773,29.2126465,-0.490,0.367
30012112123023,-13.1436775,31.8493652,-0.073,0.410
30012130120323,-14.4240402,31.7614746,-0.115,0.356
30012100011332,-11.3400249,28.7951660,-0.455,0.377
30012102300301,-13.3361750,28.9489746,-0.789,0.365
30012211003021,-16.8571194,26.9274902,-0.217,0.413
30012022320301,-16.3939308,23.3239746,-0.146,0.418
30012031323320,-15.2523892,27.6965332,-0.668,0.484
30012023010031,-15.3371669,24.3347168,-0.431,0.356
30012002231232,-13.7420528,23.0822754,-0.385,0.361
30010323130102,-10.1743738,30.6848145,-0.472,0.372
30010330033123,-9.0044514,31.5856934,-0.524,0.363
30012120123031,-14.4878712,29.0808105,-0.557,0.381
30012211220131,-17.6963617,26.8835449,-0.072,0.461
30012033202213,-16.2463197,26.7956543,-0.349,0.369
30012123120102,-15.6547754,30.3332520,-0.702,0.373
30012210230220,-17.7800738,25.6750488,-0.616,0.468
30012211210313,-17.4240283,27.2351074,-0.577,0.380
30012122031022,-15.6970862,28.6633301,-0.755,0.378
30012103133330,-13.2078602,30.9045410,-0.143,0.356
30012103212012,-13.4430519,29.9377441,-0.391,0.370
30012033101231,-15.4219101,27.6745605,-0.303,0.384
30012120212100,-14.7855051,28.5754395,-0.439,0.482
30012130011312,-14.0406726,31.6076660,-0.637,0.367
30010333103210,-10.0662199,33.2775879,-0.633,0.354
