quadkey,latitude,longitude,rwi,error
30012300300233,-17.4659524,28.9050293,-0.657,0.344
30012302103200,-18.2397857,29.0148926,-0.534,0.373
30012323120321,-21.0947502,30.3552246,-0.709,0.353
30012311230300,-17.7382226,32.7941895,-0.613,0.344
30012300002333,-16.9622326,28.2897949,-0.376,0.336
30012311031230,-17.1092924,32.9260254,-0.520,0.343
30012132200130,-16.0141357,31.0803223,-0.699,0.344
30012303133333,-18.6358348,30.9265137,-0.295,0.386
30012321330203,-20.4167166,30.6188965,-0.278,0.355
30012300333120,-17.8637468,29.4543457,-0.437,0.353
30012313202010,-18.8231166,32.3986816,-0.258,0.354
30012310203020,-17.5288204,31.1242676,-0.535,0.374
30012303011032,-18.0518668,30.1135254,-0.756,0.371
30012330220131,-20.3549272,31.1022949,-0.173,0.356
30012320201113,-20.0043220,28.4655762,-0.434,0.379
30012312320131,-19.0309630,31.8054199,-0.601,0.360
30012312102023,-18.2189158,31.6735840,-0.571,0.369
30012123303210,-16.2252233,30.4650879,-0.666,0.351
30012310221113,-17.6754275,31.2780762,-0.381,0.392
30012322331110,-21.6267923,29.4982910,-0.549,0.383
30012321100310,-19.4044302,30.3771973,-0.824,0.363
30012300130322,-17.1302914,29.2785645,-0.524,0.350
30012330021223,-19.7977172,31.1462402,-0.747,0.353
30012132210200,-16.0563712,31.3000488,-0.407,0.352
30012231013113,-19.5080198,27.4108887,-0.572,0.415
30012312013112,-18.1771685,31.6076660,0.064,0.522
30012301111013,-16.6677684,30.8386230,-0.304,0.345
30012301232122,-17.8846589,29.9816895,-0.398,0.358
30012310210232,-17.4659524,31.3439941,-0.657,0.387
30012330321023,-20.3755265,31.8493652,-0.650,0.348
30012310321102,-17.6754275,31.9152832,-0.212,0.354
30012123330021,-16.3517676,30.6188965,-0.706,0.350
30012321211222,-20.1281550,30.0695801,-0.425,0.389
30012310112202,-16.9201944,32.0031738,-0.418,0.352
30012332232331,-21.9124706,31.4538574,-0.653,0.381
30012310010100,-16.6467178,31.3879395,-0.755,0.350
30012311201113,-17.3401514,32.6843262,-0.424,0.349
30012320001020,-19.3629758,28.3117676,-0.737,0.361
30012330223003,-20.4990639,31.1462402,-0.474,0.356
30012300023211,-17.2352512,28.3776855,-0.603,0.340
30012300321321,-17.7800738,29.1247559,-0.504,0.349
30012301022131,-17.1932744,29.6960449,-0.725,0.373
30012300101311,-16.7309063,29.1687012,-0.574,0.340
30012301323102,-17.8428322,30.5090332,0.217,0.488
30012302133120,-18.5317000,29.4543457,-0.706,0.357
30012302010202,-18.0936440,28.4875488,-0.319,0.351
30012312130213,-18.4275017,32.0690918,-0.536,0.365
30012330322203,-20.5813670,31.6735840,-0.130,0.355
30012312302212,-18.9270721,31.6955566,-0.847,0.349
30012320001010,-19.3215109,28.3557129,-0.166,0.377
30012330233122,-20.5402210,31.5637207,-0.473,0.352
30012213011213,-18.0936440,27.3229980,-0.535,0.347
30012132221312,-16.4150090,31.2561035,-0.346,0.353
30012302032032,-18.5525320,28.5314941,-0.701,0.376
30012310033113,-17.1722825,31.6296387,-0.150,0.350
30012313020313,-18.4275017,32.5085449,-0.513,0.347
30012301332120,-17.8637468,30.6848145,0.624,0.537
30012301023110,-17.1512882,29.8498535,-0.283,0.351
30012331021310,-19.7356832,32.6623535,-0.494,0.368
30012301030123,-17.0462809,30.0036621,-0.801,0.351
30012303202003,-18.8439129,29.5642090,-0.806,0.382
30012311020002,-17.0042615,32.3547363,-0.581,0.370
30012320231101,-20.3137206,28.7731934,0.178,0.527
30012302333202,-19.2592938,29.3664551,-0.170,0.372
30012312201302,-18.7607124,31.2121582,0.109,0.349
30012331202202,-20.2518900,32.3547363,-0.666,0.373
30012323121110,-20.9716982,30.5529785,-0.661,0.365
30012301023001,-17.1512882,29.7399902,-0.496,0.360
30012320000231,-19.4458740,28.2019043,-0.479,0.362
