"","iso_a3","name_en","cadc.type","usd.comm.ctry.cadc","usd.disb.ctry.cadc","tot.usd.comm.ctry","tot.usd.disb.ctry","perc.cumsum.comm","perc.cumsum.disb"
"1","VNM","Vietnam","equity CADC",556.4,273.08,3621.75,3142.32,0.0782195382223415,0.0980307558112872
"2","VNM","Vietnam","other CADC",1627.52,1715.39,3621.75,3142.32,0.0782195382223415,0.0980307558112872
"3","VNM","Vietnam","other ocean economy",1437.83,1153.85,3621.75,3142.32,0.0782195382223415,0.0980307558112872
"4","IDN","Indonesia","equity CADC",712.18,166.68,3546.12,2391.26,0.154805682732871,0.172630740899152
"5","IDN","Indonesia","other CADC",1318.55,1016.52,3546.12,2391.26,0.154805682732871,0.172630740899152
"6","IDN","Indonesia","other ocean economy",1515.39,1208.06,3546.12,2391.26,0.154805682732871,0.172630740899152
"7","MAR","Morocco","equity CADC",70.21,74.93,2599.86,2023.98,0.210955292353286,0.235772715346989
"8","MAR","Morocco","other CADC",631.8,554.66,2599.86,2023.98,0.210955292353286,0.235772715346989
"9","MAR","Morocco","other ocean economy",1897.85,1394.39,2599.86,2023.98,0.210955292353286,0.235772715346989
"10","BGD","Bangladesh","equity CADC",541.44,230.17,2457.77,875.23,0.264036160568023,0.263077209608781
"11","BGD","Bangladesh","other CADC",1312.44,461.28,2457.77,875.23,0.264036160568023,0.263077209608781
"12","BGD","Bangladesh","other ocean economy",603.89,183.78,2457.77,875.23,0.264036160568023,0.263077209608781
"13","TUR","Turkey","equity CADC",492.2,306.95,2158.16,951.59,0.310646301690389,0.292763901900611
"14","TUR","Turkey","other CADC",1427.38,402.17,2158.16,951.59,0.310646301690389,0.292763901900611
"15","TUR","Turkey","other ocean economy",238.58,242.47,2158.16,951.59,0.310646301690389,0.292763901900611
"16","PHL","Philippines","equity CADC",93.55,102.27,2099.1,535.94,0.355980914151911,0.309483587759945
"17","PHL","Philippines","other CADC",1409.7,172.48,2099.1,535.94,0.355980914151911,0.309483587759945
"18","PHL","Philippines","other ocean economy",595.85,261.19,2099.1,535.94,0.355980914151911,0.309483587759945
"19","IND","India","equity CADC",806.72,97.57,1944.86,1165.67,0.397984379633267,0.345848920102463
"20","IND","India","other CADC",1125.18,1032.48,1944.86,1165.67,0.397984379633267,0.345848920102463
"21","IND","India","other ocean economy",12.96,35.62,1944.86,1165.67,0.397984379633267,0.345848920102463
"22","KEN","Kenya","equity CADC",270.61,158.69,1796.62,1506.07,0.436786281134205,0.392833689446357
"23","KEN","Kenya","other CADC",1014.36,924.68,1796.62,1506.07,0.436786281134205,0.392833689446357
"24","KEN","Kenya","other ocean economy",511.65,422.7,1796.62,1506.07,0.436786281134205,0.392833689446357
"25","EGY","Egypt","equity CADC",168.15,178.18,1793.99,1152.89,0.475531382086921,0.428800324947285
"26","EGY","Egypt","other CADC",1328.62,664.82,1793.99,1152.89,0.475531382086921,0.428800324947285
"27","EGY","Egypt","other ocean economy",297.22,309.89,1793.99,1152.89,0.475531382086921,0.428800324947285
"28","JOR","Jordan","equity CADC",510.98,444.82,1564.38,1131.33,0.509317557610982,0.464094354508878
"29","JOR","Jordan","other CADC",938.45,642.7,1564.38,1131.33,0.509317557610982,0.464094354508878
"30","JOR","Jordan","other ocean economy",114.95,43.81,1564.38,1131.33,0.509317557610982,0.464094354508878
"31","KHM","Cambodia","equity CADC",390.95,121.43,1077.86,452.34,0.532596279628883,0.47820597652181
"32","KHM","Cambodia","other CADC",360.79,141.26,1077.86,452.34,0.532596279628883,0.47820597652181
"33","KHM","Cambodia","other ocean economy",326.12,189.65,1077.86,452.34,0.532596279628883,0.47820597652181
"34","MOZ","Mozambique","equity CADC",201.94,111.7,967.98,516.75,0.553501904978082,0.494326993180038
"35","MOZ","Mozambique","other CADC",273.76,161.58,967.98,516.75,0.553501904978082,0.494326993180038
"36","MOZ","Mozambique","other ocean economy",492.28,243.47,967.98,516.75,0.553501904978082,0.494326993180038
"37","LBN","Lebanon","equity CADC",279.39,199.04,906.23,708.17,0.573073905288217,0.516419727320062
"38","LBN","Lebanon","other CADC",615.93,479.31,906.23,708.17,0.573073905288217,0.516419727320062
"39","LBN","Lebanon","other ocean economy",10.91,29.82,906.23,708.17,0.573073905288217,0.516419727320062
"40","TZA","Tanzania","equity CADC",47.12,104.01,806.46,553.03,0.590491156284225,0.533672568814981
"41","TZA","Tanzania","other CADC",359.23,215.35,806.46,553.03,0.590491156284225,0.533672568814981
"42","TZA","Tanzania","other ocean economy",400.11,233.67,806.46,553.03,0.590491156284225,0.533672568814981
"43","CHN","People's Republic of China","equity CADC",81.09,53.11,767.41,1101.97,0.607065037923545,0.568050656336737
"44","CHN","People's Republic of China","other CADC",674.43,1040.46,767.41,1101.97,0.607065037923545,0.568050656336737
"45","CHN","People's Republic of China","other ocean economy",11.89,8.4,767.41,1101.97,0.607065037923545,0.568050656336737
"46","MMR","Myanmar","equity CADC",79.68,42.33,748.63,183.87,0.623233324773656,0.573786836952022
"47","MMR","Myanmar","other CADC",539.3,64.27,748.63,183.87,0.623233324773656,0.573786836952022
"48","MMR","Myanmar","other ocean economy",129.65,77.27,748.63,183.87,0.623233324773656,0.573786836952022
"49","MDG","Madagascar","equity CADC",115.03,38.26,740.01,257.58,0.639215444047464,0.581822543717046
"50","MDG","Madagascar","other CADC",456.44,139.74,740.01,257.58,0.639215444047464,0.581822543717046
"51","MDG","Madagascar","other ocean economy",168.54,79.58,740.01,257.58,0.639215444047464,0.581822543717046
"52","IRQ","Iraq","equity CADC",4.28,5.44,728.5,816.25,0.654948979933424,0.607287042695815
"53","IRQ","Iraq","other CADC",308.59,616.57,728.5,816.25,0.654948979933424,0.607287042695815
"54","IRQ","Iraq","other ocean economy",415.63,194.24,728.5,816.25,0.654948979933424,0.607287042695815
"55","CIV","Ivory Coast","equity CADC",145.86,22.49,720.15,203.08,0.67050217947807,0.613622516450924
"56","CIV","Ivory Coast","other CADC",432.3,51.33,720.15,203.08,0.67050217947807,0.613622516450924
"57","CIV","Ivory Coast","other ocean economy",141.99,129.26,720.15,203.08,0.67050217947807,0.613622516450924
"58","SEN","Senegal","equity CADC",120.12,50.23,650.26,307.28,0.684545953047328,0.623208710933247
"59","SEN","Senegal","other CADC",174.41,88.55,650.26,307.28,0.684545953047328,0.623208710933247
"60","SEN","Senegal","other ocean economy",355.73,168.5,650.26,307.28,0.684545953047328,0.623208710933247
"61","LKA","Sri Lanka","equity CADC",174.32,157.2,565.52,497.27,0.696759582716824,0.63872201127894
"62","LKA","Sri Lanka","other CADC",334.85,217.78,565.52,497.27,0.696759582716824,0.63872201127894
"63","LKA","Sri Lanka","other ocean economy",56.35,122.29,565.52,497.27,0.696759582716824,0.63872201127894
"64","PNG","Papua New Guinea","equity CADC",150.08,114.86,547.42,560.19,0.708582303670417,0.656198222835346
"65","PNG","Papua New Guinea","other CADC",97.45,102.5,547.42,560.19,0.708582303670417,0.656198222835346
"66","PNG","Papua New Guinea","other ocean economy",299.89,342.83,547.42,560.19,0.708582303670417,0.656198222835346
"67","MEX","Mexico","equity CADC",374.65,343.05,477.03,388.34,0.71888480006531,0.668313240946727
"68","MEX","Mexico","other CADC",84.47,42.88,477.03,388.34,0.71888480006531,0.668313240946727
"69","MEX","Mexico","other ocean economy",17.91,2.41,477.03,388.34,0.71888480006531,0.668313240946727
"70","GHA","Ghana","equity CADC",72.7,71.35,475.32,263.11,0.729150365305275,0.67652146676762
"71","GHA","Ghana","other CADC",198.2,91.51,475.32,263.11,0.729150365305275,0.67652146676762
"72","GHA","Ghana","other ocean economy",204.42,100.25,475.32,263.11,0.729150365305275,0.67652146676762
"73","MDV","Maldives","equity CADC",127.23,25.14,428.74,155.11,0.73840993452387,0.681360423504645
"74","MDV","Maldives","other CADC",158.55,101.45,428.74,155.11,0.73840993452387,0.681360423504645
"75","MDV","Maldives","other ocean economy",142.96,28.52,428.74,155.11,0.73840993452387,0.681360423504645
"76","TUN","Tunisia","equity CADC",28.47,59.31,421.47,429.13,0.747512492341105,0.694747964633906
"77","TUN","Tunisia","other CADC",323.09,352.66,421.47,429.13,0.747512492341105,0.694747964633906
"78","TUN","Tunisia","other ocean economy",69.91,17.16,421.47,429.13,0.747512492341105,0.694747964633906
"79","SOM","Somalia","equity CADC",43.34,18.08,414.16,312.12,0.756457174870314,0.704485152286283
"80","SOM","Somalia","other CADC",5.06,8.3,414.16,312.12,0.756457174870314,0.704485152286283
"81","SOM","Somalia","other ocean economy",365.76,285.74,414.16,312.12,0.756457174870314,0.704485152286283
"82","PER","Peru","equity CADC",109.13,155.45,404.41,329.08,0.765191285024935,0.714751439972572
"83","PER","Peru","other CADC",278.88,159.58,404.41,329.08,0.765191285024935,0.714751439972572
"84","PER","Peru","other ocean economy",16.4,14.05,404.41,329.08,0.765191285024935,0.714751439972572
"85","COD","Democratic Republic of the Congo","equity CADC",60.21,27.29,364.89,374.36,0.773071875154555,0.726430324919208
"86","COD","Democratic Republic of the Congo","other CADC",259.16,219.15,364.89,374.36,0.773071875154555,0.726430324919208
"87","COD","Democratic Republic of the Congo","other ocean economy",45.52,127.92,364.89,374.36,0.773071875154555,0.726430324919208
